model,Gsolv,timing
0,-18495.970121000002,29.44
1,-18327.308001,29.0
2,-18697.6058955,29.38
3,-18541.9505025,29.0
4,-18142.9900245,28.25
5,-18251.270895499998,28.47
6,-18368.906423,28.21
7,-18310.315765,28.63
8,-18389.101769,28.44
9,-18280.232786,28.91
10,-18511.008985,29.14
11,-18515.724383,29.33
12,-18388.345625,29.17
13,-18123.999783,29.83
14,-18155.164468,29.6
15,-18600.66981,29.34
16,-18593.659725,29.98
17,-18604.781343,30.83
18,-18500.034395,29.92
19,-18389.84216,29.73
20,-18398.3093975,30.11
21,-18464.7135435,29.85
22,-18125.039481,29.44
23,-18276.213145499998,30.21
24,-18651.945825,29.67
25,-19032.454289,29.69
26,-18846.419235499998,29.23
27,-18617.856333,30.15
28,-18593.670227,29.99
29,-18613.2118235,30.01
30,-18570.849381,29.17
31,-18867.457367,28.97
32,-18801.919636000002,29.28
33,-18402.0061015,28.61
34,-18946.337889,29.45
35,-18677.9356495,29.9
36,-18890.561767,30.33
37,-18652.9776465,29.19
38,-18619.8648405,29.24
39,-18712.274564,29.43
40,-18456.802912,29.84
41,-18235.299979,28.69
42,-18491.5934125,28.94
43,-18840.761283,29.96
44,-18799.3807775,28.14
45,-18635.8698885,29.5
46,-18796.169791,28.47
47,-18935.3291675,28.61
48,-18832.732504,29.36
49,-18829.87596,28.98
50,-18707.945114500002,29.03
51,-18383.5908445,29.21
52,-18510.9013395,29.4
53,-18813.2329155,29.99
54,-18228.5865755,29.13
55,-18596.57403,28.41
56,-18620.46608,28.77
57,-18538.230169000002,29.17
58,-18260.032189,28.63
59,-18529.025166,28.2
60,-19119.137797,29.94
61,-18969.5079265,29.47
62,-18750.640995499998,29.8
63,-18730.0728285,30.15
64,-18734.20274,29.59
65,-18650.71184,29.92
66,-18681.4013095,30.07
67,-18571.826067,30.51
68,-18906.80311,30.17
69,-18605.50073,30.02
70,-18871.369362,29.26
71,-18799.8533675,29.78
72,-18934.5992785,29.39
73,-18931.981655,30.57
74,-19031.755906,30.13
75,-19129.2118405,30.39
76,-18959.0374325,30.05
77,-18795.3742645,29.88
78,-19330.7399695,30.3
79,-19077.7782955,30.33
80,-19022.556153999998,29.54
81,-18865.551253999998,30.83
82,-18683.0711275,30.41
83,-18717.722476500003,30.21
84,-18903.8441715,30.46
85,-18627.1742325,29.82
86,-18816.191854,29.73
87,-18555.306421,30.31
88,-18663.73432,29.75
89,-18494.688877,29.73
90,-18661.8308325,30.38
91,-18780.495556,30.43
92,-18147.056924,30.65
93,-18405.251219499998,30.75
94,-18412.657755,30.12
95,-18590.330591,30.34
96,-18589.697845500003,30.96
97,-18350.013325,30.58
98,-18327.659818,29.76
99,-18678.1246855,30.57
100,-18549.582831,30.35
101,-18853.568472,29.54
102,-18483.5173745,30.02
103,-18589.9761485,29.37
104,-18369.4446505,29.69
105,-18366.1417715,29.41
106,-18420.0065295,30.22
107,-18302.959114,29.65
108,-18668.9931965,30.78
109,-18602.239859,29.9
110,-18563.560993,30.64
111,-18643.265922000002,30.36
112,-18675.995405,29.64
113,-18849.0132295,30.92
114,-18795.334882,29.63
115,-18706.2227865,30.78
116,-18747.22522,30.4
117,-18877.581295,30.55
118,-18810.909348,30.56
119,-18902.014198,30.28
120,-19157.443842,30.43
121,-18981.5274655,30.38
122,-18686.082576,30.96
123,-18486.061484,30.95
124,-18446.4768205,29.97
125,-18720.0644225,30.39
126,-18814.0783265,29.02
127,-18537.628929500002,29.74
128,-18557.307052,28.76
129,-18158.16804,28.95
130,-18216.774451,29.08
131,-18470.434508,30.14
132,-18447.125319000002,29.27
133,-18805.7607425,29.27
134,-18575.874588,29.57
135,-18705.810583000002,28.91
136,-18243.9667545,28.5
137,-18390.088957,29.44
138,-18268.96414,29.13
139,-18070.182284,29.9
140,-18295.3162835,30.05
141,-18067.821959499997,28.71
142,-18293.8460035,29.1
143,-18037.211255,29.62
144,-18635.940777,29.64
145,-18668.0742715,30.08
146,-18595.2008935,31.02
147,-18297.7685005,30.7
148,-18179.387330999998,30.24
149,-18265.2123005,30.32
150,-18276.228898499998,29.73
151,-18520.056458,29.74
152,-18713.35627,29.44
153,-18840.5696215,30.57
154,-18642.5701645,29.31
155,-18314.0991105,28.75
156,-18497.025572,29.21
157,-18250.596142000002,28.54
158,-18584.0005105,28.58
159,-18234.25503,28.72
160,-18258.795578499998,29.21
161,-18487.804816,29.74
162,-18991.010771499998,29.1
163,-18850.7933185,28.28
164,-18845.57645,28.38
165,-18707.4462695,28.87
166,-18835.6546855,28.84
167,-18715.551188,29.39
168,-19113.424709000003,29.32
169,-19079.379850499998,29.9
170,-18935.2293985,29.2
171,-18847.7372365,28.37
172,-18777.323952,27.62
173,-18692.6121945,27.94
174,-18613.11468,29.19
175,-18766.5042665,28.3
176,-19152.796707,28.67
177,-19167.835571,28.71
178,-19355.5509445,27.9
179,-19123.5145055,28.85
180,-19161.933447,28.77
181,-19164.4460505,29.05
182,-19111.943927,28.4
183,-19286.76547,29.12
184,-19272.0075345,28.28
185,-19373.567125499998,29.12
186,-19493.1639015,29.34
187,-19392.73065,29.43
188,-19552.7732535,29.17
189,-19159.003389,29.38
190,-19020.996607,28.71
191,-19026.7963365,30.4
192,-18805.017726000002,28.48
193,-19129.0490595,30.81
194,-18911.1378105,29.6
195,-19101.6860985,28.71
196,-19077.922698000002,29.39
197,-19279.608357,47.79
198,-18646.9705025,28.89
199,-19094.6760135,30.33
200,-19031.645635,29.59
201,-19228.458366,28.82
202,-18944.4711585,28.64
203,-19047.3067425,28.35
204,-19102.7940595,28.52
205,-18608.210246,29.82
206,-18913.5112625,28.06
207,-18876.4444535,28.89
208,-18753.321631000003,29.03
209,-18669.400149,29.14
210,-18695.531750500002,28.54
211,-18299.635231,28.96
212,-18701.672795000002,28.08
213,-18856.6639365,28.36
214,-18681.2017715,28.62
215,-18751.9379925,28.04
216,-18794.870168499998,28.44
217,-18780.626831,28.81
218,-18934.087305999998,28.73
219,-18985.788652,28.81
220,-18723.1992695,28.2
221,-18698.700729,28.53
222,-18873.490766000003,27.97
223,-18865.5171225,28.54
224,-18791.354624,29.08
225,-18867.3681,29.22
226,-19185.048349,29.49
227,-18863.214559,29.26
228,-18647.7266465,28.82
229,-18758.966456,29.4
230,-18676.331469,30.75
231,-18461.549816,30.52
232,-18771.994187,29.13
233,-18868.964404,28.3
234,-19056.0076495,28.39
235,-18707.364879,27.96
236,-18739.921079,28.38
237,-18483.6696535,28.48
238,-18613.335222,28.13
239,-18585.840986,27.47
240,-18451.9063545,27.85
241,-18232.3672955,27.81
242,-18345.455457,27.32
243,-18489.1254425,28.24
244,-18418.769919,28.97
245,-18070.5787345,27.91
246,-18397.435106,28.0
247,-18342.0396815,28.13
248,-18246.311326000003,29.35
249,-18191.3044755,29.02
250,-18397.511245499998,28.2
251,-18439.275074,28.84
252,-18445.7994415,27.88
253,-18494.746638,27.85
254,-18446.778753,28.18
255,-18165.582452000002,27.66
256,-18633.110488,27.69
257,-18524.588071,27.3
258,-18347.0701395,27.67
259,-18313.881193999998,27.21
260,-18200.627626,26.59
261,-18696.7342295,27.59
262,-18353.7914195,26.98
263,-18569.3764755,27.93
