model,Gsolv,timing
0,-116.46717999999998,0.07
1,-121.760188,0.1
2,-121.1274425,0.06
3,-122.668611,0.1
4,-118.63059200000001,0.08
5,-119.19770000000001,0.08
6,-115.065163,0.07
7,-115.83706,0.08
8,-114.73435,0.07
9,-122.3981845,0.08
10,-117.89020099999999,0.07
11,-119.6466605,0.08
12,-116.6903475,0.08
13,-121.907216,0.07
14,-115.9709605,0.07
15,-119.008664,0.08
16,-118.788122,0.09
17,-122.5084555,0.11
18,-120.316163,0.09
19,-117.59877049999999,0.08
20,-122.81038799999999,0.09
21,-130.287812,0.08
22,-119.38411049999999,0.1
23,-121.62628749999999,0.08
24,-119.0585485,0.07
25,-122.0673715,0.07
26,-116.85050299999999,0.08
27,-115.30408349999999,0.08
28,-120.1927645,0.06
29,-122.56621650000001,0.08
30,-122.180268,0.08
31,-122.31416850000001,0.1
32,-115.506247,0.06
33,-117.8403165,0.08
34,-119.6151545,0.09
35,-121.849455,0.09
36,-118.2603965,0.08
37,-116.330654,0.09
38,-120.35292,0.08
39,-113.0829105,0.07
40,-117.7615515,0.07
41,-117.48849949999999,0.08
42,-115.46949,0.07
43,-112.40815699999999,0.08
44,-118.609588,0.09
45,-113.3402095,0.07
46,-116.56169799999999,0.1
47,-114.13048500000001,0.08
48,-114.16986750000001,0.06
49,-118.242018,0.08
50,-110.23686849999999,0.09
51,-108.496162,0.09
52,-112.31626449999999,0.09
53,-116.7428575,0.1
54,-110.00845,0.06
55,-112.7993565,0.09
56,-120.94890849999999,0.1
57,-121.42149850000001,0.1
58,-113.5187435,0.08
59,-116.16524749999999,0.09
60,-119.381485,0.09
61,-120.5655855,0.09
62,-128.449962,0.06
63,-116.6483395,0.1
64,-117.34409699999999,0.09
65,-120.4133065,0.1
66,-120.38967699999999,0.09
67,-122.280037,0.07
68,-116.16524749999999,0.09
69,-116.42779750000001,0.09
70,-123.37224499999999,0.09
71,-118.01359950000001,0.06
72,-123.39062349999999,0.07
73,-114.765856,0.08
74,-122.4559455,0.07
75,-104.305864,0.08
76,-111.405216,0.08
77,-111.65726400000001,0.07
78,-115.621769,0.08
79,-110.1370995,0.1
80,-100.31510399999999,0.06
81,-106.59267450000002,0.09
82,-99.5510835,0.09
83,-119.6676645,0.09
84,-117.48062300000001,0.07
85,-114.79211099999999,0.1
86,-106.905109,0.08
87,-106.1725945,0.09
88,-108.3990185,0.08
89,-110.591311,0.1
90,-114.713346,0.1
91,-114.3799075,0.09
92,-116.556447,0.07
93,-112.33201749999999,0.09
94,-116.314901,0.09
95,-114.0123375,0.08
96,-114.4954295,0.08
97,-109.9165575,0.08
98,-109.65925849999999,0.07
99,-106.7922125,0.05
100,-106.511284,0.08
101,-111.2450605,0.09
102,-112.4632925,0.06
103,-102.415504,0.07
104,-109.709143,0.09
105,-109.8692985,0.09
106,-111.016642,0.08
107,-108.0366995,0.1
108,-111.04027149999999,0.08
109,-105.36131499999999,0.08
110,-110.45478500000002,0.09
111,-110.86173749999999,0.07
112,-115.080916,0.08
113,-110.869614,0.07
114,-116.1494945,0.08
115,-111.8279215,0.06
116,-110.4626615,0.08
117,-114.0648475,0.07
118,-120.851765,0.08
119,-115.800303,0.08
120,-111.28969400000001,0.07
121,-118.5176955,0.08
122,-112.4632925,0.09
123,-111.158419,0.08
124,-116.4645545,0.09
125,-110.6464465,0.1
126,-105.47946250000001,0.08
127,-105.891666,0.09
128,-103.082381,0.08
129,-108.779716,0.09
130,-114.755354,0.08
131,-115.175434,0.07
132,-105.5267215,0.08
133,-107.50634849999999,0.09
134,-110.4784145,0.08
135,-110.9194985,0.09
136,-113.7287835,0.07
137,-106.40101299999999,0.07
138,-113.201058,0.11
139,-112.97001399999999,0.08
140,-116.52231549999999,0.08
141,-105.80765000000001,0.08
142,-109.8587965,0.07
143,-113.67627350000001,0.09
144,-111.7806625,0.08
145,-106.989125,0.07
146,-112.30313699999999,0.08
147,-118.51507,0.08
148,-107.346193,0.09
149,-104.416135,0.07
150,-118.8852655,0.06
151,-118.7539905,0.08
152,-124.3200505,0.09
153,-116.84787750000001,0.08
154,-114.272262,0.06
155,-118.551827,0.1
156,-121.471383,0.09
157,-115.5508805,0.06
158,-121.8310765,0.09
159,-122.694866,0.08
