model,Gsolv,timing
0,-1964.0315299999997,32.04
1,-1945.6451534999999,32.37
2,-1992.1112524999999,32.41
3,-1961.3456434999998,31.62
4,-1910.5632225,31.77
5,-1927.095996,31.99
6,-1944.818121,31.65
7,-1936.700075,32.32
8,-1942.2083739999998,31.53
9,-1931.2626645,32.16
10,-1960.403089,32.68
11,-1965.7748619999998,31.96
12,-1945.8236875,32.62
13,-1902.5134395,33.47
14,-1906.9321559999998,33.16
15,-1978.230234,33.04
16,-1974.5151515,32.88
17,-1969.6054665000001,34.37
18,-1956.354568,33.09
19,-1937.5481115,33.36
20,-1943.741666,33.14
21,-1953.8865979999998,32.96
22,-1905.2255810000001,33.58
23,-1920.1515485,33.67
24,-1981.6827664999998,33.23
25,-2034.846516,32.59
26,-2017.7046265000001,32.63
27,-1982.2787549999998,33.21
28,-1967.6310904999998,32.8
29,-1979.1097765,33.34
30,-1967.607461,32.52
31,-2008.2344480000002,32.4
32,-1993.1404485,32.56
33,-1944.5030610000001,32.32
34,-2017.9724274999999,32.54
35,-1978.7054495,33.96
36,-2006.2915779999998,34.28
37,-1976.9096075,32.45
38,-1975.6887499999998,32.68
39,-1982.819608,33.0
40,-1947.5959,33.26
41,-1914.8375365000002,31.34
42,-1951.345114,32.08
43,-2002.3139455,33.15
44,-1993.1824565000002,31.1
45,-1972.0156755,32.71
46,-1992.4945755,31.48
47,-2013.9606635,31.92
48,-1999.3550070000001,32.1
49,-1995.9234784999999,32.37
50,-1978.802593,32.71
51,-1942.2582584999998,32.9
52,-1951.8203295,33.32
53,-2003.1094719999999,33.55
54,-1922.0550359999997,32.28
55,-1972.784947,31.65
56,-1974.4993985,31.92
57,-1966.1503085,32.18
58,-1925.1610025,31.53
59,-1957.220983,31.55
60,-2050.0140295,33.53
61,-2026.9306334999999,33.26
62,-1992.8490180000001,32.61
63,-1993.4502575,33.43
64,-1997.858472,32.55
65,-1981.0683995000002,32.65
66,-1989.9163345,33.24
67,-1969.550331,33.78
68,-2020.1095845,33.69
69,-1977.558106,33.41
70,-2015.7486290000002,32.53
71,-2004.1964289999999,32.88
72,-2024.9956399999999,32.76
73,-2020.968123,33.26
74,-2040.995437,33.97
75,-2051.749485,33.88
76,-2017.8674075000001,33.69
77,-1998.089516,33.28
78,-2079.4458845,33.32
79,-2038.6954990000002,33.76
80,-2034.6548544999998,32.99
81,-2008.2186949999998,34.35
82,-1981.0027619999998,33.97
83,-1988.700728,33.39
84,-2017.3633115,33.52
85,-1977.132775,33.03
86,-2007.2131285,33.05
87,-1960.6945195,33.82
88,-1975.452455,33.32
89,-1951.7048075000002,33.01
90,-1976.3424995,33.47
91,-1992.040364,33.94
92,-1907.415248,34.5
93,-1944.6684675000001,34.59
94,-1943.941204,33.42
95,-1967.0272255,33.72
96,-1975.4787099999999,34.58
97,-1932.6673070000002,34.22
98,-1926.775685,33.12
99,-1982.2393725,33.92
100,-1961.211743,34.09
101,-2006.769419,33.47
102,-1952.5029595,33.63
103,-1959.137598,33.22
104,-1930.813704,33.0
105,-1932.3732510000002,32.67
106,-1934.0404435,33.82
107,-1917.407901,33.0
108,-1974.701562,33.86
109,-1967.1637514999998,33.66
110,-1961.8996240000001,34.63
111,-1971.692739,33.92
112,-1977.153779,33.45
113,-2005.7796055000001,34.04
114,-1998.1394005000002,32.99
115,-1984.1691150000001,34.06
116,-1991.982603,34.04
117,-2012.1963275,34.22
118,-2003.5321775,34.24
119,-2016.231721,33.98
120,-2049.5125590000002,34.23
121,-2029.4196075,33.85
122,-1977.888919,34.38
123,-1951.896469,34.42
124,-1949.4678815,33.54
125,-1982.0240815,33.93
126,-1992.7466235000002,32.5
127,-1952.862653,33.24
128,-1962.9051905000001,32.37
129,-1906.3702990000002,32.18
130,-1909.090317,32.46
131,-1947.9555934999998,33.61
132,-1946.7951225,32.41
133,-1997.3149935,32.43
134,-1961.9127514999998,33.07
135,-1979.9499365,31.65
136,-1910.05125,31.88
137,-1933.528471,32.59
138,-1914.131277,32.33
139,-1889.5749755000002,33.06
140,-1922.4882435000002,33.58
141,-1891.404949,32.11
142,-1923.0185944999998,32.58
143,-1886.7814435,33.18
144,-1963.852996,33.05
145,-1969.2273945,33.48
146,-1962.645266,34.74
147,-1922.9713355,34.04
148,-1899.6884015,33.53
149,-1919.424285,33.72
150,-1921.582446,33.05
151,-1956.5987395000002,33.48
152,-1990.107996,33.24
153,-2010.2980909999999,33.95
154,-1986.9390175,32.62
155,-1930.461887,32.09
156,-1952.8232705,32.36
157,-1921.7951114999998,32.16
158,-1967.7124809999998,31.61
159,-1915.7223299999998,32.08
160,-1925.567955,32.41
161,-1955.2492325,32.91
162,-2024.412779,32.65
163,-2007.0030884999999,31.14
164,-2011.2616495,31.4
165,-1993.0826875,31.95
166,-2016.0846929999998,31.56
167,-1979.353948,32.62
168,-2047.5040515,32.67
169,-2047.4830475,32.69
170,-2019.2536715,32.34
171,-2007.541316,31.28
172,-1988.0627315000002,31.04
173,-1986.1041085,31.54
174,-1973.320549,32.41
175,-2000.0586409999999,31.45
176,-2048.1472989999997,31.96
177,-2052.8233145,31.88
178,-2083.4366445,31.1
179,-2049.428543,31.95
180,-2054.4248695,32.4
181,-2059.557722,32.63
182,-2050.363221,32.2
183,-2073.457119,32.69
184,-2061.1514005000004,31.36
185,-2081.5410335,32.27
186,-2104.2306045,32.95
187,-2089.3335174999997,32.78
188,-2108.092715,32.6
189,-2053.671351,32.59
190,-2033.5941525,32.41
191,-2034.8123845,33.98
192,-2002.1616665000001,32.19
193,-2047.8138605,34.73
194,-2018.0039335,32.99
195,-2042.339693,31.84
196,-2047.606446,32.45
197,-2070.584822,32.22
198,-1981.1182840000001,31.87
199,-2035.224588,33.48
200,-2024.4206555,32.9
201,-2059.0037414999997,31.76
202,-2020.773836,31.96
203,-2038.2229089999998,31.09
204,-2037.955108,31.64
205,-1964.5487535,32.78
206,-2014.0289265,31.38
207,-2005.1337325000002,31.94
208,-1988.228138,31.99
209,-1974.6464265,32.5
210,-1973.5699714999998,31.73
211,-1923.0579770000002,32.17
212,-1983.4681065,31.42
213,-2002.3060690000002,31.83
214,-1976.4816509999998,31.55
215,-1982.210492,30.81
216,-1992.171639,31.74
217,-1990.8825185,32.12
218,-2017.4263235,32.11
219,-2018.1772165,31.8
220,-1991.8749575000002,31.68
221,-1981.596125,31.83
222,-2014.3597395000002,31.41
223,-2013.0207345000001,31.95
224,-2004.290947,32.41
225,-2014.0761855,32.64
226,-2058.344741,32.79
227,-2011.6502235,32.68
228,-1976.240105,32.75
229,-1993.7600665,33.04
230,-1986.4401725,34.25
231,-1951.518397,33.84
232,-1996.1282675,32.62
233,-2013.9737910000001,31.65
234,-2046.2175565,31.5
235,-1992.134882,31.73
236,-1992.780755,31.65
237,-1956.7930265000002,31.44
238,-1973.766884,30.9
239,-1961.5346795,30.36
240,-1953.3536215000001,31.05
241,-1918.2874434999999,31.43
242,-1933.223913,30.16
243,-1951.0379305,31.98
244,-1943.76267,32.32
245,-1897.3727104999998,31.38
246,-1938.7033314999999,30.92
247,-1933.7805190000001,31.41
248,-1919.4636675,32.74
249,-1913.9238625,32.67
250,-1940.1762370000001,31.64
251,-1946.8056245,31.78
252,-1946.529947,31.26
253,-1954.511467,31.04
254,-1945.768552,31.02
255,-1906.4516895000002,30.79
256,-1967.7833695,30.63
257,-1956.879668,30.24
258,-1930.2177155,30.79
259,-1929.0782485000002,30.2
260,-1915.9507485000001,29.2
261,-1986.6502125,30.7
262,-1942.5050555,30.41
263,-1971.8108865,30.48
264,-1970.243463,30.42
265,-1967.3002775,30.82
266,-1974.6359244999999,30.81
267,-1971.6349779999998,32.23
268,-1980.6771999999999,31.16
269,-1934.2819895,30.57
270,-1956.1025200000001,30.87
271,-1909.0378070000002,31.95
272,-1914.084018,32.0
273,-1929.516707,31.61
274,-1998.971684,31.63
275,-2000.4393385,31.35
276,-1957.8694815,31.79
277,-1980.0812114999999,31.42
278,-2008.1163004999999,31.33
279,-2025.2975725000001,30.91
280,-2015.2366565,31.47
281,-2019.056759,30.55
282,-2036.647609,29.47
283,-1985.838933,30.86
284,-2041.8959835,31.01
285,-2031.464872,31.5
286,-1999.1160865,30.99
287,-1995.3406175,31.37
288,-1962.130668,31.57
289,-1961.8812455000002,29.78
290,-2024.7567195000001,31.09
291,-2029.6664045000002,31.65
292,-1989.8375695000002,31.26
293,-2026.0799714999998,29.67
294,-1966.373476,29.77
295,-1964.9504550000001,30.62
296,-2025.5417439999999,31.21
297,-1999.4810309999998,30.17
298,-2053.5059445,30.04
299,-2041.4864054999998,30.08
300,-2036.2196525,31.14
301,-2007.3785349999998,31.19
302,-1999.7672105,31.44
303,-2005.209872,29.85
304,-2069.970455,30.16
305,-2064.5881799999997,30.14
306,-2035.9177200000001,30.73
307,-1997.3806310000002,30.18
308,-1975.410447,30.47
309,-1972.8190785000002,29.79
310,-1982.835361,31.18
311,-2013.616723,30.16
312,-1989.5041310000001,29.46
313,-2027.67365,29.97
314,-1982.8773689999998,30.08
315,-1951.8675884999998,29.96
316,-1955.7612049999998,30.48
317,-1999.9404935,30.62
318,-2014.3282335000001,31.34
319,-1992.6337270000001,30.56
320,-1970.5348935,30.2
321,-1976.8964799999999,30.41
322,-1930.1074445,29.64
323,-1947.1968239999999,28.53
324,-1931.3388040000002,29.8
325,-1956.3834485,30.63
326,-1998.2391695000001,30.74
327,-2015.5412145,29.97
328,-1966.2290735000001,30.94
329,-2021.1545334999998,29.6
330,-1977.8652895,29.79
331,-2013.7453725,29.14
332,-2005.577442,29.71
333,-2017.22416,29.84
334,-1983.166174,31.09
335,-1984.4290394999998,29.1
336,-1996.7321325,28.74
337,-1998.420329,28.69
338,-1973.4386964999999,29.48
339,-1998.0107509999998,29.47
340,-1957.2813695,29.96
341,-1958.7569005,29.88
342,-2032.966658,28.97
343,-2026.072095,28.88
344,-2028.912886,29.62
