model,Gsolv,timing
0,-116.661467,0.07
1,-115.71628700000001,0.08
2,-114.235505,0.07
3,-112.1954915,0.06
4,-112.555185,0.08
5,-109.9428125,0.06
6,-109.06589550000001,0.07
7,-108.937246,0.07
8,-105.534598,0.07
9,-117.7615515,0.07
10,-112.135105,0.06
11,-115.175434,0.07
12,-108.5670505,0.08
13,-111.9749495,0.08
14,-111.2818175,0.08
15,-109.0763975,0.07
16,-117.9715915,0.08
17,-113.195807,0.07
18,-111.4498495,0.07
19,-115.879068,0.07
20,-113.05928100000001,0.06
21,-113.012022,0.07
22,-119.11893500000001,0.07
23,-110.3576415,0.07
24,-113.5502495,0.08
25,-110.9247495,0.09
26,-112.69958749999999,0.07
27,-112.68646,0.08
28,-110.13184849999999,0.08
29,-112.5683125,0.07
30,-110.081964,0.07
31,-108.80072,0.07
32,-113.6342655,0.07
33,-113.075034,0.07
34,-114.492804,0.09
35,-111.121662,0.07
36,-114.26438549999999,0.08
37,-114.193497,0.08
38,-112.73109350000001,0.07
39,-119.4891305,0.06
40,-111.48135549999999,0.07
41,-111.61788150000001,0.06
42,-107.61399399999999,0.08
43,-110.045207,0.07
44,-117.1366825,0.09
45,-108.0944605,0.08
46,-118.28402600000001,0.08
47,-116.3910405,0.07
48,-112.518428,0.08
49,-111.457726,0.07
50,-115.71628700000001,0.07
51,-114.062222,0.08
52,-108.57230150000001,0.07
53,-114.16986750000001,0.08
54,-116.220383,0.08
55,-113.20368350000001,0.07
56,-107.01538,0.07
57,-116.08385700000001,0.08
58,-106.43777,0.07
59,-115.5036215,0.07
60,-111.8909335,0.06
61,-115.543004,0.08
62,-117.9978465,0.06
63,-119.759557,0.08
64,-111.1400405,0.07
65,-108.27562,0.08
66,-113.9178195,0.08
67,-109.52798349999999,0.07
68,-114.48755299999999,0.09
69,-106.0045625,0.08
70,-111.11378549999999,0.07
71,-112.376651,0.09
72,-116.07860600000001,0.08
73,-111.510236,0.06
74,-112.187615,0.09
75,-108.8821105,0.09
76,-114.5951985,0.07
77,-112.4685435,0.07
78,-117.17081400000001,0.07
79,-108.2152335,0.07
80,-116.566949,0.08
81,-110.5624305,0.06
82,-106.338001,0.09
83,-107.81615749999999,0.06
84,-115.26470099999999,0.07
85,-107.99206600000001,0.08
86,-113.66577149999999,0.07
87,-111.56799699999999,0.06
88,-112.29526050000001,0.07
89,-111.38158650000001,0.06
90,-113.647393,0.08
91,-113.720907,0.07
92,-114.823617,0.09
93,-114.2171265,0.07
94,-115.55350600000001,0.06
95,-110.4364065,0.07
96,-118.131747,0.07
97,-116.367411,0.07
98,-109.52798349999999,0.06
99,-109.43346550000001,0.07
100,-112.95426099999999,0.06
101,-113.84955649999999,0.06
102,-111.65726400000001,0.07
103,-115.217442,0.07
104,-109.8903025,0.06
105,-108.79809449999999,0.08
106,-119.229206,0.07
107,-105.566104,0.07
108,-107.766273,0.07
