model,Gsolv,timing
0,-19140.73516,30.77
1,-19089.1152045,31.78
2,-18836.129901,30.12
3,-18795.27187,29.69
4,-19217.0558195,30.52
5,-18887.9283905,31.65
6,-19188.3643555,30.97
7,-18840.524988,31.48
8,-18609.9246975,31.59
9,-19074.268002,31.68
10,-18855.1831545,30.5
11,-18790.425197,29.26
12,-18994.935894,30.0
13,-18955.306597,29.88
14,-19036.161495,31.26
15,-19021.0412405,31.21
16,-18701.580902499998,30.76
17,-18549.21001,29.65
18,-18571.47425,31.46
19,-18684.964112999998,31.35
20,-18783.002908500002,30.53
21,-18436.345016,30.2
22,-18228.6600895,29.64
23,-18465.7637435,29.42
24,-18556.199091,28.83
25,-18670.0906555,28.54
26,-18525.21294,28.81
27,-18594.510387,29.32
28,-18627.885743,30.57
29,-18691.5829985,30.06
30,-19053.41103,30.14
31,-18952.4001685,29.36
32,-19137.4244045,29.85
33,-18746.3299245,29.5
34,-18400.4413035,30.18
35,-18958.7748825,29.86
36,-18815.866292000002,29.0
37,-19241.412583,29.13
38,-19103.095992000002,29.46
39,-19137.012201,28.68
40,-18448.7452525,28.36
41,-18795.728707000002,29.53
42,-18954.6633495,29.52
43,-18846.925957,30.08
44,-19345.104079999997,30.46
45,-19082.417554,31.68
46,-18935.363299,30.3
47,-19017.431178000003,30.03
48,-18896.2564765,29.64
49,-18721.621344,30.49
50,-18603.4502145,30.77
51,-18626.2763115,31.32
52,-18748.086384,31.04
53,-18431.367068,31.28
54,-18497.443026499997,31.18
55,-18694.633829500002,30.62
56,-18511.849145,30.91
57,-18509.0529875,30.85
58,-18510.315853,31.43
59,-18462.521251000002,31.04
60,-18725.459825,29.82
61,-18520.2533705,30.04
62,-18507.2991535,30.22
63,-19205.800301000003,30.06
64,-18575.475512,28.99
65,-18608.530557000002,29.62
66,-18508.856075,30.09
67,-18776.084716,30.85
68,-18248.931575000002,30.38
69,-18463.193379,30.22
70,-18381.314535999998,30.76
71,-18789.096694,30.8
72,-18366.2677955,30.56
73,-18395.993706499998,31.27
74,-18572.83951,30.84
75,-18790.7481335,29.59
76,-18353.4343515,29.36
77,-18486.0641095,30.39
78,-18497.162098,29.83
79,-18347.687132,29.4
80,-18468.024299,29.86
81,-18339.450938500002,29.62
82,-18537.76283,29.55
83,-18636.6890445,29.73
84,-18513.6581145,30.8
85,-18777.549745,30.17
86,-18719.352912000002,31.22
87,-19093.37114,32.02
88,-18674.525125,31.32
89,-18703.731187,31.79
90,-18488.5688365,30.8
91,-18661.922725,31.34
92,-18510.809447,30.98
93,-18349.259806500002,30.76
94,-18662.1773985,30.99
95,-18658.157758,30.23
96,-18515.934423,30.01
97,-18557.532845,28.9
98,-18566.753601,29.75
99,-18679.01473,29.09
100,-18490.955416,30.37
101,-19103.1406255,29.53
102,-19124.6907295,29.53
103,-18996.474437,30.1
104,-18600.924483500003,29.35
105,-18918.2949235,30.94
106,-18933.310158,29.98
107,-19022.193835,31.06
108,-19101.9486485,31.08
109,-18723.490700000002,29.72
110,-19012.311453,30.63
111,-19043.5365245,30.9
112,-19039.619278500002,30.86
113,-19249.688159,31.27
114,-19261.355881,32.73
115,-19283.966687,30.25
116,-19168.82801,31.62
117,-19131.0916985,31.13
118,-19100.9194525,31.12
119,-19409.8777905,31.75
120,-19444.6026535,31.55
121,-19156.6745705,31.17
122,-19219.4240205,31.74
123,-19291.9035735,30.76
124,-19225.7304715,30.96
125,-19156.7270805,31.81
126,-19126.993293,31.84
127,-19225.244754,32.64
128,-18947.8423005,31.13
129,-19008.131657,30.64
130,-18636.9043355,29.91
131,-19105.774002,29.46
132,-19018.008788,29.21
133,-18986.192979,29.56
134,-19372.556308,29.75
135,-19145.602837000002,30.51
136,-19072.965754,30.53
137,-19095.5686835,30.62
138,-18940.8059605,29.99
139,-18918.518091,30.49
140,-18772.16747,30.09
141,-18615.771686,29.04
142,-18606.280503500002,30.69
143,-18991.454481,29.61
144,-19184.328962,29.08
145,-19026.814715,29.58
146,-19020.0855585,29.46
147,-18948.669332999998,29.42
148,-19058.1605595,30.09
149,-19043.098066,30.09
150,-19283.494097,29.53
151,-18761.2979,28.9
152,-19070.768210500002,29.27
153,-18742.173758,28.87
154,-18844.174433,29.99
155,-19052.334575,30.12
156,-19132.622365,30.4
157,-19094.84142,30.11
158,-19093.649443,30.34
159,-19205.913197500002,30.6
160,-19156.2387375,30.56
161,-19009.6728255,30.46
162,-19250.208008,30.77
163,-19193.9146625,29.72
164,-18935.4026815,30.8
165,-19262.001754,30.58
166,-19648.8350475,30.56
167,-19344.447705,30.5
168,-19121.269702999998,30.49
169,-19213.0388045,30.03
170,-19211.7365565,30.29
171,-19625.103153,30.43
172,-19278.4190055,29.75
173,-19452.355755,29.89
174,-19283.3864515,28.97
175,-18889.175503,28.57
176,-18827.444747,29.5
177,-19068.279236500002,29.99
178,-19240.7168255,28.74
179,-19164.3672855,29.27
180,-19282.097331,30.13
181,-19582.8824875,30.26
182,-19468.948915,29.72
183,-19617.8173905,30.38
184,-19545.461236,29.77
185,-19532.538525,29.18
186,-19371.9813235,29.48
187,-19136.597372,28.62
188,-18970.765541,29.32
189,-19028.9649995,29.73
190,-18934.3472305,28.95
191,-18925.423156,29.45
192,-19049.646063,28.98
193,-19006.482843,28.94
194,-19018.0114135,28.45
195,-19179.004448,29.21
196,-19225.958889999998,28.45
197,-19162.689591000002,28.84
198,-18851.6807375,29.32
199,-18890.223077500003,30.64
200,-18849.598716,28.43
201,-18815.1862875,28.8
202,-18880.679385,29.31
203,-19100.1160495,29.15
204,-19106.1179425,28.28
205,-19257.6565515,29.91
206,-19185.628584500002,29.4
207,-19050.354948,29.59
208,-19039.7400515,29.65
209,-19459.20831,29.74
210,-19468.3161695,29.5
211,-18873.758567,28.91
212,-18969.279508,29.12
213,-19126.675607499998,29.05
214,-19186.702414,28.82
215,-19183.6016985,29.38
216,-19257.905974,28.66
217,-19030.6295665,28.89
218,-18975.423178,29.45
219,-18818.980135,28.74
220,-18902.271496999998,29.41
221,-19035.4342315,28.94
222,-19096.479732,29.95
223,-19150.223717,30.28
224,-19029.5426095,29.68
225,-19270.69741,29.59
226,-18755.222493,29.72
227,-18941.380945,29.14
228,-19256.587972999998,30.83
229,-19100.328715,30.07
230,-18784.060985,29.76
231,-18842.803922,29.92
232,-19319.4503195,29.86
233,-18796.6292535,29.48
234,-18884.7305315,29.8
235,-19177.988379500002,29.88
236,-19181.1757365,30.17
237,-18773.958061,30.14
238,-18789.889595,29.94
239,-19007.6249355,29.44
240,-18987.589744999997,29.44
241,-19085.75719,29.91
242,-18947.5587465,29.69
243,-19013.913008,29.37
244,-19392.137286999998,29.89
245,-19559.5050355,29.48
246,-19196.884103,30.7
247,-19363.051998000003,31.03
248,-19669.794414,30.68
249,-19524.7591685,30.35
250,-19346.238296,30.16
251,-19743.035362,29.48
252,-19512.773761,29.67
253,-20037.2095095,29.9
254,-19685.2874895,29.16
255,-19506.714107,29.64
256,-19619.001491,29.83
257,-19261.424144,29.36
258,-19412.10684,29.18
259,-19612.978594,30.41
260,-19388.535101,30.39
261,-19289.7244085,30.3
262,-19236.5370295,29.93
263,-19240.0394465,30.5
264,-19041.338981,30.21
265,-19183.643706500003,30.62
266,-19581.6064945,30.27
267,-19739.307151999998,30.88
268,-19378.97303,30.74
269,-19447.115257,30.52
270,-19066.6671795,31.81
271,-19231.57746,30.67
272,-19647.398899,29.99
273,-19456.4909175,29.54
274,-19385.358246,30.6
275,-19404.7370615,30.2
276,-19501.893689,30.34
277,-19603.2353635,30.16
278,-19537.8656645,30.47
279,-19713.2438135,30.18
280,-19856.6643765,30.66
281,-19687.306499,31.34
282,-20123.661973500002,31.17
283,-20149.4653875,31.26
284,-19947.383278,30.28
285,-20240.063516,29.96
286,-20074.1135375,30.33
287,-19951.4816835,29.45
288,-19880.6824505,29.83
289,-20029.403898,29.6
290,-19686.10402,29.99
291,-19732.9613185,29.9
292,-19839.559244,31.27
293,-19642.2030345,30.52
294,-19831.078879,30.64
295,-19848.72749,30.1
296,-19827.8836455,30.82
297,-19566.953578999997,32.86
298,-19912.191076,31.17
299,-19602.355820999997,31.49
300,-19561.9309975,29.25
301,-19599.924608,29.87
302,-19950.1059215,30.13
303,-19510.988421,29.93
304,-19892.368551,30.19
305,-19804.9682815,29.13
306,-20129.892284999998,29.24
307,-19861.844488,29.17
308,-19982.323432,29.27
309,-19908.0296585,29.89
310,-20266.1478585,29.59
311,-19883.2921975,28.88
312,-19777.73397,28.71
313,-19433.630689,30.09
314,-19331.551249,29.86
315,-19346.616368,30.15
316,-19627.466103,29.6
317,-19636.0383605,29.64
318,-19552.502827,30.4
319,-19515.6959425,30.97
320,-19820.663520500002,29.8
321,-19363.3749345,29.36
322,-19595.744812,28.89
323,-19174.457082,29.61
324,-19488.272595000002,29.49
325,-19787.7239975,29.72
326,-19334.2056295,29.76
