model,Gsolv,timing
0,-3707.4711755000003,34.76
1,-3693.6426669999996,36.14
2,-3643.401099,34.5
3,-3631.7858869999995,33.12
4,-3729.9743359999998,34.26
5,-3650.411184,35.36
6,-3718.9918695,34.85
7,-3640.7335909999997,35.31
8,-3579.6565845,35.71
9,-3686.611578,36.0
10,-3638.4782865,34.52
11,-3629.837766,32.94
12,-3674.0144290000003,33.81
13,-3662.8586794999997,34.17
14,-3683.2745674999996,35.28
15,-3682.237495,34.86
16,-3614.226543,34.46
17,-3573.8542294999997,33.39
18,-3573.6651935,35.4
19,-3597.3603310000003,35.45
20,-3617.9363745,34.36
21,-3540.313467,33.95
22,-3491.505422,32.64
23,-3545.2152754999997,33.58
24,-3564.163509,32.76
25,-3589.5862255,32.45
26,-3555.4783549999997,32.99
27,-3576.3011955,33.45
28,-3583.6841015,34.27
29,-3601.277577,33.55
30,-3682.547304,33.94
31,-3655.777706,32.95
32,-3696.352183,34.24
33,-3612.1629,33.78
34,-3528.745514,33.91
35,-3658.4373374999996,33.72
36,-3627.222768,32.57
37,-3727.1204175000003,32.88
38,-3693.7135555,33.06
39,-3701.9628764999998,31.97
40,-3548.4708955,31.93
41,-3637.5278555,33.42
42,-3667.923269,33.55
43,-3629.5305825,34.04
44,-3754.3626055,34.4
45,-3688.738233,35.59
46,-3651.9576035,34.15
47,-3679.0895205,33.85
48,-3648.9855375,33.38
49,-3611.123202,34.37
50,-3580.5755095,35.04
51,-3587.346674,34.93
52,-3618.899933,34.48
53,-3535.6558299999997,34.89
54,-3557.7441615,34.65
55,-3604.2732725,34.28
56,-3568.1989025,33.99
57,-3564.1556325,34.52
58,-3560.083482,35.17
59,-3549.4134500000005,34.93
60,-3616.321692,33.9
61,-3574.1797914999997,33.86
62,-3564.567836,33.72
63,-3713.97979,33.83
64,-3580.7802985000003,32.77
65,-3592.056821,33.39
66,-3566.4975784999997,33.88
67,-3621.635704,34.42
68,-3492.4295979999997,34.19
69,-3548.2608555,33.65
70,-3532.421214,34.26
71,-3624.6261485,34.27
72,-3525.2535989999997,34.46
73,-3536.081161,34.8
74,-3574.019636,34.52
75,-3625.820751,33.18
76,-3521.6960464999997,33.49
77,-3557.127169,34.1
78,-3554.275876,33.94
79,-3520.753492,33.01
80,-3546.9113485,33.91
81,-3516.0827275,33.37
82,-3570.385944,33.49
83,-3596.5963105,33.43
84,-3560.6505899999997,34.48
85,-3633.3034260000004,33.95
86,-3613.333873,35.3
87,-3698.9409259999998,36.46
88,-3602.1413665,34.83
89,-3608.103877,35.95
90,-3555.3707095,34.72
91,-3600.9598914999997,35.39
92,-3558.4346680000003,34.55
93,-3514.1424829999996,34.63
94,-3592.3009925,34.99
95,-3592.266861,33.33
96,-3554.2522464999997,33.52
97,-3570.2362905,32.56
98,-3576.991702,33.45
99,-3591.9124185,32.52
100,-3553.7350229999997,33.93
101,-3694.7138710000004,33.07
102,-3698.9750575000003,33.09
103,-3670.5618965,33.96
104,-3576.1646695000004,33.1
105,-3653.477768,34.84
106,-3648.6914815,33.81
107,-3680.756713,35.23
108,-3695.895346,35.2
109,-3599.8703090000004,33.74
110,-3675.300924,34.95
111,-3674.8624655,35.33
112,-3672.218587,34.93
113,-3736.29654,35.37
114,-3728.0104619999997,37.29
115,-3741.3585040000003,34.91
116,-3715.644357,35.8
117,-3710.0704205,35.24
118,-3689.4287395,35.13
119,-3766.5423,35.37
120,-3780.7305020000003,34.94
121,-3713.370674,35.2
122,-3727.5457485,35.9
123,-3738.4153184999996,35.14
124,-3726.47717,35.01
125,-3710.9315845,35.83
126,-3708.9362045000003,35.9
127,-3730.504687,36.89
128,-3668.2514564999997,34.94
129,-3670.233709,34.13
130,-3595.3308195,33.42
131,-3693.5927825,33.17
132,-3668.485126,32.77
133,-3668.5770184999997,33.32
134,-3752.0836715,33.52
135,-3708.1695584999998,34.33
136,-3689.4812495,34.35
137,-3689.9905965,34.48
138,-3664.1714295,33.56
139,-3655.284112,33.92
140,-3615.0063165,33.86
141,-3579.611951,32.96
142,-3585.314537,35.0
143,-3669.5484534999996,33.13
144,-3717.1487684999997,33.17
145,-3680.672697,33.38
146,-3679.485971,32.84
147,-3657.6706915,33.61
148,-3680.2814975,33.99
149,-3690.654848,33.94
150,-3751.4062925000003,33.3
151,-3623.7859885000003,32.52
152,-3699.3610059999996,33.33
153,-3614.930177,32.36
154,-3635.6374955,33.41
155,-3683.907313,34.01
156,-3706.5338720000004,34.07
157,-3705.7225925,34.22
158,-3696.6751194999997,34.67
159,-3727.411848,34.64
160,-3706.6782745,34.9
161,-3673.6783649999998,34.71
162,-3735.8738345,34.96
163,-3717.240661,33.51
164,-3659.1987325,34.82
165,-3727.763665,34.62
166,-3819.887209,34.38
167,-3752.254329,34.52
168,-3697.5257815,34.46
169,-3718.7739530000003,33.91
170,-3717.3430555,34.18
171,-3824.0328735,33.92
172,-3737.1603295,33.0
173,-3778.714118,33.39
174,-3731.5417595,32.77
175,-3641.8599305,32.07
176,-3626.5427635,33.18
177,-3677.1886584999997,33.94
178,-3723.1742910000003,32.45
179,-3719.5957345,32.53
180,-3744.530108,33.95
181,-3804.6514325,34.12
182,-3782.9648025,33.47
183,-3805.9221745000004,34.74
184,-3798.405368,33.54
185,-3805.945804,33.04
186,-3753.5329475000003,33.54
187,-3699.3846355,32.38
188,-3667.886512,32.84
189,-3672.796197,33.34
190,-3659.4008959999996,32.58
191,-3658.2483015000003,33.31
192,-3682.0405825,32.93
193,-3674.833585,33.05
194,-3664.940701,31.77
