model,Gsolv,timing
0,-3678.7639585,33.9
1,-3658.124903,33.29
2,-3699.7023209999998,34.3
3,-3703.273001,34.73
4,-3686.7008450000003,33.15
5,-3726.923505,33.16
6,-3695.044684,32.26
7,-3705.4127835,32.44
8,-3662.5908785,32.44
9,-3765.345072,32.27
10,-3764.9591235,32.88
11,-3792.7159095,32.04
12,-3731.4078590000004,33.2
13,-3753.682601,32.49
14,-3731.003532,34.51
15,-3824.5921049999997,33.83
16,-3785.020569,34.35
17,-3861.3412285,33.86
18,-3834.17518,32.18
19,-3834.4298535,33.15
20,-3709.4928105,33.25
21,-3729.2391960000004,32.64
22,-3744.3962075,33.43
23,-3734.0596140000002,32.66
24,-3754.4991314999997,31.56
25,-3775.2195775,31.59
26,-3747.53368,32.82
27,-3734.001853,32.46
28,-3688.417922,31.57
29,-3734.1357535,32.43
30,-3655.9877460000002,31.7
31,-3739.0349365,30.56
32,-3757.9017795,31.1
33,-3762.441269,32.08
34,-3903.3466030000004,32.89
35,-3782.9017905,32.21
36,-3746.37846,32.52
37,-3753.703605,32.14
38,-3739.599419,32.01
39,-3835.0757265,31.78
40,-3740.171778,32.5
41,-3730.1922525,32.36
42,-3775.0830515000002,32.15
43,-3861.275591,32.35
44,-3779.5569035,32.38
45,-3809.9234364999998,32.31
46,-3754.6409085,32.67
47,-3743.7818405000003,32.79
48,-3662.0027665000002,31.17
49,-3693.6452925000003,31.58
50,-3637.4438395,30.52
51,-3700.5608595000003,31.43
52,-3667.9941575,32.37
53,-3677.8660375,32.81
54,-3700.967812,32.57
55,-3720.2468585,31.76
56,-3738.612231,33.29
57,-3725.1460415,32.9
58,-3808.2194870000003,32.98
59,-3751.0544755,32.9
60,-3688.2682685,33.06
61,-3616.8546684999997,32.69
62,-3610.9735485,32.63
63,-3491.1667325,32.11
64,-3551.8420375,33.25
65,-3571.982248,32.11
66,-3623.2687650000003,32.46
67,-3603.6536545000004,31.46
68,-3667.5084399999996,31.61
69,-3623.9750245,32.03
70,-3631.2319064999997,31.61
71,-3654.2260355,32.15
72,-3737.971609,31.69
73,-3600.117106,31.86
74,-3572.948432,31.62
75,-3609.0831885000002,32.28
76,-3646.6593445,32.03
77,-3677.1413995000003,32.01
78,-3572.4233320000003,32.01
79,-3573.421022,32.54
80,-3472.0058335,31.4
81,-3494.6901534999997,31.97
82,-3551.1305270000003,32.88
83,-3533.4320315,32.4
84,-3592.4585225,32.42
85,-3521.6986720000004,32.9
86,-3519.2490805,31.55
87,-3580.641147,31.69
88,-3611.1153255000004,30.7
89,-3564.5809635,31.8
90,-3624.6103955,32.2
91,-3668.2252015000004,30.77
92,-3722.5993065000002,32.67
93,-3611.1678355,31.89
94,-3596.824729,32.3
95,-3582.2033195000004,33.05
96,-3603.9949695,33.05
97,-3594.8634804999997,32.73
98,-3682.4974195000004,32.99
99,-3587.2075225000003,32.02
100,-3624.4476145,32.03
101,-3663.5701900000004,33.17
102,-3639.7569049999997,33.23
103,-3682.290005,33.08
104,-3658.671007,32.34
105,-3629.4465665,32.24
106,-3638.7723425,33.31
107,-3661.1153474999996,32.63
108,-3649.4607530000003,31.51
109,-3655.8275905,32.23
110,-3645.8979495,32.25
111,-3617.20386,33.18
112,-3660.05202,33.4
113,-3646.6855995,33.22
114,-3647.8828275,33.07
115,-3752.684911,32.45
116,-3718.894726,34.06
117,-3713.2577775,32.79
118,-3736.007735,33.61
119,-3688.7776155,32.83
120,-3693.3171049999996,33.33
121,-3670.1943264999995,33.57
122,-3694.335799,32.9
123,-3716.0276799999997,33.14
124,-3712.3283505,32.92
125,-3728.9398889999998,33.36
