model,Gsolv,timing
0,-3713.4310605,33.89
1,-3698.7650175,33.46
2,-3741.5081575,33.84
3,-3745.7247105,34.63
4,-3725.0357704999997,33.2
5,-3766.48979,32.89
6,-3733.2693385,32.23
7,-3731.8883254999996,32.38
8,-3687.845563,32.22
9,-3796.7145459999997,32.06
10,-3793.7976155,33.34
11,-3819.0365469999997,31.94
12,-3764.3762625,33.29
13,-3794.0496635,32.69
14,-3771.824806,33.95
15,-3863.2893495,33.26
16,-3817.7054184999997,33.89
17,-3892.9627505,33.84
18,-3866.5764755,32.65
19,-3872.3840815,32.89
20,-3753.4331785000004,33.44
21,-3758.555529,32.74
22,-3778.157512,33.41
23,-3779.30223,32.6
24,-3786.984443,31.32
25,-3807.211295,31.56
26,-3781.313363,32.4
27,-3767.3273244999996,32.28
28,-3725.132914,31.51
29,-3763.5781104999996,32.25
30,-3699.324249,31.62
31,-3782.059005,30.56
32,-3801.729251,31.34
33,-3803.756137,32.07
34,-3934.4220210000003,32.82
35,-3807.7022635000003,31.97
36,-3789.4550385000002,32.63
37,-3804.6094245,32.26
38,-3783.0383165,32.04
39,-3873.5025444999997,31.74
40,-3780.45745,32.33
41,-3767.0595235,32.19
42,-3816.857382,31.91
43,-3903.5015074999997,32.36
44,-3816.930896,32.45
45,-3835.3907865,32.35
46,-3780.4548245,32.56
47,-3778.330795,32.84
48,-3695.186461,31.08
49,-3726.6241980000004,31.49
50,-3664.2633220000002,30.79
51,-3732.9175215,31.36
52,-3700.059389,32.29
53,-3712.845574,32.66
54,-3730.809245,32.52
55,-3751.2986469999996,31.84
56,-3771.4651125,32.99
57,-3760.9946185000003,32.37
58,-3844.5327775,32.77
59,-3777.1887025,33.02
60,-3715.4999545,32.94
61,-3651.5874080000003,32.24
62,-3641.2980735,32.59
63,-3523.231964,32.43
64,-3578.7009024999998,33.43
65,-3600.6973414999998,32.23
66,-3651.6530455,32.01
67,-3633.8810359999998,31.39
68,-3703.9477545000004,31.62
69,-3658.8889235,31.82
70,-3658.7917799999996,31.94
71,-3686.7060960000003,31.74
72,-3772.6360855,31.56
73,-3633.6473665,31.82
74,-3608.74975,31.51
75,-3638.4362785,32.61
76,-3679.2654290000005,32.09
77,-3709.9969065,31.96
78,-3600.7340985,32.02
79,-3604.4911890000003,32.56
80,-3504.5882885,31.35
81,-3523.132195,32.2
82,-3584.185572,32.79
83,-3568.4299465,32.14
84,-3623.116486,31.89
85,-3556.0060805000003,33.17
86,-3550.7104470000004,31.45
87,-3611.611545,31.75
88,-3647.2632095000004,30.63
89,-3594.8949865000004,31.49
90,-3659.3037525000004,31.92
91,-3695.0053015000003,30.8
92,-3748.1743020000004,32.21
93,-3639.6440085,31.78
94,-3625.8443805,32.23
95,-3613.6673115000003,32.72
96,-3634.32212,32.5
97,-3630.6175395,32.35
98,-3714.777942,33.02
99,-3613.5465385,31.68
100,-3651.461384,31.94
101,-3684.1488590000004,33.07
102,-3666.9623359999996,33.05
103,-3710.4274885,33.0
104,-3688.6699700000004,32.22
105,-3657.63656,32.31
106,-3668.8290665,33.16
107,-3687.5094990000002,32.55
108,-3674.2375965,31.65
109,-3677.579858,32.35
110,-3674.539529,32.26
111,-3645.396479,33.21
112,-3685.787171,33.41
113,-3669.8425095000002,33.28
114,-3668.8316919999997,33.33
115,-3776.902523,32.44
116,-3745.6485709999997,33.89
117,-3734.5873395,32.7
118,-3760.3461199999997,33.48
119,-3721.8379115,32.84
120,-3720.926863,33.12
121,-3695.4096285,33.72
122,-3720.4463965,32.91
123,-3748.3948440000004,33.31
124,-3743.947247,32.6
125,-3756.2477145000003,33.22
126,-3695.2599750000004,31.69
127,-3658.744521,33.45
128,-3634.406136,32.91
129,-3668.7555525,32.9
130,-3667.8891375,32.62
131,-3691.5763985000003,31.56
132,-3651.2907265,32.81
133,-3667.6633444999998,34.8
134,-3631.0743764999997,33.25
135,-3741.9676200000004,32.71
136,-3751.3721610000002,32.43
137,-3805.6386205000003,32.69
138,-3709.62146,32.79
139,-3684.8577440000004,33.49
140,-3701.5532985,31.73
141,-3657.3398785000004,31.76
142,-3694.4802015000005,32.5
143,-3691.7024225000005,32.82
144,-3760.997244,32.74
145,-3652.117759,34.04
146,-3707.862375,33.6
147,-3660.167542,32.66
148,-3716.6472980000003,32.54
149,-3667.3220295,32.68
150,-3618.0781515,33.06
151,-3736.7244965,32.67
152,-3724.7443399999997,33.46
153,-3720.2731135,33.39
154,-3728.9057575,32.63
155,-3788.8774285,33.33
156,-3689.263333,33.01
157,-3655.8170885000004,33.32
158,-3702.936937,32.81
159,-3673.216277,32.77
160,-3699.077452,33.82
161,-3694.0785,33.1
162,-3667.1329935,32.53
163,-3689.4234885,33.64
164,-3720.317747,32.32
165,-3716.3768714999997,33.3
166,-3641.1116629999997,33.38
167,-3716.7706964999998,32.28
168,-3686.6194545,31.76
169,-3671.462443,32.79
170,-3674.129951,33.61
171,-3779.107943,33.93
172,-3757.0406155,33.05
173,-3738.213155,34.44
174,-3640.350268,34.84
175,-3589.8277715000004,33.17
176,-3664.3473379999996,32.83
177,-3567.3981249999997,31.72
178,-3624.8781965000003,32.48
179,-3696.9324185,33.16
180,-3637.026385,32.96
