model,Gsolv,timing
0,-2.9116795,0.05
1,-3.0324524999999998,0.08
2,-1.9980054999999999,0.07
3,-3.2897515,0.1
4,-1.6540650000000001,0.06
5,-3.344887,0.07
6,-3.0849625,0.08
7,-0.38332299999999997,0.08
8,-0.504096,0.06
9,-0.540853,0.06
10,-0.3386895,0.07
11,-2.215922,0.06
12,-1.0370725,0.07
13,-0.7115104999999999,0.06
14,-0.645873,0.05
15,-0.9057974999999999,0.08
16,-0.745642,0.06
17,-0.2914305,0.07
18,-0.703634,0.06
19,-0.6905065,0.06
20,-0.4122035,0.09
21,-1.2786185,0.07
22,-0.0131275,0.07
23,-2.1109020000000003,0.08
24,-0.530351,0.07
25,-0.4437095,0.07
26,-1.0213195000000002,0.08
27,-1.0922079999999998,0.06
28,-0.42008,0.08
29,-0.7797735,0.08
30,-1.039698,0.09
31,-0.819156,0.07
32,-0.8165305,0.08
33,-0.44896050000000004,0.08
34,-0.7272635000000001,0.06
35,-0.21791649999999999,0.09
36,-1.0475745,0.06
37,-1.8509775,0.08
38,-2.551986,0.08
39,0.0078765,0.08
40,-0.981937,0.08
41,-2.368201,0.06
42,-1.848352,0.08
43,-1.958623,0.08
44,0.1601555,0.08
45,-1.097459,0.07
46,-0.1601555,0.08
47,-1.4308975000000002,0.06
48,-0.6668769999999999,0.08
49,-0.9845625,0.06
50,-0.8742915,0.08
51,-0.6222435,0.07
52,-2.005882,0.08
53,-0.9399289999999999,0.08
54,-1.3967660000000002,0.06
55,-0.34656600000000004,0.08
56,-0.7850245,0.07
57,-0.8480365,0.09
58,-1.060702,0.06
59,-0.9346779999999999,0.08
60,-2.0295115,0.08
61,-2.1109020000000003,0.08
62,-1.5779254999999999,0.09
63,-0.6327455,0.06
64,-1.7380810000000002,0.09
65,-2.1292805,0.09
66,-1.6094315000000001,0.07
67,-0.1864105,0.09
68,-2.341946,0.06
69,-3.0534565,0.08
70,0.2756775,0.08
71,0.5014705,0.09
72,0.5251,0.07
73,-0.619618,0.07
74,-1.685571,0.08
75,-1.097459,0.09
76,-0.0026255,0.07
77,0.189036,0.07
78,-0.2704265,0.07
79,-0.241546,0.06
80,-0.477841,0.07
81,-0.78765,0.07
82,-0.13652599999999998,0.06
83,-0.1759085,0.09
84,-0.278303,0.07
85,-0.38332299999999997,0.08
86,-0.388574,0.07
87,-0.588112,0.07
88,-1.1946025,0.07
89,-0.8270325000000001,0.07
90,-2.2500535,0.08
91,-0.703634,0.04
92,-0.6012395,0.05
93,-2.646504,0.07
94,-1.9402445,0.08
95,-2.6386275,0.06
96,-2.741022,0.06
97,-2.99307,0.08
98,-3.003572,0.06
99,-0.0971435,0.07
100,0.078765,0.07
101,-1.9875034999999999,0.07
102,-0.8690405000000001,0.1
103,0.21004,0.08
104,0.0078765,0.08
105,0.5539805,0.05
106,-0.0551355,0.09
107,-0.5959884999999999,0.08
108,-0.283554,0.08
109,-0.4017015,0.06
110,-0.2756775,0.07
111,-0.4227055,0.08
112,-0.0446335,0.09
113,-0.8165305,0.06
114,-0.042008,0.07
115,0.3754465,0.07
116,0.120773,0.06
117,-0.9583075,0.07
118,0.267801,0.07
119,-0.5723590000000001,0.07
120,-0.2021635,0.05
121,-0.152279,0.07
122,-0.6064905,0.07
123,-0.514598,0.07
124,0.2284185,0.07
125,-1.086957,0.07
126,-1.2418615,0.06
127,-0.9530565,0.07
128,-0.026255,0.08
129,-0.2284185,0.07
130,-0.194287,0.08
131,-0.283554,0.07
132,-0.6957575,0.1
133,-0.504096,0.05
134,-1.0738295,0.08
135,0.33343849999999997,0.07
136,-0.556606,0.07
137,0.4542115,0.06
138,-0.5014705,0.09
139,-0.5697335,0.07
140,0.021004,0.06
141,-0.8060284999999999,0.06
142,-0.672128,0.08
143,-0.084016,0.08
144,-0.34394050000000004,0.07
145,-0.1233985,0.07
146,-0.3386895,0.06
147,0.588112,0.07
