model,Gsolv,timing
0,-19039.837195,32.45
1,-18327.817348,32.9
2,-18514.369625,32.54
3,-18929.492681,32.5
4,-18918.276545,33.8
5,-18322.981177,32.24
6,-18614.42743,31.8
7,-18865.577509,31.96
8,-18830.878901,32.34
9,-18661.662800500002,32.65
10,-18427.428818,31.73
11,-18388.125083,33.01
12,-18403.618158499998,31.99
13,-18309.0896565,31.42
14,-18176.515034,30.98
15,-18367.9586175,31.52
16,-18163.865374999998,30.73
17,-18297.834138,31.09
18,-18485.024411500002,31.14
19,-18247.3589005,31.15
20,-18283.2442345,31.75
21,-18683.446574,31.77
22,-18522.8368625,31.24
23,-18733.6592615,31.42
24,-18405.4192515,31.3
25,-18698.236015500002,32.53
26,-18691.509484500002,31.34
27,-18821.6345155,32.52
28,-18818.63882,31.52
29,-18869.549890500002,32.71
30,-18719.053605,31.44
31,-18705.834212499998,31.8
32,-18754.027890499998,32.34
33,-18833.793206,33.62
34,-18829.361362,31.79
35,-18887.789239,30.78
36,-19152.5630375,31.74
37,-18977.208518,31.7
38,-18908.7328525,32.26
39,-18848.734926499998,31.91
40,-18854.4217595,32.47
41,-18749.5435365,32.06
42,-18777.0062665,32.34
43,-18790.551221,31.56
44,-18705.6504275,31.66
45,-18882.9766975,31.56
46,-18882.8139165,32.19
47,-19153.216786999998,31.76
48,-18874.5173365,32.58
49,-18856.1493385,32.35
50,-18695.8678145,31.06
51,-18759.2211295,32.54
52,-18862.216869,31.66
53,-18756.5221155,31.88
54,-18746.3404265,32.57
55,-18499.6536975,31.73
56,-18349.981819,31.56
57,-18432.154718,32.05
58,-18453.9069855,31.38
59,-18267.2601905,31.78
60,-18266.118098,30.31
61,-18221.447841,31.14
62,-18489.2882235,30.66
63,-18422.8945795,30.62
64,-18870.1485045,32.12
65,-18780.6137035,32.14
66,-18854.413883,31.26
67,-18305.14353,31.75
68,-18381.1806355,31.46
69,-18511.1428855,31.13
70,-18165.1807505,31.07
71,-18115.9946335,31.64
72,-17957.427561,31.23
73,-18274.577459,30.82
74,-18316.249395,31.16
75,-18447.5847815,30.46
76,-18492.609481,31.18
77,-18195.476395,31.38
78,-18230.810374,31.39
79,-18277.959103,31.07
80,-18138.6474475,31.15
81,-18229.922955000002,31.67
82,-18501.562436,31.74
83,-18154.0643835,31.89
84,-18185.785674500003,31.36
85,-18327.3736385,31.66
86,-18047.692251,31.5
87,-18215.5010835,31.64
88,-18000.044676999998,30.79
89,-18277.497015,30.17
90,-18305.1251515,32.0
91,-18415.8582395,30.45
92,-18328.788783,30.76
93,-18111.484024499998,30.83
94,-18168.730426500002,30.28
95,-18286.896305000002,30.29
96,-18553.148259999998,30.28
97,-18472.309115,30.67
98,-18306.82385,30.3
99,-18148.13863,30.57
100,-18432.727077,30.63
101,-18635.0979915,30.69
102,-18662.993929,30.34
103,-18515.5799805,30.67
104,-18382.5038875,30.28
105,-18203.3607715,30.5
106,-18666.995190999998,30.28
107,-18495.2586105,29.98
108,-18343.2001525,30.55
109,-18014.5085565,30.83
110,-18100.049972,30.31
111,-18056.576943,30.12
112,-17973.4089795,30.71
113,-18254.10381,30.81
114,-18067.8797205,30.98
115,-18523.138795,31.83
116,-18348.592929500002,31.11
117,-18302.082197,32.41
118,-18380.9128345,30.72
119,-18363.8680885,31.03
120,-18279.3217375,31.33
121,-18258.2127175,32.55
122,-18359.764432,32.86
123,-18322.818396000002,31.26
124,-18053.363331,31.86
125,-18294.7176695,32.26
126,-18253.6601005,31.94
127,-18374.598507,32.49
128,-18161.906752,32.22
129,-18278.7388765,31.5
130,-18704.7262515,32.26
131,-18572.9576575,33.59
132,-18553.636603,32.56
133,-18664.542974,31.55
134,-18734.8197325,32.04
135,-18988.9733835,31.94
136,-18851.9380365,31.95
137,-18898.482900500003,32.41
138,-18586.213807,32.42
139,-18647.645256,32.28
140,-18505.849877499997,31.94
141,-18506.235826,33.17
142,-18588.335210999998,32.09
143,-18411.302997,31.55
144,-18240.619242,32.4
145,-18579.319244000002,31.85
146,-18078.2031865,31.92
147,-18434.690951,31.25
148,-18416.322953,30.16
149,-18480.799982,30.37
150,-18468.6780485,29.66
151,-18477.42884,30.38
152,-18296.1669455,30.57
153,-18066.286042,30.44
154,-18378.439613500002,31.84
155,-18581.3435045,30.96
156,-18288.823421999998,31.07
157,-18239.148962,30.69
158,-18147.8892075,31.39
159,-18169.237148,30.55
160,-17930.4768035,30.39
161,-18338.7105475,32.16
