model,Gsolv,timing
0,-130.8260395,0.08
1,-123.30398199999999,0.08
2,-114.9995255,0.08
3,-128.896297,0.07
4,-98.5481425,0.08
5,-127.28424000000001,0.08
6,-119.34210250000001,0.07
7,-115.984088,0.05
8,-119.9669715,0.08
9,-128.38694999999998,0.07
10,-125.17858899999999,0.09
11,-122.5399615,0.06
12,-127.48640350000001,0.08
13,-119.8987085,0.06
14,-126.66462200000001,0.09
15,-116.15999649999999,0.07
16,-125.90060150000001,0.09
17,-125.535657,0.08
18,-122.19864650000001,0.06
19,-127.10833149999999,0.1
20,-124.438198,0.07
21,-130.1171545,0.09
22,-122.70536799999999,0.08
23,-123.92885100000001,0.08
24,-118.6857275,0.07
25,-115.464239,0.07
26,-119.51276,0.08
27,-134.83517799999998,0.08
28,-133.69046,0.08
29,-127.76470649999999,0.07
30,-118.740863,0.09
31,-119.76218250000001,0.06
32,-128.57073499999998,0.08
33,-126.05025499999999,0.07
34,-123.71093450000001,0.07
35,-125.2232225,0.06
36,-114.42979199999999,0.07
37,-129.153596,0.07
38,-128.1322765,0.07
39,-121.203582,0.08
40,-130.1539115,0.09
41,-121.592156,0.08
42,-126.28654999999999,0.08
43,-121.9991085,0.06
44,-115.1413025,0.06
45,-109.5122305,0.09
46,-119.3263495,0.08
47,-126.3311835,0.08
48,-124.6613655,0.08
49,-122.631854,0.07
50,-127.8119655,0.08
51,-122.25115650000001,0.06
52,-119.79631400000001,0.06
53,-128.5366035,0.07
54,-124.86352900000001,0.07
55,-121.86258249999999,0.09
56,-133.03145949999998,0.07
57,-131.7922235,0.08
58,-122.13300899999999,0.1
59,-121.922969,0.09
60,-136.4813665,0.05
61,-124.06012600000001,0.07
62,-116.73760650000001,0.07
63,-122.385057,0.08
64,-127.62030399999999,0.08
65,-125.136581,0.08
66,-117.34409699999999,0.08
67,-132.38558650000002,0.06
68,-135.77510700000002,0.08
69,-124.233409,0.1
70,-120.6811075,0.06
71,-121.7365585,0.07
72,-122.8865275,0.09
73,-119.728051,0.08
74,-127.3131205,0.05
75,-122.13038350000001,0.08
76,-127.69906900000001,0.09
77,-125.546159,0.07
78,-131.9287495,0.09
79,-131.532299,0.06
80,-133.4725435,0.05
81,-126.61211200000001,0.09
82,-108.1942295,0.09
83,-113.6290145,0.06
84,-122.579344,0.07
85,-116.4593035,0.08
86,-121.6892995,0.06
87,-126.58060599999999,0.07
88,-117.79568300000001,0.07
89,-127.9904995,0.08
90,-115.1728085,0.06
91,-124.742756,0.07
92,-133.26250349999998,0.06
93,-132.6743915,0.08
94,-129.5920545,0.07
95,-128.55760750000002,0.08
96,-116.93451900000001,0.07
97,-126.78014399999999,0.09
98,-123.8579625,0.07
99,-132.923814,0.07
100,-121.7575625,0.07
101,-133.13647949999998,0.07
102,-123.729313,0.06
103,-122.4664475,0.07
104,-129.6708195,0.08
105,-133.679958,0.08
106,-116.131116,0.06
107,-119.4891305,0.08
108,-115.33558950000001,0.08
109,-112.250627,0.09
110,-118.2288905,0.06
111,-105.13027100000001,0.07
112,-116.5905785,0.08
113,-116.582702,0.05
114,-117.905954,0.08
115,-120.190139,0.08
116,-127.15296500000001,0.09
117,-119.37623400000001,0.08
118,-107.1204,0.08
119,-124.732254,0.05
120,-115.6401475,0.08
121,-134.1499225,0.09
122,-120.01423050000001,0.07
123,-135.045218,0.1
124,-125.63280049999999,0.08
125,-105.8890405,0.08
126,-102.1660815,0.07
127,-106.21197699999999,0.08
128,-116.0497255,0.08
129,-104.91760550000001,0.07
130,-101.6934915,0.05
131,-104.783705,0.08
132,-112.5893165,0.08
133,-105.09876500000001,0.06
134,-108.90836549999999,0.06
135,-104.2927365,0.07
136,-107.7006355,0.07
137,-112.52893,0.08
138,-109.89555349999999,0.08
139,-106.68456700000002,0.05
140,-107.6586275,0.08
141,-102.882843,0.09
142,-109.37833,0.06
143,-105.2799245,0.08
144,-104.32161699999999,0.08
145,-106.26186150000001,0.06
146,-103.765011,0.09
147,-103.80176800000001,0.07
