model,Gsolv,timing
0,-3743.9551235,32.54
1,-3574.8597959999997,32.63
2,-3616.972816,32.39
3,-3715.9567915,32.34
4,-3707.5761955000003,33.6
5,-3575.6553225000002,31.86
6,-3639.735901,31.89
7,-3697.234351,31.64
8,-3692.0857455,31.19
9,-3645.207443,32.03
10,-3591.0512544999997,31.26
11,-3577.721591,32.25
12,-3590.644302,31.91
13,-3566.6551085,31.37
14,-3537.3072695,30.79
15,-3582.142933,31.38
16,-3536.7559144999996,30.41
17,-3566.1405105,30.52
18,-3605.6437834999997,30.79
19,-3557.9542015,30.65
20,-3572.6622525,31.96
21,-3663.9928954999996,31.16
22,-3624.2402,31.32
23,-3670.6511635,31.42
24,-3594.3016235,31.65
25,-3664.977458,32.41
26,-3665.1586175,31.59
27,-3691.038171,32.41
28,-3685.067784,31.2
29,-3699.0223165,32.29
30,-3666.9360810000003,31.13
31,-3664.7805455000002,31.48
32,-3674.0039269999997,32.08
33,-3681.4419685000003,33.33
34,-3698.2976785,31.4
35,-3709.863006,30.5
36,-3776.177885,31.71
37,-3736.3096674999997,31.48
38,-3720.9294885,31.81
39,-3705.47317,31.45
40,-3708.4216065,32.15
41,-3674.4633895,31.84
42,-3679.7038875,31.55
43,-3683.2903205000002,31.22
44,-3657.6654405,31.67
45,-3708.7471685,31.69
46,-3706.3212065,32.21
47,-3768.6794569999997,31.72
48,-3700.967812,32.42
49,-3699.6944445,32.04
50,-3661.7612204999996,30.95
51,-3686.1678685,32.26
52,-3708.6342720000002,31.32
53,-3684.001831,31.62
54,-3685.7714180000003,31.92
55,-3627.107246,31.6
56,-3590.5366565000004,31.8
57,-3608.534459,32.19
58,-3615.7939665,31.01
59,-3569.3016125,31.45
60,-3572.139778,30.19
61,-3558.0067114999997,30.99
62,-3621.7223455,30.56
63,-3612.9295460000003,30.53
64,-3711.5249475,31.89
65,-3688.5308185,31.91
66,-3708.907324,31.16
67,-3578.493488,31.65
68,-3599.9411975000003,31.77
69,-3634.4192635,30.88
70,-3550.400638,30.82
71,-3535.0624669999997,31.28
72,-3491.3899,31.0
73,-3564.4601905,30.98
74,-3580.735665,30.93
75,-3608.712993,30.3
76,-3624.418734,31.05
77,-3555.3864624999997,31.13
78,-3558.765481,31.18
79,-3577.8607425,30.89
80,-3531.7044525,31.0
81,-3546.6382965000003,31.44
82,-3624.7416704999996,31.68
83,-3539.368287,31.48
84,-3544.556275,30.93
85,-3572.617619,31.02
86,-3499.7389900000003,31.05
87,-3542.5425165,31.06
88,-3500.232584,30.8
89,-3564.363047,30.44
90,-3572.171284,31.35
91,-3586.2360875,30.62
92,-3574.5998715,30.41
93,-3524.623479,30.28
94,-3536.1888065,30.07
95,-3553.0497675,29.87
96,-3619.4460369999997,30.1
97,-3603.5880169999996,30.49
98,-3561.5248815,30.37
99,-3529.701196,30.7
100,-3585.2961585,30.46
101,-3633.4924619999997,30.74
102,-3656.8725395,30.24
103,-3616.8861745,30.69
104,-3592.9836225,30.03
105,-3548.147959,30.56
106,-3636.622058,30.39
107,-3600.3849069999997,29.84
108,-3573.6205600000003,30.52
109,-3497.491562,31.04
110,-3508.7208255,30.05
111,-3502.4196255,30.25
112,-3480.336545,31.07
113,-3546.6986829999996,30.72
114,-3507.1455255,30.98
115,-3610.346054,31.87
116,-3564.4680670000002,30.72
117,-3552.7189545,32.05
118,-3577.1676105,30.47
119,-3570.6248645,30.75
120,-3554.9427530000003,30.67
121,-3555.0819045,32.56
122,-3580.9903385,32.94
123,-3560.9840285,31.03
124,-3507.699506,31.97
125,-3561.406734,32.27
126,-3540.9514634999996,31.71
127,-3582.415985,32.59
128,-3526.2276595000003,32.02
129,-3557.8833130000003,31.5
130,-3654.401944,32.47
131,-3616.5658635,33.4
132,-3614.6650014999996,32.32
133,-3647.4312415,31.28
134,-3663.36015,31.43
135,-3729.7249134999997,31.77
136,-3685.3093299999996,31.75
137,-3696.241912,32.35
138,-3629.5358335,31.73
139,-3634.5925465000005,32.26
140,-3598.263503,31.83
141,-3595.874298,32.55
142,-3620.018396,31.74
143,-3583.739237,31.71
144,-3539.8881359999996,32.32
145,-3611.9607365,31.64
146,-3505.5676,31.42
147,-3597.3944625,31.1
148,-3589.3131735,29.91
149,-3597.470602,30.11
150,-3596.457159,29.27
151,-3601.445609,30.23
152,-3556.5521845,30.5
153,-3509.374575,29.9
154,-3575.8049760000004,31.23
155,-3621.2392535,31.07
156,-3563.5307635000004,30.91
157,-3557.431727,30.98
158,-3535.1491085000002,31.01
159,-3530.2157939999997,30.48
160,-3476.9417735,30.25
161,-3564.809382,31.75
162,-3604.7169820000004,31.54
163,-3552.5824285000003,31.41
164,-3568.196277,30.46
165,-3650.6238495000002,30.4
166,-3635.356567,31.3
167,-3651.734436,30.57
168,-3651.5217705000005,31.06
169,-3596.5464260000003,31.53
170,-3660.0388924999997,30.29
171,-3692.592467,30.36
172,-3793.1648699999996,30.54
173,-3635.73989,30.37
174,-3728.2467570000003,30.49
175,-3643.6032625,29.84
176,-3673.8411459999998,30.6
177,-3649.3583584999997,31.03
178,-3654.8771595,31.38
179,-3629.864021,31.22
180,-3664.9932110000004,30.16
181,-3688.6200855,28.81
182,-3696.4834579999997,30.99
183,-3666.621021,30.36
184,-3648.1506285,30.27
185,-3629.6513554999997,30.99
186,-3624.5368815,30.15
187,-3588.4992684999997,30.09
188,-3625.915269,30.3
189,-3656.1741565,30.43
190,-3706.6756490000002,30.89
191,-3649.9438450000002,30.58
192,-3721.9166765,29.95
193,-3698.116519,30.87
194,-3748.956701,30.85
195,-3756.2162085,29.97
196,-3640.8832445,31.67
197,-3653.7455689999997,32.28
198,-3743.5796769999997,32.96
199,-3721.2603015000004,33.11
200,-3639.25806,31.22
201,-3751.4850575,30.58
202,-3720.5487909999997,30.65
203,-3745.0473315,30.8
204,-3781.785953,30.77
205,-3735.7793165,30.41
206,-3726.8631185,30.37
207,-3689.0559184999997,31.11
208,-3709.6398385,30.97
209,-3694.9711700000003,31.49
210,-3709.7868665,30.79
211,-3711.35429,31.28
212,-3744.8530445,31.18
213,-3699.0748265,30.83
214,-3718.4877735,30.02
215,-3657.9332415,30.82
216,-3779.5411505,29.59
217,-3619.8477385,30.38
218,-3664.231816,30.13
219,-3735.519392,30.59
220,-3688.979779,30.99
221,-3628.4908845000004,29.9
222,-3672.533647,30.11
223,-3659.941749,31.0
224,-3606.8121309999997,30.45
225,-3561.506503,30.48
226,-3645.5487580000004,31.67
227,-3579.7983615,31.27
228,-3599.8466795,31.0
229,-3631.7675085,31.08
230,-3619.3016345,30.86
231,-3623.436797,31.21
232,-3664.5179955,30.56
233,-3635.7057585000002,31.16
234,-3596.2287405,31.21
235,-3687.1655585,30.93
236,-3625.9231455,29.75
237,-3625.190631,31.2
238,-3534.967949,31.28
239,-3655.0714464999996,29.79
240,-3627.1151225,29.81
241,-3676.634678,30.36
242,-3678.6983210000003,30.42
243,-3741.2718625,31.23
244,-3658.3585725,29.92
245,-3643.516621,30.28
246,-3615.985628,30.84
247,-3597.958945,30.0
248,-3647.1056795,29.39
249,-3608.2167735000003,30.36
250,-3706.6362665,30.44
251,-3728.409538,30.2
252,-3714.9906075,31.41
253,-3714.630914,31.42
254,-3692.2275225000003,30.88
255,-3675.9205420000003,31.77
256,-3680.8538565000003,31.42
257,-3722.108338,31.96
258,-3645.7666744999997,31.78
259,-3571.168343,30.85
260,-3640.6627025,31.21
261,-3509.736894,30.51
262,-3597.334076,29.57
263,-3617.3955215,30.97
264,-3622.1161705,31.47
265,-3671.415184,31.25
266,-3707.704845,30.92
267,-3620.7771655,30.52
268,-3576.445598,30.66
269,-3702.516857,30.58
270,-3741.9544925,30.49
271,-3702.2096735,30.02
272,-3666.4766185000003,30.35
273,-3722.4076450000002,30.31
274,-3678.6431855,29.98
275,-3616.9439355,31.38
276,-3699.508034,30.87
277,-3632.689059,32.21
278,-3609.028053,30.78
279,-3681.502355,30.76
280,-3673.2005240000003,31.19
281,-3669.209764,31.94
282,-3736.6877395,31.6
283,-3688.1264915,31.05
284,-3718.343371,30.61
285,-3761.6746230000003,31.02
286,-3799.476572,31.17
287,-3747.1372294999996,30.35
288,-3791.1747410000003,31.91
289,-3758.755067,31.07
290,-3755.6989849999995,30.97
291,-3696.65149,31.67
292,-3639.111032,31.9
293,-3661.4619135,30.79
294,-3645.832312,30.22
295,-3686.3779085,31.68
296,-3727.364589,31.52
297,-3675.931044,31.82
298,-3742.6029909999997,31.21
299,-3747.9117520000004,31.17
300,-3681.938188,30.73
301,-3689.0900500000002,31.85
302,-3758.8574614999998,31.0
303,-3689.914457,32.3
304,-3718.8763475,31.83
305,-3706.6336410000004,31.9
306,-3875.0069559999997,33.52
307,-3782.3661885,32.05
308,-3803.519842,32.1
309,-3779.7958240000003,31.5
310,-3841.9204050000003,31.45
311,-3764.268617,30.9
312,-3746.1080335,31.45
313,-3637.346696,31.03
314,-3634.469148,31.23
315,-3713.0162315,32.04
316,-3780.1240115,32.17
317,-3732.3792940000003,32.45
318,-3751.6688425,32.69
319,-3771.3810965,32.27
320,-3737.1078195,31.71
321,-3701.807972,31.87
322,-3579.7090945,31.1
323,-3712.2968445,30.25
324,-3695.5198995,31.43
325,-3733.1170595000003,31.41
326,-3646.367914,32.14
327,-3737.4097520000005,31.47
328,-3692.4743194999996,31.72
329,-3743.2462385,31.76
330,-3591.4503305000003,31.01
331,-3656.791149,30.98
332,-3690.1008675000003,32.57
333,-3668.9944729999997,34.31
334,-3651.0176745,31.91
335,-3653.9792384999996,31.61
336,-3725.222181,32.34
337,-3677.354065,32.6
338,-3523.919845,30.89
339,-3611.826836,31.07
340,-3746.236683,33.27
341,-3668.8238155,33.63
342,-3669.0601104999996,32.11
343,-3692.0936220000003,32.14
344,-3715.628604,31.72
345,-3768.5770625,32.39
346,-3704.034396,32.51
347,-3636.879357,32.18
348,-3648.673103,32.78
349,-3656.9933125000002,31.82
350,-3629.4255624999996,31.3
351,-3629.3888054999998,31.88
352,-3635.2436704999996,31.52
353,-3590.014182,31.45
354,-3678.3123725,31.38
355,-3591.741761,31.96
356,-3623.0639760000004,31.2
357,-3601.4062265,30.93
358,-3612.288924,31.15
359,-3651.414125,30.94
360,-3742.8314095,30.71
361,-3654.7458844999996,30.93
362,-3736.2177749999996,30.73
363,-3751.5795755,31.1
364,-3827.490657,31.37
365,-3775.9783469999998,31.85
366,-3771.157929,31.65
367,-3736.805887,31.42
368,-3722.3420075,30.87
369,-3752.254329,32.42
370,-3766.2036105,30.28
371,-3747.7831024999996,30.92
372,-3777.291097,31.15
373,-3727.039027,30.38
374,-3716.8757165,30.42
375,-3760.2699804999997,31.18
376,-3750.384973,31.28
377,-3743.2068560000002,31.81
378,-3735.4091209999997,32.18
379,-3637.9663140000002,31.81
380,-3741.9938749999997,31.36
381,-3844.09957,32.93
382,-3755.2500245,32.83
383,-3832.946446,33.2
384,-3752.9842179999996,32.59
385,-3826.1857835,33.3
386,-3814.9013845,32.18
387,-3797.2895304999997,31.65
388,-3804.1578385000003,30.93
389,-3788.2210535,31.48
390,-3746.8221695,32.41
391,-3758.166955,32.2
392,-3739.3815025000004,31.68
393,-3659.9916335000003,32.48
394,-3718.8054589999997,31.76
395,-3716.5396524999996,31.92
396,-3772.2947704999997,32.85
397,-3816.3611625000003,31.45
398,-3757.9700425,31.37
399,-3782.4397025,31.08
400,-3820.2705319999995,30.85
401,-3764.7595855,30.68
402,-3699.917612,31.34
403,-3748.0929115,30.43
404,-3659.9076175,31.94
405,-3686.5931995,32.88
406,-3796.131685,31.24
407,-3756.008794,31.13
408,-3704.8903090000003,30.98
409,-3691.7864385,30.6
