model,Gsolv,timing
0,-18135.037385,30.19
1,-18127.8041325,29.95
2,-18256.62429,31.31
3,-18597.534963000002,30.29
4,-18596.9967355,30.92
5,-18431.1281475,29.95
6,-19060.660035499997,49.83
7,-19124.1551275,29.78
8,-18966.630378500002,29.33
9,-18932.3781055,30.91
10,-18876.391943500003,30.22
11,-18462.7234145,31.05
12,-19159.6833935,31.16
13,-19102.2111985,31.41
14,-18839.548302,31.23
15,-19096.411469,31.69
16,-19082.8402595,31.34
17,-19335.925332000003,31.15
18,-19367.3394395,32.32
19,-19586.471546,31.86
20,-19153.9755565,30.94
21,-19563.682206,30.77
22,-19503.545128499998,31.03
23,-19427.681306000002,31.75
24,-19039.44337,31.6
25,-19044.093130499998,31.0
26,-19041.128941,31.42
27,-18775.8352935,30.53
28,-19132.659122,30.9
29,-18770.5947955,30.52
30,-18977.050988,31.27
31,-19250.239514,30.89
32,-19023.443573,31.31
33,-19125.712049,31.04
34,-19636.602843,31.44
35,-19156.6798215,31.2
36,-19278.5240255,30.2
37,-18936.1325705,31.6
38,-19159.9511945,30.81
39,-19100.1107985,30.35
40,-19065.5434655,30.34
41,-18941.8614115,30.69
42,-19141.273387499998,30.42
43,-19187.9390245,31.12
44,-19292.326279,31.13
45,-19487.2460245,30.67
46,-19258.4074445,30.6
47,-19312.8813185,31.67
48,-19291.3102105,31.9
49,-19354.309083,30.23
50,-19539.07602,30.04
51,-19277.053745499998,30.73
52,-19237.012245,30.6
53,-19275.0268595,51.84
54,-19158.2813765,30.61
55,-19154.999501500002,31.08
56,-19634.045606,29.0
57,-19478.387587499998,29.58
58,-19588.377658999998,30.41
59,-19523.5199325,31.26
60,-19336.778619499997,31.2
61,-19520.256436,31.07
62,-19698.260085,30.53
63,-19467.2817225,30.51
64,-19417.273824,30.58
65,-19234.365740999998,31.19
66,-19106.9055925,30.46
67,-19514.3726905,30.19
68,-19409.570606999998,31.76
69,-19372.8057305,31.53
70,-19201.820043,31.9
71,-19126.935532,31.04
72,-18999.5593995,31.9
73,-19159.927564999998,32.29
74,-18926.292196500002,31.61
75,-18833.525405,30.63
76,-18902.8359795,30.95
77,-18798.4250955,30.86
78,-18720.019789,31.9
79,-18905.978703,32.41
80,-19111.502843000002,33.8
81,-19017.7121065,33.03
82,-18671.1513575,31.16
83,-18944.4028955,30.97
84,-19093.210984499998,31.53
85,-18909.3524705,31.62
86,-19147.241149,30.48
87,-19011.074842500002,31.4
88,-18621.694814000002,31.88
89,-18909.0531635,30.26
90,-18868.4524315,30.75
91,-19069.447584,30.32
92,-18869.568269,30.21
93,-19001.84621,30.84
94,-19218.0430075,31.0
95,-18697.682035,30.7
96,-18784.6149655,30.47
97,-18707.9923735,31.86
98,-19156.162598,30.29
99,-19075.848553,30.87
100,-19034.0794735,30.79
101,-19129.393,30.63
102,-19122.519441,31.52
103,-19272.335722,30.45
104,-19166.20251,30.91
105,-19114.648192,30.83
106,-19256.7218735,30.54
107,-19360.4868845,30.31
108,-19194.87297,30.42
109,-18741.270586,29.81
110,-18940.7219445,30.31
111,-19363.981425,30.32
112,-18966.953315,29.82
113,-18801.7332255,29.95
114,-19156.6903235,30.41
115,-19241.420459499997,29.66
116,-18973.301774,30.46
117,-18617.1815795,29.66
118,-19150.18696,30.27
119,-18772.0335695,29.74
120,-18902.96988,31.12
121,-18655.01766,29.96
122,-19114.296374999998,30.59
123,-19036.29277,29.51
124,-18796.185544,30.36
125,-19113.997068,29.84
126,-19021.8131375,30.82
127,-18993.3159605,30.24
128,-18949.257445,30.19
129,-18856.572044,29.92
130,-19102.3162185,30.4
131,-18962.369192,30.16
132,-18896.101572,29.64
133,-19370.613438,30.7
134,-19264.842545,30.13
135,-19272.8844515,30.67
136,-19012.342959,30.88
137,-19147.204392,31.04
138,-19220.7735275,30.26
139,-19261.019817,31.21
140,-19242.951126,30.92
141,-19211.9255925,32.36
142,-19134.932805,31.38
143,-19356.5433835,32.55
144,-19037.468994000003,32.27
145,-19468.5052055,31.79
146,-19434.2424305,31.79
147,-19291.273453499998,31.54
148,-19681.005299,32.04
149,-19318.16645,31.66
150,-19202.0432105,31.36
151,-18803.7653625,31.24
152,-18841.1839885,30.94
153,-18868.7097305,31.28
154,-19051.5075425,31.25
155,-19342.5652215,32.73
156,-19201.321198,31.42
157,-19421.844819500002,31.65
158,-19380.984163,30.99
159,-19570.125183,30.56
160,-19217.7542025,30.32
161,-19500.229122,30.07
162,-19137.957381,30.88
163,-19435.914874,30.18
164,-19335.7074155,30.8
165,-19486.7314265,30.62
166,-19240.635435,30.08
167,-19398.811308,29.79
168,-19206.813744,31.43
169,-19697.908268,31.03
170,-19453.7814015,30.61
171,-19384.2424085,31.13
172,-19548.0578555,31.03
173,-19409.8042765,31.35
174,-19519.6709495,30.97
175,-19350.118785,29.64
176,-19583.042643,30.19
177,-19590.2181345,30.07
178,-19509.7990695,29.83
179,-19808.4601965,31.47
180,-19756.1287305,30.6
181,-20076.589384,31.32
182,-20114.8140385,30.95
183,-19839.3780845,30.13
184,-19644.9808135,29.81
185,-19348.6931385,29.73
186,-19327.187668,29.77
187,-19636.996668,30.9
188,-19591.06092,31.03
189,-19475.439151,30.71
190,-19421.277711500003,30.91
191,-19710.174604,31.37
192,-19287.463852999997,31.11
193,-19278.237846,32.06
194,-18939.5089635,31.08
195,-19136.576368000002,31.09
196,-19071.054389999998,30.66
197,-19223.580187,31.52
198,-18993.4052275,30.19
199,-18950.2367565,30.85
200,-19034.2054975,29.87
201,-18715.3805305,30.23
202,-19311.5213095,30.07
203,-19366.94824,29.61
204,-19222.803039,29.85
205,-19187.490064,29.8
206,-18950.9036335,29.6
207,-19104.7526825,29.31
208,-19477.836232499998,29.45
209,-19109.8356505,30.01
210,-19426.904158,30.49
211,-19122.432799500002,30.74
212,-18986.040699999998,30.75
213,-19417.5232465,29.87
214,-19423.212705,30.74
215,-18923.4986645,30.38
216,-19319.964917499998,29.53
217,-19420.2695195,30.01
218,-19462.054352,28.94
219,-19251.352726,29.53
220,-19274.9743495,29.73
221,-19201.108532500002,28.62
222,-19745.0176145,29.5
223,-19579.0860145,30.87
224,-19423.401740999998,30.21
225,-19875.623111999997,29.64
226,-19682.9665475,29.67
227,-19880.643068,30.23
228,-19786.7578135,29.62
229,-19654.340721,28.86
230,-19686.7892755,30.27
231,-19729.083455,29.33
232,-19300.993054500002,29.91
233,-19348.8296645,31.6
234,-19481.84012,30.85
235,-19291.6830315,30.51
236,-19175.460023,29.43
237,-18741.333598,30.57
238,-18983.9114195,28.88
239,-19251.594272000002,29.49
240,-18960.507712500003,29.85
241,-18955.6715415,29.03
242,-18749.5330345,29.04
243,-18612.846879,28.69
244,-18810.1768335,28.55
245,-18810.090192,29.49
246,-18957.572403500002,30.1
247,-18746.0253665,30.08
248,-18794.9226785,29.53
249,-18910.9330215,29.64
250,-18930.038785,29.3
251,-19080.6348395,30.34
252,-18725.942917,30.72
253,-18665.3017435,29.45
254,-18404.180015500002,30.03
255,-18811.261165,28.81
256,-18982.9819925,28.86
257,-18948.2098705,28.44
258,-19220.476846,29.88
259,-18665.855724,29.45
260,-19045.1223265,28.9
261,-18516.081451,29.68
262,-19071.169911999998,29.44
263,-19163.093918,28.94
264,-19302.9149205,29.74
265,-19473.3413765,29.82
266,-19653.8287485,30.9
267,-19045.7366935,30.54
268,-19105.033611000003,30.48
269,-19471.6348015,29.9
270,-19349.1552265,29.3
271,-19405.926413,29.39
272,-19360.893837,29.91
273,-19728.5872355,30.66
274,-19565.2391275,30.54
275,-18953.6604085,30.35
276,-19050.244677000002,29.93
277,-19319.6603595,30.21
278,-19560.0668925,30.56
279,-19579.2540465,29.98
280,-19294.090615,30.24
281,-19725.2265955,29.92
282,-19645.8997385,29.3
283,-19656.042045,28.57
284,-19521.3040105,29.3
285,-19553.8707125,29.12
286,-19451.688878,29.78
287,-19002.093007,29.31
288,-18953.631528,29.45
289,-19241.3679495,28.88
290,-19499.599002,29.37
291,-19447.0758745,29.38
292,-19518.481598,29.36
293,-19622.0601985,29.11
294,-19043.9303495,28.79
295,-19186.0381625,28.77
296,-19166.349538,28.78
297,-19357.2522685,29.61
298,-19165.241577,29.33
299,-19202.570936,28.84
300,-18986.9517485,28.88
301,-19119.36359,29.5
302,-19348.2993135,29.18
303,-19083.536017,29.61
304,-19045.040936,29.77
305,-18923.5354215,29.76
306,-18678.7968135,29.01
307,-18476.809222,29.38
308,-18918.817398,29.96
309,-18670.8257955,30.19
310,-19110.736197000002,29.55
311,-18910.940898,30.59
312,-18933.451934999997,30.61
313,-19030.4090245,29.45
314,-18782.548697000002,29.23
315,-18737.552878,29.25
316,-18996.9391505,29.19
317,-18688.949622,29.15
318,-19167.830319999997,29.63
319,-19024.0763185,29.21
320,-19244.799478,29.21
321,-19240.651188,28.44
322,-19411.6526285,29.66
323,-19197.199163,30.04
324,-19178.1511605,29.31
325,-19198.133841,30.88
326,-19202.602442,32.52
327,-19195.8365285,30.22
328,-19360.410745,30.55
329,-19359.003477,29.67
330,-19459.497115000002,30.28
331,-19452.4686515,30.34
332,-19361.860021,29.98
333,-19338.057238,29.36
334,-19321.177898500002,29.48
335,-18840.551243,29.66
336,-18906.104727,29.27
337,-18635.7858725,29.78
338,-19148.364863,30.05
339,-19204.9837705,29.75
340,-19090.9688075,28.22
341,-18763.3169095,28.49
342,-19127.7783175,28.3
343,-18836.3058095,29.32
344,-19028.1615965,28.63
345,-19314.1363075,29.38
346,-19389.033946,29.15
347,-19410.9017355,28.95
348,-19260.8071515,29.39
349,-19270.786677,29.42
350,-18924.829793,29.42
351,-19029.5058525,28.69
352,-18686.570919,28.87
353,-18762.573893,28.73
354,-18942.861727,28.55
355,-19114.207108000002,28.3
356,-18981.068003,28.29
357,-18882.7141475,28.09
358,-18739.0835445,28.21
359,-19040.9425305,27.62
360,-19227.1849985,28.04
361,-19166.102741,27.94
362,-19386.649992,28.44
363,-19105.4773205,28.37
364,-19073.963444,28.27
365,-19227.045847,28.4
366,-19449.3495575,28.74
367,-19414.4041525,29.66
368,-19144.6182745,30.22
369,-19111.0958905,28.88
370,-19292.5494465,29.0
371,-18939.6139835,29.05
372,-19344.1457725,28.4
373,-19311.466174,29.19
374,-19073.083901500002,28.76
375,-19313.918391,29.22
376,-19687.5191645,29.43
377,-19454.0176965,29.46
378,-19045.9782395,29.47
379,-18944.6654455,28.88
380,-19306.9844455,27.73
381,-19400.381357,28.83
382,-19359.3159115,29.15
