model,Gsolv,timing
0,-12.5262605,0.06
1,-11.2345145,0.07
2,-11.793746,0.05
3,-12.303093,0.05
4,-12.912208999999999,0.05
5,-11.665096499999999,0.06
6,-12.074674499999999,0.06
7,-12.019538999999998,0.06
8,-11.187255500000001,0.06
9,-11.2030085,0.05
10,-10.8091835,0.05
11,-11.675598500000001,0.05
12,-12.576145,0.06
13,-13.5869625,0.07
14,-11.247641999999999,0.06
15,-12.2584595,0.06
16,-12.8623245,0.06
17,-12.8413205,0.07
18,-11.4708095,0.06
19,-11.833128499999999,0.08
20,-11.623088500000001,0.06
21,-11.982782,0.06
22,-11.730734,0.06
23,-9.9847765,0.05
24,-11.350036499999998,0.06
25,-13.1773845,0.07
26,-11.638841500000002,0.06
27,-12.119308,0.05
28,-12.3897345,0.05
29,-10.995594,0.06
30,-12.5420135,0.06
31,-11.793746,0.07
32,-11.720232000000001,0.06
33,-11.226638000000001,0.06
34,-12.500005499999999,0.05
35,-11.090112000000001,0.05
36,-12.087801999999998,0.05
37,-11.336908999999999,0.06
38,-12.408113,0.07
39,-11.3605385,0.06
40,-11.554825500000002,0.06
41,-11.4918135,0.06
42,-11.725483,0.05
43,-11.384167999999999,0.06
44,-12.408113,0.06
45,-12.358228500000001,0.06
46,-10.691036,0.06
47,-11.4077975,0.06
48,-11.843630500000002,0.07
49,-11.911893500000001,0.07
50,-11.3605385,0.08
51,-11.596833499999999,0.07
52,-12.7678065,0.06
53,-12.303093,0.06
54,-11.502315500000002,0.07
55,-12.5997745,0.06
56,-10.2368245,0.05
57,-11.310654000000001,0.07
58,-11.693976999999999,0.04
59,-11.733359499999999,0.07
60,-12.090427499999999,0.06
61,-11.462933,0.06
62,-12.502631,0.05
63,-12.775682999999999,0.05
64,-11.268646,0.07
65,-10.785554,0.06
66,-12.166567,0.06
67,-12.465874,0.06
68,-10.953586000000001,0.06
69,-11.3185305,0.06
70,-12.4212405,0.06
71,-11.636216000000001,0.06
72,-11.179378999999999,0.05
73,-11.315904999999999,0.06
74,-11.651969000000001,0.08
75,-11.720232000000001,0.07
76,-11.452431,0.06
77,-11.678223999999998,0.08
78,-12.1481885,0.05
79,-11.625713999999999,0.06
80,-12.205949500000001,0.06
81,-11.515443000000001,0.07
82,-12.3529775,0.06
83,-10.698912499999999,0.06
84,-11.570578500000002,0.05
85,-12.345101,0.06
86,-10.6359005,0.06
87,-11.1715025,0.07
88,-12.001160500000001,0.06
89,-11.814749999999998,0.06
90,-12.022164499999999,0.07
91,-11.1347455,0.08
92,-12.087801999999998,0.06
93,-11.9171445,0.06
94,-11.525945,0.07
95,-11.0822355,0.07
96,-11.347411000000001,0.07
97,-11.515443000000001,0.05
98,-11.567953000000001,0.06
99,-11.4918135,0.05
100,-11.982782,0.06
101,-12.86495,0.05
102,-12.484252499999998,0.06
103,-12.744176999999999,0.06
104,-11.4077975,0.06
105,-12.0274155,0.06
106,-11.683475,0.06
107,-11.515443000000001,0.06
108,-11.625713999999999,0.06
109,-12.4790015,0.06
110,-10.284083500000001,0.06
111,-12.5420135,0.06
112,-12.565643000000001,0.07
113,-11.441929,0.05
114,-11.305403,0.06
115,-12.032666500000001,0.07
116,-12.219077,0.06
117,-12.166567,0.05
118,-11.707104500000002,0.05
119,-11.877762,0.05
120,-11.5180685,0.06
121,-11.880387500000001,0.06
122,-11.0139725,0.05
123,-11.200383,0.06
124,-11.862009,0.05
125,-11.827877500000001,0.07
126,-10.488872500000001,0.04
127,-11.623088500000001,0.06
128,-12.198072999999999,0.05
129,-12.434368,0.07
130,-11.515443000000001,0.07
131,-10.7041635,0.07
132,-11.452431,0.06
133,-11.1294945,0.06
134,-12.006411499999999,0.08
135,-11.1767535,0.07
136,-12.8780775,0.07
137,-11.888264,0.06
138,-11.662471,0.08
139,-12.124559,0.07
140,-11.985407499999999,0.07
141,-12.014288,0.06
142,-12.192822,0.06
143,-10.927331,0.07
144,-11.846256,0.06
145,-14.382489000000001,0.07
146,-11.2450165,0.04
147,-11.420924999999999,0.06
148,-11.441929,0.06
149,-11.399921,0.05
150,-13.311285,0.06
151,-11.688726,0.05
152,-11.741236,0.06
153,-11.263395000000001,0.07
154,-12.581396,0.06
155,-12.2532085,0.06
156,-10.7934305,0.07
157,-11.909268,0.05
158,-11.006096000000001,0.04
159,-10.895825,0.07
160,-11.9433995,0.06
161,-11.925021,0.06
162,-13.004101499999999,0.06
163,-13.1038705,0.05
164,-12.192822,0.07
165,-11.877762,0.05
166,-11.880387500000001,0.06
167,-11.8383795,0.06
168,-12.4474955,0.06
169,-11.977531,0.06
170,-11.200383,0.06
171,-11.8908895,0.07
172,-11.4603075,0.06
173,-11.730734,0.07
174,-10.5518845,0.07
175,-12.040543,0.07
176,-12.279463499999999,0.05
177,-10.9719645,0.05
178,-12.5052565,0.06
179,-11.1820045,0.06
180,-12.791436,0.05
181,-13.348042,0.06
182,-12.7993125,0.07
183,-11.982782,0.05
184,-12.5420135,0.08
185,-11.596833499999999,0.06
186,-12.880702999999999,0.06
187,-12.379232499999999,0.06
188,-11.841005000000001,0.06
189,-12.171818000000002,0.07
190,-11.3185305,0.06
191,-11.331658000000001,0.06
192,-11.1662515,0.07
193,-12.145563,0.07
194,-11.546949,0.06
195,-11.18463,0.06
196,-12.1481885,0.07
197,-11.60471,0.06
198,-13.132751,0.07
199,-11.567953000000001,0.06
200,-10.796056,0.05
201,-11.662471,0.06
202,-11.544323499999999,0.05
203,-12.4947545,0.05
204,-13.0093525,0.05
205,-11.4130485,0.06
206,-10.628024000000002,0.05
207,-11.468184,0.07
208,-11.510192,0.06
209,-11.147872999999999,0.06
210,-11.4077975,0.05
211,-11.457682,0.05
212,-11.368414999999999,0.06
213,-12.129809999999999,0.06
214,-11.3920445,0.05
215,-12.030041,0.05
216,-12.568268499999999,0.06
217,-11.2660205,0.06
218,-10.357597499999999,0.06
219,-11.6493435,0.05
220,-10.743546,0.07
221,-10.7829285,0.06
222,-11.210885000000001,0.07
223,-10.9247055,0.07
224,-11.746486999999998,0.05
225,-10.953586000000001,0.07
226,-11.743861500000001,0.06
227,-12.066798,0.06
228,-11.305403,0.06
229,-10.911578,0.06
230,-11.2765225,0.06
231,-11.247641999999999,0.06
232,-11.163625999999999,0.06
233,-11.588957,0.07
234,-10.341844499999999,0.05
235,-11.281773499999998,0.06
236,-10.65953,0.05
237,-11.4445545,0.06
238,-10.6726575,0.05
239,-12.106180499999999,0.06
240,-11.0454785,0.06
241,-10.496749,0.06
242,-11.599459,0.07
243,-9.950645,0.07
244,-11.846256,0.05
245,-12.240081000000002,0.08
246,-12.502631,0.06
247,-11.273897,0.07
248,-10.5938925,0.05
249,-12.203324,0.06
250,-10.641151500000001,0.06
251,-11.300151999999999,0.07
252,-10.4836215,0.06
253,-11.462933,0.06
254,-9.7222265,0.05
255,-11.2187615,0.06
256,-11.3185305,0.06
257,-11.6335905,0.07
258,-10.8669445,0.06
259,-11.91977,0.06
260,-12.1324355,0.06
261,-12.137686500000001,0.06
262,-11.13212,0.06
263,-11.3552875,0.05
264,-10.832813000000002,0.05
265,-10.9772155,0.05
266,-11.6493435,0.06
267,-11.733359499999999,0.06
268,-11.3552875,0.06
269,-11.5863315,0.06
270,-11.350036499999998,0.07
271,-10.202693,0.05
272,-11.798997,0.07
273,-11.846256,0.06
274,-11.350036499999998,0.06
275,-11.759614500000001,0.05
276,-12.397611,0.06
277,-11.552200000000001,0.05
278,-10.790805,0.04
279,-10.780303,0.06
280,-11.7281085,0.05
281,-11.008721499999998,0.06
282,-13.0933685,0.07
283,-11.562702,0.06
284,-11.9906585,0.07
285,-13.355918500000001,0.06
286,-11.368414999999999,0.05
287,-11.389419,0.06
288,-13.2036395,0.05
289,-10.3891035,0.06
290,-11.294901000000001,0.05
291,-11.0559805,0.06
292,-9.903386000000001,0.06
293,-11.145247499999998,0.05
294,-12.366105,0.06
295,-11.331658000000001,0.05
296,-12.28734,0.06
297,-11.583706000000001,0.05
298,-11.541697999999998,0.06
299,-11.468184,0.06
300,-11.725483,0.06
301,-11.3027775,0.06
302,-11.862009,0.07
303,-10.517753,0.06
304,-12.4054875,0.06
305,-11.441929,0.07
306,-11.751738,0.06
307,-11.426176,0.06
308,-12.297842,0.07
309,-11.352661999999999,0.05
310,-13.8705165,0.08
311,-11.8068735,0.07
312,-12.142937499999999,0.06
313,-10.444239,0.06
314,-10.754048,0.06
315,-11.638841500000002,0.06
316,-11.447180000000001,0.06
317,-11.410423,0.05
318,-9.727477499999999,0.06
319,-9.9270155,0.07
320,-11.2187615,0.06
321,-11.5915825,0.05
322,-12.0116625,0.06
323,-11.457682,0.06
324,-12.150814,0.05
325,-10.039912000000001,0.06
326,-11.447180000000001,0.05
327,-12.100929500000001,0.06
328,-11.053355,0.06
329,-12.28734,0.05
330,-12.665412,0.07
331,-9.6487125,0.06
332,-11.7911205,0.06
333,-11.486562500000002,0.06
334,-11.6703475,0.05
335,-12.4527465,0.05
336,-12.7468025,0.06
337,-11.315904999999999,0.08
338,-12.6050255,0.06
339,-12.565643000000001,0.07
340,-10.289334499999999,0.06
341,-12.211200499999999,0.06
342,-11.2397655,0.05
343,-11.9959095,0.06
344,-11.801622499999999,0.06
345,-11.100614,0.07
346,-11.118992500000001,0.07
347,-10.932582,0.06
348,-11.268646,0.05
349,-11.179378999999999,0.06
350,-12.423866,0.05
351,-11.993284,0.06
352,-12.3372245,0.07
353,-10.9299565,0.06
354,-12.539387999999999,0.06
355,-12.187571,0.05
356,-10.218446,0.06
357,-10.943083999999999,0.05
358,-12.221702500000001,0.06
359,-11.691351500000001,0.06
360,-12.279463499999999,0.07
361,-12.1796945,0.06
362,-10.1055495,0.06
363,-12.612902,0.06
364,-10.286708999999998,0.06
365,-10.9614625,0.06
366,-11.2030085,0.06
367,-11.651969000000001,0.06
368,-11.573203999999999,0.06
369,-10.8091835,0.05
370,-12.507882,0.06
371,-10.0635415,0.06
372,-11.730734,0.06
373,-10.819685499999999,0.04
374,-11.678223999999998,0.05
375,-10.649028,0.06
376,-10.801307,0.05
377,-12.158690499999999,0.06
378,-11.8226265,0.07
379,-11.027099999999999,0.05
380,-12.486877999999999,0.06
381,-11.142622000000001,0.08
382,-11.704479000000001,0.05
383,-11.6545945,0.04
384,-12.203324,0.06
385,-11.583706000000001,0.07
386,-11.612586499999999,0.06
387,-11.297526500000002,0.05
388,-12.019538999999998,0.06
389,-12.2742125,0.08
390,-10.769801,0.05
391,-10.701538,0.07
392,-12.4369935,0.06
393,-11.8908895,0.05
394,-12.670663000000001,0.06
395,-12.014288,0.07
396,-12.053670499999999,0.06
397,-12.518384,0.07
398,-11.1084905,0.06
399,-11.090112000000001,0.05
400,-12.486877999999999,0.06
401,-12.093053,0.07
402,-10.9089525,0.08
403,-12.647033500000001,0.06
404,-12.177069,0.07
405,-11.672973,0.04
406,-11.65722,0.06
407,-10.764550000000002,0.06
408,-11.896140500000001,0.06
409,-10.8826975,0.06
410,-11.118992500000001,0.06
411,-10.473119500000001,0.05
412,-11.9959095,0.05
413,-12.715296500000001,0.06
414,-11.092737499999998,0.05
415,-10.305087499999999,0.06
416,-11.4708095,0.06
417,-10.958836999999999,0.05
418,-11.399921,0.06
419,-12.376607000000002,0.06
420,-11.1242435,0.07
421,-11.570578500000002,0.06
422,-10.0950475,0.05
423,-11.756989,0.05
424,-10.9929685,0.05
425,-12.053670499999999,0.07
426,-11.457682,0.06
427,-11.5338215,0.06
428,-11.3447855,0.04
429,-11.756989,0.06
430,-11.2030085,0.06
431,-11.620463,0.07
432,-11.764865499999999,0.05
433,-11.499690000000001,0.07
434,-11.0297255,0.05
435,-12.006411499999999,0.07
436,-12.9305875,0.07
437,-11.4603075,0.07
438,-11.037602000000001,0.05
439,-12.3897345,0.06
440,-11.011346999999999,0.06
441,-12.142937499999999,0.07
442,-10.533506,0.06
443,-12.308344000000002,0.06
444,-10.859068,0.07
445,-12.528886,0.05
446,-11.885638499999999,0.06
447,-10.454741,0.05
448,-11.6020845,0.07
449,-11.531196,0.07
450,-11.024474499999998,0.07
451,-11.998535,0.05
452,-10.990343,0.07
453,-11.885638499999999,0.06
454,-11.546949,0.06
455,-10.859068,0.06
456,-11.4970645,0.06
457,-12.137686500000001,0.06
458,-12.016913500000001,0.07
459,-11.6493435,0.06
460,-12.723173,0.06
461,-11.961778,0.08
462,-12.2164515,0.07
463,-11.5390725,0.06
464,-11.378917000000001,0.06
465,-11.473434999999998,0.05
466,-10.985092,0.04
467,-12.3897345,0.07
468,-11.405171999999999,0.07
469,-10.570263,0.06
470,-11.0139725,0.06
