model,Gsolv,timing
0,-1850.7858385,34.15
1,-1854.695208,33.96
2,-1872.685134,35.06
3,-1922.7192875,34.45
4,-1925.5600785000001,34.89
5,-1897.6641410000002,33.67
6,-1997.3333719999998,33.4
7,-2004.8554295,33.08
8,-1985.7024070000002,33.14
9,-1978.671318,34.87
10,-1971.241153,34.54
11,-1907.0923115,34.61
12,-2015.1421384999999,35.75
13,-2004.5981305,35.98
14,-1965.202503,35.41
15,-1999.7987165,35.1
16,-1997.7665794999998,35.04
17,-2036.4454455,35.24
18,-2040.6777514999999,36.17
19,-2075.132188,35.78
20,-2008.260703,34.35
21,-2064.3912675,34.56
22,-2062.5796725,34.79
23,-2052.4872505,35.72
24,-1996.067881,35.14
25,-1992.2057705,34.99
26,-1991.4863835,35.52
27,-1954.7110050000001,34.2
28,-2006.2049365,34.29
29,-1949.134443,34.48
30,-1980.860985,35.81
31,-2022.3570125,35.0
32,-1985.9071959999999,35.43
33,-2006.0474065,35.45
34,-2081.328368,34.56
35,-2004.6007559999998,34.51
36,-2022.018323,34.19
37,-1974.6359244999999,36.14
38,-2005.808486,34.67
39,-2000.436713,34.92
40,-1995.5401554999999,33.86
41,-1976.969994,34.34
42,-2006.9085705000002,34.23
43,-2013.3095395,34.74
44,-2022.1469725,34.5
45,-2056.4727595,34.79
46,-2026.366151,34.3
47,-2032.8301319999998,35.79
48,-2030.7743655,35.92
49,-2040.0975159999998,34.56
50,-2061.4874645,34.03
51,-2026.9700160000002,34.6
52,-2023.2811884999999,34.61
53,-2032.205263,59.66
54,-2011.4480600000002,34.65
55,-2007.473053,35.0
56,-2085.922993,32.31
57,-2054.537766,33.48
58,-2071.1598065,33.82
59,-2062.414266,35.17
60,-2033.8225710000002,35.13
61,-2062.036194,35.22
62,-2090.486112,34.12
63,-2052.894203,34.36
64,-2051.3215285,34.55
65,-2021.713765,34.71
66,-2002.9125595,33.83
67,-2060.749699,33.96
68,-2045.1778585,35.78
69,-2042.4709679999999,35.62
70,-2015.764382,35.58
71,-1999.523039,35.35
72,-1983.003393,35.66
73,-2008.0532885,36.31
74,-1980.062833,35.31
75,-1961.8208590000002,34.54
76,-1973.4465730000002,34.52
77,-1956.5015959999998,34.92
78,-1946.8896405,36.28
79,-1976.119332,37.28
80,-1998.5857355,38.42
81,-1985.6210165,37.61
82,-1938.7243355,36.09
83,-1979.0415135,34.91
84,-2005.7901075,35.78
85,-1975.3553115,35.73
86,-2012.8080690000002,34.73
87,-1990.753869,35.69
88,-1937.1175295,35.39
89,-1970.1463195,34.72
90,-1964.0236535,34.95
91,-1993.2874765,34.03
92,-1964.089291,33.54
93,-1986.988902,34.72
94,-2015.4204415,34.76
95,-1936.8786089999999,35.02
96,-1947.737677,34.72
97,-1940.1158505,36.0
98,-2006.223315,34.51
99,-1998.835158,34.86
100,-1993.90972,34.56
101,-2009.694226,34.91
102,-2007.236758,35.16
103,-2026.7258445000002,34.89
104,-2014.3387355000002,34.74
105,-2005.3542745,34.65
106,-2027.0514065000002,34.38
107,-2039.1313320000002,33.81
108,-2012.4851325,34.01
109,-1947.028792,33.94
110,-1978.6161825000001,33.59
111,-2041.257987,34.11
112,-1982.6673289999999,33.5
113,-1959.6863275,33.89
114,-2011.2826535,34.05
115,-2020.8184695,33.59
116,-1982.625321,34.29
117,-1927.3926775,33.66
118,-2007.2813915000002,33.77
119,-1950.4130615,33.39
120,-1973.27329,35.0
121,-1939.262563,34.18
122,-2004.7819155,34.54
123,-1996.2674189999998,33.44
124,-1959.35814,34.26
125,-2002.9073085,33.69
126,-1991.457503,35.21
127,-1986.731603,34.11
128,-1979.831789,33.96
129,-1963.6429560000001,33.25
130,-2000.137406,34.29
131,-1981.611878,34.18
132,-1975.0507535,33.45
133,-2037.897347,34.38
134,-2029.56401,33.93
135,-2029.7451695,34.67
136,-1989.8375695000002,34.92
137,-2010.1221825,34.74
138,-2017.738758,33.91
139,-2026.4317885,35.24
140,-2020.9812505,34.99
141,-2018.620926,36.42
142,-2006.6460205,35.57
143,-2037.2777290000001,36.81
144,-1994.8365215000001,36.81
145,-2059.6601165,36.0
146,-2054.2463355,35.77
147,-2032.5229485,35.88
148,-2087.1648545,35.68
149,-2035.7155565,35.78
150,-2017.9409214999998,35.41
151,-1955.561667,35.27
152,-1964.7692955,35.17
153,-1967.381668,35.62
154,-2002.1826705,35.68
155,-2045.3878985000001,37.3
156,-2027.159052,35.2
157,-2054.395989,35.49
158,-2051.639214,34.74
159,-2075.7439295,34.69
160,-2025.1636720000001,34.65
161,-2067.0981580000002,33.85
162,-2015.937665,34.36
163,-2059.211156,34.38
164,-2045.0623365000001,34.71
165,-2063.9186775000003,34.58
166,-2028.6897185,33.5
167,-2046.7269035000002,34.07
168,-2024.9326280000002,35.93
169,-2095.8395065,35.0
170,-2062.3643815,34.75
171,-2050.641524,35.33
172,-2068.5815655,35.38
173,-2049.5992005,35.6
174,-2070.4246665,35.03
175,-2042.1585335,33.56
176,-2076.077368,33.78
177,-2080.477706,33.83
178,-2063.611494,33.88
179,-2109.295194,35.57
180,-2104.4248915000003,34.57
181,-2152.9178765,35.45
182,-2154.7504755,34.85
183,-2116.977407,34.16
184,-2085.030323,33.66
185,-2039.96099,33.07
186,-2037.4798925,33.2
187,-2088.3253255,35.39
188,-2077.3612375,35.13
189,-2058.5784105,35.24
190,-2053.9260245,34.64
191,-2096.4853795,35.74
192,-2034.0273599999998,35.81
193,-2027.8653115,36.09
194,-1983.418222,34.95
195,-2010.3532265000001,35.57
196,-1998.772146,34.81
197,-2023.2076745000002,35.68
198,-1987.24095,33.99
199,-1983.4523535,34.9
200,-1994.2011505,33.95
201,-1953.2643545,34.47
202,-2039.1260809999999,33.73
203,-2046.7767880000001,33.75
