model,Gsolv,timing
0,-18704.4216935,28.61
1,-18790.4015675,28.55
2,-18580.947054,28.09
3,-18694.678463,28.55
4,-18716.0946665,29.26
5,-18554.434755,28.24
6,-18684.5939175,28.62
7,-18414.668888,29.49
8,-18380.280089,28.21
9,-18868.147873500002,29.17
10,-18799.6905865,28.72
11,-19089.866097500002,29.15
12,-19252.9096475,29.12
13,-19063.479822499998,29.1
14,-18755.9077485,29.72
15,-18937.773508,29.7
16,-18687.757645,28.57
17,-18879.8208465,29.22
18,-18764.863329,29.5
19,-18700.302284,29.28
20,-18642.7749535,29.59
21,-18940.7797055,29.97
22,-19108.2813545,30.3
23,-19290.982023,29.92
24,-19018.772808499998,28.85
25,-18862.038335,29.84
26,-19151.090132,30.58
27,-19154.3903855,29.73
28,-19247.503743,28.81
29,-18675.872006499998,29.12
30,-18957.4516305,29.32
31,-19459.5942585,29.63
32,-19284.993257500002,29.31
33,-19250.9195185,30.44
34,-19497.6535065,29.88
35,-19123.905704999997,30.1
36,-19273.1102445,29.42
37,-19282.165594,29.3
38,-19750.4471485,29.97
39,-19563.6270705,29.16
40,-19221.6714485,28.21
41,-19294.5343245,28.56
42,-19888.330532,29.56
43,-19706.9321115,29.84
44,-19048.118022,29.51
45,-19471.254104,30.36
46,-19472.59836,29.43
47,-19411.970314,30.1
48,-19600.084763500003,29.87
49,-19629.962953500002,29.8
50,-20016.318406,30.22
51,-19448.39125,30.89
52,-19490.220716,30.35
53,-19344.6708725,29.07
54,-19496.926243,29.02
55,-18918.743884,28.33
56,-19367.3656945,29.17
57,-19622.6955695,29.1
58,-19143.1112375,29.3
59,-19470.0752545,29.41
60,-19621.280425,29.65
61,-19482.6986585,29.46
62,-19032.110348500002,28.85
63,-18972.976211999998,28.85
64,-18849.803505,28.17
65,-18993.5207495,29.15
66,-19342.867154,29.55
67,-19571.837009,29.66
68,-19500.504799500002,29.21
69,-19367.1031445,29.47
70,-19422.5852105,30.01
71,-19177.2847455,30.88
72,-19358.908959,30.11
73,-18948.958138,30.23
74,-19411.492473,30.75
75,-19109.549471,30.21
76,-18853.82052,30.05
77,-19088.695124500002,29.61
78,-19068.176842,29.74
79,-19065.519836,30.2
80,-19438.1544255,30.11
81,-19364.590540999998,29.65
82,-19362.235467500002,29.84
83,-19040.252024,29.97
84,-18809.1791435,30.27
85,-19218.5786095,30.39
86,-18801.168743000002,29.32
87,-18433.8849225,29.87
88,-18712.3402015,29.87
89,-19052.423842,30.04
90,-19052.5419895,30.04
91,-19210.426432,29.51
92,-19149.567342,31.04
93,-18719.825502,29.67
94,-18722.451001999998,29.84
95,-18639.7241225,29.82
96,-19100.0320335,30.12
97,-18829.5950315,30.84
98,-18838.991696,30.12
99,-18815.556483,30.21
100,-18659.859082,29.41
101,-18849.93478,29.82
102,-18605.860423500002,29.6
103,-18941.485965,29.95
104,-18808.929721,29.36
105,-18944.9910075,30.82
106,-18469.2294035,30.68
107,-18709.911614,31.01
108,-18384.630542500003,30.19
109,-18771.526847999998,31.67
110,-18613.991597,31.49
111,-18617.21046,31.05
112,-18741.5777695,31.05
113,-18854.823461,30.76
114,-18763.600463500003,31.65
115,-18416.895312,30.6
116,-18342.6698015,30.19
117,-18446.0357365,29.46
118,-18498.348824,30.08
119,-18614.485191,29.09
120,-18702.113879,30.42
121,-19183.788109,29.6
122,-18733.9638195,30.23
123,-18882.065649,29.45
124,-18862.321889,29.31
125,-19061.5159485,28.51
126,-18764.6874205,28.91
127,-18479.860053,29.13
128,-18473.201784999997,29.8
129,-18773.123152,29.82
130,-19102.618151,29.14
131,-19059.103114,29.14
132,-18819.3293265,28.58
133,-18830.154263,27.87
134,-18767.625355,28.87
135,-18925.6358215,28.85
136,-19023.196776,28.91
137,-18876.412947499997,28.61
138,-18932.601273,28.9
139,-18945.3008165,29.17
140,-19266.622634,30.57
141,-19146.813192499998,30.61
142,-18793.470777,29.12
143,-19010.589125000002,29.65
144,-18852.2951045,29.18
145,-18980.936728,28.63
146,-18622.624241,29.66
147,-18979.828767000003,29.69
148,-18949.6328915,30.49
149,-18856.2753625,29.61
150,-18836.781025,30.09
151,-18879.093583,31.24
152,-18855.647868,30.7
153,-18596.04893,30.74
154,-18720.6262795,30.91
155,-18828.9281545,30.69
156,-18396.7183445,30.24
157,-18930.0204065,31.46
158,-19193.675742,30.63
159,-19095.434783,30.39
160,-19221.351137499998,30.35
161,-18849.005353,31.17
162,-18823.816306,30.88
163,-18658.352045,30.6
164,-19120.5004315,31.09
165,-18954.146126,30.55
166,-18827.161193,30.59
167,-19206.918764,29.67
168,-18957.6826745,30.45
169,-19194.783703,29.86
170,-18962.537224,30.32
171,-18861.775785,29.43
172,-19115.094527,30.68
173,-19243.5418635,30.26
174,-19003.930857,30.04
175,-19374.5385605,30.8
176,-19377.6419015,30.21
177,-19184.097918,30.04
178,-19030.847482999998,29.43
179,-18854.3639985,30.96
180,-18812.159086,30.48
181,-18752.505100500002,30.22
182,-18738.3116475,29.55
183,-18456.934187000003,29.84
184,-18590.2019415,29.5
185,-18451.5860435,29.46
186,-18751.331502,31.23
187,-18866.7511075,30.22
188,-18899.178658,29.77
189,-18962.9809335,29.14
190,-19502.242880499998,29.45
191,-19320.770946,29.99
192,-19075.5833775,29.67
193,-19104.8892085,30.31
194,-18828.996417500002,29.69
195,-18598.9501075,29.13
196,-18454.1905395,29.57
197,-18570.901891,28.84
198,-18262.3137485,29.84
199,-18430.1042025,28.97
200,-18365.7374445,29.4
201,-18426.950977,30.24
202,-18278.1140075,29.83
203,-18109.4623895,29.28
204,-18369.069204,28.41
205,-18675.680345,29.05
206,-18681.992047,29.47
207,-18782.1522465,30.15
208,-18563.004387,29.53
209,-18655.290712,28.61
210,-18780.033468,30.07
211,-18980.653174,30.33
212,-18625.97963,30.32
213,-18660.0612455,30.21
214,-18461.969896000002,29.55
215,-18615.4750045,29.3
216,-18924.425466,30.22
217,-18863.5637505,30.6
218,-19341.8405835,30.66
219,-18942.032069,31.18
220,-18607.574875,30.99
221,-18867.651654,31.03
222,-18796.6870145,30.81
223,-18400.0947375,30.29
224,-18751.147717,29.61
225,-18809.2264025,29.94
226,-19146.839447500002,30.53
227,-18625.097462,29.6
228,-18871.721179,29.81
229,-18968.9933285,28.99
230,-18955.865828500002,28.56
231,-18701.110937999998,29.25
232,-19076.378904,29.1
233,-19057.207502999998,29.3
234,-18710.988069,30.94
235,-18717.6804685,29.82
236,-18820.3900285,30.15
237,-18692.045086500002,29.86
238,-18455.805222,29.27
239,-19182.827176000003,29.53
240,-18830.6557335,30.36
241,-19243.5838715,31.2
242,-19112.3876365,30.6
243,-19144.678660999998,29.98
244,-18779.2641965,28.91
245,-18603.87292,29.87
246,-18837.715703,29.8
247,-18945.2010475,30.19
248,-18949.630266,30.43
249,-19310.7074045,30.32
250,-19214.380435,31.09
251,-19001.5180225,29.99
252,-19207.4727445,29.69
253,-19002.5944775,29.94
254,-19043.5470265,29.75
255,-19235.5971005,30.0
256,-19287.049024,29.86
257,-19103.7812475,29.28
258,-18907.11817,29.01
259,-19038.4693095,30.1
260,-18788.671363,29.56
261,-18604.3533865,29.72
262,-18623.732202,29.31
263,-18657.160068,30.01
264,-18512.689305,29.84
265,-18640.7953265,29.52
266,-18505.064853,28.66
267,-18622.122770500002,29.28
268,-18561.5997445,29.45
269,-18459.160611,28.95
270,-18807.790254,29.55
271,-18680.2040815,29.57
272,-18662.626358999998,30.89
273,-18532.065495,30.81
274,-18905.668894000002,29.73
275,-18815.6273715,29.73
276,-19271.679347,29.06
277,-19065.0498715,29.67
278,-19072.185980500002,29.96
279,-19216.339058,29.93
280,-19389.7874645,30.08
281,-19042.4968265,29.95
282,-19117.3393295,31.04
283,-18722.734556,31.01
284,-18645.0276325,30.57
285,-18690.435655,30.81
286,-18780.6767155,30.9
287,-18791.43864,30.21
288,-18771.9495535,52.27
289,-18824.874382500002,29.61
290,-19011.825735500002,29.1
291,-19099.559443500002,29.43
