model,Gsolv,timing
0,-112.07209300000001,0.1
1,-110.94837899999999,0.11
2,-119.2685885,0.09
3,-116.861005,0.1
4,-109.8272905,0.07
5,-113.56600250000001,0.08
6,-110.559805,0.06
7,-110.964132,0.08
8,-108.6563175,0.08
9,-106.37475800000001,0.08
10,-107.79515350000001,0.07
11,-102.1923365,0.08
12,-109.026513,0.09
13,-115.04941,0.09
14,-111.6336345,0.09
15,-106.8447225,0.08
16,-110.85648649999999,0.1
17,-109.2864375,0.08
18,-106.26973799999999,0.08
19,-108.54604649999999,0.08
20,-109.63037800000001,0.08
21,-106.931364,0.09
22,-109.1814175,0.09
23,-116.608957,0.09
24,-108.501413,0.09
25,-112.22174650000001,0.08
26,-114.83937,0.09
27,-112.32939200000001,0.09
28,-109.562115,0.09
29,-119.749055,0.08
30,-114.68184,0.09
31,-119.696545,0.09
32,-112.497424,0.09
33,-114.61357699999999,0.08
34,-109.9953225,0.09
35,-110.9247495,0.07
36,-112.8886235,0.08
37,-113.7025285,0.07
38,-108.59068,0.08
39,-115.422231,0.08
40,-114.603075,0.08
41,-105.083012,0.08
42,-106.894607,0.07
43,-110.129223,0.07
44,-109.25755699999999,0.06
45,-111.2818175,0.07
46,-108.952999,0.08
47,-106.2723635,0.08
48,-110.76984499999999,0.09
49,-104.48702349999999,0.07
50,-113.5765045,0.08
51,-113.636891,0.08
52,-114.597824,0.08
53,-102.7594445,0.06
54,-108.1627235,0.07
55,-111.8384235,0.08
56,-108.5512975,0.08
57,-104.1667125,0.08
58,-109.21554900000001,0.08
59,-104.2139715,0.09
60,-109.4072105,0.06
61,-106.46665049999999,0.08
62,-104.84146600000001,0.08
63,-112.250627,0.07
64,-113.778668,0.08
65,-105.08563749999999,0.07
66,-107.8634165,0.1
67,-109.8430435,0.08
68,-108.10496250000001,0.08
69,-109.262808,0.08
70,-110.1108445,0.08
71,-106.29599300000001,0.09
72,-113.1774285,0.1
73,-102.7804485,0.08
74,-114.94439,0.07
75,-113.589632,0.08
76,-104.536908,0.09
77,-108.097086,0.09
78,-104.34787200000001,0.07
79,-110.90637100000001,0.06
80,-115.24369700000001,0.08
81,-113.09603800000001,0.08
82,-111.87518050000001,0.08
83,-110.7409645,0.08
84,-110.8827415,0.09
85,-114.51380800000001,0.07
86,-115.8921955,0.09
87,-120.19539,0.08
88,-116.75861049999999,0.07
89,-108.3675125,0.08
90,-104.3294935,0.07
91,-107.8739185,0.08
92,-102.3971255,0.08
93,-113.69727750000001,0.08
94,-108.35963600000001,0.08
95,-109.6014975,0.08
96,-107.39345200000001,0.08
97,-108.3885165,0.08
98,-109.9428125,0.08
99,-102.56515750000001,0.08
100,-104.673434,0.08
101,-113.7077795,0.07
102,-110.8669885,0.09
103,-113.30870350000001,0.08
104,-113.1144165,0.08
105,-109.63825449999999,0.09
106,-114.24600699999999,0.06
107,-112.4370375,0.09
108,-114.1226085,0.1
109,-111.54699300000001,0.08
110,-119.381485,0.09
111,-120.07461699999999,0.09
112,-114.140987,0.09
113,-106.3406265,0.09
114,-118.1816315,0.1
115,-114.0648475,0.08
116,-115.55613149999999,0.09
117,-112.9201295,0.08
118,-104.5762905,0.08
119,-116.15999649999999,0.09
120,-108.1732255,0.07
121,-110.1003425,0.08
122,-109.352075,0.08
123,-108.632688,0.08
124,-108.790218,0.08
125,-105.33506000000001,0.08
126,-117.449117,0.07
127,-112.69958749999999,0.08
128,-112.80198200000001,0.08
129,-112.4790455,0.08
130,-110.160729,0.09
131,-111.38158650000001,0.09
132,-110.4364065,0.09
133,-112.765225,0.07
134,-108.9556245,0.08
135,-112.145607,0.09
136,-110.9089965,0.09
137,-112.628699,0.09
138,-112.12985400000001,0.07
139,-111.2923195,0.09
140,-108.286122,0.09
141,-108.0577035,0.08
142,-105.29567750000001,0.08
143,-104.57891599999999,0.08
144,-116.498686,0.08
145,-117.433364,0.09
146,-121.901965,0.07
147,-109.85617099999999,0.07
148,-113.65789500000001,0.07
149,-117.37822849999999,0.08
150,-114.702844,0.08
151,-110.76984499999999,0.08
152,-107.6533765,0.08
153,-106.52703699999999,0.07
154,-103.686246,0.08
155,-109.7590275,0.09
156,-110.192235,0.08
157,-110.36814349999999,0.08
158,-110.2998805,0.06
159,-106.5979255,0.07
160,-107.35406950000001,0.08
161,-104.96749,0.09
162,-106.33537550000001,0.08
163,-106.9287385,0.08
164,-107.2332965,0.07
165,-109.824665,0.07
166,-113.7235325,0.08
167,-115.37497199999999,0.08
168,-106.0938295,0.07
169,-106.8919815,0.08
170,-109.058019,0.07
171,-107.71638850000001,0.08
172,-109.399334,0.07
173,-106.38788550000001,0.06
174,-107.97368750000001,0.08
175,-111.47873,0.08
176,-107.44596200000001,0.09
177,-106.248734,0.07
178,-104.09844949999999,0.08
179,-109.698641,0.09
180,-111.0350205,0.09
181,-107.041635,0.09
182,-114.03334149999999,0.09
183,-109.38095549999998,0.07
184,-110.3628925,0.09
185,-107.0547625,0.08
186,-107.2753045,0.08
187,-110.523048,0.06
188,-106.07807650000001,0.08
189,-108.233612,0.08
190,-103.81227,0.09
191,-102.93535299999999,0.09
192,-111.4025905,0.08
193,-111.699272,0.08
194,-104.904478,0.06
195,-105.78927150000001,0.07
196,-113.248317,0.1
197,-113.76816600000001,0.09
198,-119.596776,0.08
199,-113.972955,0.08
200,-112.1167265,0.07
201,-110.3051315,0.09
202,-106.390511,0.08
203,-114.6004495,0.08
204,-113.306078,0.07
205,-113.2299385,0.09
206,-111.6073795,0.09
207,-101.9612925,0.07
208,-108.312377,0.08
209,-110.817104,0.07
210,-115.92107599999999,0.08
211,-113.0146475,0.07
212,-102.9904885,0.08
213,-105.503092,0.08
214,-105.19065750000001,0.08
215,-114.1331105,0.08
216,-107.1807865,0.08
217,-107.5956155,0.08
