model,Gsolv,timing
0,-18800.816926,31.78
1,-18897.532469499998,31.83
2,-18688.4901595,31.38
3,-18829.581904000002,31.79
4,-18823.0207795,32.56
5,-18657.0261675,31.77
6,-18794.9594355,31.81
7,-18544.211058,32.84
8,-18482.128484999997,31.44
9,-18948.511803,32.47
10,-18901.3131895,31.95
11,-19163.177934,32.34
12,-19323.265171000003,32.51
13,-19126.7648745,32.35
14,-18854.235349000002,33.23
15,-19002.450075,32.82
16,-18773.406706,31.79
17,-18950.753979999998,32.21
18,-18835.641558,32.9
19,-18800.1736785,32.58
20,-18732.921496,32.84
21,-19031.314822,33.42
22,-19225.9772685,34.01
23,-19392.6965185,33.39
24,-19148.1521975,31.76
25,-18989.595627,33.15
26,-19289.7244085,33.76
27,-19298.643232,33.26
28,-19369.5763655,31.94
29,-18816.0579535,32.52
30,-19084.239651,32.41
31,-19600.000747500002,33.09
32,-19425.3839935,32.58
33,-19389.8084685,33.96
34,-19605.6613255,33.17
35,-19225.633328,33.52
36,-19398.711539,32.96
37,-19397.4696775,32.87
38,-19851.0405555,33.63
39,-19695.340529,33.16
40,-19338.5377045,32.1
41,-19415.010643,31.41
42,-19995.9471515,33.17
43,-19802.980778,33.45
44,-19142.454862500002,32.98
45,-19574.6751745,33.73
46,-19552.922907,33.24
47,-19524.8799415,33.57
48,-19686.177534,33.29
49,-19719.936213,33.32
50,-20135.584369,33.94
51,-19566.102917,34.42
52,-19577.844153000002,34.01
53,-19403.8443915,32.68
54,-19582.260244,32.64
55,-19055.4352905,31.68
56,-19479.8473655,32.58
57,-19713.3173275,32.52
58,-19263.067707000002,32.14
59,-19586.6422035,32.7
60,-19727.7155695,33.12
61,-19587.2723235,33.11
62,-19110.505153000002,32.74
63,-19092.8486655,32.18
64,-18926.373587000002,31.4
65,-19055.9026295,32.38
66,-19457.6723925,32.67
67,-19678.059488000003,33.38
68,-19583.4705995,32.78
69,-19499.0397705,32.99
70,-19569.2088835,33.73
71,-19282.312621999998,34.08
72,-19442.573142,33.51
73,-19052.906934,33.31
74,-19537.9496805,33.93
75,-19223.055087,33.63
76,-18931.9317705,33.7
77,-19204.949639,32.99
78,-19144.8283145,33.57
79,-19130.4195705,34.0
80,-19550.244897,34.12
81,-19472.7847705,33.69
82,-19476.2189245,33.37
83,-19137.763094,33.91
84,-18914.170263,33.82
85,-19303.537164,34.3
86,-18907.8086765,32.61
87,-18561.833414,32.83
88,-18849.6065925,33.42
89,-19163.290830500002,33.49
90,-19127.7415605,33.44
91,-19298.4673235,32.84
92,-19245.2851955,34.66
93,-18797.3958995,32.86
94,-18822.574444500002,33.68
95,-18747.661053,33.38
96,-19186.555386,33.98
97,-18910.37379,34.51
98,-18928.347963,33.66
99,-18917.8643415,33.34
100,-18743.607281,33.0
101,-18960.935669,33.17
102,-18718.433987,33.02
103,-19032.0420855,33.43
104,-18894.83083,32.81
105,-19006.036508,34.92
106,-18585.988014,34.2
107,-18858.425647,34.17
108,-18468.864459,33.91
109,-18849.078867,35.28
110,-18759.88013,35.37
111,-18772.503534,34.46
112,-18902.019449,34.74
113,-18997.343477500002,34.93
114,-18891.8981465,35.47
115,-18539.787090499998,34.31
116,-18481.482612,34.25
117,-18566.9347605,32.52
118,-18600.5621645,33.74
119,-18707.879477000002,32.61
120,-18804.836566500002,33.76
121,-19296.4141825,33.48
122,-18802.6153935,33.43
123,-18974.840317000002,33.06
124,-18937.8128905,32.85
125,-19128.017238,31.97
126,-18837.4452765,32.5
127,-18572.8683905,32.36
128,-18576.021615999998,33.41
129,-18853.2245315,33.15
130,-19169.011795000002,32.68
131,-19118.147983500003,33.13
132,-18881.837230499998,31.99
133,-18892.034672499998,31.01
134,-18846.0989245,32.48
135,-18996.201385,31.98
136,-19094.7364,32.35
137,-18952.891137,32.05
138,-19003.479271,32.11
139,-19027.7992775,32.71
140,-19371.0834025,34.12
141,-19220.7787785,34.18
142,-18864.79511,32.91
143,-19081.724422,33.02
144,-18924.246932,32.87
145,-19079.455990000002,32.49
146,-18745.0539315,33.11
147,-19096.072779500002,33.51
148,-19101.9538995,33.75
149,-18994.531566999998,33.18
150,-18967.8643635,33.55
151,-18979.030615,35.07
152,-18956.6272235,34.4
153,-18691.653887,34.37
154,-18827.0640495,34.5
155,-18904.881244,34.97
156,-18495.775834,33.37
157,-19013.282887999998,35.3
158,-19275.622848,34.28
159,-19178.077646499998,33.94
160,-19301.8017085,34.04
161,-18916.9611695,35.35
162,-18893.205645500002,33.99
163,-18754.844420999998,34.23
164,-19215.336117,34.41
165,-19060.6495335,34.57
166,-18925.49667,34.36
167,-19318.675797,33.54
168,-19036.741730499998,34.58
169,-19279.513839,33.28
170,-19041.7144275,33.83
171,-18955.345979499998,32.76
172,-19166.7564905,34.0
173,-19285.431716,33.39
174,-19049.383513,33.68
175,-19434.0113865,34.51
176,-19448.853338,33.77
177,-19267.8487425,33.6
178,-19111.4634605,33.35
179,-18959.260599999998,34.74
180,-18914.144008,33.88
181,-18823.516999,33.61
182,-18796.658134,32.89
183,-18521.4295945,33.31
184,-18646.6764465,33.15
185,-18550.885079,33.01
186,-18810.268726,35.15
187,-18946.427156,33.97
188,-18975.4468075,33.09
189,-19036.6262085,32.58
190,-19627.156294,32.46
191,-19434.560116,33.5
192,-19174.997935,33.18
193,-19189.204515499998,33.98
194,-18914.910654,33.49
195,-18686.678564499998,32.41
196,-18534.378560499998,32.79
197,-18667.3023745,32.49
198,-18396.127607,33.05
199,-18583.8324785,31.87
200,-18515.4382035,33.17
201,-18532.9817945,33.65
202,-18391.926807,32.95
203,-18246.143294,32.86
204,-18472.534907999998,31.85
205,-18758.719659,32.32
206,-18781.808306,33.14
207,-18890.0602965,33.63
208,-18676.137182,32.56
209,-18779.5582525,31.93
210,-18917.6595525,33.13
211,-19092.410207,33.94
212,-18724.556653,33.49
213,-18776.226493000002,33.87
214,-18565.7217795,33.39
215,-18729.7892745,32.51
216,-19014.417104,34.13
217,-18952.5629495,34.51
218,-19446.374866,34.37
219,-19063.892026,35.0
220,-18727.3685635,34.69
221,-18965.551298,34.51
222,-18927.502551999998,34.56
223,-18514.017808,33.65
224,-18868.6624715,33.21
225,-18907.892692499998,33.47
226,-19226.7281615,34.27
227,-18758.446606999998,33.62
228,-18978.0933115,33.38
229,-19091.2261065,32.58
230,-19047.755703,31.75
231,-18790.0865075,33.27
232,-19191.181517,32.97
233,-19153.358564000002,32.83
234,-18845.2955215,35.18
235,-18880.5559865,33.16
236,-18933.971783999998,33.38
237,-18845.119613,33.92
238,-18592.105429,32.78
239,-19285.3345725,33.11
240,-18944.1823535,33.95
241,-19352.2165595,35.01
242,-19199.047515,34.59
243,-19200.310380500003,33.45
244,-18886.7836725,32.07
245,-18709.727829,33.33
246,-18931.136244,33.13
247,-19055.222625,33.64
248,-19050.712016,33.85
249,-19408.2709845,33.93
250,-19308.6280085,34.8
251,-19081.6377805,33.48
252,-19304.2014155,33.21
253,-19119.7390365,33.36
254,-19144.124680499997,33.48
255,-19352.549998,33.48
256,-19386.7838925,33.12
257,-19187.1986335,33.21
258,-19019.1613825,32.33
259,-19127.875461,33.56
260,-18888.548008499998,33.51
261,-18748.711253,33.22
262,-18727.801771,32.58
263,-18748.7611375,33.45
264,-18633.7484845,33.03
265,-18717.092356499998,32.84
266,-18615.341104,32.14
267,-18685.7911455,32.72
268,-18650.286509,33.05
269,-18557.737634,32.31
270,-18889.9447745,33.04
271,-18749.6905645,33.02
272,-18781.2753295,34.58
273,-18623.737452999998,34.46
274,-18993.3002075,33.09
275,-18924.7799085,32.8
276,-19387.773706,32.55
277,-19156.446152,32.86
278,-19183.719846,33.49
279,-19302.1482745,33.49
280,-19481.425291,33.81
281,-19126.048113,33.52
282,-19202.0274575,34.61
283,-18783.2917135,34.72
284,-18708.9690595,34.15
285,-18769.812396499998,33.93
286,-18879.3850135,34.39
287,-18902.597059,33.93
288,-18888.382602,60.11
289,-18905.023021,33.21
290,-19133.136963,32.57
291,-19216.241914500002,33.26
292,-18850.543896,33.82
293,-18990.866369,33.4
294,-18954.306281499998,33.86
295,-18833.3757515,32.58
296,-19221.894616,34.15
297,-18935.8752715,34.72
298,-19120.849623000002,34.03
299,-19247.522121500002,34.04
300,-19471.309239500002,33.49
301,-19227.492181999998,33.52
302,-19751.6128705,33.99
303,-19343.5419075,34.53
304,-19745.028116499998,33.97
305,-19863.805736500002,34.67
306,-20085.327048,34.97
307,-19776.9541965,35.65
308,-19509.7885675,35.19
309,-19722.083872,34.97
310,-19542.079592,34.17
311,-19659.8306415,34.94
312,-19667.546986,33.98
313,-19497.829415,33.51
314,-19146.624156500002,34.03
315,-19543.4317245,33.14
316,-19884.297764,33.99
317,-19214.805766,32.27
318,-19645.020196,33.79
319,-19238.1228315,34.28
320,-19159.6308835,34.14
321,-19215.82446,34.38
322,-19640.8325235,33.62
323,-19483.609707,33.5
324,-19330.0678415,33.96
325,-19208.0503545,33.02
326,-19014.737415,33.4
327,-19314.590518999998,33.55
328,-18913.6267845,32.46
329,-18963.868352499998,31.8
