model,Gsolv,timing
0,-62.224349999999994,0.04
1,-64.865603,0.06
2,-68.966634,0.05
3,-65.448464,0.06
4,-67.2784375,0.05
5,-61.665118500000005,0.05
6,-68.163231,0.05
7,-67.648633,0.05
8,-66.0339505,0.05
9,-64.71594950000001,0.04
10,-67.659135,0.05
11,-71.382094,0.05
12,-69.3420805,0.05
13,-67.7300235,0.06
14,-67.774657,0.05
15,-65.695261,0.04
16,-65.994568,0.04
17,-67.128784,0.04
18,-68.05558549999999,0.04
19,-69.4996105,0.06
20,-66.68769999999999,0.04
21,-65.8921735,0.05
22,-69.9564475,0.04
23,-67.380832,0.05
24,-68.115972,0.06
25,-66.619437,0.05
26,-64.592551,0.05
27,-65.7241415,0.05
28,-71.4214765,0.06
29,-62.022186500000004,0.06
30,-66.325381,0.05
31,-68.21574100000001,0.05
32,-64.97324850000001,0.07
33,-67.7352745,0.04
34,-63.2561715,0.05
35,-68.8432355,0.04
36,-69.8724315,0.05
37,-65.00738,0.06
38,-62.087824,0.05
39,-67.023764,0.04
40,-69.612507,0.06
41,-64.2486105,0.05
42,-61.483959000000006,0.05
43,-65.721516,0.05
44,-70.0824715,0.04
45,-63.3664425,0.05
46,-68.814355,0.04
47,-66.93974800000001,0.04
48,-66.125843,0.05
49,-67.7930355,0.06
50,-64.55579399999999,0.04
51,-69.559997,0.05
52,-67.4464695,0.04
53,-65.6453765,0.06
54,-70.49204950000001,0.06
55,-67.16028999999999,0.04
56,-65.4825955,0.04
57,-65.464217,0.05
58,-65.96306200000001,0.04
59,-69.791041,0.05
60,-64.77371049999999,0.07
61,-68.877367,0.04
62,-67.281063,0.06
63,-66.6483175,0.04
64,-66.1914805,0.04
65,-67.375581,0.04
66,-66.761214,0.06
67,-67.8297925,0.05
68,-68.5596815,0.05
69,-67.9610675,0.05
70,-70.3292685,0.04
71,-67.464848,0.04
72,-64.035945,0.06
73,-65.01000549999999,0.06
74,-64.592551,0.05
75,-65.458966,0.04
76,-65.0205075,0.03
77,-61.1295165,0.06
78,-63.426829,0.05
79,-68.27875300000001,0.04
80,-64.933866,0.06
81,-62.807210999999995,0.05
82,-69.11891299999999,0.05
83,-71.2114365,0.06
84,-71.0906635,0.05
85,-68.063462,0.05
86,-68.5596815,0.06
87,-66.9108675,0.06
88,-69.2528135,0.05
89,-67.39395950000001,0.05
90,-66.9843815,0.05
91,-65.29093400000001,0.04
92,-69.99583,0.04
93,-69.791041,0.06
94,-68.7539685,0.06
95,-69.0480245,0.06
96,-65.7714005,0.05
97,-68.614817,0.04
98,-74.018096,0.06
99,-65.92367949999999,0.05
100,-68.9114985,0.05
101,-66.545923,0.05
102,-68.00045,0.04
103,-71.0644085,0.04
104,-65.31981449999999,0.05
105,-75.3912325,0.05
106,-68.5596815,0.05
107,-67.0053855,0.06
108,-63.86266199999999,0.04
109,-63.820654,0.04
110,-68.462538,0.04
111,-65.3355675,0.05
112,-68.2551235,0.03
113,-65.43008549999999,0.04
114,-69.03227150000001,0.06
115,-64.4061405,0.04
116,-69.0165185,0.05
117,-64.00968999999999,0.05
118,-67.84291999999999,0.05
119,-68.1028445,0.05
120,-65.8764205,0.05
121,-67.9190595,0.05
122,-66.367389,0.05
123,-67.2311785,0.04
124,-62.4527685,0.05
125,-67.6775135,0.05
126,-65.4143325,0.03
127,-67.433342,0.06
128,-67.4622225,0.05
129,-65.732018,0.05
130,-65.3723245,0.05
131,-65.9971935,0.05
132,-71.0118985,0.06
133,-66.6063095,0.06
134,-68.58856200000001,0.03
135,-70.03258699999999,0.05
136,-63.243044,0.05
137,-66.4592815,0.06
138,-65.332942,0.06
139,-67.464848,0.05
140,-67.438593,0.06
141,-63.6499965,0.05
142,-63.705132,0.04
143,-68.4704145,0.04
144,-68.5754345,0.04
145,-70.10085000000001,0.06
146,-69.623009,0.06
147,-64.582049,0.05
148,-64.7369535,0.05
149,-63.9388015,0.06
150,-63.668375000000005,0.05
151,-68.2813785,0.04
152,-64.776336,0.05
153,-64.382511,0.05
154,-65.5981175,0.04
155,-72.84187200000001,0.04
156,-67.4884775,0.05
157,-63.928299499999994,0.05
158,-69.94332,0.05
159,-67.7720315,0.05
160,-65.7503965,0.05
161,-67.480601,0.05
162,-69.360459,0.04
163,-64.582049,0.04
164,-65.2673045,0.05
165,-69.255439,0.05
166,-60.845962500000006,0.06
167,-70.9226315,0.04
168,-64.540041,0.04
169,-68.8537375,0.04
170,-66.8741105,0.06
171,-66.69295100000001,0.06
172,-64.340503,0.06
173,-63.43470549999999,0.04
174,-65.89479899999999,0.05
175,-64.1225865,0.04
176,-66.21511,0.05
177,-67.365079,0.05
178,-65.868544,0.05
179,-63.7392635,0.05
180,-65.1097745,0.05
181,-64.172471,0.05
182,-62.124581,0.04
183,-65.485221,0.04
184,-64.419268,0.05
185,-68.18686050000001,0.05
186,-67.2731865,0.05
187,-71.823178,0.04
188,-64.8419735,0.05
189,-66.236114,0.04
190,-64.839348,0.06
191,-72.9127605,0.04
192,-65.921054,0.05
193,-67.6092505,0.05
194,-66.8898635,0.06
195,-70.5708145,0.06
196,-66.3070025,0.05
197,-66.0759585,0.06
198,-65.32244,0.05
199,-71.28495050000001,0.04
200,-67.5567405,0.06
201,-63.9493035,0.05
202,-66.362138,0.05
203,-68.8747415,0.06
204,-67.5357365,0.05
205,-66.167851,0.05
206,-64.5951765,0.05
207,-67.6617605,0.05
208,-65.527229,0.06
209,-66.17572750000001,0.04
210,-68.530801,0.06
211,-64.3116225,0.06
212,-67.40446150000001,0.05
213,-67.2259275,0.06
214,-68.5754345,0.05
215,-64.4954075,0.04
216,-70.4500415,0.04
217,-67.87705150000001,0.03
218,-65.7766515,0.04
219,-69.7516585,0.05
220,-65.5771135,0.05
221,-67.149788,0.05
222,-62.715318499999995,0.05
223,-68.5491795,0.04
224,-68.99814,0.06
225,-67.93481249999999,0.04
226,-67.56199149999999,0.06
227,-65.448464,0.06
228,-66.1626,0.04
229,-67.0001345,0.06
230,-69.1320405,0.05
231,-66.682449,0.06
232,-64.0333195,0.04
233,-68.084466,0.05
234,-66.37264,0.05
235,-66.21511,0.04
236,-71.2009345,0.05
237,-64.214479,0.06
238,-65.32244,0.05
239,-67.743151,0.05
240,-67.6565095,0.05
241,-64.224981,0.05
242,-69.6308855,0.06
243,-63.8022755,0.04
244,-67.291565,0.05
245,-67.2128,0.04
246,-66.0917115,0.04
247,-65.3145635,0.06
248,-65.8501655,0.04
249,-70.814986,0.05
250,-62.082573000000004,0.05
251,-69.008642,0.05
252,-66.9056165,0.05
253,-65.789779,0.06
254,-68.05558549999999,0.03
255,-64.335252,0.03
256,-67.653884,0.05
257,-68.06083650000001,0.06
258,-65.936807,0.05
259,-67.7510275,0.05
260,-70.1139775,0.05
261,-65.437962,0.04
262,-67.596123,0.05
263,-64.6109295,0.06
264,-68.66470149999999,0.05
265,-69.57575,0.05
266,-67.543613,0.04
267,-69.1582955,0.05
268,-66.992258,0.06
269,-65.7819025,0.05
270,-65.469468,0.06
271,-66.0864605,0.05
272,-63.550227500000005,0.05
273,-63.1301475,0.05
274,-67.165541,0.05
275,-69.2948215,0.05
276,-66.4277755,0.06
277,-65.275181,0.05
278,-68.02670499999999,0.04
279,-65.0205075,0.06
280,-67.9190595,0.05
281,-67.365079,0.06
282,-67.53311099999999,0.06
283,-65.8396635,0.05
284,-70.72046800000001,0.05
285,-66.430401,0.06
286,-68.935128,0.06
287,-63.3926975,0.06
288,-71.0013965,0.05
289,-64.513786,0.06
290,-71.340086,0.05
291,-63.411076,0.06
292,-60.9772375,0.04
293,-68.49929499999999,0.04
294,-65.37495,0.05
295,-66.8005965,0.05
296,-68.982387,0.05
297,-70.07196950000001,0.05
298,-70.4710455,0.05
299,-65.999819,0.05
300,-68.2183665,0.05
301,-67.449095,0.04
302,-62.623426,0.05
303,-65.453715,0.05
304,-70.78610549999999,0.05
305,-71.41097450000001,0.06
306,-67.47535,0.06
307,-67.501605,0.06
308,-68.220992,0.06
309,-66.860983,0.06
310,-65.542982,0.06
311,-65.789779,0.04
312,-69.796292,0.06
313,-67.84817100000001,0.06
314,-67.989948,0.05
315,-65.9446835,0.07
316,-65.9289305,0.06
317,-69.5048615,0.06
318,-66.0129465,0.03
319,-68.4494105,0.05
320,-67.52786,0.05
321,-70.2137465,0.06
322,-66.3962695,0.05
323,-66.1022135,0.04
324,-68.2236175,0.05
325,-67.57774450000001,0.04
326,-70.909504,0.05
327,-67.39395950000001,0.05
328,-69.475981,0.06
329,-63.720885,0.05
330,-67.7930355,0.04
331,-66.9948835,0.06
332,-65.6558785,0.04
333,-64.35363050000001,0.06
334,-68.903622,0.04
335,-64.424519,0.04
336,-65.13077849999999,0.05
337,-65.9499345,0.06
338,-74.700726,0.05
339,-69.176674,0.05
340,-68.2971315,0.06
341,-64.3168735,0.04
342,-66.3227555,0.04
343,-71.7785445,0.05
344,-65.50885050000001,0.06
345,-69.0637775,0.04
346,-71.1169185,0.04
347,-67.769406,0.06
348,-69.62826,0.04
349,-66.666696,0.05
350,-66.63519,0.05
351,-64.63718449999999,0.05
352,-68.1816095,0.05
353,-63.9177975,0.05
354,-69.423471,0.05
355,-70.3975315,0.04
356,-66.902991,0.03
357,-68.4284065,0.04
358,-65.653253,0.05
359,-66.041827,0.05
360,-67.62500349999999,0.04
361,-65.20954350000001,0.06
362,-66.8688595,0.05
363,-66.089086,0.05
364,-68.2551235,0.05
365,-71.849433,0.05
366,-68.31551,0.06
367,-67.863924,0.05
368,-66.934497,0.05
369,-61.7858915,0.04
370,-70.6810855,0.06
371,-67.0053855,0.04
372,-69.286945,0.04
