model,Gsolv,timing
0,-18726.436511,28.73
1,-18854.8680945,28.14
2,-19014.060036,27.85
3,-19309.124228,27.74
4,-19117.628134500002,28.01
5,-19292.7857415,27.92
6,-18734.155481,27.65
7,-18823.748043,27.03
8,-18994.016969,28.21
9,-19223.9871395,28.5
10,-19020.3166025,28.13
11,-19025.7251325,28.88
12,-18928.568505,28.8
13,-18855.50084,28.21
14,-18893.875148,27.75
15,-18749.5487875,29.05
16,-18833.4965245,28.95
17,-18930.091295000002,28.72
18,-18778.657706,28.2
19,-19030.2567455,28.24
20,-19238.514031000002,28.43
21,-19548.6354655,28.03
22,-19400.733174,28.95
23,-19504.7791135,28.34
24,-19020.786567,28.17
25,-19415.252189000003,28.17
26,-19429.482399,28.82
27,-19241.5937425,29.36
28,-19435.783599,28.95
29,-19230.3303475,28.71
30,-18773.931806,29.62
31,-18931.073232,28.26
32,-18918.4051945,28.56
33,-18878.810029,28.59
34,-19405.926413,28.62
35,-19037.889074,28.59
36,-18871.952223,28.66
37,-18511.98042,28.56
38,-18667.452028,28.92
39,-18660.720246,28.29
40,-18579.9362365,28.82
41,-18489.03355,29.59
42,-18424.653664499998,28.53
43,-18777.9041875,28.33
44,-18735.799044,27.51
45,-19101.066480499998,28.63
46,-18866.958522,28.03
47,-18861.2270555,28.25
48,-19497.0076335,27.73
49,-19224.5910045,27.96
50,-19414.243997,28.26
51,-19307.286378,28.45
52,-19404.5742805,28.29
53,-19837.164788000002,28.79
54,-19256.784885499997,28.05
55,-19427.3531185,27.44
56,-19566.197435000002,28.6
57,-19425.281599,28.5
58,-18998.530203500002,29.02
59,-18628.0248945,29.21
60,-19034.307892,29.55
61,-19094.639256500002,29.34
62,-19347.083707,30.65
63,-19309.743846,30.33
64,-19137.1408505,30.52
65,-18996.7186085,30.97
66,-19086.938664999998,30.13
67,-19221.030826500002,29.77
68,-18971.684466000002,30.78
69,-18896.8655925,30.19
70,-19029.0385135,30.18
71,-19342.5127115,30.31
72,-19687.1673475,31.32
73,-19725.076942,31.15
74,-19394.211432,29.79
75,-19592.6545985,30.84
76,-19469.8179555,29.15
77,-19454.235613,30.73
78,-19503.7709215,29.45
79,-19828.3719885,29.18
80,-19785.9176535,28.67
81,-19841.8513055,29.39
82,-19529.813256,29.04
83,-19472.010248000002,28.61
84,-19509.2057065,28.13
85,-19288.3854035,27.56
86,-19354.860438,28.78
87,-19388.382822,28.21
88,-18995.6841615,28.65
89,-19247.2700735,28.27
90,-19167.213327499998,28.75
91,-18993.7622955,28.58
92,-19417.255445500003,29.13
93,-19260.0930155,28.28
94,-18974.299464,28.1
95,-18647.7634035,27.1
96,-19021.7501255,27.55
97,-19187.7762435,28.18
98,-19019.177135500002,27.5
99,-18894.9017185,27.57
100,-19027.2269185,28.13
101,-19195.4794605,27.89
102,-19196.6924415,28.29
103,-19148.905716,29.29
104,-18933.0449825,28.75
105,-19075.4205965,27.93
106,-19056.3384625,27.99
107,-18831.5904115,28.18
108,-18870.166883,28.17
109,-18623.333125999998,28.38
110,-19259.229226,29.26
111,-19151.3343035,28.92
112,-19240.393889,29.62
113,-19441.93252,29.87
114,-19147.7268665,30.74
115,-18948.81111,30.65
116,-18516.5041565,31.53
117,-18969.2243725,31.58
118,-19089.459145,31.73
119,-18897.272545,30.76
120,-19274.7275525,30.14
121,-18829.975729,30.01
122,-18560.378887,30.41
123,-18816.9873805,30.59
124,-18970.203684,31.07
125,-19392.7227735,29.87
126,-19363.808141999998,30.22
127,-19200.2368665,30.45
128,-19173.023559,30.79
129,-19017.4758115,30.11
130,-19188.1490645,31.28
131,-18996.474437,31.16
132,-19416.790731999998,32.3
133,-19589.8033055,30.18
134,-19316.9665965,31.19
135,-19004.3010525,29.66
136,-19499.3285755,29.31
137,-18583.191856499998,28.97
138,-18937.5450895,28.9
139,-18984.496906,28.47
140,-19144.1824415,28.36
141,-18932.850695499998,28.32
142,-18817.3076915,29.96
143,-19033.698776,29.42
144,-19223.900498000003,29.22
145,-18899.551478999998,28.84
146,-18730.902486500003,29.46
147,-18789.44326,28.7
148,-19102.586645,28.88
149,-19005.7135715,29.33
150,-18705.6189215,28.63
151,-18941.0527575,28.97
152,-19150.4836415,28.99
153,-19201.552241999998,29.27
154,-19178.0513915,29.5
155,-18949.0342775,28.61
156,-19233.089748000002,29.23
157,-19011.135229,28.09
158,-19087.9914905,29.88
159,-19206.3805365,29.83
160,-18924.5646175,30.3
161,-18908.2340075,30.03
162,-19033.982330000003,29.76
163,-19293.460495,29.85
164,-18576.163393,30.87
165,-18765.8478915,31.0
166,-18838.503353,29.16
167,-18735.216183,29.87
168,-18730.584801,30.03
169,-19046.631988999998,30.2
170,-18988.4482835,30.25
171,-19044.631358,31.05
172,-18867.8013075,30.14
173,-19046.912917499998,31.19
174,-18937.9021575,29.96
175,-18700.28128,29.71
176,-19067.7068775,30.57
177,-18709.2788685,30.75
178,-18771.322059000002,31.26
179,-19059.0637315,31.43
180,-18847.440555,30.21
181,-19245.723653999998,29.96
182,-18971.684466000002,29.97
183,-18738.277516,30.33
184,-19046.9076665,30.92
185,-19041.916591,30.83
186,-19008.1132785,30.32
187,-19082.315159499998,31.3
188,-19001.3972495,30.57
189,-18971.3667805,30.52
190,-18535.4865215,30.7
191,-18729.5214735,30.93
192,-18880.3511975,29.7
193,-18839.3198835,30.56
194,-18911.8624485,30.67
195,-18846.663407,30.37
196,-18795.208858,29.96
197,-18966.82204,29.73
198,-19276.386868499998,29.88
199,-18906.0548425,29.6
200,-18586.198054,29.78
201,-18640.645673,29.94
202,-18704.975674,31.11
203,-18843.071723,29.66
204,-18916.743253,28.91
205,-18968.465603,29.46
206,-18745.3899955,30.48
207,-19010.0613995,30.33
208,-18810.8594635,30.05
209,-18690.5327985,31.26
210,-19095.825982500002,30.24
211,-19175.1108315,30.15
212,-18971.4980555,29.87
213,-18897.4116965,28.62
214,-18986.5316685,29.09
215,-18887.547693,29.47
216,-18706.3068025,29.53
217,-18988.7633435,29.82
218,-18971.096354,29.41
219,-19413.493104,30.61
220,-19115.078773999998,29.45
221,-19344.536971999998,29.28
222,-18784.286778,29.79
223,-18977.056239,30.13
224,-19019.657602,29.71
225,-19244.1877365,30.58
226,-18822.461548,29.86
227,-19264.4145885,29.74
228,-19193.3318015,30.39
229,-19219.077454500002,29.62
230,-19154.2066005,29.4
231,-18976.840948,29.23
232,-19246.96289,29.16
233,-19293.192694,29.47
234,-19149.015987,30.15
235,-19366.7723315,29.94
236,-19386.229912,29.3
237,-19424.9744155,29.1
238,-19087.5294025,29.67
239,-19340.58822,29.5
240,-19617.9224105,29.96
241,-19859.2006095,30.23
242,-19227.949019,30.8
243,-19433.604434,30.08
244,-19096.737031,28.84
245,-19311.2850145,29.53
