model,Gsolv,timing
0,-1958.2948124999998,32.53
1,-1974.869594,31.62
2,-1998.0448825,31.3
3,-2041.3866365,31.03
4,-2015.165768,31.4
5,-2035.5790304999998,31.02
6,-1958.854044,30.8
7,-1967.4788115,30.63
8,-1993.846708,31.23
9,-2032.2682750000001,32.21
10,-2001.3215065000002,31.1
11,-2000.1899159999998,31.92
12,-1983.2475645,32.59
13,-1970.6451645,31.72
14,-1981.055272,31.44
15,-1955.3568779999998,32.18
16,-1970.8604555000002,32.29
17,-1985.8573115,32.12
18,-1961.763098,32.0
19,-1997.7035675000002,31.44
20,-2030.5249430000001,31.84
21,-2077.831202,31.29
22,-2056.958477,32.26
23,-2072.685222,31.68
24,-1998.7380145000002,31.68
25,-2054.868579,31.76
26,-2057.268286,32.02
27,-2031.2627085,32.29
28,-2064.551423,32.37
29,-2030.9371465,31.67
30,-1959.972507,33.18
31,-1989.7430515,31.85
32,-1985.0329045,32.01
33,-1978.5164135000002,32.05
34,-2055.03136,31.62
35,-2000.006131,31.92
36,-1974.4888965,32.08
37,-1919.2877589999998,31.81
38,-1945.6950379999998,32.64
39,-1940.4807950000002,31.78
40,-1934.1769695,31.72
41,-1916.840793,33.6
42,-1907.945599,32.44
43,-1960.907185,32.06
44,-1959.4605345,30.85
45,-2011.1618805,31.86
46,-1976.21385,31.09
47,-1971.2359020000001,31.48
48,-2063.679757,31.08
49,-2024.171233,31.2
50,-2054.5981525,31.55
51,-2044.4348420000001,31.99
52,-2056.1839545000003,31.62
53,-2118.3873005,32.45
54,-2032.1658805,31.52
55,-2057.872151,30.6
56,-2079.212215,31.7
57,-2055.9004005,32.4
58,-1990.459813,32.61
59,-1936.9494975,32.81
60,-1997.9976235000001,33.1
61,-2014.1943330000001,32.98
62,-2048.7537895,34.9
63,-2042.3449440000002,34.15
64,-2017.943547,34.29
65,-1995.2986095,34.49
66,-2004.6558915,33.92
67,-2027.8311800000001,33.29
68,-1994.2667880000001,34.5
69,-1981.5829975,34.1
70,-1997.7823325,34.05
71,-2047.31239,34.02
72,-2095.033478,35.11
73,-2101.3688094999998,35.05
74,-2049.8039895,33.04
75,-2080.314925,34.64
76,-2064.341383,32.9
77,-2067.1270385,34.48
78,-2069.513618,33.06
79,-2124.0400019999997,32.23
80,-2116.7437375,32.11
81,-2122.727252,32.68
82,-2070.1253595,32.13
83,-2067.9356924999997,32.01
84,-2070.7187225000002,31.66
85,-2033.8409495,30.75
86,-2044.5083559999998,31.98
87,-2055.482946,31.57
88,-1995.2119679999998,32.14
89,-2027.9808335,32.08
90,-2022.1075899999998,32.18
91,-1997.11283,32.44
92,-2057.7277485,32.59
93,-2035.1431975,31.7
94,-1995.4403865,31.17
95,-1944.833874,29.99
96,-2002.1327860000001,30.8
97,-2023.987448,31.49
98,-2002.211551,30.4
99,-1984.1848679999998,30.89
100,-2004.3408315,31.74
101,-2026.5315575,31.36
102,-2027.9965865,31.84
103,-2021.9159285,33.07
104,-1991.089933,32.29
105,-2014.0263009999999,31.26
106,-2004.805545,31.25
107,-1972.2834764999998,31.46
108,-1975.6887499999998,31.37
109,-1939.6563879999999,32.35
110,-2038.6876225,32.67
111,-2021.902801,32.38
112,-2027.8128015,33.17
113,-2061.2616715,33.8
114,-2022.758714,35.03
115,-1992.9671655,35.17
116,-1924.654281,35.49
117,-1996.382941,35.22
118,-2010.277087,36.05
119,-1985.103793,34.52
120,-2040.9823095,34.03
121,-1971.5063284999999,34.35
122,-1930.4330065,34.03
123,-1971.01536,34.38
124,-1990.459813,35.35
125,-2056.2574685,33.84
126,-2052.8390675,34.26
127,-2030.0523529999998,35.07
128,-2022.6930765,34.07
129,-1999.5440429999999,33.72
130,-2020.8394735,35.15
131,-2002.7865355,35.07
132,-2061.1198945,36.2
133,-2086.374579,33.96
134,-2043.5920565000001,34.78
135,-1998.178783,33.07
