model,Gsolv,timing
0,-18757.995021000002,31.86
1,-18571.6396565,30.64
2,-18750.1368995,30.98
3,-18197.960118,30.9
4,-18547.913013,31.03
5,-18673.81624,31.68
6,-18781.14668,30.88
7,-18572.1122465,31.6
8,-18958.2445315,31.92
9,-18389.632120000002,31.2
10,-18609.866936500002,32.89
11,-18572.886769,30.77
12,-18540.645629,31.37
13,-18720.5002555,30.91
14,-18716.71691,30.8
15,-18884.9143165,30.46
16,-18964.4984725,31.47
17,-18546.7079085,31.65
18,-18891.4570625,30.93
19,-18517.7433925,30.9
20,-18751.3866375,31.63
21,-18620.124765,32.04
22,-19172.445949,32.06
23,-18812.153835,31.76
24,-18549.1076155,32.82
25,-18716.491116999998,32.41
26,-18894.9489775,32.13
27,-18583.562051999997,32.19
28,-18437.6236345,32.67
29,-18805.968157,33.29
30,-19095.20899,33.54
31,-19285.704768,34.1
32,-19157.304690499997,33.89
33,-18854.429636,33.22
34,-18847.1228695,33.26
35,-18834.428577,32.69
36,-18992.068848,32.14
37,-18993.0429085,33.33
38,-18880.3459465,33.44
39,-19215.9373565,33.0
40,-18947.2489375,31.61
41,-19061.775873000002,32.46
42,-19063.944536000003,33.1
43,-19071.624123499998,32.97
44,-19069.0721375,32.81
45,-18999.021172,32.34
46,-18873.9239735,32.28
47,-18964.873919,32.26
48,-19162.9127585,32.69
49,-19256.5118335,32.18
50,-19186.644653,32.31
51,-18913.1331905,32.19
52,-19502.859872999998,33.01
53,-19790.8798485,32.45
54,-19468.158639499998,32.6
55,-19226.935576,33.13
56,-18967.03208,33.02
57,-19092.494222999998,33.3
58,-19369.7023895,33.02
59,-19335.7966825,33.63
60,-19571.285654,32.66
61,-19721.075679999998,33.77
62,-19422.50382,33.11
63,-19386.542346500002,32.81
64,-19316.3049705,33.67
65,-19159.7516565,33.05
66,-19213.734562,33.02
67,-18981.293796,33.56
68,-18686.707445,33.13
69,-19337.1566915,33.68
70,-19262.117276,32.87
71,-19150.5729085,34.22
72,-19688.1230295,33.15
73,-19591.302466,33.73
74,-19547.233448500003,32.82
75,-19348.8716725,32.9
76,-19335.058917000002,32.67
77,-19473.144464,33.13
78,-19190.378114,32.71
79,-19379.8998315,33.55
80,-19540.367766,32.52
81,-19359.523326,33.47
82,-19243.849047,33.89
83,-19785.2770315,33.31
84,-19752.316504500002,34.02
85,-19445.8261365,32.57
86,-19821.561441500002,32.62
