model,Gsolv,timing
0,-18833.189340999998,32.14
1,-18639.017863,30.66
2,-18821.337834,30.64
3,-18271.7655485,30.99
4,-18603.416083,30.85
5,-18758.8220535,31.63
6,-18856.5221595,31.08
7,-18647.939312,31.32
8,-19026.546914,31.41
9,-18461.119234,31.29
10,-18672.513992,32.46
11,-18644.583923000002,30.68
12,-18626.118781499998,31.13
13,-18800.0686585,30.89
14,-18795.3375075,31.01
15,-18944.7914695,30.14
16,-19060.775557499997,31.23
17,-18617.8379545,31.57
18,-18965.388517,30.88
19,-18600.396758,31.13
20,-18830.923534499998,31.4
21,-18707.427891,31.81
22,-19249.3652225,31.78
23,-18915.6431685,31.87
24,-18632.6615275,33.27
25,-18796.390333,32.47
26,-18987.568741,31.68
27,-18681.230652000002,32.34
28,-18534.454700000002,32.81
29,-18891.8666405,33.32
30,-19173.2519775,33.39
31,-19349.325883999998,34.11
32,-19249.499123,33.93
33,-18959.9668595,33.15
34,-18946.584686,33.21
35,-18917.7278155,32.54
36,-19085.0194245,32.13
37,-19077.287327000002,33.38
38,-18965.9057405,33.5
39,-19299.814205,33.29
40,-19037.9599625,31.6
41,-19144.694413999998,32.5
42,-19153.542349,33.12
43,-19157.239052999998,32.87
44,-19158.1921095,32.66
45,-19082.4359325,32.23
46,-18968.02977,32.6
47,-19043.641544500002,32.2
48,-19243.696768,32.55
49,-19301.336995,32.39
50,-19271.4509285,32.38
51,-18983.0922635,32.08
52,-19568.2637035,32.6
53,-19845.466619,32.4
54,-19552.0066075,32.53
55,-19323.4568325,32.99
56,-19044.332051,32.7
57,-19178.7760295,32.8
58,-19467.7648145,33.04
59,-19412.164601,33.6
60,-19670.009705,32.58
61,-19798.916504,33.48
62,-19494.413639500002,33.04
63,-19469.479266,32.62
64,-19394.518615499997,33.25
65,-19250.139745,32.97
66,-19287.605630000002,32.85
67,-19066.507024,33.65
68,-18780.5769465,33.21
69,-19417.276449499997,33.38
70,-19322.8739715,32.76
71,-19229.8892635,33.58
72,-19751.389703,33.18
73,-19688.705890499998,33.39
74,-19617.3763065,32.76
75,-19413.1019045,32.86
76,-19414.921376000002,32.46
77,-19520.114659,33.03
78,-19247.887066,32.73
79,-19443.4421825,33.6
80,-19603.45328,32.35
81,-19432.8666685,33.38
82,-19325.8092805,33.74
83,-19868.5368875,33.19
84,-19840.0607145,33.6
85,-19523.601323,32.34
86,-19861.9941415,32.62
87,-19667.3080655,32.87
88,-19737.067600500002,31.49
89,-19690.577871999998,31.88
90,-19671.3933435,32.58
91,-19498.842858,32.16
92,-19400.7883095,32.03
93,-19226.7964245,31.49
94,-19359.0743655,31.92
95,-19506.9845335,32.14
96,-19127.7730665,31.74
97,-19611.4794335,31.63
98,-19145.413801,31.15
99,-18769.6443645,31.43
100,-18722.2908465,31.96
101,-18675.764361,30.88
102,-18368.3629445,31.38
103,-18480.1934915,31.03
104,-19083.1500685,31.61
105,-18834.2946765,30.5
106,-18952.507814,30.64
107,-18655.4771225,31.48
108,-19180.4721025,31.89
109,-18780.842122,30.74
110,-18696.169747,31.4
111,-19160.489422000002,31.72
112,-19320.051559,31.34
113,-19227.780987000002,31.56
114,-19520.2328065,32.41
115,-19416.055592,31.53
116,-19257.433384,30.82
117,-19173.5407825,31.15
118,-19070.282493000002,30.17
119,-18903.505482,30.02
120,-18885.452544,30.73
121,-18830.1883945,31.12
122,-19135.9016145,30.65
123,-18595.030236,31.41
124,-18667.743458499997,30.67
125,-18664.590233,30.41
126,-18678.3609805,30.61
127,-18530.4665655,29.93
128,-19002.872780499998,29.82
129,-18818.8514855,30.11
130,-19004.4795865,30.05
131,-18772.1543425,30.93
132,-18648.1467265,30.64
133,-18679.671104999998,31.0
134,-19506.3229075,31.84
135,-19016.588392499998,30.51
136,-19090.6012375,31.75
137,-18942.047822,31.44
