model,Gsolv,timing
0,-1.128965,0.05
1,-1.9376190000000002,0.07
2,-1.8247225,0.06
3,-0.714136,0.06
4,-1.6566905,0.07
5,-1.41777,0.06
6,-0.808654,0.05
7,-0.540853,0.06
8,-0.9215505,0.07
9,-1.034447,0.07
10,-1.722328,0.06
11,-0.5251,0.08
12,-1.3967660000000002,0.07
13,-0.462088,0.07
14,-1.2261085,0.06
15,-0.714136,0.05
16,-1.1447180000000001,0.05
17,-1.5753,0.06
18,-1.4834075,0.06
19,-1.370511,0.06
20,-1.3285030000000002,0.06
21,-0.918925,0.07
22,-1.554296,0.07
23,-1.3836385,0.08
24,-1.008192,0.06
25,-0.8795425,0.07
26,-1.480782,0.08
27,-1.176224,0.06
28,-1.885109,0.04
29,-1.0423235,0.06
30,-1.1447180000000001,0.08
31,-0.8979210000000001,0.07
32,-0.8322835000000001,0.06
33,-1.071204,0.05
34,-0.9373035,0.07
35,-1.275993,0.08
36,-1.5516705000000002,0.07
37,-1.7380810000000002,0.06
38,-1.4676545,0.05
39,-2.068894,0.08
40,-1.6698179999999998,0.08
41,-1.244487,0.06
42,-1.060702,0.05
43,-2.5362329999999997,0.07
44,-1.002941,0.05
45,-1.197228,0.07
46,-1.3285030000000002,0.07
47,-2.173914,0.08
48,-1.690822,0.07
49,-2.0295115,0.05
50,-1.6566905,0.06
51,-1.36526,0.07
52,-0.9766859999999999,0.06
53,-1.2549890000000001,0.08
54,-1.4151445,0.06
55,-0.8979210000000001,0.06
56,-1.3862640000000002,0.06
57,-0.3071835,0.07
58,-1.5096625,0.07
59,-1.2549890000000001,0.06
60,-1.6934475,0.05
61,-0.5776100000000001,0.07
62,-1.0423235,0.07
63,-0.8375345,0.06
64,-1.1788495,0.06
65,-1.0449490000000001,0.05
66,-1.4125189999999999,0.06
67,-1.8798579999999998,0.07
68,-1.4125189999999999,0.06
69,-1.6120569999999999,0.07
70,-1.9980054999999999,0.05
71,-1.0318215,0.07
72,-1.4624035,0.06
73,-1.0003155,0.07
74,-1.3678854999999999,0.05
75,-1.323252,0.06
76,-1.1053355,0.06
77,-1.2891205000000001,0.07
78,-1.1735985,0.06
79,-1.6671925,0.07
80,-0.36756999999999995,0.07
81,-1.8457264999999998,0.06
82,-0.9766859999999999,0.08
83,-1.3757620000000002,0.06
84,-0.9924390000000001,0.06
85,-1.0239449999999999,0.05
86,-0.8349089999999999,0.06
87,-1.5621725000000002,0.06
88,-1.2996225,0.07
89,-0.78765,0.05
90,-1.060702,0.07
91,-2.0190095,0.07
92,-1.223483,0.08
93,-1.0318215,0.06
94,-1.5411685,0.07
95,-0.6642515000000001,0.07
96,-1.4597779999999998,0.06
97,-1.239236,0.04
98,-2.1870415,0.05
99,-1.0948335,0.07
100,-1.790591,0.05
101,-0.6432475,0.06
102,-0.882168,0.07
103,-1.769587,0.07
104,-1.1919769999999998,0.07
105,-1.0554510000000001,0.06
106,-0.855913,0.07
107,-1.769587,0.07
108,-1.360009,0.06
109,-0.3071835,0.08
110,-2.210671,0.05
111,-1.307499,0.06
112,-0.5277255000000001,0.07
113,-1.139467,0.06
114,-0.5749845,0.05
115,-1.895611,0.05
116,-1.3363795,0.08
117,-2.2343005,0.07
118,-0.7902755,0.06
119,-1.275993,0.04
120,-1.8929855,0.04
121,-2.0242605,0.06
122,-1.764336,0.06
123,-1.491284,0.08
124,-2.095149,0.07
125,-1.3941405,0.06
126,-1.4597779999999998,0.07
127,-1.1158375,0.07
128,-1.323252,0.07
129,-1.3468815,0.06
130,-1.5437939999999999,0.08
131,-1.4046425,0.07
132,-0.913674,0.07
133,-1.906113,0.05
134,-1.1683474999999999,0.08
135,-1.5674234999999999,0.07
136,-1.449276,0.08
137,-0.955682,0.06
138,-1.0528255,0.07
139,-1.2786185,0.05
140,-1.018694,0.06
141,-1.0055665,0.06
142,-1.1210885000000002,0.08
143,-0.9399289999999999,0.08
144,-1.008192,0.07
145,-1.081706,0.06
146,-1.2628655,0.06
147,-1.0554510000000001,0.07
148,-1.7564595,0.05
149,-1.0633275,0.08
150,-1.0948335,0.06
151,-2.079396,0.07
152,-1.428272,0.05
153,-1.176224,0.08
154,-0.9215505,0.07
155,-1.4939094999999998,0.07
156,-0.913674,0.06
157,-1.5280410000000002,0.07
158,-1.065953,0.06
159,-1.0922079999999998,0.08
160,-1.0239449999999999,0.06
161,-1.4230209999999999,0.08
162,-1.0449490000000001,0.07
163,-1.9244915,0.04
164,-0.777148,0.07
165,-0.9268015000000001,0.07
166,-2.0872725,0.06
167,-1.6645670000000001,0.08
168,-1.002941,0.06
169,-0.9950645,0.06
170,-1.9770014999999999,0.06
171,-1.9349935,0.06
172,-1.0502,0.06
173,-1.307499,0.06
174,-1.165722,0.06
175,-0.7797735,0.06
176,-1.6724435,0.06
177,-0.8165305,0.08
178,-1.4729055,0.05
179,-0.8322835000000001,0.06
180,-0.9793115,0.06
181,-1.3941405,0.07
182,-1.2339849999999999,0.06
183,-0.84016,0.07
184,-1.212981,0.07
185,-0.9766859999999999,0.05
186,-1.4466504999999998,0.07
187,-1.2786185,0.06
188,-1.20773,0.07
189,-2.20542,0.07
190,-1.0003155,0.06
191,-1.5963040000000002,0.06
192,-1.339005,0.07
193,-1.449276,0.06
194,-1.559547,0.06
195,-1.549045,0.04
196,-0.9057974999999999,0.06
197,-0.9924390000000001,0.05
198,-1.6514395,0.08
199,-1.7354555,0.08
200,-1.52279,0.06
201,-1.4361484999999998,0.06
202,-2.079396,0.07
203,-1.501786,0.06
204,-1.1237139999999999,0.06
205,-0.7902755,0.06
206,-1.5254155,0.06
207,-1.3967660000000002,0.06
208,-1.2786185,0.08
209,-1.118463,0.07
210,-1.701324,0.07
211,-0.6957575,0.04
212,-0.8480365,0.08
213,-1.2313595,0.07
214,-1.496535,0.06
215,-1.7302045,0.07
216,-1.7092005,0.07
217,-1.68032,0.06
218,-1.1735985,0.07
219,-1.9980054999999999,0.04
220,-1.318001,0.06
221,-1.26024,0.06
222,-1.6461884999999998,0.06
223,-0.9162995,0.06
224,-1.360009,0.07
225,-1.10271,0.06
226,-1.223483,0.06
227,-0.6878810000000001,0.07
228,-1.4203955000000001,0.08
229,-1.6356864999999998,0.06
230,-1.780089,0.06
231,-1.3206265,0.07
232,-1.270742,0.07
233,-1.302248,0.06
234,-0.8716659999999999,0.07
235,-1.018694,0.07
236,-1.3967660000000002,0.05
237,-1.3993915000000001,0.08
238,-2.5861175,0.07
239,-0.7482675,0.06
240,-1.097459,0.07
241,-2.173914,0.07
242,-1.1000845,0.05
243,-1.8220969999999999,0.07
244,-2.1161529999999997,0.06
245,-1.1158375,0.08
246,-0.918925,0.08
247,-1.7932165,0.06
248,-1.6881965,0.07
249,-1.5963040000000002,0.06
250,-1.9848780000000001,0.06
251,-1.617308,0.08
252,-0.808654,0.06
253,-1.916615,0.05
254,-0.4017015,0.08
255,-0.582861,0.07
256,-1.20773,0.07
257,-1.3941405,0.08
258,-1.296997,0.05
259,-1.68032,0.05
260,-1.6146825,0.07
261,-1.979627,0.07
262,-1.690822,0.05
263,-1.4308975000000002,0.06
264,-1.086957,0.08
265,-1.6645670000000001,0.08
