model,Gsolv,timing
0,-19003.1773385,32.22
1,-19019.2348965,32.82
2,-18476.5755525,31.49
3,-18817.032014,32.59
4,-18719.791370500003,31.69
5,-18809.6307295,32.11
6,-18938.918226,31.74
7,-18918.8147725,33.32
8,-19254.035987,32.57
9,-19301.0665685,32.53
10,-18740.566952,33.62
11,-18744.649604500002,32.69
12,-19145.503068,32.99
13,-19042.614974,32.07
14,-18890.572269,32.3
15,-19133.9692465,32.3
16,-18629.054090499998,32.3
17,-18889.3094035,31.77
18,-18818.838358,31.32
19,-18703.704932,30.8
20,-18359.64891,32.01
21,-18638.6844245,31.31
22,-18622.471962,31.81
23,-18108.54609,31.65
24,-18415.004952,32.61
25,-18679.671104999998,32.6
26,-19210.2452725,32.99
27,-19079.2013165,33.24
28,-19100.171185,32.02
29,-18978.232463,32.04
30,-18960.426322,32.23
31,-18955.2357085,32.49
32,-19131.146834,32.45
33,-18974.021161,32.11
34,-19039.637657,32.41
35,-19086.319047,31.53
36,-19287.71065,32.26
37,-19173.790205,32.49
38,-19206.671967,33.05
39,-19351.510299999998,32.5
40,-19466.882646500002,31.96
41,-19448.212716000002,31.53
42,-19485.206011000002,32.23
43,-19348.391206,31.71
44,-18991.4308515,31.27
45,-19041.4308735,32.04
46,-19286.492418,31.75
47,-18698.5458245,32.17
48,-19100.286707,32.01
49,-19009.5257975,31.4
50,-18935.872646,32.32
51,-19088.6216105,31.24
52,-19082.8035025,31.47
53,-18712.610628,31.49
54,-18772.3118725,30.8
55,-18944.50529,32.31
56,-18882.5041075,30.74
57,-19433.205358,31.68
58,-19186.1904415,31.65
59,-19149.3546765,32.19
60,-19338.7372425,32.4
61,-19463.4484925,32.2
62,-19306.4173375,32.57
63,-19450.3787535,30.58
64,-19107.774633,30.19
65,-19041.793192499998,31.55
66,-19099.099981,31.66
67,-19188.3118455,31.26
68,-18396.279886,31.14
69,-18903.789036,31.5
70,-19235.8071405,30.95
71,-18978.2455905,30.94
72,-19322.514278000002,31.41
73,-19288.2856345,31.74
74,-19424.7223675,32.67
75,-19478.3245755,31.43
76,-19472.582607,31.83
77,-19647.4540345,32.34
78,-19722.469820500002,31.6
79,-19497.6482555,32.67
80,-19462.7081015,31.94
81,-19638.078374,32.45
82,-19358.071424499998,32.24
83,-19504.2487625,33.08
84,-19331.073408,32.07
85,-19440.5541325,32.6
86,-19700.292222,33.82
87,-19471.889475,32.74
88,-19675.3525975,32.63
89,-19484.505002500002,32.82
90,-19416.102851,33.33
91,-19281.010373999998,32.05
92,-18982.83759,33.41
93,-18601.2080375,32.81
94,-18983.619989,31.32
95,-18944.71533,31.27
96,-19181.556434000002,31.97
97,-19334.027095499998,31.24
98,-19267.7437225,31.68
99,-18984.814591500002,31.27
100,-19062.2615905,30.9
101,-19408.6385545,31.22
102,-19139.346270500002,30.79
103,-18946.4140285,30.39
104,-18977.9515345,30.46
105,-19124.436056000002,31.09
106,-19214.107383000002,31.15
107,-19028.610557,31.15
108,-18848.564269000002,30.72
109,-18798.385713,31.5
110,-18684.6621805,31.12
111,-18830.7502515,31.85
112,-19239.7768965,31.45
113,-18686.0641975,32.49
114,-18612.923018499998,31.5
115,-18609.7041555,31.84
116,-18754.0173885,31.89
117,-18619.079815999998,31.52
118,-18841.155108,30.96
119,-18861.891307,32.07
120,-18737.164303999998,30.65
121,-18645.240298,30.67
122,-18354.387408,31.37
123,-18783.814188,31.48
124,-18670.1011575,32.4
125,-18952.864882,33.16
126,-18614.0887405,33.04
127,-18356.172748,31.71
128,-18547.450925,31.56
129,-18999.2495905,31.3
130,-18952.817623000003,31.33
131,-18748.769014,32.33
132,-18630.3458365,31.97
133,-18873.299104499998,31.96
134,-18705.049188,32.06
135,-18689.9026785,31.94
136,-18633.535819,31.71
137,-18512.6289185,31.85
138,-18512.122197,31.95
139,-18441.2258205,31.41
140,-18614.367043500002,31.87
141,-18654.01997,31.93
142,-18886.8624375,32.72
143,-18774.982006,32.78
144,-18869.0037865,32.88
145,-18917.116074,33.63
146,-18878.13265,32.35
147,-18685.959177499997,34.38
148,-18606.907998,34.05
149,-18739.7504215,33.1
150,-18717.5701975,33.86
151,-19126.0454875,33.15
152,-18864.369779,33.66
153,-18986.5211665,33.99
154,-18966.1787925,33.26
155,-18962.962555000002,34.01
156,-19111.6735005,33.02
157,-18989.45385,34.25
158,-18733.247058,32.78
159,-18580.647747,33.07
160,-19092.247426,33.52
161,-18940.7376975,34.23
162,-18673.1729925,33.6
163,-18678.9911005,33.24
164,-18923.2413655,32.73
165,-18540.0076325,33.67
166,-18632.511874,33.07
167,-18607.782289500003,33.81
168,-18576.20015,33.43
169,-18735.1820515,32.78
170,-18691.134038,32.66
171,-18754.6580105,33.21
172,-18850.9193425,32.93
173,-18586.513113999998,33.12
174,-18763.881392,33.29
175,-18839.490541,33.41
176,-18799.2284985,34.3
177,-18813.65037,32.66
178,-18719.736235,31.72
179,-18644.0299425,32.2
180,-19215.8690935,32.76
181,-19101.940772,32.38
182,-19106.062807,33.44
183,-18999.110439,32.77
184,-19160.988267,32.63
