model,Gsolv,timing
0,-1989.4174894999999,31.76
1,-1992.8936515,32.77
2,-1916.6596335000002,31.69
3,-1962.477234,32.47
4,-1950.1610135,31.22
5,-1963.795235,32.42
6,-1979.054641,31.78
7,-1979.800283,33.13
8,-2026.733721,32.53
9,-2038.816272,32.31
10,-1955.52491,33.82
11,-1952.8337725,32.53
12,-2012.5743995,33.04
13,-1998.997939,31.94
14,-1978.8787325,31.33
15,-2019.3796954999998,32.07
16,-1942.4000354999998,31.97
17,-1976.9936235,32.22
18,-1963.1887445000002,31.13
19,-1947.821693,30.96
20,-1895.0491430000002,32.12
21,-1937.4220875,31.36
22,-1934.032567,32.02
23,-1859.673156,32.19
24,-1906.5855900000001,32.3
25,-1945.831564,32.41
26,-2026.7967330000001,33.18
27,-2006.45961,33.26
28,-2008.2869580000001,32.21
29,-1987.3249660000001,32.06
30,-1986.206503,32.34
31,-1984.899004,32.58
32,-2019.7525165000002,31.83
33,-1994.6999954999999,31.87
34,-1999.5466685000001,31.8
35,-2005.9397609999999,31.5
36,-2036.694868,31.94
37,-2016.9143510000001,32.15
38,-2023.3389495000001,32.66
39,-2047.8401155000001,32.4
40,-2070.2776384999997,32.07
41,-2061.9915605,31.38
42,-2066.9905125,32.06
43,-2045.500795,31.24
44,-1994.1040070000001,30.78
45,-2003.6030660000001,32.28
46,-2036.973171,31.58
47,-1949.2105825,32.12
48,-2006.002773,32.17
49,-1992.4210615,31.64
50,-1988.485437,32.41
51,-2006.3414625,31.31
52,-2005.9528885,31.5
53,-1948.1393785,31.19
54,-1963.448669,30.84
55,-1984.3712785,32.1
56,-1974.3707490000002,30.71
57,-2053.681853,31.78
58,-2019.2667989999998,31.67
59,-2016.557283,32.23
60,-2043.6708215,32.55
61,-2062.4536485,32.25
62,-2040.0371294999998,32.76
63,-2055.7743765,30.94
64,-2010.6420314999998,30.26
65,-2001.1797295000001,31.59
66,-2005.981769,31.8
67,-2021.3435695,30.96
68,-1901.4999965,31.51
69,-1975.168901,30.75
70,-2028.6109535,31.58
71,-1994.4899555000002,30.96
72,-2037.314486,31.25
73,-2041.4496485,31.43
74,-2056.0369265,32.54
75,-2065.9718185,31.45
76,-2063.7611475,32.18
77,-2088.7559075,32.31
78,-2103.771142,31.54
79,-2066.3840219999997,32.52
80,-2057.9587925,32.03
81,-2087.4851655,32.18
82,-2046.8686805000002,32.41
83,-2063.7821515,33.18
84,-2043.4607815000002,32.37
85,-2061.610863,32.77
86,-2101.8939095,33.78
87,-2062.4168915,32.75
88,-2089.399155,32.68
89,-2065.281312,32.85
90,-2055.131129,32.94
91,-2032.8065025,31.81
92,-1988.459182,33.03
93,-1929.4405675,33.2
94,-1984.998773,31.68
95,-1985.712909,31.26
96,-2017.6416145,32.03
97,-2040.5779825,31.16
98,-2032.7067335000002,31.43
99,-1992.1480095000002,31.24
100,-2003.041209,31.06
101,-2057.772382,31.26
102,-2014.3597395000002,30.73
103,-1984.6968405,30.38
104,-1992.9461615,30.35
105,-2013.6876115,30.58
106,-2027.4767375000001,31.1
107,-2001.3792675,30.88
108,-1971.9054045,30.48
109,-1964.5277495,31.13
110,-1946.0967395,30.76
111,-1972.454134,31.8
112,-2030.661469,31.64
113,-1947.2099515,32.81
114,-1939.960946,31.78
115,-1938.0600840000002,32.03
116,-1958.932809,32.17
117,-1942.360653,31.87
118,-1970.983854,31.23
119,-1979.012633,32.31
120,-1958.1057765,30.3
121,-1943.610391,30.8
122,-1902.1747500000001,31.69
123,-1967.6048355,31.69
124,-1944.3008975,32.44
125,-1987.4273604999998,33.23
126,-1932.9009765,32.92
127,-1894.429525,31.61
128,-1927.8390125,31.88
129,-1993.447632,31.97
130,-1985.7680444999999,31.62
131,-1956.4097035,32.36
132,-1937.2330514999999,31.92
133,-1976.051069,31.95
134,-1954.3224309999998,32.01
135,-1950.4786989999998,31.93
136,-1945.3353445,31.85
137,-1920.968079,31.53
138,-1919.749847,32.28
139,-1912.3695665,31.92
140,-1938.4460325000002,31.63
141,-1946.640218,31.75
142,-1977.542353,32.66
143,-1959.983009,32.99
144,-1978.1934769999998,32.99
145,-1984.258382,33.61
146,-1978.361509,32.45
147,-1947.4147405,34.85
148,-1930.3069824999998,33.95
149,-1955.383133,32.77
150,-1958.2370515,33.49
151,-2018.3268699999999,33.14
152,-1975.3999450000001,34.04
153,-1996.6218614999998,34.11
154,-1994.650111,33.51
155,-1997.4252645,34.03
156,-2017.1506459999998,33.09
157,-1998.6539985,33.91
158,-1959.8832400000001,32.53
159,-1934.515659,33.02
160,-2015.3259235,33.92
161,-1995.2172190000001,33.57
162,-1953.3562470000002,33.89
163,-1952.6604895,32.86
164,-1990.1027450000001,33.1
165,-1932.572789,33.51
166,-1946.535198,33.3
167,-1938.1677295,33.72
168,-1932.7329445,33.59
169,-1956.9820625,33.01
170,-1950.399934,32.81
171,-1964.4699885,33.07
172,-1979.0415135,33.45
173,-1934.163842,32.79
174,-1960.613129,33.59
175,-1976.6286790000001,33.56
176,-1969.345542,33.76
177,-1969.7918769999999,32.66
178,-1954.4353274999999,32.29
179,-1945.1856910000001,31.84
180,-2028.188248,32.9
181,-2013.364675,32.41
182,-2012.1753234999999,33.45
183,-2000.0822705,32.78
184,-2023.7012685,32.54
185,-1976.7415755000002,32.95
186,-1972.2729745,33.55
187,-1961.337767,32.91
188,-1943.431857,34.94
189,-1946.887015,33.55
190,-1976.0904515,33.83
191,-1954.0099965,33.39
192,-1974.0688165,32.63
193,-1945.978592,33.26
194,-1981.3519535,32.48
195,-1959.274124,32.55
196,-1993.8230785,31.79
197,-1961.1224759999998,32.23
198,-1971.9736675,33.39
199,-1970.768563,34.11
200,-1899.817051,33.54
201,-1952.3086725,34.02
202,-2002.6631369999998,33.84
203,-1932.3916295000001,34.18
204,-1916.9116815,33.47
205,-1907.551774,33.02
206,-1936.3508835,33.53
207,-1961.8759945,32.78
208,-1963.2990155,33.64
209,-1929.3696790000001,33.62
210,-1931.606605,34.81
211,-1901.3897255,34.17
212,-1987.382727,32.92
213,-1991.1293154999998,33.18
214,-1962.6715210000002,32.7
215,-1931.5225890000002,32.23
216,-1952.6079794999998,33.66
217,-1978.5794254999998,34.15
218,-1990.097494,33.93
219,-1978.7107004999998,34.03
220,-1962.5848795,33.4
221,-1944.907388,32.29
222,-1967.0534805,32.71
223,-2023.5017305000001,32.35
224,-1953.8629685,33.7
225,-2017.654742,34.46
226,-1998.9323014999998,34.08
227,-2039.2127225000002,34.07
228,-2039.640679,32.64
229,-1995.2460995,34.23
230,-1995.5086495,33.84
231,-1987.3275915,34.03
232,-1973.7957645,31.97
233,-1960.1746705,32.15
234,-1942.224127,32.62
235,-1967.5496999999998,31.89
236,-1906.1996415,32.71
237,-1936.9442465000002,32.12
238,-1921.9867729999999,31.9
239,-1938.338387,31.51
240,-1964.2494465,32.1
241,-1902.5554475,30.71
242,-1903.7001655,30.85
243,-1919.655329,31.56
244,-1894.8154735,31.31
245,-1925.8173774999998,31.09
246,-1939.015766,31.7
247,-1898.268006,31.97
248,-1872.249301,31.59
249,-1905.3542305,31.69
250,-1910.7312545000002,31.61
251,-1911.568789,31.93
252,-1881.2521405,31.36
253,-1880.9318294999998,31.86
254,-1842.266091,31.81
255,-1880.1389285,32.4
256,-1846.834461,31.49
257,-1869.7261955000001,31.74
258,-1836.2957040000001,32.79
259,-1875.336889,31.8
260,-1881.3939175,31.81
261,-1930.929226,31.48
262,-1948.089494,31.48
263,-1937.4325895,31.91
264,-1928.0910605,31.67
265,-1879.3801589999998,31.89
266,-1925.9145210000001,32.87
267,-1916.016386,30.97
268,-1916.520482,32.24
269,-1925.5495765,32.0
270,-1914.1785360000001,32.83
271,-1912.5165944999999,32.73
272,-1897.4304715,32.72
273,-1882.651532,32.59
274,-1887.0833759999998,32.64
275,-1907.4651325,32.64
276,-1912.51922,32.77
277,-1941.037401,32.49
278,-1949.2394630000001,32.45
