model,Gsolv,timing
0,-1.0843315,0.06
1,-1.0423235,0.06
2,-1.2156065,0.06
3,-0.6957575,0.06
4,-0.7115104999999999,0.05
5,-1.118463,0.06
6,-0.845411,0.04
7,-1.128965,0.06
8,-0.9714349999999999,0.06
9,-1.3731365,0.06
10,-0.9898135,0.05
11,-1.339005,0.06
12,-1.034447,0.07
13,-1.0265705,0.06
14,-1.181475,0.06
15,-2.231675,0.05
16,-0.236295,0.06
17,-0.9110484999999999,0.07
18,-1.2786185,0.05
19,-1.5332919999999999,0.06
20,-1.270742,0.05
21,-1.2549890000000001,0.07
22,-1.149969,0.07
23,-1.1946025,0.07
24,-0.656375,0.05
25,-1.3206265,0.06
26,-0.9057974999999999,0.06
27,-1.8982365,0.06
28,-1.170973,0.06
29,-0.5067215,0.06
30,-1.948121,0.06
31,-0.94518,0.04
32,-1.62781,0.06
33,-1.4466504999999998,0.05
34,-1.1683474999999999,0.06
35,-2.4548425,0.07
36,-1.3101245,0.06
37,-1.4361484999999998,0.05
38,-0.908423,0.06
39,-2.0898980000000003,0.07
40,-1.3468815,0.05
41,-1.1210885000000002,0.07
42,-1.4466504999999998,0.06
43,-1.013443,0.06
44,-0.63012,0.06
45,-1.165722,0.05
46,-0.9215505,0.06
47,-1.4729055,0.06
48,-0.6852555,0.08
49,-1.0449490000000001,0.04
50,-1.4729055,0.06
51,-1.0633275,0.05
52,-1.911364,0.04
53,-1.36526,0.06
54,-1.20773,0.06
55,-1.3941405,0.06
56,-1.9875034999999999,0.07
57,-0.7955265,0.06
58,-1.554296,0.05
59,-1.8063440000000002,0.06
60,-1.3206265,0.06
61,-0.535602,0.06
62,-0.7115104999999999,0.07
63,-0.5487295,0.07
64,-1.974376,0.07
65,-1.449276,0.06
66,-2.215922,0.05
67,-1.6881965,0.06
68,-1.4729055,0.06
69,-1.3993915000000001,0.06
70,-2.2973125,0.06
71,-2.1660375,0.04
72,-2.599245,0.06
73,-2.8276635000000003,0.06
74,-1.1893515000000001,0.06
75,-0.656375,0.05
76,-1.2471125,0.07
77,-1.2051045,0.05
78,-1.7275789999999998,0.07
79,-1.0790805,0.07
80,-0.6012395,0.04
81,-1.1630965,0.07
82,-0.6905065,0.05
83,-0.672128,0.07
84,-1.31275,0.06
85,-0.94518,0.06
86,-1.2523635,0.06
87,-1.0502,0.06
88,-1.9034874999999998,0.05
89,-0.7535185,0.07
90,-1.5831765,0.05
91,-0.8847935,0.06
92,-1.68032,0.06
93,-1.2339849999999999,0.06
94,-0.519849,0.06
95,-1.4519015,0.06
96,-0.94518,0.05
97,-1.1578454999999999,0.06
98,-1.391515,0.07
99,-1.3363795,0.06
100,-0.950431,0.06
101,-1.1315905,0.07
102,-1.244487,0.04
103,-1.160471,0.06
104,-0.808654,0.06
105,-0.8795425,0.06
106,-1.0843315,0.06
107,-1.4151445,0.05
108,-0.929427,0.06
109,-0.5749845,0.06
110,-1.517539,0.06
111,-1.0055665,0.06
112,-0.38594849999999997,0.07
113,-0.388574,0.05
114,-1.7144515,0.08
115,-0.4647135,0.05
116,-0.39907600000000004,0.07
117,-1.244487,0.06
118,-0.21791649999999999,0.04
119,-0.850662,0.06
120,-0.808654,0.05
121,-1.3363795,0.06
122,-2.5283565,0.06
123,-0.850662,0.05
124,-2.462719,0.05
125,-1.1158375,0.06
126,-1.7407065,0.05
127,-1.6934475,0.07
128,-1.6225589999999999,0.04
129,-0.9110484999999999,0.07
130,-1.5411685,0.06
131,-1.5779254999999999,0.06
132,-1.68032,0.06
133,-1.7354555,0.05
134,-1.6120569999999999,0.05
135,-1.228734,0.06
136,-1.5411685,0.06
137,-1.1788495,0.07
138,-1.165722,0.06
139,-2.0872725,0.08
140,-0.6484985,0.08
141,-1.0160685,0.06
142,-2.0977745,0.07
143,-1.4440250000000001,0.07
144,-1.160471,0.06
145,-1.4991605,0.05
146,-1.7144515,0.06
147,-1.816846,0.06
148,-1.071204,0.06
149,-1.764336,0.04
150,-1.3521325000000002,0.06
151,-1.2208575000000002,0.06
152,-1.212981,0.06
153,-1.318001,0.05
154,-1.2156065,0.06
155,-1.9533719999999999,0.06
156,-1.5306665,0.05
157,-1.9244915,0.08
158,-1.170973,0.05
159,-1.381013,0.05
160,-1.633061,0.06
161,-1.5569215,0.07
162,-1.648814,0.06
163,-2.236926,0.05
164,-1.4834075,0.07
165,-1.6120569999999999,0.06
166,-1.843101,0.07
167,-1.5437939999999999,0.06
168,-1.559547,0.06
169,-1.170973,0.06
170,-2.0872725,0.06
171,-1.7827145,0.06
172,-2.446966,0.07
173,-1.748583,0.06
174,-1.6698179999999998,0.05
175,-1.774838,0.07
176,-1.591053,0.07
177,-1.1420925,0.06
178,-1.606806,0.07
179,-1.086957,0.06
180,-1.4834075,0.05
181,-1.7354555,0.06
182,-0.8690405000000001,0.04
183,-1.0370725,0.06
184,-1.3573835,0.07
185,-1.3941405,0.06
186,-2.1975435,0.06
187,-1.638312,0.06
188,-2.1607865,0.07
189,-1.685571,0.05
190,-1.433523,0.07
191,-2.173914,0.05
192,-1.323252,0.06
193,-1.0685785,0.06
194,-1.921866,0.05
195,-1.848352,0.05
196,-1.570049,0.06
197,-1.4624035,0.06
198,-0.9714349999999999,0.06
199,-1.307499,0.07
200,-1.281244,0.07
201,-2.0662685,0.06
