model,Gsolv,timing
0,-80.23528,0.06
1,-84.9953115,0.06
2,-83.396382,0.06
3,-82.26741700000001,0.08
4,-81.558532,0.05
5,-79.2717215,0.06
6,-82.14139300000001,0.06
7,-78.85426700000001,0.07
8,-79.006546,0.06
9,-81.8972215,0.04
10,-80.466324,0.07
11,-77.5388915,0.06
12,-77.546768,0.07
13,-84.09476500000001,0.06
14,-81.920851,0.06
15,-85.20797699999999,0.05
16,-77.898585,0.06
17,-79.7285585,0.06
18,-78.7623745,0.06
19,-81.2933565,0.05
20,-85.89848350000001,0.08
21,-78.491948,0.07
22,-80.555591,0.07
23,-81.2303445,0.05
24,-81.2250935,0.06
25,-81.43513349999999,0.07
26,-80.2536585,0.06
27,-79.4660085,0.06
28,-81.1725835,0.08
29,-82.046875,0.06
30,-80.114507,0.07
31,-80.571344,0.06
32,-83.1942185,0.04
33,-79.33735899999999,0.05
34,-81.085942,0.06
35,-85.90110899999999,0.06
36,-80.9835475,0.06
37,-75.3177185,0.06
38,-83.5355335,0.06
39,-78.81751,0.06
40,-81.9654845,0.05
41,-76.743365,0.06
42,-76.8615125,0.07
43,-86.8751695,0.05
44,-79.6707975,0.06
45,-84.2444185,0.07
46,-83.27298350000001,0.05
47,-80.093503,0.07
48,-78.129629,0.05
49,-84.7957735,0.06
50,-80.0593715,0.06
51,-85.2263555,0.05
52,-81.4823925,0.06
53,-80.71049550000001,0.06
54,-76.953405,0.07
55,-79.967479,0.06
56,-79.75743899999999,0.06
57,-81.7134365,0.06
58,-76.396799,0.06
59,-80.6054755,0.05
60,-77.200202,0.07
61,-74.98428,0.07
62,-78.8306375,0.07
63,-82.77938950000001,0.07
64,-81.217217,0.06
65,-78.318665,0.06
66,-78.392179,0.06
67,-80.01998900000001,0.05
68,-79.2454665,0.06
69,-81.3091095,0.05
70,-75.5750175,0.07
71,-76.654098,0.07
72,-78.297661,0.06
73,-78.7466215,0.06
74,-80.9782965,0.06
75,-79.169327,0.07
76,-83.37275249999999,0.06
77,-87.4212735,0.05
78,-85.4101405,0.07
79,-84.69337900000001,0.07
80,-74.1992555,0.06
81,-78.5365815,0.05
82,-79.42925149999999,0.06
83,-81.3931255,0.06
84,-84.882415,0.08
85,-85.3996385,0.06
86,-80.524085,0.07
87,-78.5628365,0.07
88,-80.508332,0.06
89,-80.6894915,0.07
90,-77.9169635,0.06
91,-81.23297,0.07
92,-79.636666,0.06
93,-82.93166849999999,0.06
94,-82.0389985,0.06
95,-84.5962355,0.07
96,-78.0692425,0.07
97,-85.0740765,0.06
98,-82.792517,0.07
99,-81.458763,0.05
100,-84.34681300000001,0.06
101,-76.5517035,0.06
102,-76.8615125,0.07
103,-80.7787585,0.06
104,-78.880522,0.04
