model,Gsolv,timing
0,-18173.372310500003,35.43
1,-18104.371545,35.1
2,-18342.9481045,36.97
3,-17921.447709,35.42
4,-18609.969331,36.69
5,-18396.82599,37.91
6,-18386.2793565,37.54
7,-18435.074274,36.9
8,-18510.804196,38.02
9,-18807.091871,36.57
10,-18770.975492999998,36.52
11,-18738.235508,36.4
12,-19012.854931500002,35.74
13,-18692.803856,36.0
14,-18843.754353,35.4
15,-19063.3170415,35.19
16,-18979.8576475,36.48
17,-18977.581339,34.0
18,-18933.1815085,35.77
19,-18945.5161075,36.49
20,-18966.457095499998,36.44
21,-18821.7237825,34.59
22,-18703.79945,35.93
23,-18744.8858995,35.65
24,-18619.620669,36.37
25,-18896.7868275,35.93
26,-19025.3995705,35.13
27,-19171.012426,36.17
28,-19000.2315275,35.25
29,-18804.0909245,36.31
30,-19136.00926,35.41
31,-18670.442472500003,35.22
32,-18970.933573000002,34.57
33,-18718.3000865,34.26
34,-18540.278059,34.21
35,-18810.3343635,34.36
36,-18482.564318,34.42
37,-18737.8600615,35.47
38,-18596.67905,35.03
39,-18749.6012975,34.36
40,-18528.4134245,34.68
41,-18966.202422,35.23
42,-18710.7964075,33.76
43,-18661.733689,35.28
44,-18656.834506,34.1
45,-18625.7302075,34.04
46,-18996.7291105,34.78
47,-18901.300062000002,33.42
48,-18778.794232,34.02
49,-18731.2332995,33.68
50,-18812.6343015,35.12
51,-18709.4153945,34.23
52,-18791.921732,34.57
53,-18136.421023500003,35.64
54,-18378.846566,35.04
55,-18237.190339,34.94
56,-18388.392884,34.6
57,-18307.5406115,34.22
58,-18188.188007,34.16
59,-18078.652147,34.44
60,-18233.882209,34.23
61,-18371.778720000002,35.56
62,-18537.594798000002,34.62
63,-18330.159294,35.43
64,-18564.9183765,35.83
65,-18358.0657335,35.14
66,-18149.2649695,35.09
67,-18439.579632,34.79
68,-18479.5686225,35.11
69,-18049.7585195,34.83
70,-18000.7771915,35.83
71,-18300.2259685,34.6
72,-18226.123856500002,35.34
73,-18340.6271625,35.15
74,-18351.693645,33.67
75,-18627.297631,34.38
76,-18375.722221,34.61
77,-18770.046066,36.75
78,-18260.6334285,35.49
79,-18389.679379,35.99
80,-18344.7439465,35.42
81,-18332.790045,35.25
82,-18290.482738,34.94
83,-18558.7116945,34.71
84,-18606.86599,34.33
85,-18823.958083,35.48
86,-18659.6831735,35.4
87,-18571.027915000002,34.5
88,-18483.5331275,34.48
89,-18717.898385,34.83
90,-18525.7826735,34.43
