model,Gsolv,timing
0,-1873.299501,35.04
1,-1856.538309,34.75
2,-1892.9303645,36.49
3,-1830.8031580000002,36.25
4,-1933.9196705,37.17
5,-1903.9784685,37.03
6,-1899.108166,36.95
7,-1913.4250175,37.29
8,-1917.276626,37.71
9,-1965.286519,36.85
10,-1957.6384375,36.16
11,-1950.867273,36.17
12,-1992.0954995,36.17
13,-1943.673403,36.28
14,-1973.0081145,35.91
15,-2003.3956515,35.84
16,-1990.3889244999998,36.45
17,-1991.6806705000001,34.01
18,-1985.597387,35.32
19,-1986.5189375,36.41
20,-1995.6793069999999,36.09
21,-1969.6107175,34.57
22,-1950.48395,35.61
23,-1956.480592,35.18
24,-1940.7617235,35.91
25,-1980.2807495,35.77
26,-1995.390502,35.62
27,-2023.131535,36.06
28,-1996.5404709999998,35.32
29,-1968.2139515000001,36.29
30,-2018.4135115000001,35.97
31,-1945.2093204999999,35.56
32,-1989.567143,34.8
33,-1951.051058,34.42
34,-1926.2190790000002,34.42
35,-1971.6664839999999,33.74
36,-1915.2523655000002,34.62
37,-1956.737891,35.45
38,-1938.4775384999998,35.76
39,-1958.4890994999998,34.75
40,-1921.3592785,34.94
41,-1986.5635710000001,35.36
42,-1950.2345275000002,34.01
43,-1941.1109150000002,35.29
44,-1937.981319,34.61
45,-1936.027947,34.63
46,-1996.193905,35.01
47,-1976.7888345000001,33.45
48,-1960.613129,34.43
49,-1954.275172,34.44
50,-1966.1240535,35.18
51,-1952.6972465000001,34.13
52,-1968.5132585,34.18
53,-1869.1722149999998,35.39
54,-1901.0405340000002,35.07
55,-1882.614775,34.76
56,-1902.4451765,34.64
57,-1891.1896579999998,34.18
58,-1874.013637,34.17
59,-1863.1703220000002,34.56
60,-1876.1744235,34.46
61,-1899.7514135000001,35.46
62,-1921.97102,34.38
63,-1896.4222794999998,35.49
64,-1934.8070894999998,36.33
65,-1899.5072420000001,34.88
66,-1866.6491095,35.1
67,-1906.3335419999999,34.84
68,-1911.8470920000002,34.67
69,-1855.8635554999998,34.7
70,-1844.8259535,35.31
71,-1891.173905,35.02
72,-1879.7503545,35.34
73,-1893.0983965,35.63
74,-1899.8879395,33.9
75,-1939.7167745,34.41
76,-1902.873133,34.6
77,-1958.7805299999998,36.05
78,-1887.0229894999998,35.72
79,-1909.9803615,35.98
80,-1894.5844295,35.47
81,-1892.9251135,35.64
82,-1885.859893,35.5
83,-1928.0963115000002,34.83
84,-1938.4985425,34.54
85,-1968.269087,35.4
86,-1938.6271920000002,35.36
87,-1927.5869645,34.03
88,-1917.7308375,34.01
89,-1951.8045765000002,34.79
90,-1924.417986,34.29
91,-1904.837007,34.56
92,-1920.169927,34.7
93,-1879.3040195,34.78
94,-1884.757183,34.06
95,-1868.8702825,35.07
96,-1912.7423875,34.65
97,-1842.8647050000002,36.07
98,-1886.889089,36.0
99,-1875.2738769999999,35.0
100,-1894.8732345,34.93
101,-1922.7560445,35.51
102,-1921.766231,35.35
103,-1898.3231415,34.66
104,-1900.630956,35.31
105,-1898.02646,35.61
106,-1894.5056645,34.35
107,-1856.9347595000002,33.67
108,-1884.6127804999999,34.88
109,-1964.882192,34.77
110,-1994.040995,34.74
111,-1983.428724,34.17
112,-1957.2026045,34.41
113,-1963.6928405,35.26
114,-1924.717293,35.32
115,-1925.420927,34.19
116,-1957.0188194999998,34.28
117,-1934.027316,33.68
118,-1997.3727545,34.32
119,-1915.9875055,33.87
120,-1897.690396,34.48
121,-1918.8650535,33.89
122,-1854.469415,34.38
123,-1875.221367,33.76
124,-1905.7165495,33.38
125,-1944.319276,33.28
126,-1961.5346795,33.79
127,-1934.400137,34.17
128,-1969.8417614999998,33.97
129,-1898.5594365,36.45
130,-1939.2914435,34.67
131,-1886.5451485,35.82
132,-1881.3624115,35.3
133,-1932.3338684999999,37.31
134,-1917.9513794999998,36.15
135,-1937.1017765,34.84
136,-1969.5240760000002,34.98
137,-1974.528279,35.38
138,-1960.4923560000002,33.75
139,-1934.4421449999998,35.15
140,-1925.8803894999999,35.78
141,-1959.3607654999998,37.15
142,-1926.7363025000002,35.49
143,-1958.076896,35.85
144,-2001.135096,37.2
145,-1992.1611369999998,36.45
146,-1990.3311635,36.11
147,-1930.1258229999999,35.87
148,-1950.515456,36.36
149,-1933.57573,35.56
150,-1980.299128,36.51
151,-1979.8948010000001,36.94
152,-2008.423484,35.87
153,-2069.7840445,36.4
154,-2048.5647535,36.58
155,-1993.2139625000002,36.19
156,-2053.6582235,36.72
157,-1996.22016,35.26
158,-2043.4003950000001,35.28
159,-2027.279825,36.13
160,-2047.196868,36.68
161,-2041.1949749999999,37.21
162,-2079.8292075,36.57
163,-2006.6722755,35.74
164,-2032.6857295000002,36.71
165,-1984.920008,35.43
166,-1984.40541,35.94
167,-2005.1442345,35.59
