model,Gsolv,timing
0,-18732.244117,31.85
1,-18830.66361,32.45
2,-18676.9379595,32.45
3,-18884.754161,31.9
4,-18588.823554,30.98
5,-18866.748482,31.44
6,-18732.653695,31.96
7,-18728.6603095,31.84
8,-18322.7947665,31.41
9,-18551.215892,33.2
10,-18559.840659499998,33.35
11,-18522.3012605,32.86
12,-18362.526458,33.65
13,-18657.947718,33.29
14,-18448.493204500002,33.68
15,-18649.393839,34.16
16,-18061.297592000003,32.29
17,-18579.6474315,33.21
18,-18369.000941,32.63
19,-18847.550826,32.88
20,-18549.7534885,32.6
21,-18721.511072999998,33.32
22,-18643.103141,33.26
23,-18798.207179,33.32
24,-18828.45819,32.62
25,-18770.124830999997,32.96
26,-19028.773338,32.67
27,-19007.974126999998,32.81
28,-19039.994725,33.34
29,-18939.77939,33.23
30,-18740.7901195,32.58
31,-18844.9804615,32.64
32,-18706.123017500002,33.43
33,-18722.256715,33.79
34,-18467.2235215,33.23
35,-18598.1099475,32.88
36,-18533.267974,33.04
37,-18413.639692,32.43
38,-18253.9541565,32.5
39,-18217.919169,32.84
40,-18683.184024000002,32.26
41,-18930.847439,32.88
42,-18691.701146,32.45
43,-18590.4014795,31.73
44,-18527.5365075,32.42
45,-18756.3225775,32.41
46,-18460.6545205,31.68
47,-18761.678597500002,31.67
48,-19104.329977,31.29
49,-18515.627239499998,32.23
50,-18498.915932,32.26
51,-18281.884225499998,32.6
52,-18340.839828,33.14
53,-18235.7961985,32.46
54,-18570.544823,32.24
55,-18848.217703,32.16
56,-18423.7347395,32.23
57,-18190.574586500003,32.61
58,-18500.050148,31.7
59,-18455.9653775,31.54
60,-18129.786385,32.99
61,-18818.9722585,33.79
62,-18279.1694585,32.93
63,-18590.3279655,33.76
64,-18772.818594,32.34
65,-18627.9776355,34.05
66,-18651.173928,33.79
67,-18407.0470615,33.33
68,-18490.115256,32.88
69,-18626.509981,33.84
70,-18894.363491,32.56
71,-18404.2062705,32.91
72,-18646.201231,33.18
73,-18503.0353415,33.12
74,-18687.83641,33.51
75,-18354.9938985,33.02
76,-18581.9526205,32.89
77,-18579.8102125,32.5
