model,Gsolv,timing
0,-72.259011,0.05
1,-80.298292,0.07
2,-74.5405705,0.07
3,-76.1683805,0.06
4,-78.6153465,0.06
5,-78.1270035,0.07
6,-74.448678,0.07
7,-77.840824,0.05
8,-80.92841200000001,0.05
9,-78.518203,0.06
10,-83.85321900000001,0.07
11,-81.747568,0.07
12,-75.294089,0.06
13,-80.214276,0.05
14,-75.7062925,0.06
15,-81.25659950000001,0.06
16,-79.21133499999999,0.06
17,-72.1041065,0.06
18,-78.927781,0.06
19,-79.610411,0.07
20,-78.36592399999999,0.06
21,-79.43450250000001,0.06
22,-74.133618,0.07
23,-76.24452,0.06
24,-73.0335335,0.06
25,-77.3498555,0.06
26,-76.743365,0.07
27,-76.9717835,0.07
28,-75.546137,0.06
29,-81.34849200000001,0.05
30,-77.131939,0.08
31,-78.91727900000001,0.06
32,-79.547399,0.07
33,-76.223516,0.06
34,-76.8615125,0.05
35,-76.1106195,0.07
36,-81.2145915,0.06
37,-76.6042135,0.07
38,-79.2034585,0.05
39,-77.893334,0.05
40,-78.638976,0.04
41,-79.92809650000001,0.06
42,-75.8848265,0.06
43,-75.02628800000001,0.06
44,-78.586466,0.07
45,-76.2628985,0.06
46,-75.5592645,0.06
47,-80.6264795,0.05
48,-79.300602,0.06
49,-75.5645155,0.06
50,-78.444689,0.07
51,-84.66187299999999,0.06
52,-77.903836,0.05
53,-76.207763,0.07
54,-73.9524585,0.06
55,-84.38619550000001,0.06
56,-76.428305,0.06
57,-81.24084649999999,0.07
58,-77.2395845,0.08
59,-75.50938000000001,0.05
60,-80.8785275,0.05
61,-77.02691899999999,0.06
62,-76.969158,0.07
63,-75.551388,0.06
64,-80.471575,0.07
65,-74.327905,0.05
66,-70.8333645,0.06
67,-74.30165,0.04
68,-77.993103,0.05
69,-75.708918,0.06
70,-78.192641,0.07
71,-74.621961,0.07
72,-76.38892249999999,0.06
73,-74.3725385,0.06
74,-79.515893,0.07
75,-77.7751865,0.06
76,-80.046244,0.06
77,-76.732863,0.08
78,-77.2448355,0.05
79,-80.529336,0.06
80,-77.66229,0.06
81,-81.962859,0.06
82,-74.96327600000001,0.07
83,-78.6573545,0.06
84,-78.644227,0.07
85,-76.501819,0.06
86,-75.918958,0.07
87,-80.245782,0.06
88,-76.396799,0.05
89,-76.44143249999999,0.08
90,-76.759118,0.05
91,-74.558949,0.05
92,-75.02103699999999,0.06
93,-75.010535,0.07
94,-75.92158350000001,0.06
95,-77.116186,0.06
96,-78.3685495,0.05
97,-71.88881549999999,0.07
98,-80.387559,0.05
99,-79.689176,0.08
100,-77.536266,0.06
101,-74.4565545,0.07
102,-73.68728300000001,0.07
103,-75.488376,0.05
104,-79.66554649999999,0.06
105,-73.6006415,0.06
106,-73.25670099999999,0.07
107,-72.085728,0.06
108,-75.635404,0.05
109,-73.298709,0.06
110,-80.95204149999999,0.06
111,-75.8690735,0.06
112,-77.4076165,0.06
113,-77.95109500000001,0.05
114,-76.6829785,0.07
115,-76.344289,0.06
116,-73.53237850000001,0.07
117,-74.0391,0.07
118,-76.890393,0.06
119,-76.4729385,0.06
120,-76.7617435,0.08
121,-73.4063545,0.07
122,-74.72698100000001,0.07
123,-77.6281585,0.05
124,-80.77350750000001,0.08
125,-78.019358,0.06
126,-76.79587500000001,0.04
127,-78.66523099999999,0.08
128,-79.9175945,0.08
129,-76.1053685,0.06
130,-76.638345,0.07
131,-73.335466,0.06
132,-75.6695355,0.06
133,-80.0593715,0.04
134,-79.5762795,0.08
135,-82.776764,0.07
136,-76.291779,0.06
137,-76.412552,0.06
138,-80.2904155,0.07
139,-79.4607575,0.06
140,-76.1893845,0.06
141,-81.264476,0.06
142,-77.8171945,0.06
143,-81.8342095,0.06
144,-73.330215,0.06
145,-75.535635,0.06
146,-77.4601265,0.06
147,-77.4391225,0.08
148,-76.6094645,0.06
149,-77.000664,0.06
150,-75.378105,0.07
151,-79.3504865,0.06
152,-77.8959595,0.06
153,-75.682663,0.07
154,-78.6783585,0.07
155,-71.508118,0.07
156,-74.322654,0.06
157,-72.7972385,0.06
158,-73.62427100000001,0.06
159,-74.02597250000001,0.06
160,-73.051912,0.06
161,-73.60851799999999,0.05
162,-79.1614505,0.05
163,-74.7821165,0.05
164,-79.3399845,0.05
165,-79.416124,0.06
166,-81.8079545,0.07
167,-79.563152,0.04
168,-77.184449,0.05
169,-82.12564,0.06
170,-78.1007485,0.06
171,-75.840193,0.06
172,-78.386928,0.06
173,-74.4145465,0.08
174,-83.7928325,0.07
175,-78.749247,0.04
176,-75.84806950000001,0.07
177,-73.7581715,0.06
178,-75.9530895,0.07
179,-78.4158085,0.05
180,-79.23759,0.05
181,-74.1362435,0.06
182,-77.468003,0.06
183,-75.7430495,0.06
184,-78.035111,0.05
185,-79.452881,0.08
186,-75.41748750000001,0.06
187,-76.82213,0.06
188,-71.06703399999999,0.04
189,-79.620913,0.07
190,-79.5762795,0.08
191,-75.8375675,0.08
192,-77.1503175,0.07
193,-76.46768750000001,0.06
194,-76.134249,0.06
195,-84.37306799999999,0.06
196,-79.305853,0.06
197,-76.85888700000001,0.06
198,-80.8837785,0.07
199,-79.353112,0.07
200,-77.468003,0.05
201,-73.86581699999999,0.07
202,-82.151895,0.07
203,-80.828643,0.07
204,-73.340717,0.07
205,-78.63635049999999,0.08
206,-79.542148,0.07
207,-77.79619050000001,0.05
208,-76.0108505,0.06
209,-77.11881149999999,0.07
210,-77.9012105,0.05
211,-71.5212455,0.06
212,-74.7663635,0.06
213,-76.75124149999999,0.06
214,-79.7653155,0.07
215,-74.3147775,0.06
216,-75.073547,0.07
217,-75.372854,0.05
218,-81.269727,0.07
219,-80.702619,0.06
220,-78.386928,0.06
221,-73.6006415,0.07
222,-76.2156395,0.06
223,-78.35279650000001,0.04
224,-78.01673249999999,0.06
225,-77.4443735,0.06
226,-80.18277,0.05
227,-75.220575,0.05
228,-81.87884299999999,0.08
229,-80.177519,0.06
230,-73.781801,0.06
231,-79.074809,0.05
232,-77.50476,0.06
233,-77.336728,0.07
234,-74.485435,0.06
235,-78.780753,0.05
236,-78.828012,0.06
237,-75.0893,0.07
238,-76.5254485,0.07
239,-71.9885845,0.06
240,-80.97042,0.04
241,-77.24221,0.07
242,-81.0518105,0.07
243,-83.9136055,0.07
244,-75.83231649999999,0.05
245,-78.6048445,0.08
246,-77.1555685,0.06
247,-77.84344949999999,0.07
248,-76.8877675,0.07
249,-77.49688350000001,0.06
250,-75.44111699999999,0.07
251,-77.152943,0.06
252,-74.68759850000001,0.06
253,-78.57333849999999,0.07
254,-77.8381985,0.07
255,-75.8848265,0.06
256,-76.36529300000001,0.08
257,-73.68203199999999,0.06
258,-73.051912,0.06
259,-79.647168,0.05
260,-80.5949735,0.05
261,-74.1887535,0.06
262,-74.853005,0.06
263,-74.611459,0.06
264,-80.2904155,0.06
265,-72.53206300000001,0.07
266,-75.5382605,0.07
267,-76.7407395,0.06
268,-77.005915,0.08
269,-79.8808375,0.07
270,-74.38304049999999,0.07
271,-75.6327785,0.05
272,-78.350171,0.05
273,-76.417803,0.06
274,-78.08237,0.07
275,-79.127319,0.06
276,-77.50476,0.06
277,-82.435449,0.05
278,-76.202512,0.06
