model,Gsolv,timing
0,-1990.4886935,31.5
1,-2004.9026884999998,31.74
2,-1986.13824,31.66
3,-2006.5567535,31.55
4,-1966.609771,30.98
5,-2005.6850875,31.06
6,-1987.5113764999999,31.9
7,-1990.8903950000001,31.4
8,-1928.53477,31.54
9,-1960.1641685,32.92
10,-1957.7460830000002,33.01
11,-1956.7746479999998,32.74
12,-1934.982998,32.78
13,-1977.0776394999998,33.22
14,-1947.0366685,33.28
15,-1977.7130105,33.55
16,-1883.9511544999998,31.97
17,-1966.4391135,32.91
18,-1934.3423759999998,32.46
19,-2007.0661005,32.29
20,-1960.607878,32.65
21,-1986.7027225,32.98
22,-1974.9483590000002,33.33
23,-2004.2043055,32.9
24,-2007.9640215,32.36
25,-1997.527659,32.79
26,-2039.1313320000002,32.56
27,-2034.583966,32.71
28,-2037.162207,33.09
29,-2024.0583365,33.27
30,-1998.7852735,32.99
31,-2013.5642129999999,32.87
32,-1985.0066494999999,33.24
33,-1993.4660105,32.92
34,-1945.311715,32.94
35,-1971.3986830000001,32.67
36,-1964.309833,32.97
37,-1937.892052,32.47
38,-1910.413569,32.85
39,-1910.4792065,32.76
40,-1987.850066,32.1
41,-2023.021264,32.22
42,-1981.4438460000001,32.13
43,-1969.33504,32.18
44,-1962.650517,31.81
45,-1994.0042380000002,31.4
46,-1952.0723775,31.14
47,-1993.0826875,30.94
48,-2044.9678185,31.32
49,-1955.267611,31.91
50,-1950.6887390000002,32.22
51,-1922.275578,32.27
52,-1931.9768005,33.05
53,-1919.0435875,32.47
54,-1968.0511705000001,32.24
55,-2015.8090155000002,32.58
56,-1945.6188985000001,32.13
57,-1914.6379984999999,32.24
58,-1955.9581175,31.79
59,-1945.4613685,31.08
60,-1897.8689299999999,32.42
61,-2000.247677,32.85
62,-1925.3920464999999,33.21
63,-1973.11576,33.53
64,-1996.6848734999999,32.36
65,-1974.255227,33.97
66,-1981.323073,33.53
67,-1942.1847445,33.14
68,-1954.978806,32.53
69,-1975.5784789999998,33.31
70,-2012.1228135,32.9
71,-1941.1292935000001,32.77
72,-1975.5469729999998,33.05
73,-1956.107771,32.99
74,-1983.712278,33.21
75,-1931.6774934999999,32.5
76,-1965.39679,33.23
77,-1967.476186,32.25
78,-2010.7916850000001,32.31
79,-1995.3931275000002,33.05
80,-1956.1944125000002,34.02
81,-1932.173713,34.26
82,-1982.8931220000002,33.5
83,-2036.4559475,33.18
84,-1982.1396035,33.25
85,-1996.5010885,32.9
86,-1920.8788120000002,32.06
87,-1955.5669180000002,32.97
88,-1979.317191,32.4
89,-1954.9578020000001,32.44
90,-1953.8629685,32.46
91,-1971.5168305,32.26
92,-1989.519884,33.74
93,-1969.2746534999999,33.52
94,-1976.3109935,32.59
95,-1983.964326,32.43
96,-1986.537316,33.72
97,-2003.5006715,32.04
98,-1975.8620329999999,32.39
99,-2001.4055225,32.46
100,-1965.517563,32.06
101,-1995.001928,33.55
102,-1963.9658925,32.99
103,-2042.0902705,32.06
104,-1993.90972,33.25
105,-2039.5855435,33.95
106,-1973.7117485,33.84
107,-2035.0066715,33.22
108,-2012.2960965,32.84
109,-2004.695274,32.4
110,-1938.212363,31.91
111,-2021.3829520000002,32.7
112,-2004.369712,32.88
113,-1979.8396655,33.52
114,-1949.6175349999999,32.74
115,-1996.1912795,31.54
116,-1969.371797,31.62
117,-1999.097708,32.06
118,-2003.771098,30.3
119,-1968.1299354999999,31.37
120,-1979.1622865000002,31.46
121,-1987.8946995,31.17
122,-1958.2501790000001,31.84
123,-2027.04353,31.97
