model,Gsolv,timing
0,-19053.8652415,34.19
1,-18525.8351835,34.82
2,-18642.1133275,33.69
3,-18501.3025115,33.22
4,-18664.222663,33.06
5,-18936.5789055,32.85
6,-18859.738397,32.37
7,-19212.5399595,33.31
8,-18707.658935,33.28
9,-19044.101007,32.21
10,-18457.5301755,32.56
11,-19120.592324,32.18
12,-19271.133243,32.78
13,-18588.1067925,33.01
14,-18454.5476075,32.82
15,-18914.270032,34.01
16,-18799.1051,30.74
17,-18635.58896,31.95
18,-18619.1507045,32.11
19,-18915.062933,32.58
20,-19128.9177845,32.52
21,-18867.110801,32.13
22,-18770.9203575,32.77
23,-19014.742666000002,32.33
24,-18890.1863205,32.33
25,-18758.787922,33.19
26,-18832.0209935,32.69
27,-18945.250932,32.45
28,-18886.423979,33.31
29,-18814.7294505,32.67
30,-18591.758863,34.06
31,-18824.1182385,33.33
32,-18701.473257,33.37
33,-18530.836761000002,32.84
34,-18912.138126,32.92
35,-18684.68581,32.7
36,-18639.049369,32.85
37,-18733.8693015,32.37
38,-18938.839461,33.2
39,-18851.3604265,32.65
40,-18842.3339575,33.51
41,-19258.0083685,33.23
42,-18853.6708665,33.23
43,-19120.20375,33.04
44,-18958.2392805,33.23
45,-19359.85939,32.99
46,-19636.014731,33.34
47,-19339.863582,33.68
48,-18812.474146,32.64
49,-18889.075734,33.03
50,-19152.5892925,32.0
51,-18758.289077,33.31
52,-19094.169292,32.45
53,-18852.969858,32.84
54,-19120.077726,32.89
55,-19329.156793,32.34
56,-19424.504451,32.82
57,-19359.376298,33.74
58,-18832.5933525,33.21
59,-19080.4563055,33.84
60,-18848.5301375,33.17
61,-18627.418404,32.94
62,-18981.6219835,32.97
63,-18656.396047500002,32.48
64,-18692.9377565,33.02
65,-18529.988724500003,33.76
66,-18535.830461999998,33.6
67,-18667.068705,34.13
68,-18895.030368,34.59
69,-19082.112996,34.8
70,-19248.5040585,33.73
71,-19251.6389055,33.52
72,-18887.736729,32.95
73,-18748.900289,33.81
74,-19195.298301,33.28
75,-18793.5206615,32.79
76,-18861.9359405,33.11
77,-18576.289417,32.78
78,-19020.1800765,32.92
79,-18918.7307565,33.02
80,-19038.508692,32.11
81,-18749.656433,32.35
82,-18840.194175,33.69
