model,Gsolv,timing
0,-14.655541000000001,0.06
1,-15.521956,0.08
2,-16.320108,0.06
3,-15.0677445,0.08
4,-16.138948499999998,0.08
5,-15.382804499999999,0.07
6,-15.923657500000001,0.09
7,-17.3729335,0.07
8,-17.265288,0.07
9,-16.304355,0.07
10,-14.9312185,0.04
11,-15.222649,0.08
12,-15.9499125,0.06
13,-15.4930755,0.07
14,-15.776629499999999,0.07
15,-16.451383,0.07
16,-13.8442615,0.07
17,-16.0286775,0.07
18,-15.041489499999999,0.08
19,-16.4487575,0.06
20,-14.915465500000002,0.06
21,-14.739557,0.08
22,-16.099566,0.07
23,-15.243653000000002,0.08
24,-16.17308,0.08
25,-14.828824000000001,0.06
26,-13.970285500000001,0.06
27,-15.957789,0.08
28,-14.765811999999999,0.07
29,-16.2072115,0.08
30,-16.3279845,0.08
31,-16.12057,0.05
32,-14.0017915,0.06
33,-14.765811999999999,0.08
34,-15.8606455,0.07
35,-15.4038085,0.06
36,-15.624350499999998,0.08
37,-16.656171999999998,0.07
38,-14.739557,0.05
39,-15.6296015,0.07
40,-14.146194000000001,0.06
41,-14.5426445,0.08
42,-13.9440305,0.07
43,-14.2013295,0.06
44,-14.361485,0.07
45,-15.994546,0.09
46,-14.739557,0.05
47,-14.660792,0.05
48,-13.7339905,0.07
49,-14.0648035,0.04
50,-14.277469,0.07
51,-14.350983000000001,0.08
52,-14.666043,0.05
53,-14.534768,0.06
54,-14.1330665,0.08
55,-14.981103000000001,0.07
56,-14.172449,0.06
57,-13.8442615,0.08
58,-14.655541000000001,0.06
59,-14.860330000000001,0.06
60,-16.839957000000002,0.06
61,-15.3197925,0.07
62,-14.886584999999998,0.06
63,-13.9965405,0.07
64,-16.1284465,0.07
65,-16.1126935,0.07
66,-14.6214095,0.07
67,-13.6552255,0.09
68,-15.1885175,0.07
69,-16.4697615,0.07
70,-15.4038085,0.08
71,-15.0047325,0.08
72,-14.175074500000001,0.07
73,-15.1150035,0.08
74,-15.582342500000001,0.07
75,-14.395616500000001,0.08
