model,Gsolv,timing
0,-2033.9459694999998,34.01
1,-1955.3227465000002,34.59
2,-1972.9792340000001,33.65
3,-1954.3565625,33.24
4,-1976.9174839999998,32.47
5,-2023.845671,32.95
6,-2006.9742079999999,32.49
7,-2058.507522,33.08
8,-1982.9141260000001,33.03
9,-2033.948595,32.06
10,-1948.903399,32.51
11,-2046.5116125000002,31.96
12,-2066.0348305,32.4
13,-1970.684547,32.82
14,-1949.5203915,32.17
15,-2009.174377,33.39
16,-2000.4708445,30.88
17,-1974.974614,31.82
18,-1971.608723,31.96
19,-2017.365937,32.64
20,-2050.100671,32.47
21,-2012.5271404999999,32.14
22,-1994.1381385,32.26
23,-2030.026098,31.92
24,-2015.2786645,32.12
25,-1992.5208305,32.49
26,-2002.4977305,32.75
27,-2016.851339,32.52
28,-2009.4264249999999,32.77
29,-2005.8216135,32.32
30,-1966.8880740000002,33.86
31,-2009.011596,32.8
32,-1982.3706475,33.58
33,-1961.9495085,32.67
34,-2015.6147285000002,32.33
35,-1981.8087905,32.29
36,-1977.7340145,32.74
37,-1987.393229,32.14
38,-2021.440713,32.97
39,-2007.788113,32.43
40,-2011.7920005,33.35
41,-2073.9113305,33.03
42,-2008.2318225,32.98
43,-2052.9388365,32.71
44,-2029.2489500000001,33.1
45,-2082.0976395,33.15
46,-2125.9487405,33.3
47,-2082.6122375,33.47
48,-2006.155052,32.52
49,-2019.4689625,32.94
50,-2053.56108,31.86
51,-2001.6995785,33.21
52,-2055.5984679999997,32.3
53,-2017.0377494999998,32.57
54,-2053.634594,32.82
55,-2086.448093,32.26
56,-2097.118125,33.02
57,-2092.975086,33.39
58,-2006.527873,32.83
59,-2046.3147,33.31
60,-2007.4861805,33.02
61,-1982.0345834999998,32.85
62,-2030.3385325,32.81
63,-1983.764788,32.07
64,-1988.5799550000002,32.79
65,-1959.904244,33.47
66,-1964.330837,32.99
67,-1986.574073,33.86
68,-2022.5933074999998,33.97
69,-2040.318058,34.53
70,-2074.0636095,33.29
71,-2083.7201985,33.41
72,-2027.857435,33.08
73,-1999.8774815,33.25
74,-2064.199606,33.39
75,-2009.0326,32.66
76,-2019.261548,32.84
77,-1974.664805,32.57
78,-2038.5852280000001,32.75
79,-2017.6311125,32.87
80,-2030.4698075,32.35
81,-2003.844612,32.11
82,-2016.9222275,33.0
83,-2062.4116405,32.47
84,-2022.8348534999998,33.31
85,-2012.508762,33.8
86,-2005.6194500000001,33.83
87,-2015.0108635,34.16
88,-1956.7405165,34.71
89,-1946.33566,34.45
90,-1975.694001,34.73
91,-1974.9168530000002,34.01
92,-1978.3956405,33.36
93,-1956.1734085,33.56
94,-1965.1079849999999,33.8
95,-1950.3920575,33.06
96,-1992.1270055,33.57
97,-1998.0291295000002,33.01
98,-1976.612926,33.28
99,-2030.8373775,33.3
100,-2007.50981,33.46
101,-2000.751773,33.6
102,-1976.828217,33.24
103,-2010.954466,33.58
104,-1984.56294,33.27
105,-1943.8571880000002,33.51
106,-1988.348911,33.7
107,-2005.4199119999998,32.91
108,-1949.5125150000001,32.21
109,-1927.426809,32.73
110,-1969.1696335000001,32.25
111,-1960.833671,31.63
112,-1989.0000349999998,32.02
113,-1940.2103685,31.27
114,-1942.4893025000001,31.71
115,-1979.8948010000001,31.97
116,-2028.387786,32.65
117,-1963.6875894999998,31.96
118,-1995.290733,32.2
119,-1968.431868,32.81
120,-1949.759312,31.34
121,-1963.700717,31.7
122,-1943.557881,32.5
123,-1916.1397845,31.97
124,-1985.9597059999999,31.78
125,-1995.122701,31.39
126,-2029.4143565,31.4
127,-2016.405004,32.62
128,-2007.5596945,31.6
129,-1940.633074,33.05
130,-1960.2061765,33.12
131,-1968.4134895,31.83
132,-1952.8390235000002,32.36
133,-2009.5498235,33.29
134,-1937.6636335,31.26
135,-1940.8457395,31.87
136,-1971.188643,33.4
137,-1989.1601905000002,31.14
138,-1952.2535369999998,33.07
139,-1918.2113040000002,33.33
140,-1945.7291695,32.78
141,-1971.8450180000002,31.88
142,-1952.4872065,31.73
143,-1955.073324,32.08
144,-1947.5040075,32.2
145,-1978.7054495,33.35
146,-1975.1426459999998,32.69
147,-2000.1295295,32.2
148,-1937.5796175,32.76
149,-1988.826752,33.08
150,-1998.6093649999998,33.52
151,-1977.6605005,34.0
152,-1969.4584385,33.62
153,-1959.0036974999998,33.76
154,-2010.6682865,33.48
155,-1984.2715095,33.33
156,-2015.1053815,33.78
157,-1923.1131125,33.89
158,-1943.8571880000002,34.65
159,-1958.3919560000002,33.97
160,-1980.7297099999998,33.98
161,-1961.847114,33.08
162,-1966.173938,31.6
163,-1960.1641685,32.02
164,-1979.7451474999998,31.98
165,-2017.6652439999998,32.41
166,-2032.8432595,31.93
167,-2018.883476,32.29
168,-1993.9858594999998,32.14
169,-2048.9690805,31.17
170,-1963.921259,30.64
171,-1968.4817524999999,31.63
172,-1958.2685575,31.81
173,-1942.192621,33.31
174,-1921.965769,32.54
175,-1943.7547935,33.14
176,-1960.7339020000002,33.36
177,-1946.4538075,32.63
178,-1970.983854,33.08
179,-1946.2280145,32.72
180,-1968.746928,33.33
181,-1933.4050725,32.39
182,-2011.7604945,32.44
183,-1898.8062335,33.35
184,-1966.3498465,33.42
185,-1982.6699545000001,32.2
186,-1982.6935839999999,32.47
187,-1959.8176025,32.11
188,-1961.0594640000002,32.02
189,-1967.3160305,31.83
190,-1949.7356825000002,32.09
191,-1934.3423759999998,32.45
192,-1978.041198,32.38
193,-1997.1548380000002,32.43
194,-1984.463171,33.03
195,-1984.2163739999999,33.09
196,-1947.9870994999999,32.63
197,-2003.51905,32.37
198,-2006.9715824999998,32.06
199,-1958.3840795,32.49
200,-1933.7726425,33.18
201,-1980.0602075,33.9
202,-2009.410672,34.03
203,-2033.0112915000002,33.25
204,-2048.7012795,32.06
205,-2016.3498685,32.72
206,-1945.7134165000002,32.24
207,-2013.4303125,32.69
208,-1942.560191,33.53
209,-2011.910148,34.11
210,-1967.0429785,33.13
211,-1987.750297,34.33
212,-1976.9988744999998,33.76
213,-1986.227507,33.3
214,-2023.8010375,33.15
215,-2030.3779149999998,34.09
216,-1999.097708,33.7
217,-2005.1757405,33.68
218,-1998.6067395,33.3
219,-2044.4610969999999,32.42
220,-2001.7284590000002,33.61
221,-1997.175842,33.11
222,-1995.4771435,32.38
223,-2027.5003669999999,32.94
224,-1970.2880965,33.15
225,-1994.5529675000002,32.45
226,-1918.1509175,32.43
