model,Gsolv,timing
0,-1923.436049,34.81
1,-1858.7621075,35.09
2,-1913.3173719999998,33.39
3,-1953.5951675,33.43
4,-1899.5991345,33.65
5,-1913.296368,34.28
6,-1886.2931004999998,33.54
7,-1894.991382,35.35
8,-1882.3863565000001,33.89
9,-1872.1206515000001,33.6
10,-1900.2318799999998,33.17
11,-1956.5147235,33.99
12,-1947.64841,33.9
13,-1944.088232,34.14
14,-1945.2145715000001,33.92
15,-1924.2525795000001,34.67
16,-1943.069538,34.67
17,-1932.6541795,34.79
18,-1944.8942605,35.8
19,-1939.068276,34.61
20,-1895.6109999999999,35.0
21,-1882.7749305000002,35.88
22,-1892.586424,34.09
23,-1925.85676,33.82
24,-1867.859465,33.32
25,-1910.534342,33.53
26,-1830.0076315,34.38
27,-1915.4335250000001,34.73
28,-1943.2086895,34.92
29,-1947.611653,34.32
30,-1937.4693465,33.45
31,-1935.1221495,33.02
32,-1959.7808455000002,33.96
33,-1931.643362,33.67
34,-1971.1020015,35.15
35,-1883.1267475,34.3
36,-1905.1494415,33.48
37,-1984.24788,32.48
38,-1991.1949530000002,32.91
39,-2008.7017870000002,33.18
40,-1949.6516665,33.77
41,-1970.605782,33.85
42,-1972.7035565,33.08
43,-1904.968282,32.68
44,-1918.9937029999999,33.75
45,-1919.5056755,32.32
46,-1973.6303580000001,32.61
47,-1933.150399,31.88
48,-1989.3413500000001,32.21
49,-1997.1784675,32.81
50,-1994.1355130000002,34.22
51,-1960.6840175,33.95
52,-1967.4735605,32.94
53,-2008.1950655,33.18
54,-2017.0902595,33.92
55,-1993.2139625000002,34.19
56,-1991.383989,33.3
57,-2020.4876565,32.72
58,-2026.0274615,33.11
59,-1933.62824,32.71
60,-2021.1046489999999,33.23
61,-2044.7026429999999,36.19
62,-1990.344291,32.73
63,-1990.8300085,34.6
64,-1953.5059005,34.71
65,-2015.155266,34.36
66,-2018.9438624999998,33.96
67,-2018.3610015000002,34.22
68,-2029.6401495,35.12
69,-2011.264275,35.85
70,-2033.7385550000001,35.65
71,-2051.7573615,34.63
72,-2004.086158,35.25
73,-2058.2134659999997,33.86
74,-2039.404384,34.22
75,-2026.67596,34.11
76,-2059.2715425,34.15
77,-2073.9165815,33.56
78,-2022.0104465000002,33.05
79,-2008.239699,33.99
80,-1996.792519,33.62
81,-1966.1975675,33.1
82,-2054.0520485,33.45
83,-2048.4439805,33.7
84,-2046.430222,34.78
85,-1988.8687599999998,34.79
86,-2003.7290899999998,34.72
87,-2021.813534,33.38
88,-1992.140133,33.04
89,-2011.820881,34.5
90,-2000.6441275000002,33.94
91,-2026.3897805000001,33.71
92,-2004.4090945,32.84
93,-2021.9763149999999,33.95
94,-2019.865413,34.19
95,-1996.3383075,34.95
96,-2082.5597275,34.57
97,-1973.8272705,33.82
98,-1996.0626300000001,34.37
99,-2038.0154945,34.66
100,-1978.68182,35.57
101,-2016.4863945,35.26
102,-2023.488603,34.38
103,-2074.334036,33.83
104,-2076.497448,35.19
105,-2035.082811,34.42
106,-2013.186141,34.28
107,-2048.9218215,34.42
108,-2019.1171454999999,33.95
109,-2057.5964735,33.94
110,-2038.737507,33.86
111,-2039.8270895,34.64
112,-2010.3663540000002,35.12
113,-1967.07711,33.81
114,-1977.7917755,34.05
115,-1985.6420205000002,34.99
116,-2012.0099169999999,34.87
117,-2029.0415355,34.88
118,-2032.6017135,35.27
119,-2026.4317885,34.7
120,-2048.3389604999998,33.97
121,-2022.6878255,35.1
122,-2065.276061,34.03
123,-2046.272692,34.5
124,-2037.739817,34.81
125,-1980.0444545,34.2
126,-2026.702215,33.95
127,-1998.0448825,34.23
128,-2004.248939,33.99
129,-2016.510024,34.4
130,-2050.4944960000003,33.95
131,-2047.349147,33.86
132,-2092.0377825,34.12
133,-2038.023371,34.64
134,-2090.974455,34.71
135,-2010.3558520000001,33.5
136,-2028.660838,33.36
137,-2045.2093645,33.54
138,-2034.993544,33.77
139,-2033.019168,33.64
140,-2045.0518345,33.88
141,-2067.717776,34.27
142,-2066.053209,33.44
143,-2067.208429,33.62
144,-1993.111568,32.98
145,-2033.0848055,32.17
146,-2004.3355804999999,31.79
147,-2011.511072,33.22
148,-2021.6796335,33.18
149,-2077.2614685,32.65
150,-2046.8214215,33.99
151,-2012.3486065,32.61
152,-1979.0940235,32.88
153,-2040.669875,33.28
154,-2005.031338,33.94
155,-1954.5744789999999,34.43
156,-1923.5725750000001,32.94
157,-1971.3803045000002,33.73
158,-1984.079848,33.56
159,-2008.4497390000001,32.72
160,-2000.011382,33.91
161,-1979.6401275,34.29
162,-1923.2443875,34.61
163,-1986.8392485,35.13
164,-1990.2629005000001,35.06
165,-1957.6384375,35.23
166,-2031.354601,36.4
167,-2011.721112,36.22
168,-1945.7948070000002,36.04
169,-1936.30625,34.89
170,-2047.4489159999998,35.98
