model,Gsolv,timing
0,-3.9986365,0.06
1,-3.8568595,0.08
2,-3.9303735,0.07
3,-4.678641,0.07
4,-4.4817285,0.06
5,-4.006513,0.07
6,-4.4554735,0.07
7,-3.686202,0.06
8,-4.116784,0.08
9,-3.9513775,0.06
10,-3.901493,0.06
11,-3.83323,0.06
12,-3.733461,0.08
13,-4.2139275000000005,0.06
14,-4.4817285,0.07
15,-4.3557045,0.07
16,-3.78072,0.06
17,-4.1351625,0.08
18,-4.4922305,0.08
19,-4.0406445,0.06
20,-3.864736,0.07
21,-4.1404135,0.08
22,-4.746904,0.06
23,-3.6678235,0.07
24,-3.848983,0.06
25,-4.1089075,0.07
26,-4.022266,0.07
27,-4.119409500000001,0.07
28,-3.9461265,0.06
29,-4.0774015,0.06
30,-4.190298,0.07
31,-4.8545495,0.07
32,-4.883430000000001,0.06
33,-3.9093695000000004,0.08
34,-4.3504535,0.06
35,-4.311071,0.07
36,-4.085278000000001,0.09
37,-4.2139275000000005,0.08
38,-3.4262775,0.07
39,-3.6599470000000003,0.06
40,-4.547366,0.07
41,-3.6914529999999997,0.07
42,-3.6048115000000003,0.08
43,-4.080027,0.06
44,-3.3947715,0.06
45,-3.9671305,0.08
46,-4.321573,0.07
47,-4.080027,0.07
48,-3.649445,0.08
49,-4.064274,0.06
50,-4.6182545,0.07
51,-3.8568595,0.05
52,-4.2034255,0.05
53,-3.843732,0.07
54,-3.1768549999999998,0.08
55,-3.8752380000000004,0.08
56,-4.242808,0.06
57,-3.8043495,0.07
58,-4.2060509999999995,0.07
59,-3.985509,0.06
60,-4.0563975,0.07
61,-4.5709954999999995,0.07
62,-3.5470505,0.09
63,-5.4032789999999995,0.07
64,-4.531613,0.06
65,-4.2874415,0.05
66,-3.5995605,0.07
67,-4.143039,0.09
68,-4.46335,0.05
69,-4.347828,0.07
70,-4.3977125,0.06
71,-3.9513775,0.08
72,-3.560178,0.07
73,-4.6051269999999995,0.07
74,-3.5470505,0.05
75,-4.883430000000001,0.07
76,-5.061964,0.08
77,-5.534554,0.07
78,-4.9753225,0.07
79,-4.5289874999999995,0.08
80,-4.389836,0.05
81,-4.2926925,0.07
82,-5.1696095,0.07
83,-3.3422615,0.06
84,-5.0199560000000005,0.06
85,-4.872928,0.07
86,-4.4922305,0.07
87,-4.8387965,0.05
88,-3.4997915,0.09
89,-4.3294495,0.07
90,-4.321573,0.06
91,-3.5916840000000003,0.07
92,-4.332075,0.07
93,-3.4000225,0.07
94,-4.0196405,0.05
95,-4.190298,0.09
96,-3.3685165,0.09
97,-3.1427235,0.08
98,-2.951062,0.09
99,-5.613319000000001,0.08
100,-4.1089075,0.08
101,-5.6238209999999995,0.06
102,-5.468916500000001,0.06
103,-5.009454,0.07
104,-5.476793000000001,0.06
105,-5.124976,0.07
106,-6.09116,0.07
107,-5.5686855,0.09
108,-4.7810355,0.07
109,-5.3428925,0.06
110,-4.442346,0.06
111,-4.04327,0.08
112,-3.8726125,0.06
113,-4.4554735,0.07
114,-4.636633,0.07
