model,Gsolv,timing
0,-1942.3160195,34.73
1,-1880.7191639999999,34.65
2,-1936.579302,33.93
3,-1971.3750535,33.64
4,-1919.1486075,33.45
5,-1934.5077825,34.17
6,-1903.7579265000002,33.64
7,-1913.548416,35.16
8,-1905.4224935,33.89
9,-1889.9477965,33.46
10,-1919.119727,33.29
11,-1972.4042494999999,33.34
12,-1967.9251465,33.87
13,-1962.162174,34.1
14,-1963.8241155,33.77
15,-1945.978592,34.55
16,-1964.1418010000002,34.54
17,-1954.569228,34.62
18,-1963.4460434999999,35.58
19,-1962.214684,34.33
20,-1919.7918550000002,34.82
21,-1904.2068869999998,35.15
22,-1917.7623435,33.72
23,-1949.1108135,33.55
24,-1886.9127185,33.01
25,-1932.1710875,33.77
26,-1850.268615,34.46
27,-1938.6902039999998,34.79
28,-1964.4437335,35.07
29,-1966.5835160000001,34.31
30,-1954.1937815000001,33.93
31,-1953.9627375,32.82
32,-1979.7766534999998,33.89
33,-1952.7392544999998,33.89
34,-1993.200835,34.71
35,-1903.2170735,34.09
36,-1927.32704,33.34
37,-2008.145181,32.35
38,-2015.1106324999998,32.84
39,-2028.5321884999998,33.1
40,-1971.5273325,33.83
41,-1994.214278,33.71
42,-1996.655993,33.22
43,-1925.2187634999998,32.98
44,-1936.9573739999998,33.76
45,-1937.2803105,32.49
46,-1994.7315015,32.53
47,-1956.5042215,32.15
48,-2010.6735374999998,32.12
49,-2016.5520319999998,32.49
50,-2016.8565899999999,33.98
51,-1984.1297325,33.31
52,-1987.1280535,33.06
53,-2028.7422285,33.04
54,-2037.267227,33.93
55,-2015.811641,34.34
56,-2009.258393,33.15
57,-2037.718813,32.66
58,-2044.7787825,33.43
59,-1955.3857584999998,32.64
60,-2042.108649,33.11
61,-2063.59049,36.08
62,-2007.3023955,33.07
63,-2012.6374114999999,34.42
64,-1979.9184304999999,34.64
65,-2034.6443525,33.79
66,-2036.364055,33.23
67,-2042.176912,34.28
68,-2051.991031,35.06
69,-2034.410683,35.68
70,-2056.653919,36.04
71,-2075.116435,34.6
72,-2029.2988345,35.19
73,-2077.458381,34.28
74,-2062.0230665,33.93
75,-2047.9608885,34.2
76,-2082.7225085,34.39
77,-2096.2175785,33.76
78,-2046.0652775,33.25
79,-2029.963086,34.18
80,-2018.899229,33.73
81,-1988.485437,32.88
82,-2076.2585275,33.39
83,-2066.3315119999997,33.74
84,-2064.467407,34.3
85,-2011.3089085000001,34.44
86,-2024.0583365,34.57
87,-2037.6137930000002,33.52
88,-2011.6607255000001,32.89
89,-2032.740865,33.65
90,-2014.5487755,34.19
91,-2046.2123055,33.51
92,-2023.84042,32.46
93,-2038.569475,33.98
