model,Gsolv,timing
0,-18228.0194675,31.71
1,-18295.3057815,31.02
2,-18478.032705,30.06
3,-18354.970268999998,30.6
4,-18431.5482275,30.73
5,-18553.5709655,31.37
6,-18649.535616,31.6
7,-18637.9650375,30.82
8,-18775.2104245,30.5
9,-18684.00318,30.27
10,-19007.9662505,31.35
11,-19138.5901265,31.16
12,-19306.4330905,31.77
13,-18986.1115885,29.84
14,-18804.3377215,32.2
15,-19162.652834,31.13
16,-18843.8252415,30.53
17,-19088.513965000002,30.92
18,-18931.7584875,30.87
19,-19022.9578555,30.38
20,-19135.4605305,30.72
21,-19000.654233,31.4
22,-18705.7396945,31.26
23,-18927.544560000002,30.16
24,-18816.060579,31.05
25,-19062.201204,32.01
26,-18789.703184500002,31.16
27,-18912.768246,31.16
28,-18867.341845,30.85
29,-18805.311782,30.61
30,-18779.802423999998,31.48
31,-18752.9619375,31.94
32,-18439.4457315,31.95
33,-18303.2347915,30.97
34,-18253.5655825,31.6
35,-18421.201132,31.57
36,-18665.338500500002,31.42
37,-18334.874692,30.59
38,-18424.637911499998,30.84
39,-18447.3642395,32.38
40,-18223.248934,30.87
41,-18617.7696915,30.4
42,-18665.9738715,30.64
43,-19030.128096,30.99
44,-18630.8236775,30.68
45,-18674.535627,30.65
46,-18449.1863365,30.72
47,-18350.333636,31.09
48,-18530.642474,31.82
49,-18259.491336000003,30.99
50,-18418.3419625,29.86
51,-18755.148979,30.98
52,-18679.9047745,31.16
53,-18779.797173,30.4
54,-18388.865474000002,31.29
55,-18776.951130999998,30.68
56,-18496.327189,30.39
57,-18306.6269375,31.09
58,-18460.1241695,29.79
59,-18505.4508015,30.28
60,-18358.714232,31.35
61,-18391.427962,30.37
62,-18522.0387105,31.16
63,-18601.641245000003,30.55
64,-18818.670326,30.63
65,-18848.217703,31.19
66,-18806.288468,31.22
67,-18460.447106,31.37
68,-18970.988708499997,31.39
69,-18935.5444585,30.76
70,-18820.0014545,30.8
71,-18867.78818,32.09
72,-18649.918939,31.63
73,-18978.820575,31.39
74,-18603.148282,31.17
75,-18810.6284195,31.79
76,-18934.155569,31.34
77,-18790.677245000003,32.12
78,-18898.973869,31.4
79,-19149.336298,31.69
80,-19100.7409185,31.3
81,-18908.042346000002,30.58
82,-18858.714452,30.96
83,-19060.8700755,31.09
84,-19106.561652,30.6
85,-18913.282843999998,31.45
86,-18540.8057845,50.73
87,-18606.067838,30.91
88,-18430.920733,31.82
89,-18783.241829,31.9
90,-18732.191607,31.45
91,-18896.490146,51.99
92,-19145.51357,30.61
93,-19116.522799,31.3
94,-18968.39734,31.65
95,-18743.998480500002,32.28
96,-18926.4024675,31.55
97,-18998.3201635,31.65
98,-18932.732548,31.04
99,-18860.27925,31.3
100,-18652.4367935,31.77
101,-18937.6186035,30.84
102,-18828.8126325,30.75
103,-19001.2397195,30.24
104,-19035.8385585,30.55
105,-18930.519251499998,30.69
106,-18780.1358625,30.33
107,-18813.419326,30.91
108,-18751.342004,29.97
109,-19051.46816,30.13
110,-18928.032903,31.24
111,-19046.2722955,31.3
112,-18801.9432655,30.91
113,-18612.841628,30.75
114,-18858.0449495,31.24
115,-18907.590760000003,31.78
116,-18907.7876725,30.82
117,-18920.2535465,30.07
118,-19062.0252955,30.61
119,-19293.308216,31.02
120,-18933.572708,31.59
121,-18916.249659,31.48
122,-18964.2884325,30.53
123,-19157.380830000002,30.59
124,-18895.88103,30.26
125,-19192.699056,29.4
126,-18885.0088345,30.11
127,-18893.7990085,30.3
128,-18858.4230215,29.35
129,-18890.3070935,29.13
130,-18320.9779205,28.65
131,-18317.4912565,28.9
132,-17960.9431055,29.42
133,-18664.6663725,29.37
134,-18353.909567,28.79
135,-18391.107651,29.11
136,-18325.4990315,29.85
137,-18109.008178,29.37
138,-18399.104924,29.28
139,-18443.82244,29.12
140,-18472.3274935,30.22
141,-18480.524304500002,30.17
142,-18865.577509,28.79
143,-18556.9316055,29.62
144,-18524.026214,29.28
145,-18393.688517500002,29.99
146,-18420.933331,30.07
147,-18351.882681,29.67
148,-18428.489520000003,29.88
149,-18318.680608000002,29.43
150,-18249.603703,29.03
151,-18241.8768565,29.64
152,-18147.5058845,29.64
153,-18269.504993,29.51
154,-18491.223217,29.58
155,-18619.2924815,28.83
156,-18424.1128115,30.0
157,-18376.8748155,29.93
158,-18436.935753499998,29.9
159,-18192.0553685,30.66
160,-18350.7038315,30.11
161,-18672.540247,29.83
162,-18628.1246635,30.17
163,-18923.007696,29.64
164,-18484.914140499997,30.47
165,-18511.5262085,30.09
166,-18426.3339845,29.71
167,-18028.539228499998,29.97
168,-18314.768613,29.82
169,-18524.068221999998,29.75
170,-18783.6435305,29.02
171,-18724.966231,29.24
172,-18992.5493145,29.14
173,-18783.9585905,29.02
174,-18780.127986,28.29
175,-18787.2667205,27.99
176,-18758.593635,29.62
177,-18790.682496,28.57
178,-19079.881321,28.92
179,-18920.7838975,29.04
180,-18780.7344765,29.51
181,-19116.622568,28.57
182,-18983.9114195,29.5
183,-18652.9408895,28.97
184,-19071.994319,28.58
185,-18940.551287000002,29.45
186,-18960.216282,29.21
187,-19048.154779,29.87
188,-19396.327585,29.91
189,-19103.411052,29.15
190,-18448.1518895,29.33
191,-18653.765296499998,28.85
192,-18831.052184,29.75
193,-18840.876805,29.52
194,-18589.768734,28.46
195,-18611.938456,28.92
196,-18682.2992305,29.01
197,-19035.263574,29.1
198,-19061.7522435,29.34
199,-18933.194636,29.93
200,-19000.822265,29.19
201,-19281.6431195,29.75
202,-19022.183333,30.63
203,-19082.2101395,29.69
204,-18817.7225205,29.77
205,-19300.457452500003,29.81
206,-19150.55453,29.88
207,-19110.688938,29.86
208,-19267.1766145,29.61
209,-19024.47802,29.43
210,-19113.5691115,30.41
211,-18917.772449,30.09
212,-18909.1266775,30.2
213,-19140.2389405,29.81
214,-19264.543238,29.07
215,-18943.281807,29.9
216,-18901.7857795,30.42
217,-19121.9549585,30.77
218,-19415.5751255,29.82
219,-19230.6086505,30.13
220,-19278.426882,29.9
221,-19315.2862765,31.0
222,-19256.010363,30.06
223,-19300.832899,30.38
224,-19274.220831,31.62
225,-19170.959916,29.42
226,-19514.8557825,30.6
227,-19224.7432835,31.22
228,-19234.764817,30.61
229,-19564.249314,30.6
230,-19461.096044500002,29.91
231,-19801.668028,30.56
232,-19499.194675,30.65
233,-19350.7305265,30.14
234,-19454.0019435,31.28
235,-19720.0281055,32.18
236,-19701.3292945,31.34
237,-19682.27079,32.04
