model,Gsolv,timing
0,-5.681582000000001,0.06
1,-6.474482999999999,0.08
2,-5.3691474999999995,0.06
3,-7.2962644999999995,0.05
4,-6.3300805,0.06
5,-6.1252915,0.06
6,-6.080658,0.06
7,-6.274945000000001,0.06
8,-5.891622,0.05
9,-6.679271999999999,0.06
10,-6.6818975,0.05
11,-6.112164000000001,0.05
12,-5.6054425000000005,0.06
13,-5.203741,0.06
14,-5.7734745,0.05
15,-6.1515465,0.06
16,-5.839111999999999,0.06
17,-5.392777,0.06
18,-5.9992675,0.06
19,-5.2693785,0.07
20,-5.739343,0.07
21,-6.1725505,0.07
22,-6.2014309999999995,0.06
23,-5.298259,0.06
24,-5.6737055000000005,0.06
25,-5.4794184999999995,0.04
26,-6.0045185,0.06
27,-6.358961,0.06
28,-5.7682235,0.05
29,-5.529303,0.04
30,-5.1696095,0.07
31,-5.6054425000000005,0.06
32,-6.358961,0.05
33,-5.755096,0.05
34,-6.6976505,0.05
35,-6.524367499999999,0.06
36,-6.558498999999999,0.07
37,-6.3405825,0.05
38,-6.112164000000001,0.06
39,-5.718338999999999,0.07
40,-5.912626,0.06
41,-6.190929,0.07
42,-6.2250605,0.08
43,-5.93363,0.05
44,-6.332706,0.05
45,-6.847304,0.06
46,-5.7419685000000005,0.06
47,-5.613319000000001,0.07
48,-6.5821285000000005,0.06
49,-5.8863710000000005,0.04
50,-5.482044,0.06
51,-6.9602005,0.05
52,-5.7944785,0.05
53,-6.555873500000001,0.06
54,-5.9572595,0.05
55,-5.434785,0.07
56,-6.0202715,0.07
57,-5.8312355,0.07
58,-5.8102315,0.07
59,-5.5004225,0.05
60,-5.786601999999999,0.06
61,-5.308761,0.07
62,-5.846988499999999,0.05
63,-5.602817,0.06
64,-5.718338999999999,0.05
65,-6.4508535,0.06
66,-5.2326215,0.06
67,-5.684207499999999,0.06
68,-5.4006535,0.06
69,-5.5634345,0.07
70,-4.9280635,0.07
71,-5.492546,0.05
72,-5.870618,0.07
73,-6.0570285,0.04
74,-5.2746295,0.06
75,-6.028148,0.05
76,-5.09347,0.05
77,-5.844363,0.05
78,-5.702585999999999,0.05
79,-4.5814975,0.06
80,-5.7734745,0.04
81,-4.8387965,0.06
82,-5.765598,0.07
83,-5.298259,0.06
84,-6.516490999999999,0.06
85,-5.9677615,0.08
86,-4.9700714999999995,0.08
87,-6.059654,0.07
88,-5.980889,0.06
89,-5.944132,0.07
90,-5.82861,0.07
91,-5.660578,0.04
92,-5.7209645,0.05
93,-4.752155,0.06
94,-5.3271395,0.04
95,-5.4216575,0.05
96,-6.558498999999999,0.06
97,-5.1853625,0.08
98,-5.5004225,0.05
99,-5.5686855,0.05
100,-5.9520085,0.06
101,-5.6264465,0.07
102,-5.8863710000000005,0.05
103,-4.6602625,0.06
104,-5.902124,0.06
105,-5.6238209999999995,0.05
106,-6.4928615,0.05
107,-6.9286945,0.06
108,-6.3694630000000005,0.06
109,-5.8102315,0.04
110,-6.054403,0.06
111,-5.650075999999999,0.05
112,-6.351084500000001,0.04
113,-5.3954025,0.08
114,-6.6766465,0.07
115,-5.839111999999999,0.06
116,-5.6999605,0.06
117,-6.033399,0.05
118,-7.2227505,0.05
119,-5.573936499999999,0.06
120,-6.647766,0.08
121,-6.1147895,0.06
122,-6.637264,0.05
123,-5.9467575,0.07
124,-5.035709,0.06
125,-5.9887655,0.05
126,-5.534554,0.06
127,-5.8601160000000005,0.06
128,-6.3615865,0.05
129,-6.335331500000001,0.07
130,-5.9782635,0.07
131,-6.0675305,0.05
132,-6.054403,0.06
133,-5.119725,0.05
134,-6.747534999999999,0.06
135,-5.429534,0.06
136,-6.2250605,0.06
137,-6.1751759999999996,0.06
138,-6.2355624999999995,0.05
139,-5.2956335,0.07
140,-5.6527015,0.05
141,-6.4797340000000005,0.07
142,-6.747534999999999,0.04
143,-6.316953000000001,0.04
144,-6.553248,0.05
145,-5.7498450000000005,0.06
146,-7.419663,0.06
147,-5.193239,0.06
148,-4.9805735,0.06
149,-5.7498450000000005,0.06
150,-5.4479125,0.06
151,-5.4216575,0.06
152,-5.3350159999999995,0.06
153,-6.653016999999999,0.06
154,-5.366522,0.04
155,-5.739343,0.07
156,-5.9257535,0.05
157,-6.0045185,0.05
158,-6.482359499999999,0.06
159,-5.902124,0.06
160,-6.713403499999999,0.07
161,-4.867677,0.05
162,-6.508614499999999,0.06
163,-5.660578,0.05
164,-5.3586455,0.07
165,-6.285447,0.07
166,-6.4718575000000005,0.05
167,-6.0255225,0.06
168,-6.689774,0.07
169,-6.075407,0.05
170,-5.668454499999999,0.04
171,-6.647766,0.07
172,-7.162364,0.07
173,-6.5821285000000005,0.06
174,-5.938881,0.07
175,-5.282506,0.07
176,-6.51124,0.08
177,-5.1564820000000005,0.05
178,-5.3350159999999995,0.08
179,-6.033399,0.05
180,-4.7915375000000004,0.05
181,-7.115105000000001,0.05
182,-4.941191,0.06
183,-5.035709,0.05
184,-5.135478,0.06
185,-5.6999605,0.05
186,-5.608067999999999,0.06
187,-5.067215,0.06
188,-5.524052,0.06
189,-6.695025,0.06
190,-6.8131725,0.07
191,-6.127917,0.06
192,-5.7419685000000005,0.04
193,-5.5975660000000005,0.05
194,-5.8942475000000005,0.07
195,-6.0990364999999995,0.06
196,-4.6077525,0.06
197,-5.9205025000000004,0.05
198,-5.4584145,0.06
199,-5.875869,0.05
200,-5.650075999999999,0.06
201,-6.009769499999999,0.05
202,-6.335331500000001,0.06
203,-5.429534,0.08
204,-5.9467575,0.06
205,-5.2746295,0.06
206,-5.965136,0.05
207,-7.052093,0.05
208,-5.881119999999999,0.06
209,-4.8440475,0.03
210,-5.3849005,0.06
211,-5.839111999999999,0.06
212,-4.7180235,0.06
213,-6.1778015,0.05
214,-6.3878414999999995,0.06
215,-6.4928615,0.06
216,-6.0307735,0.05
217,-6.3983435,0.05
218,-5.647450500000001,0.05
219,-5.7472195,0.06
220,-5.621195500000001,0.06
221,-5.2641275,0.06
222,-5.2168685,0.05
223,-4.4607244999999995,0.04
224,-5.492546,0.08
225,-7.0074594999999995,0.04
226,-5.177485999999999,0.06
227,-5.30351,0.08
228,-6.1357935,0.06
229,-5.2221195,0.05
230,-4.9385655,0.05
231,-5.4216575,0.07
232,-4.8125415,0.04
233,-5.797104,0.06
234,-6.2093074999999995,0.05
235,-4.137788,0.07
236,-5.9992675,0.07
237,-5.3796495,0.07
238,-5.261502,0.06
239,-5.172235,0.08
240,-7.309392,0.07
241,-5.2273705,0.05
242,-6.322204,0.06
243,-5.484669500000001,0.07
244,-6.8394275,0.07
245,-5.923128,0.06
246,-6.248690000000001,0.06
247,-6.9129415,0.06
248,-6.009769499999999,0.06
249,-5.392777,0.04
250,-5.240498,0.05
251,-6.7869175,0.06
252,-5.408530000000001,0.05
253,-6.1095385,0.05
254,-6.364212,0.07
255,-6.2775704999999995,0.06
256,-6.106913,0.05
257,-6.947073,0.05
258,-6.674021,0.06
259,-5.4636655,0.05
260,-6.553248,0.06
261,-5.736717499999999,0.07
262,-5.7629725,0.08
263,-5.655327000000001,0.07
264,-6.4219729999999995,0.05
265,-6.645140499999999,0.05
266,-6.487610500000001,0.08
267,-6.335331500000001,0.06
268,-6.159423,0.06
269,-5.4111555,0.06
270,-5.082968,0.06
271,-6.4298494999999996,0.05
272,-5.2536255,0.09
273,-6.7239055,0.06
274,-6.482359499999999,0.06
275,-5.760347,0.06
276,-5.571311000000001,0.04
277,-5.2588765,0.06
278,-6.309076500000001,0.05
279,-6.1357935,0.08
280,-5.9362555,0.08
281,-6.0885345,0.07
282,-6.253941,0.05
283,-6.2250605,0.05
284,-5.5818129999999995,0.07
285,-5.5476814999999995,0.07
286,-6.0885345,0.06
287,-5.644825,0.05
288,-6.1672994999999995,0.05
289,-5.434785,0.06
290,-5.1591075,0.06
291,-6.852555,0.06
292,-5.9940165,0.06
293,-5.718338999999999,0.06
294,-6.217184,0.08
295,-5.5975660000000005,0.08
296,-5.8837455,0.05
297,-5.61857,0.08
298,-5.715713500000001,0.06
299,-6.2198095,0.06
300,-5.030457999999999,0.06
301,-6.120040500000001,0.05
302,-6.106913,0.07
303,-6.188303500000001,0.07
304,-5.135478,0.07
305,-6.419347500000001,0.05
306,-6.8026705,0.06
307,-5.825984500000001,0.06
308,-4.3294495,0.07
309,-5.8312355,0.07
310,-5.98614,0.06
311,-5.1013465,0.04
312,-5.298259,0.07
313,-5.668454499999999,0.05
314,-5.684207499999999,0.08
315,-5.613319000000001,0.06
316,-6.0412755,0.06
317,-5.8181080000000005,0.07
318,-5.7892275,0.05
319,-5.416406500000001,0.06
320,-5.757721500000001,0.06
321,-5.5319285,0.05
322,-7.010085,0.06
323,-6.154172000000001,0.07
324,-5.5214265,0.06
325,-6.009769499999999,0.07
326,-6.894563,0.06
327,-5.728841,0.06
328,-6.211933,0.07
329,-6.309076500000001,0.05
330,-6.4088455,0.06
331,-6.001893,0.06
332,-5.1276015,0.07
333,-5.0435855,0.07
334,-5.928379,0.06
335,-5.1696095,0.05
336,-5.975637999999999,0.06
337,-6.2093074999999995,0.08
338,-4.6497605,0.07
339,-6.889312,0.04
340,-6.2460645,0.06
341,-6.1331679999999995,0.06
342,-6.884061000000001,0.06
343,-4.6392584999999995,0.06
344,-5.4269085,0.04
345,-5.6947095,0.04
346,-5.6920839999999995,0.06
347,-5.736717499999999,0.07
348,-6.72128,0.07
349,-5.655327000000001,0.08
350,-5.9257535,0.07
351,-5.4794184999999995,0.05
352,-5.229996,0.06
353,-6.085909000000001,0.06
354,-5.0278325,0.06
355,-5.5004225,0.06
356,-6.779041,0.07
357,-5.3113865,0.06
358,-5.959885,0.06
359,-5.9730125,0.06
360,-5.621195500000001,0.06
361,-6.3615865,0.05
362,-7.3330215,0.06
363,-5.980889,0.06
364,-6.6083835,0.05
365,-5.161733,0.07
366,-6.0307735,0.04
367,-5.8574905,0.08
368,-6.259192,0.05
369,-5.4794184999999995,0.07
370,-5.7892275,0.07
371,-6.259192,0.07
372,-5.959885,0.06
373,-6.4377260000000005,0.05
374,-6.1935545,0.06
375,-5.298259,0.04
376,-5.7052115,0.07
377,-6.3012,0.05
378,-6.4666065,0.05
379,-5.6316975000000005,0.05
380,-4.9700714999999995,0.06
381,-5.4531635,0.06
382,-5.5004225,0.07
383,-5.560809,0.06
384,-6.385216000000001,0.05
385,-5.408530000000001,0.06
386,-5.689458500000001,0.08
387,-5.4794184999999995,0.07
388,-6.710778,0.06
389,-6.595256,0.06
390,-5.3428925,0.07
391,-5.3376415,0.05
392,-5.791853000000001,0.06
393,-5.61857,0.05
394,-6.873559,0.06
395,-5.870618,0.04
396,-6.122666,0.05
397,-7.550938,0.07
398,-5.0225815,0.08
399,-5.340267,0.08
400,-6.358961,0.06
401,-5.67108,0.06
402,-5.9887655,0.06
403,-6.211933,0.05
404,-5.537179500000001,0.06
405,-5.9625105,0.07
406,-5.9625105,0.06
407,-5.8863710000000005,0.07
408,-5.424283,0.06
409,-6.2303115,0.05
410,-6.2565665,0.06
411,-5.8889965,0.07
412,-5.3586455,0.06
413,-6.2303115,0.05
414,-7.2201249999999995,0.06
415,-5.382275000000001,0.06
416,-6.0937855,0.07
417,-6.524367499999999,0.05
418,-5.6316975000000005,0.06
419,-5.786601999999999,0.06
420,-5.56606,0.05
421,-5.6999605,0.05
422,-6.1935545,0.05
423,-5.7052115,0.06
424,-5.3849005,0.06
425,-6.232937,0.07
426,-5.6395740000000005,0.06
427,-5.8574905,0.07
428,-5.143354499999999,0.05
429,-5.7629725,0.06
430,-5.130227,0.06
431,-4.169294,0.06
432,-5.2483745,0.05
433,-5.30351,0.06
434,-5.668454499999999,0.06
435,-5.077717,0.07
436,-6.159423,0.05
437,-5.9730125,0.06
438,-6.8551805,0.07
439,-5.728841,0.06
440,-4.930689,0.04
441,-5.907374999999999,0.07
442,-6.1095385,0.07
443,-6.259192,0.07
444,-6.017646000000001,0.05
445,-6.5663755,0.06
446,-5.298259,0.07
447,-5.949382999999999,0.05
448,-6.112164000000001,0.07
449,-5.5949405,0.06
450,-5.534554,0.04
451,-6.3012,0.07
452,-6.2670685,0.05
453,-5.408530000000001,0.07
454,-6.316953000000001,0.07
455,-6.112164000000001,0.07
456,-4.998952,0.06
457,-5.130227,0.06
458,-6.0990364999999995,0.08
459,-5.0225815,0.08
460,-5.896873,0.06
461,-5.728841,0.04
462,-4.846673,0.07
463,-5.5818129999999995,0.05
464,-7.146611,0.05
465,-5.5844385,0.06
466,-4.5919995,0.04
467,-5.098720999999999,0.06
468,-5.434785,0.05
469,-5.6369485,0.06
470,-4.5499915,0.04
471,-5.875869,0.07
472,-5.345518,0.06
473,-4.6130035000000005,0.08
474,-5.8994985,0.06
475,-5.891622,0.06
476,-5.2746295,0.07
477,-5.3166375,0.07
478,-5.235247,0.06
479,-5.980889,0.06
480,-5.6054425000000005,0.05
481,-4.6208800000000005,0.08
482,-5.5896894999999995,0.07
483,-6.3878414999999995,0.05
484,-5.2431235,0.06
485,-7.6533325,0.05
486,-6.5479970000000005,0.07
487,-5.340267,0.06
488,-5.9572595,0.07
489,-6.1252915,0.05
490,-6.2618175,0.06
491,-6.1357935,0.06
492,-5.573936499999999,0.05
493,-5.9205025000000004,0.06
494,-5.6054425000000005,0.07
495,-6.2093074999999995,0.07
496,-7.0862245,0.04
497,-5.455789,0.05
498,-6.6346385,0.05
499,-6.164674,0.06
500,-5.455789,0.06
501,-6.253941,0.05
502,-4.857175,0.06
503,-6.742284,0.06
504,-6.7501605,0.07
505,-5.3428925,0.06
506,-5.684207499999999,0.06
507,-5.077717,0.08
508,-6.815797999999999,0.05
509,-5.4269085,0.07
510,-5.870618,0.07
511,-5.482044,0.06
512,-4.9228125,0.06
513,-5.2641275,0.05
514,-5.807606,0.07
515,-7.382905999999999,0.06
516,-6.2434389999999995,0.08
517,-6.3300805,0.07
518,-6.5401205000000004,0.06
519,-5.3350159999999995,0.05
520,-6.2040565,0.07
521,-5.560809,0.06
522,-5.8942475000000005,0.06
523,-5.5634345,0.05
524,-5.3428925,0.06
525,-6.1095385,0.06
526,-5.5424305,0.04
527,-5.492546,0.06
528,-4.9490675,0.08
529,-4.715398,0.06
530,-6.106913,0.07
531,-6.348459,0.08
532,-5.8574905,0.06
533,-5.82861,0.06
534,-5.786601999999999,0.05
535,-5.781351,0.08
536,-5.324514,0.04
537,-5.7682235,0.08
538,-5.576562,0.06
539,-5.2326215,0.06
540,-5.440036,0.05
541,-5.251,0.06
542,-4.3819595,0.06
543,-5.429534,0.07
544,-5.0330835,0.07
545,-5.6527015,0.07
546,-4.6733899999999995,0.07
547,-4.9280635,0.04
548,-5.7052115,0.06
549,-5.765598,0.07
550,-5.1696095,0.07
551,-6.078032499999999,0.05
552,-5.1538565,0.05
553,-5.778725499999999,0.06
554,-5.7761000000000005,0.05
555,-6.7186545,0.06
556,-5.408530000000001,0.08
557,-6.508614499999999,0.07
558,-5.14598,0.05
559,-5.5634345,0.06
560,-6.1620485,0.04
561,-6.3405825,0.05
562,-5.518801000000001,0.07
563,-5.2956335,0.07
564,-5.476793000000001,0.06
565,-6.146295500000001,0.07
566,-5.345518,0.06
567,-6.106913,0.06
568,-5.7997295,0.06
569,-6.007144,0.05
570,-6.674021,0.07
571,-5.219494,0.07
572,-4.334700499999999,0.06
573,-6.390467,0.06
574,-5.765598,0.07
575,-6.3195784999999995,0.06
576,-4.8387965,0.07
577,-5.508299,0.05
578,-6.343208000000001,0.06
579,-6.5611245,0.06
580,-6.4902359999999994,0.06
581,-5.172235,0.05
582,-6.007144,0.07
583,-5.8364865,0.06
584,-5.161733,0.07
585,-6.2513155,0.07
586,-6.484985,0.06
587,-4.9385655,0.08
588,-6.2985745,0.07
589,-5.0015775,0.06
590,-4.9280635,0.06
591,-5.487295,0.05
592,-5.508299,0.04
593,-5.710462499999999,0.06
594,-5.340267,0.06
595,-5.7892275,0.06
596,-4.914936,0.07
597,-5.697335,0.05
598,-6.1567975,0.06
599,-5.8601160000000005,0.07
600,-5.484669500000001,0.05
601,-5.2378725,0.06
602,-6.0150205,0.08
603,-6.059654,0.07
604,-6.500738,0.06
605,-5.7997295,0.06
606,-5.440036,0.06
607,-4.479103,0.06
608,-5.3901515,0.07
609,-5.3428925,0.05
610,-5.7314665,0.06
611,-6.290698,0.08
612,-5.8994985,0.06
613,-5.240498,0.06
614,-6.0832835,0.08
615,-5.944132,0.07
616,-6.335331500000001,0.06
617,-5.912626,0.07
618,-6.1778015,0.05
619,-5.6527015,0.05
620,-5.398028,0.05
621,-6.406219999999999,0.06
622,-5.854865,0.06
623,-5.6947095,0.06
624,-6.0649049999999995,0.07
625,-5.854865,0.06
626,-5.8837455,0.06
627,-5.4715419999999995,0.07
628,-5.6999605,0.05
629,-6.873559,0.06
630,-5.0225815,0.07
631,-5.1696095,0.06
632,-5.6054425000000005,0.05
633,-7.2332525,0.06
634,-5.723590000000001,0.05
635,-6.3930925,0.06
636,-5.820733499999999,0.06
637,-5.912626,0.06
638,-5.3428925,0.05
639,-5.497797,0.07
640,-5.975637999999999,0.06
641,-5.873243499999999,0.05
642,-5.1853625,0.08
643,-6.5978815,0.07
644,-5.4531635,0.08
645,-6.632013,0.06
646,-5.660578,0.06
647,-5.686833,0.04
648,-5.5634345,0.07
649,-5.778725499999999,0.05
650,-6.146295500000001,0.06
651,-6.295949,0.07
652,-6.049152,0.06
653,-5.0488365,0.05
654,-5.529303,0.06
655,-5.7498450000000005,0.05
656,-6.810547,0.07
657,-6.0150205,0.05
658,-6.259192,0.05
659,-5.7892275,0.05
660,-5.424283,0.06
661,-6.106913,0.08
662,-5.1696095,0.06
663,-5.0225815,0.07
664,-5.6579524999999995,0.07
665,-5.9730125,0.08
666,-6.448227999999999,0.05
667,-6.332706,0.07
668,-5.2378725,0.04
669,-6.6923995000000005,0.06
670,-5.061964,0.06
671,-5.329765,0.06
672,-5.3533945,0.06
673,-5.497797,0.05
674,-5.915251499999999,0.05
675,-6.5033635,0.06
676,-5.539804999999999,0.06
677,-5.7078370000000005,0.06
678,-5.510924500000001,0.07
679,-5.7944785,0.04
680,-4.998952,0.07
681,-5.573936499999999,0.06
682,-5.272004,0.05
683,-6.5821285000000005,0.06
684,-6.5191165,0.06
685,-5.503048000000001,0.06
686,-5.3166375,0.06
687,-5.324514,0.06
688,-5.6395740000000005,0.05
689,-5.398028,0.04
690,-6.1751759999999996,0.07
691,-6.7396585,0.05
692,-6.282821500000001,0.05
693,-6.0832835,0.07
694,-6.264443,0.05
695,-7.020587000000001,0.07
696,-6.4035945000000005,0.06
697,-6.5611245,0.06
698,-5.0330835,0.06
699,-5.912626,0.06
700,-6.0360245,0.06
