model,Gsolv,timing
0,-1876.8281729999999,35.96
1,-1890.4833985,34.82
2,-1920.0491539999998,34.41
3,-1901.8491880000001,34.33
4,-1910.4398239999998,35.25
5,-1932.4126335,35.18
6,-1942.2267525000002,35.42
7,-1940.3153885,34.6
8,-1965.5096865,34.02
9,-1949.1948295,33.72
10,-2002.0093875,35.26
11,-2019.3665680000001,34.88
12,-2043.7863435000002,35.32
13,-1992.43944,33.61
14,-1967.045604,35.75
15,-2020.001939,34.99
16,-1971.17289,34.34
17,-2009.0877355,34.73
18,-1986.5189375,34.49
19,-2000.8646695,34.11
20,-2015.8982825,34.38
21,-1997.74295,35.57
22,-1952.237784,35.34
23,-1987.7713010000002,34.13
24,-1970.8342005,35.15
25,-2005.3332705,36.18
26,-1966.3655995,35.06
27,-1985.5816340000001,35.42
28,-1976.1062044999999,35.24
29,-1966.1135515,34.5
30,-1961.652827,35.18
31,-1961.3613965,36.02
32,-1914.6642535,35.79
33,-1887.6636115,34.89
34,-1887.7108705,34.89
35,-1912.2435424999999,35.31
36,-1947.4751270000002,34.96
37,-1896.5903115,34.41
38,-1909.9383535,34.73
39,-1913.280615,36.34
40,-1878.939075,34.92
41,-1935.823158,34.05
42,-1946.5457,34.61
43,-2000.867295,34.81
44,-1944.135491,34.57
45,-1945.852568,34.48
46,-1915.570051,34.68
47,-1903.345723,35.08
48,-1928.9679775000002,36.39
49,-1884.379111,35.53
50,-1908.5888465,34.02
51,-1954.7713915,35.35
52,-1949.0688055,34.93
53,-1956.354568,34.23
54,-1901.665403,34.68
55,-1960.6262565,34.21
56,-1919.314014,33.96
57,-1886.216961,35.18
58,-1914.7351420000002,33.84
59,-1921.755729,34.81
60,-1899.0897875,35.97
61,-1898.9165045,34.18
62,-1922.1338010000002,35.04
63,-1932.2393505,34.99
64,-1967.140122,34.51
65,-1969.2063905,35.37
66,-1962.4536045,35.11
67,-1914.9530585,35.5
68,-1993.983234,35.26
69,-1982.8747435,34.85
70,-1970.726555,34.89
71,-1977.0277549999998,36.14
72,-1943.2506975000001,35.47
73,-1994.618605,35.31
74,-1941.1292935000001,34.66
75,-1970.9103400000001,35.85
76,-1986.8234955,35.17
77,-1966.725293,35.79
78,-1982.1527310000001,35.49
79,-2021.2753065,36.05
80,-2010.5396369999999,35.28
81,-1983.9590750000002,34.87
82,-1975.279172,34.55
83,-2007.373284,34.87
84,-2014.577656,35.03
85,-1985.5921360000002,35.79
86,-1935.334815,34.96
87,-1940.2418745,34.94
88,-1913.737452,35.94
89,-1961.085719,36.13
90,-1957.9534975,35.36
91,-1983.0716559999998,59.94
92,-2020.3169990000001,34.53
93,-2013.3462965,34.99
94,-1988.753238,35.59
95,-1953.7264425,36.44
96,-1986.8444995,35.62
97,-1994.7052465,35.29
98,-1983.5311185,34.61
99,-1975.8594075,34.98
100,-1946.3592895,35.6
101,-1985.9518295,34.76
102,-1970.7003000000002,34.75
103,-1996.0705065,34.2
104,-1998.9139229999998,34.44
105,-1986.8996350000002,34.68
106,-1963.4670475,34.26
107,-1967.4840625,34.31
108,-1954.9761805,34.16
109,-2001.8571085,33.26
110,-1984.4605454999999,34.75
111,-2003.6424485,35.28
112,-1969.4400600000001,34.37
113,-1938.8241045,34.62
114,-1971.7531255000001,35.09
115,-1982.0739660000002,35.66
116,-1980.6955785000002,35.18
117,-1982.9745125000002,34.3
118,-2002.78391,35.06
119,-2038.1887775,35.3
120,-1992.5365834999998,35.53
