model,Gsolv,timing
0,-3776.3721720000003,31.83
1,-3735.340858,32.23
2,-3708.088168,30.95
3,-3795.9977845,31.48
4,-3734.043861,31.43
5,-3712.756307,30.86
6,-3762.4123885,31.18
7,-3768.2830065,30.57
8,-3782.5552245,31.09
9,-3727.569378,31.11
10,-3650.369176,31.52
11,-3635.650623,32.02
12,-3733.8863309999997,30.8
13,-3804.5595399999997,31.87
14,-3706.8673105000003,31.05
15,-3700.442712,31.73
16,-3665.644335,31.88
17,-3776.162132,31.86
18,-3754.7301755000003,31.67
19,-3678.724576,31.99
20,-3713.2840325,31.63
21,-3686.033968,31.85
22,-3730.8433765,31.6
23,-3746.121161,31.62
24,-3784.8499115,30.8
25,-3737.9296010000003,31.31
26,-3654.6723705,30.44
27,-3727.3882184999998,29.92
28,-3724.340013,29.38
29,-3714.6177865,30.98
30,-3745.690579,31.19
31,-3758.518772,30.0
32,-3683.6893965,30.79
33,-3722.8959879999998,30.28
34,-3728.6589605000004,31.19
35,-3787.0500805,30.37
36,-3821.7119315,30.28
37,-3781.1952155,30.52
38,-3673.279289,30.48
39,-3737.8009515000003,30.55
40,-3804.9612415,29.89
41,-3768.4694170000002,30.6
42,-3735.3644875,30.38
43,-3757.1456355000005,30.26
44,-3697.7542000000003,30.32
45,-3692.539957,31.07
46,-3696.3206769999997,31.3
47,-3732.8912665000003,30.7
48,-3691.9623469999997,30.01
49,-3748.9251950000003,31.58
50,-3661.8189815,31.3
51,-3783.140711,31.44
52,-3749.6367055,30.83
53,-3737.3099829999996,31.06
54,-3707.778359,31.91
55,-3734.3247895,31.87
56,-3808.791846,31.86
57,-3806.3212505,32.43
58,-3667.4953125,32.81
59,-3689.399859,32.11
60,-3701.5638005,32.77
61,-3653.7613220000003,32.11
62,-3693.0624314999995,32.01
63,-3731.0455399999996,32.18
64,-3702.8397935,30.88
65,-3730.032097,31.12
66,-3761.979181,31.53
67,-3692.6265985,31.16
68,-3734.453439,30.84
69,-3758.130198,30.38
70,-3651.8315795,30.67
71,-3724.712834,30.46
72,-3805.126648,31.38
73,-3726.9156285000004,31.49
74,-3674.0485605,31.12
75,-3768.8868715,31.23
76,-3753.288776,32.19
77,-3775.4138645,31.92
78,-3798.1139375000002,32.44
79,-3811.0366485,32.05
80,-3777.5063880000002,32.66
81,-3781.9776145,32.54
82,-3777.3357305000004,31.92
83,-3734.842013,32.93
84,-3738.2262825000003,32.1
85,-3786.517104,32.87
86,-3673.0666235000003,32.18
87,-3679.128903,32.54
88,-3709.206631,32.57
89,-3709.5033125000004,32.56
90,-3615.4053925,30.63
91,-3622.974709,30.45
92,-3681.1479125,30.83
93,-3677.7505155000003,30.8
94,-3641.4976115,31.69
95,-3665.103482,31.88
96,-3622.5099955,30.56
97,-3631.8620265,30.98
