model,Gsolv,timing
0,-0.325562,0.05
1,0.7797735,0.08
2,0.034131499999999995,0.07
3,-0.22316750000000002,0.07
4,0.2284185,0.07
5,0.603865,0.1
6,0.1233985,0.07
7,-0.252048,0.06
8,-0.021004,0.07
9,0.26255,0.07
10,0.178534,0.04
11,-0.393825,0.07
12,0.17328300000000002,0.06
13,0.3754465,0.06
14,0.21791649999999999,0.06
15,-0.582861,0.07
16,0.28092849999999997,0.08
17,0.115522,0.07
18,-0.1549045,0.06
19,-0.021004,0.04
20,-0.8532875,0.06
21,-1.5149135,0.06
22,-0.7902755,0.07
23,-0.5697335,0.06
24,0.1706575,0.05
25,-0.5119724999999999,0.07
26,0.761395,0.06
27,0.645873,0.06
28,0.24417149999999999,0.08
29,0.441084,0.07
30,0.204789,0.05
31,0.110271,0.08
32,-0.1076455,0.05
33,0.10502,0.07
34,0.34656600000000004,0.06
35,0.057761,0.07
36,0.2021635,0.07
37,0.7797735,0.05
38,0.44896050000000004,0.08
39,0.1233985,0.06
40,0.1286495,0.07
41,-0.267801,0.07
42,-0.094518,0.07
43,-0.162781,0.05
44,0.1181475,0.07
45,0.204789,0.06
46,0.08664150000000001,0.07
47,-0.0183785,0.07
48,-0.530351,0.05
49,0.3281875,0.07
50,0.0708885,0.06
51,0.0708885,0.07
52,0.477841,0.06
53,-0.46733899999999995,0.06
54,-0.38594849999999997,0.07
55,0.598614,0.06
56,0.430582,0.07
57,0.005251,0.06
58,-0.073514,0.07
59,-0.1601555,0.05
60,-0.1706575,0.07
61,-0.18378499999999998,0.06
62,-0.24417149999999999,0.06
63,-0.19166149999999998,0.06
64,-0.33343849999999997,0.06
65,0.441084,0.07
66,-0.0131275,0.06
67,0.588112,0.06
68,0.651124,0.05
69,-0.1706575,0.08
70,-0.042008,0.07
71,0.2126655,0.07
72,-0.294056,0.07
73,-0.063012,0.07
74,0.4384585,0.06
75,0.2914305,0.07
76,0.11289650000000001,0.05
77,-0.278303,0.07
78,-0.131275,0.06
79,-0.4069525,0.06
80,0.2756775,0.06
81,-0.1654065,0.05
82,0.2074145,0.06
83,0.0971435,0.08
84,-0.3386895,0.05
85,0.1601555,0.08
86,-0.404327,0.08
87,0.1181475,0.07
88,-0.08664150000000001,0.06
89,-0.1023945,0.07
90,-0.719387,0.07
91,0.3019325,0.06
92,0.08664150000000001,0.07
93,0.309809,0.07
94,0.18378499999999998,0.05
95,0.540853,0.06
96,-0.0813905,0.06
97,0.0288805,0.07
98,0.5382275,0.05
99,0.2389205,0.06
100,-0.010502,0.06
101,0.1076455,0.06
102,0.4437095,0.08
103,0.672128,0.07
104,-0.042008,0.05
105,0.0761395,0.07
106,0.0236295,0.07
107,0.204789,0.08
108,0.5697335,0.06
109,-0.0236295,0.06
110,0.0393825,0.04
111,0.5329765,0.06
112,-0.509347,0.05
113,-0.5224745000000001,0.06
114,0.13652599999999998,0.06
115,0.094518,0.07
116,0.036757,0.05
117,0.5172235,0.07
118,0.0236295,0.06
119,0.2651755,0.07
120,0.2651755,0.06
121,0.24942250000000002,0.06
122,-0.425331,0.06
123,-0.026255,0.06
124,-0.152279,0.06
125,-0.530351,0.04
126,-0.824407,0.06
127,-1.685571,0.05
128,-0.661626,0.07
129,-0.960933,0.07
130,-0.3701955,0.04
131,0.089267,0.06
132,-0.8926700000000001,0.05
133,0.094518,0.07
134,-0.44896050000000004,0.07
135,-0.6983830000000001,0.07
136,-0.9346779999999999,0.05
137,-0.750893,0.07
138,-0.0026255,0.07
139,0.0656375,0.05
140,-0.2914305,0.06
141,0.231044,0.06
142,-0.21004,0.08
143,-0.026255,0.05
144,-0.44633500000000004,0.07
145,-0.8952955,0.07
146,-1.034447,0.06
147,-0.1286495,0.07
