model,Gsolv,timing
0,-2078.282788,31.82
1,-2054.6506625,31.81
2,-2040.7302614999999,30.67
3,-2095.784371,31.25
4,-2052.3139674999998,31.89
5,-2040.780146,30.64
6,-2071.9474565,30.79
7,-2073.6855375,30.35
8,-2086.9495635,30.82
9,-2047.1522345,30.87
10,-2001.1639765,31.51
11,-1991.9747265,32.19
12,-2052.1354335,31.02
13,-2096.0337935,31.83
14,-2034.4500655000002,30.94
15,-2028.9864,31.62
16,-2006.8665625,32.22
17,-2080.5354669999997,31.62
18,-2065.1054034999997,32.03
19,-2019.2667989999998,31.91
20,-2042.7335179999998,31.3
21,-2021.724267,31.77
22,-2046.8739315,31.91
23,-2057.0976284999997,31.5
24,-2085.2272355,30.97
25,-2055.3595475,31.43
26,-2002.0041365,30.96
27,-2048.4151,29.43
28,-2044.4348420000001,29.38
29,-2040.354815,30.69
30,-2059.694248,30.7
31,-2069.917945,30.23
32,-2019.2116635,30.53
33,-2044.4164635,29.8
34,-2050.4761175000003,31.11
35,-2087.8632374999997,30.16
36,-2110.7575975,30.03
37,-2085.0487015,30.35
38,-2013.3751770000001,30.39
39,-2055.0077305,30.42
40,-2099.1056285,29.76
41,-2073.9113305,30.53
42,-2053.0911155,30.11
43,-2068.610446,29.98
44,-2030.656218,30.09
45,-2027.080287,31.14
46,-2028.9706469999999,30.85
47,-2052.3349715,30.41
48,-2026.0852225,30.35
49,-2061.9285485,31.46
50,-2013.3778025,30.88
51,-2086.4454674999997,31.09
52,-2067.1480425,31.04
53,-2056.575154,30.95
54,-2038.7033755,31.82
55,-2054.6742919999997,32.25
56,-2102.55291,32.16
57,-2103.1856555,32.39
58,-2011.5767094999999,33.03
59,-2026.3031389999999,32.05
60,-2034.505201,32.77
61,-2006.785172,32.13
62,-2029.170185,32.06
63,-2051.8361265,32.23
64,-2033.5206385,31.17
65,-2050.263452,30.84
66,-2072.8191225,31.38
67,-2029.6769064999999,31.33
68,-2053.7474905,31.21
69,-2071.3961015,30.2
70,-2004.0835324999998,30.62
71,-2048.630391,30.23
72,-2096.8844555,31.19
73,-2047.270382,31.32
74,-2012.6767940000002,31.12
75,-2073.5227565,31.14
76,-2062.4116405,32.18
77,-2077.2562175000003,31.87
78,-2093.221883,32.65
79,-2101.9674235,31.99
80,-2080.7796385,32.48
81,-2082.2919265,32.5
82,-2082.152775,31.86
83,-2053.513821,32.88
84,-2058.3631195000003,31.78
85,-2083.029692,32.84
86,-2014.430628,31.94
87,-2018.7915835,32.42
88,-2037.6846815000001,31.74
89,-2037.8054545000002,32.34
90,-1974.5597850000001,30.36
91,-1984.3949080000002,30.26
92,-2019.5162215,30.85
93,-2012.6794195,30.7
94,-1995.416757,31.68
95,-2012.051925,31.6
96,-1983.791043,30.61
97,-1990.2576494999998,31.36
98,-2032.5754585000002,31.24
99,-2024.5598069999999,30.82
100,-2032.2709005000002,31.81
101,-2035.6761740000002,31.23
102,-2008.5101255000002,30.91
103,-1992.722994,29.99
104,-2013.70599,30.59
105,-1982.3706475,30.47
106,-1994.324549,29.59
107,-2031.1865690000002,30.74
108,-2024.066213,31.03
109,-2038.044375,30.96
110,-2059.111387,31.24
111,-2000.5916175,30.62
112,-2064.6748215000002,31.75
113,-2067.0220185,31.08
114,-2012.0492995,30.38
115,-2003.3090100000002,30.02
116,-1993.410875,31.9
117,-2005.383155,31.39
118,-1997.5434119999998,30.61
119,-2027.46361,31.37
120,-2022.454156,31.64
121,-2045.5743089999999,31.48
122,-2039.3886309999998,30.96
123,-2052.778681,30.71
124,-2057.200023,31.55
125,-2096.6192800000003,32.32
126,-2081.611922,31.57
127,-2054.5193875,30.8
128,-2053.2538965000003,31.2
129,-2074.691104,30.47
130,-2026.5420595,30.82
131,-2074.2736495,31.07
132,-2052.8338165,32.48
133,-2084.762522,31.81
134,-2082.452082,31.44
135,-2035.2797235,31.8
136,-2112.4379175,32.11
137,-2070.2356305,31.15
138,-2048.320582,32.14
139,-2057.399561,31.8
140,-2043.1982315,32.94
141,-2027.290327,32.76
142,-2068.484422,33.24
143,-2035.8205764999998,32.96
144,-2011.6082155,33.49
145,-2098.3074765,32.18
146,-2099.9037805000003,32.69
147,-2043.8887379999999,32.27
148,-2064.8113475,32.88
149,-2031.9138325000001,33.08
150,-2026.3372705,31.76
151,-2057.5728440000003,31.95
152,-2055.6378505,31.84
153,-2073.6855375,31.43
154,-2075.1400645000003,31.09
155,-2028.14624,31.89
156,-2048.9165705,32.29
157,-2054.1728215,32.84
158,-2064.241614,31.36
159,-2144.7630735,31.44
160,-2114.8560030000003,31.2
161,-2033.780563,30.94
162,-2117.8779535,31.24
163,-2113.611516,30.73
164,-2097.690484,31.4
165,-2097.3307904999997,30.71
166,-2070.9944,30.29
167,-2094.6974139999998,31.02
168,-2082.872162,31.98
169,-2079.1780835,31.39
170,-2045.5506795000001,31.58
171,-2049.302519,30.65
172,-2036.6738639999999,30.51
173,-2054.0993075,31.37
174,-2028.193499,30.59
175,-2073.1814415,32.47
176,-2073.1971945,32.12
177,-2044.9730695,32.2
178,-2050.5338785,32.39
179,-2139.3387905,32.13
180,-2042.460466,31.43
181,-2088.3410785,32.29
182,-2044.3376985,31.33
183,-2065.3837065,30.57
184,-2071.871317,31.28
185,-2063.4434619999997,32.95
186,-2087.556054,32.4
187,-2021.1440315,31.98
188,-2025.8883099999998,32.25
189,-2003.734341,32.38
190,-2031.764179,32.66
191,-2093.531692,32.5
192,-2041.8539755,33.25
193,-2086.9810695,32.92
194,-2067.0062655,32.84
195,-2047.511928,32.67
196,-2075.063925,31.4
197,-2090.039777,32.76
198,-2080.5853515,32.97
199,-2077.7813175,32.2
200,-2067.3790865,32.18
201,-2105.393701,32.01
202,-2083.28174,32.23
203,-2101.276917,31.49
204,-2124.6622455,32.34
205,-2110.655203,32.65
206,-2103.4534565,31.44
207,-2038.847778,30.65
208,-2089.2862585,32.2
209,-2073.100051,31.52
210,-2035.1116915,31.8
211,-2032.7172355,32.76
212,-2021.16241,32.55
213,-2040.1972850000002,32.64
214,-2063.123151,31.66
215,-2025.347457,32.51
216,-2067.0745285,32.16
217,-2058.208215,32.73
218,-2035.7076800000002,32.27
219,-2045.968134,32.42
220,-1990.3390399999998,32.24
221,-2022.937248,31.69
222,-2000.2660555,31.52
223,-2027.7760445,32.09
224,-2022.6773235,33.15
225,-2007.5859495,34.07
226,-1964.9950884999998,32.49
227,-2054.5141365,32.56
228,-1990.4939445,31.9
229,-2028.8787545,32.77
230,-1976.9883725,32.97
231,-1991.6544155,32.57
232,-1994.6947445,32.77
233,-2001.6575705,32.76
234,-1949.580778,33.76
235,-1966.4916235,33.21
236,-1955.1310850000002,33.66
237,-1942.171617,33.12
238,-1951.1849585,31.85
239,-1970.689798,33.0
240,-1918.6103799999999,31.64
241,-1962.9577004999999,32.17
242,-1923.0999849999998,31.78
243,-1927.2403985,32.26
244,-1956.800903,32.55
245,-1940.522803,32.42
246,-1981.7615314999998,32.82
247,-1917.4577855,31.1
248,-1965.7669855,32.55
249,-1969.1801355000002,32.91
250,-1997.3517505,31.8
251,-2000.3080635000001,31.7
252,-2011.017478,31.62
253,-2003.3641455,31.23
254,-2008.869819,32.24
255,-2019.6396200000001,32.29
256,-2086.5426110000003,32.96
257,-2054.2095784999997,32.76
258,-2083.980123,31.69
259,-2076.0747425,34.08
260,-2066.8224805,32.48
261,-2031.8298164999999,58.56
262,-2081.533157,33.54
263,-2076.7941295,32.71
264,-2100.6599245,33.86
265,-2096.640284,32.71
266,-2119.0357989999998,34.22
267,-2059.8701565,34.07
268,-2077.3507354999997,32.39
269,-2054.065176,33.29
270,-2075.3343514999997,33.75
271,-2001.198108,33.48
272,-2028.2223795,33.04
273,-2022.00257,33.26
274,-2040.3416874999998,32.42
275,-1980.7218335,32.12
276,-1972.4725125,32.92
277,-1972.5670304999999,31.41
278,-1976.0379415,31.95
279,-2023.898181,33.23
280,-2018.9386115,33.76
281,-2011.962658,35.17
282,-2059.121889,33.86
283,-2040.864162,33.55
284,-2051.1902535,32.91
285,-2024.3523925000002,33.46
286,-2042.455215,33.03
287,-2036.1881465,32.64
288,-2087.7634685,33.27
289,-2040.2524205,33.86
290,-1986.9600215,33.73
291,-2013.658731,33.15
292,-1993.353114,33.48
293,-1999.312999,34.03
294,-2015.4230670000002,33.57
295,-2005.9318845,32.71
296,-2069.4532315,34.36
297,-2019.098767,34.0
298,-1999.7068239999999,31.94
299,-2031.0237880000002,31.63
300,-2007.2446344999998,32.41
301,-2028.6660889999998,33.8
302,-2048.446606,32.9
303,-2067.9671985,32.36
304,-2020.994378,31.76
305,-2057.2866645,32.89
306,-2040.4992175,32.2
307,-2060.80746,32.11
308,-2063.4408365,31.92
309,-1997.3780055,32.19
310,-2016.5546575,32.22
311,-2044.4532205,33.42
312,-2037.28298,33.8
313,-2044.7052685,32.76
314,-2056.0474285,33.52
315,-2044.6002485,33.17
316,-2002.978197,33.2
317,-2019.776146,33.72
318,-2009.9856565,31.24
319,-1980.7165825,32.42
320,-2032.1212469999998,33.66
321,-2037.02043,32.16
322,-1958.670259,32.12
323,-1990.360044,32.52
324,-2006.8823155,33.73
325,-1962.2383134999998,32.24
326,-1984.5130555,32.78
327,-1996.6428655,32.49
328,-1971.6113485,33.32
329,-1991.4312479999999,32.06
330,-1938.9763834999999,32.02
331,-1902.9230175,31.82
332,-1948.6539764999998,32.3
333,-1990.6252195,32.79
334,-1993.473887,32.52
335,-1972.5381499999999,31.58
336,-1967.9041424999998,32.25
337,-1962.50874,32.55
338,-2013.3541730000002,33.38
339,-1928.135694,32.29
340,-1945.2828345,32.28
341,-1945.0229100000001,32.76
342,-1933.087387,32.52
343,-1963.2412545,32.08
344,-2007.7487305,31.83
345,-1977.2614245,31.9
346,-2005.1074775,31.68
347,-1917.8778655,33.12
348,-1915.260242,32.19
349,-1924.706791,32.43
350,-1965.1473675,32.48
351,-2032.4284304999999,32.91
352,-2005.7586015,31.82
353,-2021.1519079999998,31.69
354,-1984.1139795,32.14
355,-1990.6672275,31.53
356,-1966.2001930000001,31.58
357,-2006.370343,31.94
358,-2034.8360140000002,31.95
359,-2040.2734245,32.38
360,-2063.790028,31.91
361,-2045.169982,32.6
362,-2002.4872285000001,32.71
363,-1999.9168639999998,32.82
364,-2029.6138945,33.7
365,-2018.048567,33.35
366,-2050.174185,33.96
367,-2047.7534739999999,33.23
368,-2060.8783485,32.67
369,-2060.7260695,32.97
370,-2037.1464540000002,32.93
371,-2033.6099055000002,33.11
372,-2033.4261205,33.01
373,-2018.7548265,32.9
374,-1996.2122835,33.38
375,-2013.3830535,33.08
376,-2001.7914709999998,32.38
377,-2036.2249035000002,33.31
378,-2003.3851495,32.51
379,-2022.3517615,33.4
380,-2003.0595875,33.23
381,-1959.2399925,32.56
382,-2010.9649679999998,32.73
383,-2010.0329155,33.15
384,-1960.487105,32.71
385,-2015.3731825000002,32.65
386,-2004.395967,31.68
387,-1979.0572665,32.09
388,-2006.7930485,32.95
389,-2061.532098,32.99
390,-1982.8484885,31.81
391,-1981.8928064999998,31.99
392,-2003.3720219999998,31.48
393,-2086.9600655,32.69
394,-2056.349361,30.7
395,-2085.3060005,33.11
396,-2080.8899094999997,33.08
397,-2035.886214,32.46
398,-2064.0079445,32.22
399,-2028.949643,32.69
