model,Gsolv,timing
0,-100.6065345,0.07
1,-97.49794250000001,0.08
2,-99.0889955,0.08
3,-104.80995999999999,0.09
4,-97.7709945,0.07
5,-110.16597999999999,0.07
6,-98.461501,0.08
7,-102.5966635,0.08
8,-103.360684,0.07
9,-106.6556865,0.06
10,-100.9741045,0.08
11,-102.74894250000001,0.07
12,-107.6481255,0.06
13,-101.45982199999999,0.08
14,-103.3318035,0.09
15,-101.25503300000001,0.08
16,-104.720693,0.07
17,-100.30722750000001,0.07
18,-104.568414,0.07
19,-105.844407,0.07
20,-103.0167435,0.09
21,-103.397441,0.06
22,-102.714811,0.08
23,-101.423065,0.09
24,-99.96591249999999,0.07
25,-97.28790249999999,0.08
26,-105.61073749999998,0.08
27,-104.5867925,0.07
28,-103.145393,0.07
29,-103.817521,0.07
30,-103.455202,0.07
31,-110.3051315,0.06
32,-96.3689775,0.07
33,-98.24883550000001,0.07
34,-104.200844,0.08
35,-105.36131499999999,0.07
36,-104.0721945,0.07
37,-102.38924899999999,0.06
38,-102.04530849999999,0.07
39,-98.19632549999999,0.08
40,-104.437139,0.07
41,-101.49132800000001,0.06
42,-101.47294950000001,0.04
43,-98.225206,0.07
44,-104.40038200000001,0.07
45,-98.8369475,0.06
46,-100.71418,0.09
47,-105.576606,0.06
48,-103.63111049999999,0.09
49,-102.95373149999999,0.07
50,-99.112625,0.07
51,-104.38987999999999,0.06
52,-97.206512,0.08
53,-99.5930915,0.08
54,-97.027978,0.07
55,-104.358374,0.04
56,-105.8207775,0.06
57,-104.0354375,0.06
58,-101.780133,0.07
59,-100.168076,0.06
60,-103.2005285,0.08
61,-104.300613,0.06
62,-100.792945,0.09
63,-105.3114305,0.07
64,-102.8592135,0.06
65,-106.8867305,0.07
66,-101.885153,0.07
67,-102.74894250000001,0.07
68,-95.888511,0.06
69,-98.046672,0.07
70,-106.5979255,0.04
71,-99.16513499999999,0.06
72,-105.7105065,0.05
73,-101.03974199999999,0.09
74,-98.4641265,0.07
75,-108.37538900000001,0.07
76,-100.063056,0.08
77,-101.91140800000001,0.06
78,-102.20283850000001,0.09
79,-100.8795865,0.08
80,-93.95351749999999,0.07
81,-104.95173700000001,0.06
82,-103.9881785,0.09
83,-98.71092349999999,0.08
84,-103.922541,0.06
85,-98.7004215,0.07
86,-106.4824035,0.08
87,-100.971479,0.08
88,-105.41382499999999,0.06
89,-106.3721325,0.07
90,-104.9963705,0.09
91,-101.55171449999999,0.08
92,-101.0686225,0.06
93,-108.5355445,0.1
94,-98.955095,0.08
95,-103.62323400000001,0.08
96,-104.06169249999999,0.08
97,-103.70987550000001,0.07
98,-103.8831585,0.08
99,-98.50876,0.07
100,-102.683305,0.06
101,-101.391559,0.06
102,-104.33474449999999,0.08
103,-99.71123899999999,0.08
104,-104.31374050000001,0.08
105,-101.93503749999999,0.09
106,-101.622603,0.08
107,-98.19632549999999,0.08
108,-95.1507455,0.08
109,-101.58584599999999,0.08
110,-103.780764,0.08
111,-100.645917,0.07
112,-100.87433549999999,0.07
113,-101.1211325,0.08
114,-105.88116400000001,0.05
115,-105.041004,0.07
116,-103.46045299999999,0.07
117,-103.087632,0.08
118,-103.39481549999999,0.09
119,-95.1664985,0.08
120,-97.852385,0.06
121,-101.16314050000001,0.06
122,-104.5342825,0.08
123,-98.4483735,0.09
124,-99.21501950000001,0.08
125,-101.249782,0.06
126,-102.2605995,0.07
127,-101.20514849999999,0.06
128,-99.994793,0.07
129,-101.51233199999999,0.06
130,-98.57964849999999,0.07
131,-97.3299105,0.07
132,-99.5353305,0.09
133,-101.3784315,0.06
134,-101.7249975,0.07
135,-104.05906700000001,0.06
136,-103.066628,0.07
137,-100.246841,0.08
138,-99.26752950000001,0.08
139,-101.323296,0.08
140,-102.0768145,0.08
141,-101.664611,0.08
142,-103.628485,0.09
143,-97.6187155,0.06
144,-102.284229,0.07
145,-101.02136349999999,0.07
146,-99.2990355,0.07
147,-93.289266,0.09
148,-101.08962650000001,0.09
149,-100.798196,0.08
150,-98.240959,0.06
151,-105.602861,0.07
152,-100.8795865,0.06
153,-97.332536,0.08
154,-108.4042695,0.08
155,-96.2744595,0.06
156,-101.428316,0.06
157,-99.90027500000001,0.08
158,-97.87864,0.06
159,-107.70588649999999,0.07
160,-98.335477,0.1
161,-100.91371799999999,0.06
162,-107.8371615,0.08
163,-99.7926295,0.08
164,-104.9701155,0.06
165,-105.33768549999999,0.07
166,-104.94648600000001,0.07
167,-104.3294935,0.06
168,-99.0364855,0.07
169,-100.614411,0.08
170,-101.890404,0.08
171,-95.15599649999999,0.07
172,-97.94690299999999,0.06
173,-96.3112165,0.07
174,-100.0079205,0.08
175,-103.3055485,0.07
176,-104.0564415,0.08
177,-99.942283,0.08
178,-101.6462325,0.09
179,-103.84115050000001,0.07
180,-100.9688535,0.09
181,-97.0988665,0.08
182,-101.685615,0.07
183,-104.0196845,0.07
184,-102.39975100000001,0.06
185,-104.563163,0.09
186,-104.65243,0.07
187,-102.4496355,0.09
188,-98.3118475,0.07
189,-102.7331895,0.07
190,-107.07314099999999,0.08
191,-100.693176,0.08
192,-101.92191,0.05
193,-102.6859305,0.07
194,-102.0138025,0.07
195,-103.329178,0.07
196,-99.816259,0.05
197,-101.1578895,0.09
198,-102.55202999999999,0.07
199,-103.5208395,0.06
200,-100.9163435,0.06
201,-103.67574400000001,0.05
202,-101.144762,0.06
203,-99.8923985,0.07
204,-102.357743,0.06
205,-96.13005700000001,0.06
206,-101.3049175,0.08
207,-100.32823149999999,0.06
208,-107.0180055,0.08
209,-102.903847,0.06
210,-103.056126,0.06
211,-101.3731805,0.07
212,-100.026299,0.06
213,-101.244531,0.08
214,-99.0994975,0.07
215,-102.1030695,0.07
216,-102.373496,0.08
217,-104.773203,0.08
218,-98.84744950000001,0.06
219,-101.00561049999999,0.07
220,-103.8306485,0.07
221,-105.140773,0.07
222,-97.6187155,0.07
223,-100.35973750000001,0.06
224,-102.2448465,0.05
225,-103.376437,0.08
226,-98.382736,0.08
227,-97.6869785,0.07
228,-105.329809,0.07
229,-102.55202999999999,0.08
230,-103.91466450000001,0.06
231,-99.422434,0.06
232,-101.260284,0.07
233,-96.1746905,0.07
234,-100.530395,0.07
235,-105.93367400000001,0.06
236,-99.837263,0.08
237,-100.40174549999999,0.07
238,-102.67805399999999,0.06
239,-102.6019145,0.07
240,-102.34986649999999,0.05
241,-101.1788935,0.08
242,-102.8854685,0.07
243,-101.49132800000001,0.08
244,-100.414873,0.09
245,-102.38924899999999,0.06
246,-99.180888,0.07
247,-100.971479,0.04
248,-103.360684,0.06
249,-105.886415,0.06
250,-104.30848950000001,0.06
251,-103.996055,0.08
252,-97.852385,0.07
253,-102.81458,0.07
254,-101.34955099999999,0.08
255,-108.3675125,0.05
256,-102.5178985,0.06
257,-95.12974150000001,0.04
258,-100.36761399999999,0.08
259,-104.925482,0.07
260,-100.81394900000001,0.04
261,-96.18781800000001,0.06
262,-99.6245975,0.08
263,-102.478516,0.08
264,-107.199165,0.07
265,-100.8008215,0.08
266,-101.738125,0.06
267,-103.20577949999999,0.1
268,-105.6002355,0.07
269,-105.4217015,0.06
270,-101.76438,0.08
271,-106.884105,0.07
272,-100.750937,0.07
273,-101.580595,0.07
274,-99.7978805,0.09
275,-102.4653885,0.05
276,-105.12501999999999,0.06
277,-100.4385025,0.08
278,-101.49920449999999,0.08
279,-97.61609,0.08
280,-99.88714750000001,0.07
281,-99.99216750000001,0.05
282,-103.53134150000001,0.07
283,-108.8663575,0.07
284,-102.152954,0.08
285,-106.5953,0.07
286,-104.662932,0.07
287,-102.45226100000001,0.06
288,-101.260284,0.08
289,-95.846503,0.09
290,-102.6124165,0.07
291,-104.253354,0.06
292,-102.998365,0.07
293,-101.8562725,0.07
294,-109.504354,0.06
295,-102.5546555,0.07
296,-104.94648600000001,0.08
297,-101.3259215,0.09
298,-96.823189,0.07
299,-100.32823149999999,0.08
300,-96.05129199999999,0.07
301,-100.8848375,0.08
302,-103.176899,0.05
303,-102.011177,0.07
304,-105.686877,0.08
