model,Gsolv,timing
0,-3503.1022555,29.16
1,-3448.5286125,29.12
2,-3454.911203,29.25
3,-3479.464879,29.09
4,-3492.308825,29.06
5,-3454.7668005000005,29.12
6,-3468.5559264999997,29.73
7,-3550.88373,29.36
8,-3580.8643145,30.53
9,-3639.132036,30.21
10,-3610.713624,29.93
11,-3596.9113705,29.57
12,-3607.8229485,30.14
13,-3589.063751,30.01
14,-3570.0472545,29.65
15,-3657.704823,30.07
16,-3663.843242,30.46
17,-3676.345873,31.25
18,-3710.430114,30.18
19,-3637.2968115,30.16
20,-3665.707347,30.51
21,-3637.9689395,31.05
22,-3710.477373,30.07
23,-3651.1935829999998,30.44
24,-3619.4644155,29.8
25,-3704.0580255,29.77
26,-3688.0582284999996,29.3
27,-3702.222801,28.88
28,-3688.869508,29.89
29,-3765.7415225000004,30.62
30,-3695.8454615,30.54
31,-3686.2938925,31.12
32,-3783.4715240000005,30.22
33,-3792.702782,30.36
34,-3754.6907929999998,31.17
35,-3779.4518835,30.94
36,-3734.0884945000003,30.97
37,-3670.254713,31.36
38,-3724.3111325,31.28
39,-3691.442498,31.2
40,-3643.8448085,31.25
41,-3698.0745110000003,30.37
42,-3722.6308125,31.35
43,-3681.7964110000003,30.4
44,-3682.074714,30.23
45,-3726.9471344999997,30.42
46,-3703.6930810000003,31.45
47,-3754.7354265,30.63
48,-3708.6657779999996,30.09
49,-3765.875423,31.27
50,-3752.343596,31.02
51,-3739.268606,29.76
52,-3801.5060835,30.48
53,-3780.583474,30.4
54,-3717.939044,29.71
55,-3715.0326155000002,29.97
56,-3848.604928,29.81
57,-3786.5249805,29.43
58,-3752.6324010000003,28.99
59,-3768.95776,28.48
60,-3751.030846,28.61
61,-3815.53413,30.16
62,-3770.538311,29.37
63,-3864.7727569999997,29.3
64,-3848.9908765,29.74
65,-3811.7560355,29.32
66,-3718.9629889999997,30.36
67,-3753.0472299999997,30.19
68,-3723.7335225,29.55
69,-3726.1857395,29.95
70,-3764.2266090000003,29.82
71,-3788.7041455,31.39
72,-3795.31778,31.7
73,-3850.369264,30.66
74,-3736.3936835,30.57
75,-3707.090478,30.74
76,-3719.068009,30.71
77,-3693.8395795,29.16
78,-3699.06695,30.38
79,-3715.3161695,30.04
80,-3675.7446335,29.99
81,-3704.669767,30.11
82,-3675.190653,29.16
83,-3833.487299,29.77
84,-3768.6899590000003,31.17
85,-3745.9294995,30.72
86,-3703.1469770000003,31.03
87,-3720.9478670000003,29.7
88,-3786.826913,30.58
89,-3683.7209024999997,29.94
90,-3751.7502329999998,30.34
91,-3733.7314264999995,30.31
92,-3664.1294215000003,29.38
93,-3709.075356,30.08
94,-3752.774178,28.72
95,-3687.8271845000004,29.39
96,-3710.923708,31.03
97,-3717.0857565,30.53
98,-3789.8357360000005,30.73
99,-3678.257237,30.67
100,-3750.5923875000003,29.96
101,-3717.823522,29.88
102,-3684.6660825000004,29.97
103,-3750.348216,30.35
104,-3752.653405,29.74
105,-3720.0998305000003,29.91
106,-3755.0846180000003,28.83
107,-3651.0859375,29.67
108,-3713.585965,29.35
109,-3717.3430555,29.92
110,-3701.6688205,29.34
111,-3840.864954,29.9
112,-3716.8967205,29.73
113,-3716.3138595,29.82
114,-3790.5682505,30.12
115,-3805.9064215,29.57
116,-3734.658228,29.72
117,-3773.1769385000002,30.17
118,-3877.70597,30.81
119,-3824.245539,29.55
120,-3761.338559,29.34
121,-3782.405571,30.3
122,-3851.3800815,30.79
123,-3812.0002069999996,30.65
124,-3762.9611179999997,29.55
125,-3782.7390095,31.04
126,-3793.6243325,30.14
127,-3807.7075145000003,29.9
128,-3766.2193635,31.63
129,-3775.8260680000003,30.59
130,-3773.258329,30.53
131,-3746.299695,31.36
132,-3803.1496464999996,31.55
133,-3734.290658,30.61
134,-3820.9505365,30.16
135,-3754.2575855,29.29
136,-3773.1139265,30.53
137,-3788.9351895000004,31.52
138,-3831.2792535,31.51
139,-3774.8546330000004,29.97
140,-3743.1622224999996,30.0
141,-3714.4812605,30.08
142,-3746.3101970000002,30.63
143,-3693.7608145,31.15
144,-3753.540824,31.8
145,-3804.4518945,30.66
146,-3740.3188059999998,31.79
147,-3722.6754459999997,31.54
148,-3820.6354765,31.53
149,-3690.4159275,31.89
150,-3726.6688315,31.17
151,-3717.7998924999997,31.23
152,-3753.225764,30.98
153,-3665.51306,30.64
154,-3723.6022475,32.05
155,-3767.471727,31.95
156,-3642.0279625000003,31.19
157,-3709.2512645,30.33
158,-3659.968004,30.56
159,-3709.5006869999997,31.36
160,-3719.3226824999997,29.8
161,-3765.3897055,31.42
162,-3711.6719755000004,30.27
163,-3712.420243,30.12
164,-3739.1557095,30.17
165,-3724.2349929999996,29.86
166,-3804.1788425000004,31.06
167,-3708.875818,29.78
168,-3683.4662289999997,30.37
