model,Gsolv,timing
0,-1906.8770205,32.44
1,-1870.3773195,32.05
2,-1876.366085,33.04
3,-1887.2461569999998,32.07
4,-1894.7262065000002,32.28
5,-1875.3500165,32.39
6,-1882.583269,32.76
7,-1935.2061655,33.0
8,-1954.3066780000001,34.09
9,-1994.450573,33.39
10,-1972.0235519999999,33.27
11,-1965.8772565,32.92
12,-1970.6031564999998,33.75
13,-1959.799224,33.21
14,-1948.4229325,33.15
15,-2004.1938034999998,34.13
16,-2003.0910935,34.05
17,-2013.7296195000001,35.24
18,-2038.1677735,33.32
19,-1990.5175740000002,33.68
20,-2011.621343,34.09
21,-1991.9117145,34.52
22,-2037.8107055,33.2
23,-1998.8062775,34.34
24,-1980.9213714999999,33.07
25,-2032.919399,33.91
26,-2023.005511,32.72
27,-2032.168506,32.61
28,-2023.5962485,33.5
29,-2074.8670125,34.27
30,-2025.610007,34.07
31,-2025.3789629999999,34.46
32,-2083.817342,34.39
33,-2089.630199,33.96
34,-2065.5359855,35.1
35,-2080.377937,34.69
36,-2054.7924395,34.94
37,-2012.088682,34.71
38,-2047.4804219999999,35.02
39,-2027.4872395000002,34.97
40,-1996.130893,34.87
41,-2027.332335,34.43
42,-2043.6156859999999,35.22
43,-2023.205049,33.93
44,-2018.3977585,33.67
45,-2048.1236695000002,34.83
46,-2033.990603,34.59
47,-2068.5500595000003,34.35
48,-2037.75557,34.23
49,-2076.3372925,35.12
50,-2068.1352305,34.82
51,-2057.8747765000003,33.92
52,-2096.2858415,33.84
53,-2083.5154095,33.6
54,-2043.8178495,33.36
55,-2042.497223,33.25
56,-2122.9924275,33.14
57,-2088.4723535,32.75
58,-2067.1217875,32.51
59,-2074.349789,31.66
60,-2065.669886,32.04
61,-2107.819663,33.86
62,-2076.670731,33.05
63,-2133.455045,32.5
64,-2126.665502,33.29
65,-2103.597859,32.77
66,-2045.763345,33.59
67,-2065.0266385,33.65
68,-2047.0997245,33.11
69,-2046.6953975000001,34.15
70,-2070.0781005,32.95
71,-2088.732278,35.92
72,-2091.8277425,36.13
73,-2125.0035605,34.59
74,-2055.4645675,34.32
75,-2040.0502569999999,34.12
76,-2042.2372985,33.93
77,-2028.161993,32.42
78,-2025.8226725000002,34.06
79,-2038.7558855,33.64
80,-2013.4014319999999,33.25
81,-2031.4307405,33.53
82,-2014.5172694999999,32.72
83,-2115.538633,33.43
84,-2073.010784,34.91
85,-2062.099206,34.44
86,-2033.281718,34.46
87,-2046.193927,33.54
88,-2087.4956675000003,34.26
89,-2020.548043,33.57
90,-2062.823844,33.74
91,-2052.6342785,33.48
92,-2008.7542970000002,33.25
93,-2037.1543305,34.2
94,-2061.2301655,32.74
95,-2022.8768615,33.34
96,-2039.3755035000001,34.75
97,-2042.5628605,34.28
98,-2088.6430109999997,34.64
99,-2012.1096860000002,34.34
100,-2061.5084684999997,33.3
101,-2039.057818,33.5
102,-2017.2740445,33.39
103,-2062.2593615,34.28
104,-2066.4969185,32.91
105,-2043.7548375000001,33.01
106,-2069.1644265,32.18
107,-1999.9352425000002,33.27
108,-2041.1713455000001,32.87
109,-2041.704322,33.13
110,-2032.0792390000001,33.18
111,-2120.7239955,33.5
112,-2041.4023895,33.55
113,-2045.080715,33.39
114,-2092.4473605,33.42
115,-2099.5493380000003,33.33
116,-2054.264714,33.2
117,-2077.3874925,33.53
118,-2144.7683245000003,34.51
119,-2111.6817735,32.84
120,-2071.8791935,32.35
121,-2084.8281595,33.91
122,-2128.960189,34.73
123,-2106.3572595,34.24
124,-2071.703285,33.4
125,-2083.197724,34.67
126,-2093.9937800000002,34.3
127,-2101.5105865,33.37
128,-2077.55815,35.47
129,-2081.837715,34.18
130,-2078.97592,34.44
131,-2063.322689,35.06
132,-2098.063305,35.35
133,-2051.544696,34.16
134,-2110.5265535000003,33.55
135,-2066.9878870000002,33.01
136,-2077.957226,34.61
137,-2088.317449,35.52
138,-2115.192067,35.38
139,-2077.9808555,34.09
140,-2058.728064,33.98
141,-2041.552043,33.69
142,-2060.8888505,34.81
143,-2024.4547870000001,34.91
144,-2064.11559,35.67
145,-2103.7868949999997,34.5
146,-2058.360494,35.29
147,-2049.4731765,36.23
148,-2108.082213,35.57
149,-2028.2538855,35.36
150,-2049.6202045,34.72
151,-2044.5529895,34.77
152,-2064.9636265,34.33
153,-2009.9016405,34.7
154,-2046.5562459999999,35.93
155,-2074.790873,35.59
156,-1996.419698,34.78
157,-2040.8300305,33.32
158,-2008.5731374999998,33.58
159,-2038.2570405,34.52
160,-2043.7994709999998,33.08
161,-2073.3153420000003,34.89
162,-2039.2284754999998,34.13
163,-2041.5126605,33.65
164,-2053.009725,33.96
165,-2048.934949,33.9
166,-2099.145011,34.78
167,-2039.0341884999998,33.53
168,-2020.2356085000001,34.49
169,-2017.3528095,35.02
170,-2073.562139,34.44
171,-2078.6582344999997,34.4
172,-2071.078416,34.89
173,-2091.5993240000003,32.72
174,-2031.3257205,33.52
175,-2051.6917240000002,32.91
176,-2130.7639074999997,34.43
177,-2085.2587415,34.4
178,-2102.941484,33.85
179,-2117.1270605,34.51
180,-2075.3133475,33.56
181,-2056.060556,34.04
182,-2067.6993975,34.54
183,-2055.8793965,32.38
184,-2036.5137085,33.99
185,-2035.9571025,32.27
186,-2077.075058,34.14
187,-2016.0610635,32.98
188,-2060.1484594999997,33.78
189,-2052.1196805,34.83
190,-2075.237208,34.35
191,-2062.1438395,33.32
192,-2068.437163,35.48
193,-2056.5462735,34.98
194,-2030.0602295,34.42
195,-2039.514655,33.83
196,-2041.6124295,33.81
197,-2058.0428085,33.7
198,-2050.1715595,34.4
199,-2068.3610235,33.66
200,-2066.1608545,32.46
201,-2072.6510905,35.15
202,-2059.0142435,34.01
203,-2105.1757844999997,35.55
204,-2096.1703195,34.49
205,-2046.508987,34.83
206,-2010.6105254999998,33.9
207,-2044.7394000000002,33.78
208,-2061.9022935,34.18
209,-2065.8956789999997,35.1
210,-2068.862494,34.18
211,-2031.9243345,36.31
212,-2062.69782,35.07
213,-1987.8211855000002,34.42
214,-2034.9672890000002,35.33
215,-2046.335704,33.61
216,-2038.0417495,34.44
