model,Gsolv,timing
0,-18999.8166985,33.75
1,-18916.643484,35.19
2,-18911.922835,34.53
3,-18915.0865625,33.8
4,-18876.289549,33.24
5,-18783.220825,34.19
6,-19224.3547095,33.87
7,-19376.111235,34.33
8,-19207.31784,36.61
9,-19086.8625255,35.68
10,-19006.629871,35.1
11,-19357.1524995,34.61
12,-19232.853453,36.0
13,-19515.6749385,36.08
14,-19380.4616885,33.99
15,-19135.082458499997,35.06
16,-19248.64321,33.96
17,-19035.725662,35.34
18,-18829.4847605,35.45
19,-18865.015652000002,34.4
20,-18774.819225,35.1
21,-19024.1025735,35.94
22,-18793.244984,35.68
23,-19084.4680695,36.11
24,-18945.0960275,36.61
25,-18859.846042499998,36.36
26,-19396.107043,36.03
27,-19281.897793,36.52
28,-19392.935439,35.9
29,-19232.270592,34.87
30,-19032.2888825,35.42
31,-19311.2955165,36.36
32,-19237.5924805,35.79
33,-19369.059142000002,35.69
34,-18940.976618,35.18
35,-18896.0884445,35.3
36,-18768.389375500003,34.54
37,-18907.9557045,35.98
38,-19111.9885605,35.76
39,-19277.376682,35.78
40,-19158.8694885,35.66
41,-19185.583951,35.22
42,-19242.352512,35.02
43,-19139.94751,34.96
44,-18924.630255,35.54
45,-18958.7643805,35.51
46,-19341.879966,36.08
47,-19346.243547,35.13
48,-19264.427716,35.1
49,-19407.27592,33.58
50,-19630.745352500002,35.26
51,-20215.478334,35.09
52,-20186.1226185,35.86
53,-19991.4417935,35.26
54,-19619.6552405,34.81
55,-19687.264491,33.77
56,-19140.0289005,34.91
57,-19301.867346,34.52
58,-19323.622239,34.38
59,-19578.957365,33.49
60,-19039.327848,33.89
61,-19579.385321499998,34.03
62,-19416.9351345,34.53
63,-19287.637136,33.31
64,-19147.356671,33.65
65,-19631.855939,33.89
66,-19497.80316,33.18
67,-19354.50337,33.75
68,-19372.178236,33.92
69,-19430.138774,33.6
70,-19570.235454,33.75
71,-19217.510031,33.73
72,-19413.398586,33.7
73,-19506.5487005,32.92
74,-19382.625100499998,34.16
75,-19662.05444,34.2
76,-19280.364501,34.27
77,-19790.3862545,35.87
78,-19490.18921,34.1
79,-19399.55695,35.94
80,-19667.562739,35.41
81,-19163.8106795,34.52
82,-19353.0987275,35.52
83,-19434.2529325,34.78
84,-19222.566744,34.87
85,-19522.724406,35.84
86,-19476.8963035,36.35
87,-19159.512736,35.31
88,-19357.470185,35.26
89,-19593.5315155,35.4
90,-19677.760181,36.12
91,-19606.4017165,36.23
92,-19619.316551,35.34
93,-19307.370393999998,36.01
94,-19517.6283105,35.34
95,-19454.697701,35.93
96,-19848.464939999998,35.5
97,-19483.394416,36.67
98,-19469.642046999998,36.15
99,-19643.8413465,36.39
100,-19608.02165,36.17
101,-19324.4755265,36.62
102,-19595.4796365,36.3
103,-19373.14442,38.81
104,-19295.130313,36.46
105,-18937.789260999998,36.06
106,-18909.234323,35.94
107,-19212.1513855,35.83
108,-19305.7294565,36.54
109,-19476.163789000002,37.42
110,-19694.6185165,35.79
111,-19620.3798785,34.32
112,-19452.5211615,35.42
113,-19928.852499,36.31
114,-19623.758897,36.09
115,-19655.254395,35.19
116,-19500.1634845,35.99
117,-19488.0809335,35.87
118,-19286.481916,36.59
119,-19249.7170395,36.7
120,-19215.2074675,36.27
121,-19201.636258,37.75
122,-19120.3691565,36.7
123,-19483.622834499998,37.64
124,-19531.330795,36.51
125,-19435.610316,35.43
126,-19422.251772,35.59
127,-18942.000563,35.42
128,-18869.9122095,35.9
129,-19297.871335,35.35
130,-18934.7042985,35.76
131,-19024.099948,36.13
132,-18923.049704,35.95
133,-19083.0135425,34.85
134,-19620.482273,36.28
135,-19002.1691465,36.53
136,-19427.4948955,35.18
137,-19537.1935365,35.66
138,-19545.2722,35.55
139,-19202.5840635,35.9
140,-19482.606766,36.2
141,-19025.501965,35.71
142,-19089.188718499998,36.21
143,-19179.0858385,36.08
144,-19300.3366795,36.07
145,-19092.614996,34.3
146,-19152.5315315,34.95
147,-18779.3009535,34.6
148,-19173.564412,34.67
149,-19286.2429955,34.37
150,-18805.225140500002,35.23
151,-19056.0811635,33.42
152,-18916.864026,33.99
153,-18883.966511000002,34.12
154,-19300.0636275,34.25
155,-19146.017666,33.84
156,-19307.438657,33.76
157,-19190.320353,34.82
158,-18807.779752,35.48
159,-18787.405872,35.38
160,-19156.6273115,36.82
161,-18961.5789165,36.59
162,-19067.9851805,35.93
163,-19068.279236500002,35.76
164,-19390.414958999998,36.39
165,-19291.966585500002,36.57
166,-19390.6276245,36.07
167,-19427.2953575,37.83
168,-19338.7687485,36.77
169,-19089.049567000002,36.17
170,-19336.681475999998,36.34
171,-19306.0655205,36.52
172,-19083.168447,38.06
173,-19331.6798985,36.48
174,-19343.21372,37.48
175,-19441.1422445,37.45
176,-19136.8520455,36.02
177,-19475.000692499998,36.12
178,-19224.06853,36.17
179,-19435.4554115,34.96
180,-19023.837398,34.33
181,-19111.980684,35.08
182,-18971.1409875,35.27
183,-18906.257006,34.62
184,-19088.2330365,35.1
185,-18796.962692,34.01
186,-19084.833014,34.69
187,-18775.150038,33.86
188,-18968.775412,35.24
189,-18928.0565325,34.96
190,-19265.81398,35.52
191,-19271.1568725,37.05
192,-18990.950385,35.83
193,-19243.518234,35.57
194,-19225.4364155,35.68
195,-18838.038639500002,35.92
196,-18966.1735415,35.18
197,-19018.6887925,35.54
198,-18901.011257,35.54
199,-18899.1865345,36.16
200,-18826.919647,36.78
201,-18893.722869,36.28
202,-18926.9380695,35.58
203,-18890.614277,34.87
204,-18881.151975,35.73
205,-19090.372819,35.37
206,-19321.558596,34.6
207,-18982.680060000002,34.49
208,-18964.1519065,36.96
209,-19405.3409265,36.86
210,-18921.34838,35.6
211,-19281.2597965,35.64
212,-18889.548324,35.78
213,-18961.3478725,35.38
214,-18872.451068,35.3
215,-19008.577992,34.76
216,-19194.5920415,34.57
217,-18838.051767,35.04
218,-18914.1623865,34.61
219,-19138.6006285,34.95
220,-19356.7219175,36.52
221,-19273.0157265,36.6
222,-19689.527672,37.38
223,-19525.811994,36.07
224,-19306.115405,35.48
225,-19122.5430705,35.01
226,-19055.322394,35.24
227,-19018.6205295,35.16
228,-19259.360501,33.79
229,-19130.658491000002,35.12
230,-19072.057331,35.34
231,-19051.678200000002,36.8
232,-18886.9779595,35.36
233,-19131.713942,35.98
