model,Gsolv,timing
0,-12.560392,0.07
1,-13.833759500000001,0.07
2,-12.8570735,0.05
3,-12.696918,0.07
4,-12.450121,0.06
5,-13.0198545,0.07
6,-13.342791,0.06
7,-15.571840499999999,0.06
8,-12.975221000000001,0.06
9,-12.192822,0.06
10,-13.794377,0.05
11,-12.7730575,0.07
12,-12.9725955,0.07
13,-11.856758,0.06
14,-13.0356075,0.06
15,-12.8465715,0.06
16,-13.300783000000001,0.07
17,-12.8570735,0.07
18,-12.665412,0.07
19,-13.1773845,0.06
20,-13.303408500000002,0.07
21,-12.555140999999999,0.06
22,-13.3821735,0.07
23,-12.9830975,0.06
24,-11.809499,0.06
25,-11.2030085,0.05
26,-12.429117000000002,0.05
27,-11.801622499999999,0.06
28,-12.169192500000001,0.06
29,-12.8308185,0.08
30,-12.5945235,0.07
31,-13.8705165,0.04
32,-11.741236,0.07
33,-11.777993,0.05
34,-12.366105,0.07
35,-12.360854000000002,0.07
36,-12.6732885,0.04
37,-13.1091215,0.07
38,-13.9387795,0.07
39,-12.65491,0.06
40,-12.7047945,0.06
41,-13.668353,0.04
42,-12.153439500000001,0.05
43,-12.166567,0.05
44,-11.273897,0.07
45,-12.9200855,0.06
46,-11.473434999999998,0.05
47,-11.9749055,0.07
48,-12.791436,0.05
49,-12.373981500000001,0.06
50,-12.9883485,0.07
51,-12.8203165,0.07
52,-12.376607000000002,0.05
53,-12.510507500000001,0.08
54,-12.686416000000001,0.06
55,-11.930272,0.07
56,-12.686416000000001,0.07
57,-13.731365,0.07
58,-12.171818000000002,0.05
59,-13.011978000000001,0.07
60,-12.486877999999999,0.07
61,-12.093053,0.06
62,-12.885954,0.06
63,-11.2922755,0.07
64,-13.4661895,0.06
65,-12.355603,0.06
66,-12.44487,0.05
67,-13.085491999999999,0.06
68,-13.0881175,0.06
69,-13.9125245,0.05
70,-12.308344000000002,0.06
71,-12.859698999999999,0.07
72,-12.812439999999999,0.06
73,-11.630965,0.06
74,-12.912208999999999,0.06
75,-12.192822,0.08
76,-12.6050255,0.09
77,-11.7911205,0.06
78,-12.4790015,0.07
79,-12.224328000000002,0.08
80,-13.190512,0.07
81,-12.628655,0.08
82,-14.230210000000001,0.04
83,-12.116682500000001,0.06
84,-13.5869625,0.07
85,-12.9358385,0.06
86,-13.972911000000002,0.07
87,-13.405803,0.04
88,-12.843945999999999,0.07
89,-12.647033500000001,0.06
90,-12.702169000000001,0.08
91,-12.689041499999998,0.07
92,-13.258775,0.07
93,-11.596833499999999,0.07
94,-11.932897500000001,0.06
95,-13.174759,0.06
96,-13.095994000000001,0.06
97,-13.544954500000001,0.07
98,-13.930903,0.08
99,-13.166882500000002,0.07
100,-12.534137,0.05
101,-13.253524,0.06
102,-13.594839,0.06
103,-13.190512,0.06
104,-12.486877999999999,0.06
105,-12.843945999999999,0.06
106,-13.2403965,0.05
107,-14.2118315,0.06
108,-13.053986,0.06
109,-12.5945235,0.06
110,-14.3063495,0.06
111,-12.7468025,0.05
112,-12.3687305,0.06
113,-12.016913500000001,0.08
114,-13.568584,0.06
115,-12.090427499999999,0.06
116,-12.686416000000001,0.07
117,-12.8308185,0.06
118,-12.282089,0.06
119,-11.9276465,0.07
120,-12.570894,0.07
121,-12.6785395,0.07
122,-12.4790015,0.07
123,-12.397611,0.05
124,-13.327038,0.06
125,-12.255834,0.07
126,-13.542329,0.07
127,-12.486877999999999,0.06
128,-13.122249,0.05
129,-11.993284,0.07
130,-12.292591000000002,0.07
131,-13.038233,0.07
132,-11.680849499999999,0.06
133,-12.9935995,0.06
134,-14.217082499999998,0.06
135,-12.728424,0.07
136,-11.877762,0.08
137,-12.082551,0.08
138,-13.2666515,0.07
139,-12.91746,0.05
140,-11.4655585,0.07
141,-12.313595,0.06
142,-12.528886,0.06
143,-12.219077,0.07
144,-12.5210095,0.05
145,-12.358228500000001,0.08
146,-11.893515,0.07
147,-12.39236,0.09
148,-11.980156500000001,0.08
149,-12.415989499999998,0.07
150,-14.051676,0.07
151,-13.224643499999999,0.05
152,-13.1275,0.06
153,-13.508197500000001,0.06
154,-12.5997745,0.07
155,-13.0671135,0.06
156,-12.633906000000001,0.06
157,-13.1563805,0.06
158,-12.347726499999998,0.07
159,-10.966713500000001,0.07
160,-12.891205000000001,0.07
161,-12.549890000000001,0.06
162,-12.5052565,0.08
163,-12.65491,0.07
164,-11.8488815,0.06
165,-12.295216499999999,0.06
166,-12.366105,0.08
167,-13.048734999999999,0.06
168,-12.3162205,0.06
169,-12.5997745,0.05
170,-12.153439500000001,0.07
171,-12.5367625,0.06
172,-14.0700545,0.06
173,-12.5315115,0.06
174,-11.447180000000001,0.06
175,-12.3529775,0.07
176,-12.513133,0.06
177,-12.906958000000001,0.07
178,-12.8570735,0.06
179,-11.783244,0.05
180,-12.723173,0.07
181,-13.4189305,0.08
182,-13.495069999999998,0.07
183,-13.180010000000001,0.06
184,-11.862009,0.06
185,-13.208890499999999,0.05
186,-12.310969499999999,0.06
187,-13.0198545,0.06
188,-14.140943,0.06
189,-13.355918500000001,0.07
190,-12.985723,0.08
191,-12.980471999999999,0.07
192,-13.794377,0.07
193,-12.363479499999999,0.08
194,-12.8570735,0.06
195,-13.453062000000001,0.07
196,-12.9253365,0.05
197,-13.0093525,0.08
198,-13.424181500000001,0.09
199,-12.9148345,0.06
200,-12.6050255,0.07
201,-12.7520535,0.06
202,-12.350351999999999,0.07
203,-12.96997,0.06
204,-14.112062499999999,0.05
205,-12.2584595,0.07
206,-13.098619500000002,0.07
207,-13.2508985,0.07
208,-13.2298945,0.09
209,-12.943715000000001,0.06
210,-13.1563805,0.06
211,-13.6394725,0.05
212,-13.2824045,0.08
213,-13.384799000000001,0.08
214,-13.190512,0.07
215,-12.318846,0.07
216,-12.135061,0.08
217,-12.276838,0.07
218,-12.9095835,0.07
219,-12.434368,0.05
220,-14.0858075,0.08
221,-12.6732885,0.06
222,-12.371356,0.06
223,-12.381858,0.06
224,-12.786185,0.06
225,-13.159006,0.05
226,-13.1038705,0.05
227,-12.295216499999999,0.07
228,-11.704479000000001,0.06
229,-13.642098,0.06
230,-12.305718500000001,0.07
231,-12.8150655,0.06
232,-12.5997745,0.07
233,-12.069423500000001,0.06
234,-12.308344000000002,0.07
235,-11.431427000000001,0.07
236,-12.7415515,0.07
237,-13.311285,0.07
238,-11.9749055,0.05
239,-12.39236,0.07
240,-12.4054875,0.07
241,-11.869885499999999,0.05
242,-12.5892725,0.07
243,-13.2036395,0.07
244,-12.801938,0.07
245,-12.833444,0.08
246,-11.4235505,0.06
247,-12.8518225,0.07
248,-12.3687305,0.07
249,-12.9410895,0.05
250,-13.098619500000002,0.06
251,-12.0799255,0.06
252,-12.142937499999999,0.07
253,-12.843945999999999,0.06
254,-12.4632485,0.08
255,-12.717922,0.05
256,-11.675598500000001,0.07
257,-12.825567499999998,0.06
258,-11.8488815,0.07
259,-13.2824045,0.07
260,-11.862009,0.06
261,-12.7888105,0.07
262,-12.4212405,0.06
263,-13.917775500000001,0.05
264,-13.613217500000001,0.08
265,-13.0408585,0.08
266,-13.106496,0.05
267,-13.0093525,0.07
