model,Gsolv,timing
0,-3721.898298,33.53
1,-3699.114209,34.92
2,-3705.940509,34.71
3,-3702.6665105,33.42
4,-3693.243591,33.24
5,-3674.539529,33.67
6,-3768.1648590000004,33.59
7,-3809.1567905,34.29
8,-3766.474037,36.5
9,-3745.5540530000003,35.36
10,-3726.513927,34.78
11,-3808.6316905,34.91
12,-3780.7698845,35.9
13,-3844.0286815,35.85
14,-3812.562064,33.77
15,-3751.277643,34.4
16,-3785.7688365000004,33.8
17,-3736.060245,34.78
18,-3684.180365,35.24
19,-3688.7461095,34.08
20,-3671.4650685,35.07
21,-3732.2086365000005,35.88
22,-3673.205775,35.25
23,-3739.9433595,36.2
24,-3705.0084564999997,36.04
25,-3691.3269760000003,35.77
26,-3810.3198869999997,35.62
27,-3782.930671,35.67
28,-3818.2987815,35.36
29,-3777.7768145,34.47
30,-3727.1309195,35.66
31,-3793.191125,35.98
32,-3781.7255665,35.18
33,-3811.417346,35.21
34,-3715.733624,34.57
35,-3703.2441205,34.27
36,-3667.2222605,34.07
37,-3700.4190825,35.46
38,-3746.9114364999996,35.14
39,-3787.8534835,35.31
40,-3761.3779415,34.85
41,-3766.4582840000003,34.81
42,-3777.8240735000004,34.18
43,-3761.9975595,34.59
44,-3709.679221,35.1
45,-3717.6764940000003,35.56
46,-3807.8650445000003,35.45
47,-3808.114467,34.65
48,-3792.708033,34.96
49,-3828.5644865,33.89
50,-3881.1427495,35.39
51,-4008.1276825,35.06
52,-4006.0797925,35.85
53,-3960.9789535,34.86
54,-3873.841234,34.54
55,-3887.934918,34.14
56,-3763.86429,34.75
57,-3795.9872825,34.92
58,-3802.1309525,34.12
59,-3857.0590380000003,33.97
60,-3730.5440695,34.0
61,-3857.116799,34.33
62,-3822.93804,34.69
63,-3793.2278819999997,33.32
64,-3768.500923,33.65
65,-3873.8228554999996,33.83
66,-3842.4638835,33.24
67,-3802.4617654999997,33.57
68,-3805.0006240000002,33.48
69,-3824.8415274999998,33.53
70,-3860.1387495,33.48
71,-3774.3689155,33.96
72,-3817.639781,33.61
73,-3838.5676415,32.9
74,-3814.825245,33.51
75,-3885.1387605,33.49
76,-3793.815994,34.02
77,-3904.7459945,35.36
78,-3842.9837325000003,34.17
79,-3833.86012,35.68
80,-3886.2651,35.33
81,-3767.4585995,34.36
82,-3813.150176,35.5
83,-3830.200173,34.68
84,-3781.7150645,35.14
85,-3852.4040265,36.14
86,-3844.687682,36.42
87,-3766.0303274999997,34.82
88,-3816.143246,35.25
89,-3867.2958624999997,35.87
90,-3890.7573305,35.67
91,-3878.1181735000005,36.36
92,-3881.665224,36.09
93,-3804.7800819999998,35.84
94,-3850.2091084999997,35.46
95,-3835.099356,35.85
96,-3928.950479,34.92
97,-3843.0126130000003,36.98
98,-3842.5478995,35.97
99,-3881.7518655,36.29
100,-3867.902353,36.51
101,-3804.2208505000003,36.74
102,-3866.0356225000005,36.57
103,-3814.69397,38.41
104,-3795.1471225,36.19
105,-3714.006045,35.99
106,-3706.7570395,35.97
107,-3778.897903,36.2
108,-3800.285226,36.19
109,-3838.0215375,36.98
110,-3892.6686945,35.7
111,-3870.3939525,34.22
112,-3831.0219545000004,35.44
113,-3938.439036,36.55
114,-3877.0259655,36.02
115,-3881.470937,35.15
116,-3846.8169624999996,36.05
117,-3841.1196275,35.71
118,-3796.283964,36.29
119,-3785.9368685,36.47
120,-3785.4774060000004,35.53
121,-3776.7528694999996,37.77
122,-3749.6892154999996,36.54
123,-3838.790809,37.31
124,-3848.6915695,36.64
125,-3826.1490265,35.47
126,-3822.103131,35.48
127,-3711.7192345,35.09
128,-3690.108744,36.13
129,-3793.9236395,35.27
130,-3710.9945965,35.73
131,-3732.783621,36.18
132,-3711.2571465,35.64
133,-3740.2873000000004,35.32
134,-3868.353939,36.1
135,-3726.2041179999997,36.42
136,-3821.541274,35.27
137,-3859.5165060000004,35.34
138,-3851.0623960000003,35.33
139,-3772.7122249999998,35.28
140,-3835.971022,36.15
141,-3734.9942920000003,35.17
142,-3749.765355,36.15
143,-3763.5728595,35.48
144,-3796.0187885,35.51
145,-3744.9370605000004,34.34
146,-3762.5384125,34.73
147,-3680.667446,34.6
148,-3760.1019485,34.5
149,-3788.1947985,34.16
150,-3680.210609,35.01
151,-3739.2187215,33.29
152,-3709.8498784999997,33.32
153,-3702.611375,33.45
154,-3795.9058919999998,34.22
155,-3760.5824150000003,33.56
156,-3797.355168,33.79
157,-3767.298444,34.69
158,-3686.4986814999997,35.31
159,-3675.7866415000003,35.3
160,-3763.533477,36.97
161,-3718.3092395,37.07
162,-3744.3016895,35.86
163,-3744.110028,35.43
164,-3822.549466,36.13
165,-3797.0322315,36.5
166,-3823.5287774999997,36.27
167,-3829.963878,37.13
168,-3810.409154,36.54
169,-3755.0452354999998,35.79
170,-3801.183147,36.05
171,-3796.9062074999997,36.45
172,-3745.4043995,37.64
173,-3799.0958745,36.33
174,-3815.313588,37.79
175,-3827.2517365000003,37.28
176,-3757.389807,35.45
177,-3831.712461,35.71
178,-3776.5375785,35.91
179,-3827.5772985,34.94
180,-3732.421302,34.37
181,-3754.1998245,34.83
182,-3714.6834240000003,35.12
183,-3698.814902,33.95
184,-3748.4578560000004,34.76
185,-3683.3428305,33.97
186,-3743.9446215000003,34.31
187,-3669.078489,33.7
188,-3720.291492,35.15
189,-3712.1104339999997,34.92
190,-3784.7396405,35.36
191,-3795.921645,36.69
192,-3726.051839,35.92
193,-3782.043252,35.58
194,-3779.911346,35.36
195,-3684.0149585,35.79
196,-3715.1113805,35.24
197,-3728.120733,35.37
198,-3701.1122145,34.88
199,-3700.0305085,36.01
200,-3684.0832214999996,36.63
201,-3703.5119215,36.14
202,-3712.9584704999997,35.31
203,-3707.0720994999997,34.87
204,-3697.150335,35.7
205,-3746.289193,34.67
206,-3801.9471675,34.32
207,-3723.195295,34.55
208,-3721.1815365,36.92
209,-3825.7709545000002,36.59
210,-3710.5587634999997,35.71
211,-3792.3220844999996,35.61
212,-3701.986506,35.26
213,-3719.8687864999997,35.25
214,-3696.3311790000002,34.99
215,-3725.7341535,34.89
216,-3772.52844,34.11
217,-3690.481565,35.01
218,-3702.606124,34.4
219,-3756.581153,34.6
220,-3805.2106639999997,36.1
221,-3792.597762,36.7
222,-3878.6984089999996,36.77
223,-3851.3380734999996,35.97
224,-3801.366932,35.89
225,-3747.7489710000004,34.71
226,-3738.885283,34.88
227,-3728.2966415,34.46
228,-3790.7887925,33.89
229,-3761.0313755,35.09
230,-3750.8838180000002,35.12
231,-3746.1027824999996,36.57
232,-3701.9917570000002,34.81
233,-3760.351371,36.12
234,-3773.3738510000003,35.36
235,-3716.0670625000002,36.2
236,-3718.5140284999998,35.92
237,-3791.0775975,36.41
238,-3809.364205,35.08
239,-3707.872877,36.22
240,-3787.49379,35.73
241,-3663.3995325,36.07
242,-3666.7575469999997,34.53
243,-3734.416682,35.07
244,-3592.7578295,34.05
245,-3651.4246270000003,35.66
246,-3664.966956,34.74
247,-3624.8388139999997,33.81
248,-3682.4974195000004,34.25
249,-3692.6265985,34.4
250,-3682.1088455,34.65
251,-3667.340408,36.18
252,-3818.9604075,36.11
253,-3766.0880884999997,35.52
254,-3664.1451745,35.29
255,-3777.6822965,34.05
256,-3842.0700585000004,34.63
257,-3775.1775695,35.64
258,-3769.204557,34.84
259,-3837.0711065,34.97
260,-3792.7736704999998,35.68
261,-3780.08988,35.39
262,-3825.915357,35.57
263,-3815.8675685,35.6
264,-3742.445461,35.15
265,-3715.3896835,34.27
266,-3724.5343000000003,36.0
267,-3661.2571245,35.17
268,-3664.016525,35.66
269,-3708.040909,35.78
270,-3746.7381535,35.99
271,-3656.5522284999997,36.27
272,-3665.9147615,35.42
273,-3706.36584,34.21
274,-3602.401291,34.96
275,-3625.925771,35.13
276,-3577.3671485,35.19
277,-3646.0449775,34.88
278,-3622.449609,35.96
279,-3652.3593050000004,33.79
280,-3653.404254,36.26
281,-3624.2795825,35.35
282,-3683.99658,35.26
283,-3675.1985295000004,35.03
284,-3617.749964,35.43
285,-3661.78485,34.16
286,-3703.0288295,35.19
287,-3654.1420195,33.76
288,-3574.282186,33.51
289,-3727.0757839999997,33.08
290,-3664.6020114999997,33.53
291,-3589.1110099999996,34.64
292,-3647.6176520000004,34.95
293,-3659.327382,35.26
294,-3732.904394,35.21
295,-3706.26082,34.54
296,-3666.626272,35.96
297,-3677.9237985,34.97
298,-3672.082061,33.88
299,-3684.505927,35.15
300,-3693.6610455,33.99
301,-3714.3657385,35.09
302,-3757.6234765,34.7
303,-3735.461631,34.32
304,-3750.9232005,34.15
305,-3685.661147,33.45
306,-3714.8304519999997,34.61
307,-3647.8460705,35.13
308,-3644.887132,34.22
309,-3641.5763765,33.34
310,-3687.09467,33.63
311,-3682.956882,33.78
312,-3734.3720485,35.07
313,-3754.900833,34.3
314,-3746.4335955,35.37
315,-3670.3492309999997,34.78
316,-3686.4199165,34.41
317,-3717.1356410000003,36.4
318,-3766.9702565000002,36.27
319,-3644.8950084999997,36.38
320,-3619.8739935000003,34.67
321,-3614.069013,33.55
322,-3656.869914,34.99
323,-3595.5119790000003,36.11
324,-3613.811714,35.27
325,-3661.6982085000004,34.32
326,-3642.8996285000003,34.92
327,-3678.7692095,35.41
328,-3674.3478675,33.99
329,-3699.9071099999996,33.78
330,-3738.333928,33.87
331,-3780.4810795000003,34.82
332,-3768.637449,32.29
333,-3765.7388969999997,33.0
334,-3686.275514,33.86
335,-3742.2117915,33.95
336,-3716.7444415,34.84
337,-3625.6474679999997,34.33
338,-3713.764499,33.72
339,-3603.272957,34.24
340,-3616.242927,34.32
341,-3747.192365,34.18
342,-3761.5538500000002,34.44
343,-3722.2632424999997,34.72
344,-3682.4501605,34.08
345,-3729.622519,33.13
346,-3729.711786,34.28
347,-3747.7043375,34.03
348,-3713.0976220000002,33.64
349,-3670.6354105,34.84
350,-3628.2992229999995,34.33
351,-3607.389741,33.61
352,-3720.4148904999997,33.72
353,-3661.6929575,34.0
354,-3745.1471005,33.55
355,-3740.9751810000002,34.7
356,-3738.4468245000003,33.93
357,-3734.416682,32.62
358,-3741.3663805,34.27
359,-3806.8778565,34.92
360,-3770.5173069999996,34.16
361,-3839.405176,34.87
362,-3800.1513255,34.54
363,-3822.0479955,33.78
364,-3774.928147,34.83
365,-3717.8524025,35.12
366,-3748.961952,34.53
367,-3738.7881395,34.38
368,-3749.261259,33.86
369,-3712.9269645000004,34.62
370,-3805.5309749999997,34.13
371,-3681.6887655000005,34.85
372,-3763.953557,34.83
373,-3734.7684990000002,35.8
374,-3776.2277695,34.87
375,-3793.054599,35.35
376,-3803.162774,33.73
377,-3748.1349195,33.75
378,-3745.622316,34.9
379,-3787.4491565000003,35.63
380,-3653.4226325,34.9
381,-3766.7759695000004,33.98
382,-3679.0160065,35.03
383,-3669.9475295,33.83
384,-3768.3880265,34.24
385,-3719.7690175,34.77
386,-3713.8537659999997,33.8
387,-3787.5778060000002,33.47
388,-3699.602552,34.76
389,-3725.7840380000002,33.56
390,-3693.800197,34.76
391,-3785.771462,34.29
392,-3708.3218375,35.59
393,-3719.8162765,35.14
394,-3766.673575,33.53
395,-3778.903154,33.76
396,-3820.5304565,35.18
397,-3720.5146594999997,33.42
398,-3698.6442445,33.31
399,-3739.9853675,33.87
400,-3773.226823,34.65
401,-3823.352869,35.26
402,-3855.840806,34.44
403,-3781.071817,35.7
404,-3773.0876715,35.26
405,-3739.714941,34.88
406,-3769.5458719999997,36.13
407,-3692.1487575,36.1
408,-3743.511414,34.96
409,-3778.1601375,36.79
410,-3777.947472,36.69
411,-3756.6940495,35.93
412,-3706.318581,33.86
413,-3630.793448,34.85
414,-3700.185413,35.49
415,-3701.5743025,35.78
416,-3734.3667975,35.18
417,-3806.297621,35.59
418,-3775.2011989999996,35.48
419,-3675.1145135,34.73
420,-3710.351349,35.53
421,-3677.306806,35.09
422,-3737.0553095000005,35.25
423,-3806.5417925,36.03
424,-3732.1587520000003,35.55
425,-3780.7016215000003,36.24
426,-3725.4085915,36.77
427,-3670.3413545,36.69
428,-3701.1437205,36.64
429,-3716.0224289999996,36.62
430,-3742.3378155,35.78
431,-3680.5886809999997,35.97
432,-3664.3657165,35.86
433,-3786.2860600000004,35.95
434,-3793.8448744999996,35.29
435,-3792.020152,34.36
436,-3698.54185,35.07
437,-3782.857157,34.74
438,-3659.8025975,35.27
439,-3675.0304975,35.66
440,-3763.9483060000002,36.12
441,-3737.8219555,36.3
442,-3740.1008895,36.59
443,-3735.7898185,37.02
444,-3727.2884495,36.03
445,-3711.9003940000002,37.22
446,-3675.5792269999997,36.64
447,-3727.096788,36.37
448,-3695.827083,34.73
449,-3769.367338,35.85
450,-3703.6957065,34.85
451,-3777.5405195000003,35.89
452,-3759.3458044999998,35.1
453,-3734.9365310000003,35.05
454,-3762.6355559999997,36.81
455,-3777.133567,35.57
456,-3703.6431965,36.25
457,-3772.8277470000003,36.2
458,-3773.190066,36.67
459,-3661.7612204999996,35.6
460,-3735.9525995,34.78
461,-3757.0458664999996,35.39
462,-3681.224052,34.42
463,-3748.704653,35.93
464,-3684.4402895000003,36.48
465,-3708.555507,35.35
466,-3719.015499,35.85
467,-3696.247163,36.14
468,-3671.803758,35.96
469,-3735.335607,37.1
470,-3772.9668985,36.23
471,-3720.2888665000005,36.01
472,-3634.3011159999996,36.91
473,-3589.977425,36.81
474,-3594.6219345,35.04
475,-3645.8139335,34.67
476,-3613.4625225,35.01
477,-3578.2414400000002,34.33
478,-3657.7310780000003,34.46
479,-3719.5117185,34.45
480,-3657.4186435,34.85
481,-3713.108124,36.51
482,-3713.890523,35.85
483,-3720.4779025,34.74
484,-3915.996262,34.94
485,-3775.841821,35.58
486,-3764.7543345,34.31
487,-3810.7110865,34.5
488,-3719.6902525,33.64
489,-3823.8569649999995,34.49
490,-3812.0290874999996,34.81
491,-3697.8250885,33.94
492,-3600.306142,33.67
493,-3651.0491805,35.34
494,-3669.8608879999997,34.6
495,-3649.8046934999998,34.96
496,-3571.2051,34.96
497,-3674.8755929999998,35.3
498,-3602.0363464999996,34.79
499,-3622.2553220000004,34.8
500,-3592.2642355,34.62
501,-3667.728982,35.95
502,-3608.1012514999998,33.89
503,-3538.4572384999997,35.42
504,-3619.614069,35.31
505,-3673.5024565,35.12
506,-3611.9528600000003,35.68
507,-3698.6127385,35.26
508,-3558.8179910000003,34.27
509,-3547.9720505,34.96
510,-3577.2778815,33.73
511,-3622.6018879999997,35.77
512,-3585.388051,34.28
513,-3651.403623,35.72
514,-3644.472303,36.17
515,-3590.3266165,36.08
516,-3601.7475415000004,35.66
517,-3572.638623,35.82
518,-3499.3189099999995,35.41
519,-3559.9758365,34.26
520,-3607.6076575,34.57
521,-3649.014418,35.01
522,-3619.209742,34.6
523,-3575.4032745,33.3
524,-3582.6575310000003,34.67
525,-3663.129106,34.32
526,-3715.9987995,34.62
527,-3676.4561439999998,32.42
528,-3615.4999104999997,32.63
