model,Gsolv,timing
0,-845.0985655,0.1
1,-853.2271135000001,0.08
2,-845.51602,0.1
3,-854.54774,0.11
4,-855.960259,0.09
5,-846.7946385,0.09
6,-856.621885,0.08
7,-842.6673525,0.1
8,-839.4957485,0.09
9,-850.92455,0.09
10,-843.6912975,0.11
11,-846.30367,0.1
12,-848.047002,0.08
13,-856.091534,0.09
14,-843.394616,0.09
15,-843.6545404999999,0.09
16,-855.7896015,0.1
17,-847.2567265,0.12
18,-847.98399,0.1
19,-837.355966,0.1
20,-851.92224,0.09
21,-851.155594,0.1
22,-849.9137324999999,0.1
23,-830.151594,0.12
24,-839.6585295,0.1
25,-843.9958555,0.09
26,-857.299264,0.09
27,-848.7322575000001,0.11
28,-852.3029375,0.07
29,-846.35618,0.09
30,-860.7859279999999,0.1
31,-858.527998,0.1
32,-861.153498,0.11
33,-852.6757584999999,0.1
34,-856.611383,0.09
35,-853.4108984999999,0.11
36,-849.7063179999999,0.09
37,-851.0033149999999,0.09
38,-854.5661185,0.09
39,-838.6057040000001,0.1
40,-845.972857,0.08
41,-842.5360775,0.12
42,-871.287928,0.1
43,-848.5327195,0.1
44,-854.306194,0.1
45,-847.8317109999999,0.1
46,-856.85818,0.1
47,-850.0660115,0.1
48,-853.2349899999999,0.1
49,-856.0705300000001,0.09
50,-854.5871225,0.09
51,-858.002898,0.09
52,-859.8722540000001,0.1
53,-856.217558,0.1
54,-856.3567095,0.1
55,-845.35849,0.1
56,-838.1094844999999,0.1
57,-854.0646479999999,0.09
58,-843.1819505000001,0.1
59,-846.2012755000001,0.11
60,-859.819744,0.1
61,-855.4850435,0.09
62,-846.5242119999999,0.1
63,-834.336641,0.09
64,-857.2257500000001,0.11
65,-850.6226175,0.1
66,-836.8597465,0.1
67,-840.4514304999999,0.11
68,-857.8217384999999,0.1
69,-852.662631,0.1
70,-843.195078,0.1
71,-850.252422,0.08
72,-854.0987795000001,0.09
73,-850.2865535,0.08
74,-870.2639829999999,0.1
75,-851.5231640000001,0.1
76,-855.5112985,0.1
77,-861.53157,0.09
78,-861.799371,0.11
79,-840.1836294999999,0.08
80,-855.2303699999999,0.1
81,-839.1518080000001,0.11
82,-865.9397845,0.11
83,-845.7523150000001,0.1
84,-828.355752,0.11
85,-856.264817,0.09
86,-869.4999625,0.08
87,-846.2406579999999,0.09
88,-851.948495,0.09
89,-846.403439,0.09
90,-853.135221,0.11
91,-869.9567995,0.11
92,-853.2481175,0.1
93,-864.5351420000001,0.1
94,-860.5890155,0.09
95,-864.7005485,0.1
96,-838.1514925,0.09
97,-846.7368775,0.09
98,-851.1372155,0.1
99,-853.649819,0.11
100,-849.1313335,0.1
101,-875.1500384999999,0.1
102,-862.9834715000001,0.1
103,-873.4854715,0.09
104,-858.7144085,0.11
105,-851.507411,0.11
106,-842.186886,0.07
107,-841.1445625,0.1
108,-856.33308,0.08
109,-857.0603434999999,0.1
110,-852.3974555,0.1
111,-850.1815335,0.08
112,-836.095726,0.09
113,-854.752529,0.09
114,-857.8059854999999,0.08
115,-856.7479089999999,0.09
116,-852.615372,0.07
117,-843.8225725,0.12
118,-858.6198905,0.11
119,-844.029987,0.09
120,-844.7309955,0.08
121,-846.2695385,0.09
122,-843.9906045,0.1
123,-854.432218,0.1
