model,Gsolv,timing
0,-1984.5576890000002,24.54
1,-1971.550962,23.93
2,-1944.440049,23.43
3,-1982.1606075,23.73
4,-1895.1147805,22.97
5,-1921.6218285,23.31
6,-1937.6793865,23.17
7,-1986.2301325,23.38
8,-1969.0646135,22.81
9,-1952.6027285,23.15
10,-1947.270338,23.91
11,-2057.2236525,23.37
12,-2069.5346219999997,23.24
13,-2028.72385,23.32
14,-1991.1476939999998,22.95
15,-2037.9839885,23.03
16,-2037.104446,24.42
17,-2011.957407,23.8
18,-2018.269109,23.52
19,-2062.346003,23.14
20,-2052.699916,23.65
21,-2002.185296,24.11
22,-2029.206942,23.58
23,-2000.862044,23.28
24,-2036.5163340000001,22.91
25,-2071.645524,23.53
26,-2004.5613735,24.21
27,-1994.723625,24.85
28,-1930.9239750000002,24.59
29,-1950.515456,23.92
30,-1992.8096354999998,23.85
31,-2008.6230219999998,23.25
32,-1949.3051005,23.84
33,-1994.9625455,23.48
34,-1967.2871499999999,22.31
35,-1928.1173155,23.46
36,-2012.293471,24.64
37,-1938.0889645,24.61
38,-1951.8570865,23.75
39,-1934.7335755000001,24.65
40,-1905.5616450000002,24.0
41,-1962.50874,24.59
42,-1930.7008075,24.83
43,-1945.4561175000001,23.4
44,-1901.3897255,23.98
45,-2001.0195740000001,24.83
46,-1943.6287694999999,24.44
47,-1949.113439,24.08
48,-1985.7024070000002,24.4
49,-1899.2210625,24.22
50,-1906.6197215,24.65
51,-1957.0476999999998,23.93
52,-1935.980688,24.22
53,-1955.834719,22.75
54,-1946.887015,24.25
55,-1939.7587825,24.05
56,-1972.6773015,23.33
57,-1941.5913815,23.16
58,-1950.4445675,24.36
59,-2020.7528320000001,24.73
60,-1955.8425955,25.02
61,-1978.7001985,25.46
62,-1993.8939670000002,25.3
63,-1951.2847275,24.49
64,-1931.1471425000002,23.2
65,-1976.612926,24.72
66,-1980.9555030000001,24.33
67,-1950.6808625,24.63
68,-1919.4190340000002,23.81
69,-1936.9888799999999,23.97
70,-1955.8399700000002,24.51
71,-2013.8031334999998,24.03
72,-2000.1269040000002,24.36
73,-1986.248511,24.91
74,-1958.2318005000002,23.95
75,-1957.3391305,23.06
76,-1977.416329,23.46
77,-1970.432499,23.55
78,-1986.7289775,24.44
79,-1932.1395815,24.29
