model,Gsolv,timing
0,-18088.17221,24.47
1,-18129.1536395,23.78
2,-17990.913188,25.02
3,-17728.562726,23.71
4,-18015.776673,24.68
5,-18145.9410865,24.45
6,-18355.427106,24.26
7,-17794.202851500002,23.68
8,-17865.760854,23.96
9,-17967.036891,24.64
10,-17840.697831,24.2
11,-17878.869975499998,23.4
12,-17928.562814,24.58
13,-17653.5758205,23.02
14,-17451.420197,24.51
15,-17969.121538,24.36
16,-17989.778972,24.45
17,-18010.4075255,24.31
18,-18215.813518,23.98
19,-17734.333575,24.38
20,-18178.7440835,24.84
21,-18241.391139,25.16
22,-17908.866313,25.57
23,-18005.841781,25.52
24,-18081.3590375,23.68
25,-18004.6156725,24.13
26,-18018.680476,24.38
27,-17980.7708815,25.34
28,-18031.3327605,23.1
29,-18153.1402075,24.63
30,-18413.098839,24.07
31,-18650.423035,25.29
32,-18591.32303,25.01
33,-18701.7646875,25.04
34,-18647.844794,25.57
35,-18520.298004,25.56
36,-18498.5929955,24.46
37,-18701.0663045,25.12
38,-18376.572883,24.95
39,-18189.1200595,24.83
40,-17894.9957965,24.82
41,-18264.5559255,24.73
42,-18099.88194,25.79
43,-17852.570342,25.39
44,-18134.9769985,25.18
45,-18280.700125,24.44
46,-18069.515407,26.09
47,-17918.921978000002,26.14
48,-17723.9969815,26.48
49,-18103.0351655,24.63
50,-18063.7996935,25.27
51,-17978.190015,24.42
52,-18551.037358,24.47
53,-18030.258931,24.95
54,-18403.526266,25.22
55,-17977.4522495,25.13
56,-17659.863893,24.77
57,-17771.668185,24.42
58,-17918.945607499998,24.55
59,-18073.372266500002,24.42
60,-18271.295584,25.04
61,-18034.081659,25.42
62,-18221.999196,25.31
63,-18639.7346245,26.11
64,-18340.01017,26.48
65,-18484.93777,25.15
66,-17805.1879435,24.54
67,-18312.767982,25.03
68,-18209.3836685,25.44
69,-18298.511517000003,24.42
70,-18570.295400500003,25.23
71,-18564.2987585,24.22
72,-18440.8740035,24.82
73,-18363.295729499998,24.56
74,-18335.667593,25.63
75,-18590.950209,24.98
76,-18369.930368,24.36
77,-18442.260267499998,24.75
78,-18610.3972875,24.74
79,-18501.549308499998,24.82
80,-18758.8798145,24.56
81,-18645.384700500003,24.5
82,-18645.5737365,25.12
83,-18676.7436725,24.88
84,-18533.7589425,25.15
85,-18338.148690500002,25.83
86,-18610.132112,26.22
87,-18612.823249499997,25.01
88,-18309.386338,25.73
89,-18455.8603575,25.49
90,-17988.7786565,24.98
91,-17991.4041565,25.17
92,-18234.596345,25.05
93,-17791.3988175,25.86
94,-17681.403495,24.93
95,-17965.535105,25.11
96,-18183.5960075,25.53
97,-17989.3247605,25.74
98,-17879.5946135,25.0
99,-17949.472296,24.07
100,-17903.2188625,23.44
101,-17861.932875000002,25.01
102,-17839.127782,24.3
103,-17806.571582,23.75
104,-18018.3470375,24.45
105,-17729.864974,24.09
106,-17628.880367499998,23.56
107,-17845.849062,24.21
108,-18067.609293999998,24.74
109,-18437.602630499998,25.6
110,-18158.8270405,24.51
111,-18084.559522,24.59
112,-17891.572144499998,24.0
113,-18633.835126,24.42
114,-18388.923235,24.43
115,-18297.8997755,25.31
116,-18377.334278000002,25.3
117,-18311.2740725,24.43
118,-18021.300725,24.72
119,-17978.84639,25.63
120,-17880.537168000003,24.7
121,-17931.5742625,26.26
122,-18492.391564499998,26.13
123,-17982.165022,26.5
124,-18171.3926835,26.05
125,-17900.3990755,27.31
126,-18173.0099915,26.97
127,-18142.241757,26.35
128,-18011.5469925,27.28
129,-17566.2149335,26.06
130,-17366.968364,25.78
131,-17766.4355635,26.47
132,-17423.860323499997,25.76
133,-17791.5248415,26.81
134,-18088.250975,27.18
135,-18031.976008,26.32
136,-18178.389641,26.7
137,-18316.007849,28.17
138,-18341.711494,28.27
139,-18531.477382999998,27.57
140,-18390.8214715,28.18
141,-18224.314887,26.95
142,-18450.28117,27.64
143,-18216.868969,26.95
144,-18165.330404,28.13
145,-18678.9123355,29.01
146,-18760.6756565,27.02
147,-18745.3584895,26.9
148,-18628.7705365,26.84
