model,Gsolv,timing
0,-3210.4771530000003,20.3
1,-3222.528198,20.59
2,-3257.463101,21.25
3,-3157.11124,20.79
4,-3244.4537484999996,21.72
5,-3300.7444685,20.82
6,-3295.0838905,19.92
7,-3350.6762275,20.55
8,-3326.9128269999997,20.12
9,-3365.73347,20.56
10,-3240.7675464999998,20.76
11,-3301.6213855,21.45
12,-3247.087125,21.07
13,-3219.571885,20.59
14,-3279.664329,21.87
15,-3239.6910915,21.27
16,-3151.3876499999997,21.22
17,-3173.9065634999997,21.09
18,-3191.2086085,21.33
19,-3187.7613269999997,22.38
20,-3229.47002,22.52
21,-3252.1832205,21.34
22,-3185.860465,21.66
23,-3143.427134,21.98
24,-3159.2510225,21.35
25,-3156.2054424999997,21.42
26,-3169.0651415,22.33
27,-3149.6469435000004,21.39
28,-3112.367469,21.06
29,-3166.253231,21.07
30,-3063.454404,21.31
31,-3108.271689,21.66
32,-3071.0762305,20.9
33,-3036.4143795,20.98
34,-3136.0258495000003,21.37
35,-3165.6598679999997,20.44
36,-3132.132233,21.02
37,-3178.9737784999998,20.94
38,-3200.0749220000002,20.93
39,-3114.294586,21.62
40,-3230.945551,21.84
41,-3235.3432635000004,20.9
42,-3140.1925180000003,21.61
43,-3117.3953015,22.02
44,-3131.0531525,21.9
45,-3185.030807,20.81
46,-3182.4499405,20.89
47,-3126.6213085,20.4
48,-3290.203086,21.85
49,-3162.194208,21.0
50,-3221.336221,21.58
51,-3249.0903815,21.02
52,-3218.5479400000004,21.23
53,-3214.6753275,20.27
54,-3145.826841,20.46
55,-3209.027877,20.22
56,-3185.5060225,20.72
57,-3272.9246705,21.01
58,-3130.761722,20.72
59,-3211.8870465,20.45
60,-3220.0155945,20.36
61,-3115.8305035000003,20.55
62,-3108.9910760000002,20.85
63,-3131.990456,20.36
64,-3246.5252680000003,20.45
65,-3295.112771,20.6
66,-3227.7214369999997,20.95
67,-3226.0489935,21.05
68,-3177.5665105000003,20.2
69,-3227.7923255,21.12
70,-3272.7881445000003,21.47
71,-3166.6943149999997,20.32
72,-3269.06256,20.86
73,-3282.9645825000002,20.58
74,-3277.1123430000002,21.01
75,-3334.3771235,21.92
76,-3258.4319105,21.21
77,-3251.4848375,21.47
78,-3270.8295215,21.12
79,-3184.3403004999996,20.35
80,-3251.508467,20.99
81,-3234.0515174999996,20.85
82,-3280.8930629999995,21.17
83,-3210.7003205,21.41
84,-3197.7145975000003,21.19
85,-3184.7131215,21.23
86,-3165.5128400000003,20.59
87,-3197.2997685,21.11
88,-3212.976629,21.75
89,-3111.0941015,21.76
90,-3126.251113,21.64
91,-3208.686562,21.35
92,-3089.9798305,21.53
93,-3088.4255344999997,21.14
94,-3127.3091895000002,20.59
95,-3191.237489,20.25
96,-3217.5134930000004,20.39
97,-3274.5288509999996,21.0
98,-3269.676927,20.83
99,-3215.9093125,20.64
100,-3216.2375,20.96
101,-3240.5995144999997,20.49
102,-3247.8248905,20.9
103,-3282.2898290000003,20.89
104,-3155.0370949999997,20.8
105,-3170.8373540000002,20.61
106,-3173.788416,20.58
107,-3134.752482,20.85
108,-3160.2224575,21.72
109,-3135.0176575,21.93
110,-3223.0034134999996,21.0
111,-3259.595007,21.33
112,-3288.9769775,20.64
113,-3212.7324575,21.41
114,-3225.6892999999995,20.69
115,-3220.433049,21.36
116,-3248.137325,20.99
117,-3271.010681,21.81
118,-3173.793667,21.76
119,-3203.4119325,21.17
120,-3258.4161575000003,21.37
121,-3255.4966015,21.22
122,-3280.3732139999997,22.16
123,-3202.8238205000002,21.63
124,-3215.3579575,21.22
125,-3182.757124,20.93
126,-3212.173226,21.16
