model,Gsolv,timing
0,-57.4538165,0.14
1,-60.473141500000004,0.15
2,-59.929663,0.13
3,-58.018299,0.15
4,-59.210276,0.12
5,-61.342182,0.15
6,-59.57259499999999,0.15
7,-58.727183999999994,0.13
8,-58.6562955,0.12
9,-59.716997500000005,0.13
10,-57.1177525,0.13
11,-58.6825505,0.15
12,-56.204078499999994,0.14
13,-55.629093999999995,0.14
14,-55.8365085,0.15
15,-61.216158,0.12
16,-59.0658735,0.14
17,-57.674358500000004,0.14
18,-59.008112499999996,0.12
19,-58.396371,0.14
20,-62.2689835,0.15
21,-58.669423,0.15
22,-57.162386,0.15
23,-61.231911,0.16
24,-58.065558,0.17
25,-59.533212500000005,0.12
26,-57.493199000000004,0.17
27,-61.06913,0.15
28,-55.986162,0.16
29,-57.9054025,0.15
30,-58.259845000000006,0.19
31,-57.894900500000006,0.15
32,-56.096433,0.14
33,-57.298912,0.15
34,-58.648419000000004,0.13
35,-57.9789165,0.07
36,-56.800067,0.06
37,-58.265096,0.16
38,-55.76562,0.21
39,-57.7006135,0.14
40,-59.5752205,0.15
41,-58.611662,0.13
42,-59.478077,0.07
43,-57.9264065,0.08
44,-57.782004,0.06
45,-58.7298095,0.08
46,-58.821702,0.07
47,-55.1355,0.08
48,-59.992675,0.14
49,-59.6172285,0.13
50,-60.11869900000001,0.15
51,-60.554532,0.15
52,-60.9089745,0.14
53,-59.6907425,0.15
54,-59.218152499999995,0.12
55,-60.249974,0.14
56,-58.837455,0.16
57,-60.827584,0.15
58,-61.9171665,0.12
59,-60.8144565,0.15
60,-61.074381,0.12
61,-60.18171100000001,0.15
62,-60.81970750000001,0.11
63,-60.2105915,0.14
64,-57.771502,0.14
65,-61.7386325,0.16
66,-60.444261000000004,0.16
67,-57.8056335,0.13
68,-56.049174,0.16
69,-56.390489,0.13
70,-55.9520305,0.13
71,-55.697357000000004,0.14
72,-59.147264,0.14
73,-58.994985,0.15
74,-62.8465935,0.13
75,-60.0058025,0.15
76,-59.761631,0.11
77,-57.59559350000001,0.16
78,-60.859089999999995,0.08
79,-59.8115155,0.08
80,-59.199774,0.08
81,-55.8732655,0.11
82,-57.246402,0.15
83,-57.2359,0.14
84,-55.52932499999999,0.13
85,-57.550959999999996,0.1
86,-59.619854,0.14
