model,Gsolv,timing
0,-3202.2252065,20.27
1,-3207.3055489999997,20.46
2,-3242.2798345,21.14
3,-3137.4646235,20.79
4,-3218.4114139999997,21.55
5,-3283.9754,20.78
6,-3265.4367445,19.94
7,-3329.680104,20.18
8,-3304.863878,20.32
9,-3349.2742105,20.52
10,-3227.8973455,20.64
11,-3289.7803805000003,21.2
12,-3241.6654675,20.99
13,-3208.7784545,20.33
14,-3266.2033905000003,21.71
15,-3223.2344575,21.04
16,-3141.8938420000004,21.39
17,-3169.4694685,21.31
18,-3176.4270435000003,21.56
19,-3186.7137525,22.4
20,-3238.2365645,22.1
21,-3262.6064555000003,21.42
22,-3206.355118,21.53
23,-3166.536785,21.57
24,-3171.7772830000004,20.98
25,-3156.124052,20.8
26,-3175.96233,22.65
27,-3147.0266945,21.09
28,-3121.3072965,20.98
29,-3168.8235955,21.13
30,-3069.582321,21.32
31,-3101.4847714999996,21.75
32,-3076.109314,21.2
33,-3040.150466,20.78
34,-3131.607133,21.16
35,-3165.791143,20.41
36,-3136.595583,20.89
37,-3176.939016,20.53
38,-3213.7406495,20.82
39,-3119.5770919999995,21.54
40,-3234.9651915,21.63
41,-3234.4138365000003,20.91
42,-3148.4050819999998,21.36
43,-3127.1779145,21.92
44,-3130.535929,21.62
45,-3192.214175,20.65
46,-3192.6946414999998,20.64
47,-3153.2937629999997,20.41
48,-3315.4892764999995,21.48
49,-3181.0006645,20.83
50,-3226.7001175,21.74
51,-3251.6686225,20.95
52,-3219.1334265,21.0
53,-3234.9310600000003,20.14
54,-3160.172573,20.33
55,-3231.1109574999996,20.19
56,-3198.625646,20.69
57,-3284.0252844999995,20.91
58,-3135.9182039999996,20.28
59,-3225.705053,20.37
60,-3228.0575010000002,20.41
61,-3130.6015665,20.18
62,-3120.695555,20.72
63,-3146.7037579999997,20.19
64,-3268.5663405,20.39
65,-3303.9055705,20.45
66,-3237.5303049999998,20.99
67,-3243.43768,21.27
68,-3193.0490839999998,20.24
69,-3248.851461,21.02
70,-3294.0441925,21.24
71,-3193.1619805,20.4
72,-3271.4071315,20.97
73,-3291.111509,20.68
74,-3291.568346,20.9
75,-3342.9887635,22.05
76,-3260.9313865000004,21.03
77,-3266.2138925,21.58
78,-3277.9787579999997,20.9
79,-3188.3625665,20.02
80,-3252.353878,20.86
81,-3258.355771,20.7
82,-3311.154576,21.07
83,-3238.8456805,21.05
84,-3212.493537,21.13
85,-3208.0091829999997,21.04
86,-3187.0288125,20.55
87,-3215.9670735,21.35
88,-3244.409115,21.6
89,-3133.9359515,21.73
90,-3156.9668375,21.58
91,-3240.4577375,21.03
92,-3109.7183394999997,21.7
93,-3114.4284865,20.91
94,-3145.275486,20.18
95,-3202.0886805,20.47
96,-3225.1353194999997,20.13
97,-3286.3304735,20.81
98,-3297.024135,20.38
99,-3245.6536020000003,20.23
100,-3240.7911759999997,20.79
101,-3268.4193124999997,20.43
102,-3276.2905615,20.79
103,-3326.739544,20.59
104,-3188.170905,20.51
105,-3195.7559745,20.7
106,-3192.4898525,20.82
107,-3145.4986535,20.99
108,-3166.836092,21.8
109,-3149.28725,21.71
110,-3232.2372969999997,21.04
111,-3257.552368,21.27
112,-3283.6787185000003,20.68
113,-3222.664724,21.73
114,-3230.4519569999998,20.69
115,-3224.0247329999997,21.21
116,-3251.9521765,20.82
117,-3272.8406545,21.61
118,-3165.4760829999996,21.42
119,-3202.3643580000003,20.95
120,-3252.6925675,21.34
121,-3250.99912,21.0
122,-3274.8150305000004,21.94
123,-3203.6167215,21.34
124,-3224.250526,20.88
125,-3191.904366,20.71
126,-3207.127015,20.98
127,-3255.483474,20.94
128,-3390.2950225000004,21.0
129,-3316.8387835,20.49
130,-3279.8979985,20.13
131,-3271.3992550000003,20.45
132,-3365.549685,21.35
133,-3455.1711275000002,20.76
134,-3376.7736975000003,21.44
135,-3338.9244895,20.91
136,-3374.8465805,20.37
137,-3350.127498,20.54
138,-3402.9315540000002,20.97
139,-3348.8751345,21.16
140,-3344.918506,21.09
141,-3305.725042,20.65
142,-3308.7312395,20.28
143,-3255.7433985,20.13
144,-3192.077649,20.39
145,-3235.5664309999997,20.36
146,-3246.9794795000003,20.14
147,-3316.410827,20.24
148,-3256.3472635000003,20.85
149,-3309.374487,20.76
150,-3318.6136214999997,20.86
151,-3369.929019,20.87
152,-3293.2040325000003,21.04
153,-3268.763253,20.43
154,-3271.556785,20.59
155,-3283.3951645,20.16
156,-3280.2025565,21.14
157,-3279.522552,21.16
158,-3280.483485,20.88
159,-3229.874347,21.07
160,-3229.9478609999996,21.22
161,-3209.8811645,20.25
162,-3274.066763,20.31
163,-3268.758002,21.3
164,-3270.6194815000003,21.3
165,-3162.4068734999996,22.06
166,-3193.3168849999997,21.53
167,-3253.6640025,21.91
168,-3262.273017,20.87
169,-3256.0505820000003,21.19
170,-3282.3397135000005,20.37
171,-3230.6698735,20.02
172,-3236.4354715,20.65
173,-3228.9869280000003,20.36
174,-3252.117583,20.54
175,-3237.6930859999998,20.29
176,-3309.3823635000003,20.38
177,-3229.307239,20.56
178,-3160.2644655,20.88
179,-3141.5236465,20.8
180,-3117.9886644999997,20.54
181,-3116.0930535,20.64
182,-3168.222356,20.27
183,-3252.1674675,20.88
184,-3211.9763135,21.3
185,-3271.6828090000004,21.19
186,-3162.6274154999996,21.23
187,-3199.4579295000003,21.31
188,-3164.7593214999997,20.69
189,-3198.147805,21.83
190,-3206.5257755,21.08
191,-3267.781316,20.97
192,-3211.7242655,20.91
193,-3245.0628644999997,21.47
194,-3248.2659744999996,21.31
195,-3142.623731,21.38
196,-3156.160809,21.32
197,-3165.953924,21.27
198,-3135.251327,20.9
199,-3065.6283179999996,20.47
200,-3140.7780045,20.45
201,-3177.5140005,20.17
202,-3195.112727,20.63
203,-3235.1017175,20.5
204,-3269.7977,20.48
205,-3285.4456800000003,20.3
206,-3269.5325245,20.36
207,-3254.3965169999997,20.44
208,-3253.2649265,20.79
209,-3304.2363835,20.57
210,-3276.965315,20.48
211,-3205.4335675,20.98
212,-3274.8176559999997,20.35
213,-3314.804021,20.32
214,-3297.3260674999997,20.12
215,-3274.423831,20.61
216,-3340.4052715,20.37
217,-3314.4233235,19.01
218,-3421.8535325,19.77
219,-3380.48878,20.42
220,-3305.1421809999997,20.81
221,-3315.9198585,20.86
222,-3316.7862735,21.06
223,-3330.0529250000004,21.37
224,-3298.3500125,20.7
225,-3294.2857384999998,20.51
226,-3240.8305585,21.41
227,-3284.358723,20.86
228,-3245.921403,20.94
229,-3219.9840885,20.4
230,-3231.8460975,20.78
231,-3206.1844605,20.34
232,-3187.1863425,20.34
233,-3187.813837,20.18
234,-3237.3045119999997,21.11
235,-3259.778792,20.12
236,-3210.2749894999997,20.39
237,-3019.06245,20.3
238,-3133.182433,20.16
239,-3203.3226655,20.34
240,-3218.889255,20.95
241,-3253.2754285,20.4
242,-3273.8987309999998,20.43
243,-3246.5856544999997,20.49
244,-3287.183761,20.2
245,-3359.6239315,20.5
246,-3254.648565,20.77
247,-3322.67527,20.59
248,-3296.5279155000003,20.4
249,-3308.880893,20.19
250,-3290.507644,19.83
251,-3351.4061165000003,20.81
252,-3285.3485364999997,19.6
253,-3262.9582725,19.64
254,-3302.0099594999997,20.29
255,-3265.8673264999998,20.47
256,-3308.4818170000003,20.41
257,-3223.7228005,20.26
258,-3258.5710619999995,20.03
259,-3280.6226364999998,20.72
260,-3325.7208499999997,20.91
261,-3250.7628250000002,21.2
262,-3194.4694795,21.25
263,-3270.0051145,21.22
264,-3268.69499,21.25
265,-3211.306811,20.99
266,-3234.6921395,20.71
267,-3181.6727925,20.45
268,-3284.6685319999997,20.86
269,-3221.5725159999997,20.16
270,-3332.6863015,19.49
271,-3283.8283720000004,20.35
272,-3252.511408,20.63
273,-3257.421093,19.74
274,-3256.7988495,20.28
275,-3251.954802,19.91
276,-3370.9660915,19.96
277,-3303.14155,20.28
278,-3290.791198,19.72
279,-3285.083361,20.09
280,-3276.5006015000004,21.25
281,-3212.9923820000004,21.4
282,-3227.353867,21.07
283,-3264.6228395,21.27
284,-3231.696444,20.49
285,-3221.2758345,20.8
286,-3229.3571235,20.89
287,-3207.2346605,20.17
288,-3256.796224,20.46
289,-3208.361,20.28
290,-3177.0256575,21.13
291,-3235.5480525000003,21.0
292,-3172.470415,21.12
293,-3195.532807,21.56
294,-3246.9085910000003,21.65
295,-3206.192337,21.23
296,-3155.0922305,20.44
297,-3253.2150420000003,20.35
298,-3209.484714,21.04
299,-3160.83945,21.64
300,-3170.1967320000003,20.58
301,-3163.611978,20.39
302,-3130.3705225000003,20.31
303,-3166.1035775,20.71
304,-3128.9002425,20.33
305,-3195.553811,20.23
306,-3156.7988055,20.1
307,-3110.5374955,20.77
308,-3137.745552,20.72
309,-3168.059575,20.54
310,-3170.6798240000003,20.58
311,-3286.39086,20.4
312,-3296.3835129999998,20.78
313,-3263.4754960000005,21.08
314,-3238.060656,20.46
315,-3203.173012,21.12
316,-3211.306811,20.85
317,-3198.9091999999996,21.05
318,-3177.3932274999997,21.82
319,-3161.9815424999997,21.46
320,-3209.7183835,21.11
321,-3285.256644,21.61
322,-3146.299431,21.55
323,-3150.484478,21.3
324,-3024.7991675000003,21.03
325,-3077.6977415,20.58
326,-3081.0583815,20.63
327,-3186.0888835,21.4
328,-3153.062719,21.08
329,-3198.7149130000003,21.58
330,-3109.4085305,20.57
331,-3100.090631,21.12
332,-3124.7677055,19.96
333,-3131.601882,20.1
334,-3164.6648035,20.42
335,-3174.570815,20.47
336,-3190.6047434999996,20.1
337,-3173.9695755,19.85
338,-3221.0762965,21.17
339,-3150.2508085,20.01
340,-3204.0945625,21.24
341,-3194.9551969999998,20.02
342,-3228.3856885,20.63
343,-3202.4536249999996,20.46
344,-3249.376561,21.04
345,-3297.1317805,21.34
346,-3227.9288515,21.15
347,-3255.4388404999995,21.42
348,-3153.5116795,21.29
349,-3195.2781335,21.42
350,-3252.6715635,20.86
351,-3308.5159485,20.68
352,-3219.7740485000004,20.56
353,-3247.5728424999998,20.85
354,-3208.691813,21.34
355,-3199.3371565,21.81
356,-3137.2703364999998,20.7
357,-3178.8320015,21.42
358,-3163.6776155000002,21.41
359,-3171.4543465,20.48
360,-3239.3025175,20.37
361,-3181.4837565,20.81
362,-3254.5566725,21.5
363,-3235.7633435,20.79
364,-3143.001803,21.57
365,-3146.3125585,21.67
366,-3216.3136394999997,21.28
367,-3202.6977965,21.19
368,-3183.3111045,20.75
369,-3181.601904,20.64
370,-3214.9168735,20.48
371,-3157.5602004999996,20.63
372,-3119.0861234999998,20.16
373,-3177.9787140000003,20.63
374,-3273.26336,20.47
375,-3160.3799875,20.59
376,-3199.565575,20.88
377,-3204.2573435,20.27
378,-3171.4333425,21.17
379,-3125.116897,21.18
380,-3153.9422615000003,21.16
381,-3141.8124515,20.97
382,-3211.7321420000003,21.67
383,-3196.5121185,20.8
384,-3195.186241,20.93
385,-3212.4016444999997,21.24
386,-3138.2417714999997,21.67
387,-3252.2698619999996,20.9
388,-3250.7707015,21.0
389,-3211.264803,20.62
390,-3197.2840155,20.86
391,-3224.234773,20.56
392,-3183.7941965,21.05
393,-3145.2571075,21.77
394,-3139.9220914999996,21.35
395,-3113.9558965,20.84
396,-3196.955828,20.95
397,-3224.822885,20.75
398,-3204.343985,20.85
399,-3279.317763,21.11
400,-3071.2075055,20.33
401,-3157.7334835,20.87
402,-3200.106428,20.87
403,-3156.1896895,20.98
404,-3210.330125,21.77
405,-3197.312896,22.02
406,-3275.0460744999996,21.65
407,-3264.6097120000004,22.24
408,-3214.3471400000003,21.88
409,-3254.485784,21.41
410,-3199.408045,22.25
411,-3223.174071,22.54
412,-3175.153676,21.11
413,-3303.708658,20.96
414,-3194.9683244999997,21.48
415,-3191.7022024999997,21.96
416,-3167.5371004999997,22.52
417,-3200.5763925,21.72
418,-3151.382399,21.3
419,-3200.663034,20.6
420,-3155.7381035,21.62
421,-3113.843,20.71
422,-3107.96188,20.87
423,-3041.620746,20.44
424,-3058.387189,20.12
425,-3129.4095895,20.52
426,-3082.2608605,20.52
427,-3127.1306554999996,19.91
428,-3157.5286945000003,20.85
429,-3192.9020560000004,20.96
430,-3177.2987095000003,21.22
431,-3123.3079275,21.53
432,-3116.1744439999998,21.43
433,-3193.437658,21.16
434,-3175.410975,20.77
435,-3207.1165129999995,21.1
436,-3220.275519,20.64
437,-3156.4706180000003,21.23
438,-3198.772674,21.65
439,-3126.65544,21.63
440,-3166.6076735,21.54
441,-3076.7158045,21.45
442,-3085.219799,21.11
443,-3162.104941,21.37
444,-3148.86717,21.23
445,-3148.6755085000004,20.91
446,-3155.0817285000003,21.22
447,-3149.0562059999997,21.03
448,-3090.344775,21.65
449,-3099.8989695000005,21.58
450,-3096.88227,21.5
451,-3148.1267789999997,21.77
452,-3071.535693,22.07
453,-3080.4256360000004,22.18
454,-3198.189813,21.38
455,-3185.8630905,21.61
456,-3137.6904164999996,21.08
457,-3121.8402730000003,20.78
458,-3101.4900225,20.81
459,-3099.570782,21.12
460,-3065.1110944999996,20.96
461,-3148.804158,21.5
