model,Gsolv,timing
0,-3226.0594955,19.23
1,-3233.376764,20.48
2,-3245.4671915,19.82
3,-3294.629679,20.36
4,-3264.137122,20.3
5,-3198.0401595000003,20.09
6,-3121.288918,19.56
7,-3154.8454334999997,19.44
8,-3223.0322939999996,19.44
9,-3273.373631,20.03
10,-3233.2533655,21.18
11,-3216.6418270000004,20.11
12,-3189.084579,19.89
13,-3118.873458,19.73
14,-3250.63155,19.95
15,-3237.981891,21.14
16,-3270.7875135,21.23
17,-3241.431798,21.14
18,-3276.5583625,21.24
19,-3217.6946525,21.11
20,-3241.6208340000003,20.31
21,-3250.7444465,20.08
22,-3269.7845725,21.33
23,-3272.2630445000004,20.65
24,-3251.4375785,21.26
25,-3276.277434,20.48
26,-3309.1276900000003,20.05
27,-3229.9294825,19.84
28,-3285.482437,20.8
29,-3239.3497764999997,20.46
30,-3336.80046,20.31
31,-3324.6680245000002,19.68
32,-3233.329505,20.6
33,-3191.7914695,20.37
34,-3205.0292405,19.83
35,-3201.1487515,19.33
36,-3182.4079325000002,19.43
37,-3108.9149365000003,19.96
38,-3194.6847705,20.33
39,-3147.1999775,20.36
40,-3076.7315575,20.27
41,-3100.4345715,19.61
42,-3162.241467,19.92
43,-3119.6952395,19.22
44,-3134.5293144999996,19.39
45,-3170.758589,19.71
46,-3158.4948784999997,19.44
47,-3109.605443,19.37
48,-3129.0708999999997,19.08
49,-3130.9455070000004,20.18
50,-3066.5813745,19.52
51,-3126.7447070000003,19.71
52,-3166.7704545,19.14
53,-3152.6531410000002,20.1
54,-3090.675588,19.85
55,-3071.9426455000003,19.85
56,-3095.6115280000004,19.32
57,-3121.0578739999996,19.46
58,-3055.3494855,19.74
59,-3147.2367345000002,19.29
60,-3134.825996,20.1
61,-3099.912097,19.47
62,-3116.977847,19.15
63,-3132.2293765,19.06
64,-3086.768844,19.06
65,-3152.8159220000002,19.04
66,-3104.9504315,19.29
67,-3128.8214775,18.82
68,-3047.2550690000003,19.17
69,-3133.4423575,19.03
70,-3214.3812715000004,19.5
71,-3162.2755985000003,19.46
72,-3124.8779765,19.2
73,-3142.6158545000003,18.86
74,-3087.068151,19.0
75,-3096.3125364999996,19.76
76,-3106.570365,19.81
77,-3164.173835,19.5
78,-3089.7067785,20.1
79,-3170.8557325,19.23
80,-3150.852048,19.0
