model,Gsolv,timing
0,-32.154498499999995,0.08
1,-32.592957,0.08
2,-30.959896,0.09
3,-32.902766,0.07
4,-32.829252,0.08
5,-34.955906999999996,0.08
6,-33.5302605,0.08
7,-34.5699585,0.1
8,-34.562082000000004,0.09
9,-33.611650999999995,0.09
10,-32.4328015,0.06
11,-33.5617665,0.06
12,-33.5512645,0.08
13,-33.6930415,0.08
14,-33.333348,0.09
15,-33.97397,0.07
16,-33.811189,0.08
17,-33.0813,0.09
18,-33.837444,0.08
19,-32.8371285,0.08
20,-34.205014,0.09
21,-30.545067,0.08
22,-33.942464,0.06
23,-34.0921175,0.08
24,-32.8161245,0.08
25,-32.4590565,0.06
26,-32.808248,0.08
27,-33.4199895,0.16
28,-32.797746,0.05
29,-32.944774,0.09
30,-30.1013575,0.08
31,-33.2467065,0.16
32,-32.225387,0.15
33,-31.9024505,0.15
34,-31.847315000000002,0.15
35,-30.4584255,0.06
36,-30.9809,0.06
37,-32.5430725,0.07
38,-32.3487855,0.08
39,-32.5430725,0.16
40,-33.454121,0.09
41,-31.8551915,0.06
42,-33.02879,0.08
43,-33.338598999999995,0.07
44,-31.758048000000002,0.16
45,-32.7006025,0.06
46,-32.2070085,0.06
47,-32.3172795,0.09
48,-31.379976000000003,0.08
49,-33.3674795,0.09
50,-33.0209135,0.07
51,-30.6002025,0.15
52,-32.669096499999995,0.16
53,-33.496129,0.12
54,-30.5161865,0.07
55,-32.776742,0.08
56,-32.540447,0.06
57,-31.626773,0.07
58,-32.157124,0.12
59,-33.2992165,0.15
60,-33.593272500000005,0.15
61,-33.1731925,0.15
62,-33.2414555,0.16
63,-32.396044499999995,0.14
64,-33.2729615,0.15
65,-32.1597495,0.13
66,-32.866009,0.15
67,-33.160065,0.14
68,-32.036350999999996,0.14
69,-33.706169,0.07
70,-32.655969,0.15
71,-33.0576705,0.16
72,-33.616901999999996,0.16
73,-33.601149,0.16
74,-33.251957499999996,0.15
75,-32.130869000000004,0.12
76,-33.737675,0.17
77,-32.34616,0.17
78,-30.1118595,0.17
79,-33.664161,0.14
80,-32.66122,0.18
81,-32.640216,0.19
82,-33.3202205,0.15
83,-32.298901,0.07
84,-32.430176,0.07
85,-33.490878,0.07
86,-31.542757,0.09
87,-33.29134,0.07
88,-33.4777505,0.06
89,-32.094112,0.08
90,-33.0576705,0.07
91,-31.372099499999997,0.08
92,-32.1019885,0.07
93,-33.002535,0.07
94,-32.8423795,0.18
95,-32.3855425,0.06
96,-32.585080500000004,0.17
97,-32.9736545,0.07
98,-32.50369,0.06
99,-32.3015265,0.09
100,-32.8161245,0.07
101,-31.0937965,0.08
102,-33.13381,0.08
103,-33.3727305,0.08
104,-30.891633000000002,0.08
105,-33.459372,0.08
106,-33.5565155,0.07
107,-32.007470500000004,0.07
108,-32.419674,0.07
109,-32.5483235,0.08
110,-32.613961,0.07
111,-33.81644,0.06
112,-34.378296999999996,0.09
113,-32.8108735,0.07
114,-31.847315000000002,0.08
115,-32.4170485,0.09
116,-31.968087999999998,0.07
117,-32.104614,0.09
118,-33.044543,0.07
119,-32.7163555,0.08
120,-32.2910245,0.09
121,-33.385858,0.09
122,-31.4088565,0.07
123,-31.4823705,0.06
124,-30.962521499999998,0.09
125,-30.5686965,0.08
126,-31.227697,0.06
127,-32.535196,0.07
128,-32.561451,0.07
129,-31.337968,0.07
130,-30.689469499999998,0.08
131,-31.448239,0.08
132,-33.3359735,0.08
133,-31.7974305,0.07
134,-35.0110425,0.07
135,-34.1866355,0.09
136,-34.278528,0.07
137,-31.8761955,0.16
138,-33.044543,0.06
139,-31.6556535,0.06
140,-31.574263000000002,0.06
141,-33.0051605,0.07
142,-30.2378835,0.06
143,-30.747230499999997,0.07
144,-31.708163499999998,0.07
145,-33.196822000000004,0.07
146,-32.671722,0.09
147,-30.019966999999998,0.06
148,-32.012721500000005,0.08
149,-31.532255,0.07
150,-32.540447,0.06
151,-32.0599805,0.07
152,-31.374725,0.1
153,-32.5483235,0.07
154,-31.7449205,0.07
155,-32.7163555,0.1
156,-31.1042985,0.08
157,-32.6375905,0.08
158,-31.369474,0.06
159,-29.886066500000002,0.09
160,-31.8236855,0.08
161,-33.165316000000004,0.08
162,-34.5489545,0.07
163,-32.199132,0.09
164,-31.8394385,0.06
165,-33.244081,0.07
166,-33.7455515,0.07
167,-32.650718,0.08
168,-31.7606735,0.08
169,-31.301211000000002,0.1
170,-31.910327,0.05
171,-33.0681725,0.09
172,-31.676657499999997,0.06
173,-34.966409,0.09
174,-32.314654,0.07
175,-35.7251785,0.08
176,-35.859079,0.08
177,-32.634965,0.07
178,-31.789554000000003,0.07
179,-31.4771195,0.1
180,-32.3330325,0.06
181,-32.624463,0.07
182,-32.5325705,0.07
183,-32.558825500000005,0.07
184,-32.1334945,0.07
185,-30.878505500000003,0.08
186,-33.2046985,0.08
187,-33.5985235,0.06
188,-33.685165,0.06
189,-31.34847,0.06
190,-31.952335,0.07
191,-32.24114,0.08
192,-31.668781,0.07
193,-33.2152005,0.07
194,-32.298901,0.06
195,-32.29365,0.08
196,-31.2198205,0.07
197,-32.831877500000004,0.06
198,-33.0576705,0.07
199,-31.6609045,0.07
200,-32.4275505,0.08
201,-31.267079499999998,0.07
202,-32.87126,0.07
203,-32.8371285,0.05
204,-32.4170485,0.07
205,-32.939523,0.08
206,-34.273277,0.06
207,-32.598208,0.06
208,-33.317595,0.06
209,-32.495813500000004,0.07
210,-32.7793675,0.09
211,-32.3225305,0.07
212,-33.884703,0.07
213,-31.834187500000002,0.19
214,-31.836813,0.07
215,-31.4508645,0.07
216,-32.813499,0.07
217,-31.5243785,0.07
218,-33.0996785,0.15
219,-32.3435345,0.15
220,-33.2099495,0.07
221,-35.018919,0.09
222,-32.204383,0.07
223,-32.558825500000005,0.12
224,-31.196191,0.06
225,-32.356662,0.08
226,-31.807932500000003,0.06
227,-31.768549999999998,0.07
228,-31.2933345,0.08
229,-33.333348,0.08
230,-35.7986925,0.08
231,-36.3237925,0.08
232,-34.987413,0.08
233,-31.899825,0.09
234,-32.146622,0.06
235,-32.4328015,0.05
236,-31.537506,0.04
237,-33.377981500000004,0.07
238,-31.7921795,0.08
239,-31.889323,0.07
240,-31.534880500000003,0.08
241,-30.891633000000002,0.09
242,-31.1778125,0.08
243,-35.0320465,0.07
244,-31.771175500000002,0.08
245,-31.424609500000003,0.07
246,-31.8289365,0.07
247,-30.468927500000003,0.07
248,-32.729483,0.08
249,-31.306462,0.08
250,-32.272646,0.06
251,-31.755422499999998,0.07
252,-33.354352,0.09
253,-31.395729,0.05
254,-32.0547295,0.08
255,-31.579514,0.07
256,-31.9917175,0.08
257,-33.354352,0.07
258,-34.451811,0.07
259,-31.3563465,0.08
260,-32.0442275,0.06
261,-31.821060000000003,0.09
262,-31.9024505,0.16
263,-32.0757335,0.16
264,-32.7111045,0.07
265,-30.9809,0.08
266,-33.3989855,0.06
267,-32.8476305,0.08
268,-33.511882,0.07
269,-30.169620499999997,0.07
270,-31.2145695,0.08
271,-32.414423,0.05
272,-32.038976500000004,0.06
273,-32.466933,0.09
274,-32.3015265,0.07
275,-31.569012,0.07
276,-34.120998,0.1
277,-31.737044,0.07
278,-32.0599805,0.06
279,-31.645151499999997,0.06
280,-32.424925,0.08
281,-30.904760500000002,0.08
282,-31.4876215,0.06
283,-33.4724995,0.09
284,-30.9205135,0.09
285,-32.078359,0.06
286,-31.025533499999998,0.08
287,-33.2046985,0.08
288,-32.666471,0.07
289,-31.0570395,0.06
290,-31.637275,0.07
291,-32.2595185,0.07
292,-31.1410555,0.07
293,-32.073108,0.06
294,-32.325156,0.07
295,-32.3172795,0.08
296,-32.703228,0.08
297,-31.369474,0.05
298,-32.246390999999996,0.06
299,-33.2046985,0.09
300,-32.4643075,0.07
301,-31.6241475,0.08
302,-31.9969685,0.09
303,-30.8154935,0.05
304,-30.744605,0.07
305,-30.681593,0.07
306,-30.082978999999998,0.08
307,-33.228328000000005,0.07
308,-31.416732999999997,0.06
309,-31.280206999999997,0.08
310,-30.534565,0.08
311,-31.4823705,0.09
312,-31.532255,0.07
313,-32.802997,0.06
314,-33.706169,0.09
315,-30.573947500000003,0.08
316,-33.13381,0.07
317,-30.9730235,0.09
318,-32.981531000000004,0.08
319,-32.947399499999996,0.07
320,-33.4514955,0.11
321,-31.6924105,0.07
322,-31.600518,0.05
323,-30.6999715,0.08
324,-32.038976500000004,0.07
325,-31.154183,0.09
326,-31.831561999999998,0.09
327,-31.29596,0.08
328,-30.109234,0.06
329,-33.438368000000004,0.07
330,-34.036982,0.08
331,-31.6504025,0.07
332,-32.897515,0.07
333,-33.461997499999995,0.06
334,-32.739985,0.07
335,-31.316964,0.07
336,-31.330091499999998,0.07
337,-32.7951205,0.08
338,-31.6083945,0.06
339,-31.742295,0.08
340,-32.9684035,0.07
341,-32.669096499999995,0.07
342,-31.647777,0.09
343,-32.981531000000004,0.06
344,-33.1206825,0.1
345,-32.4433035,0.08
346,-32.8266265,0.1
347,-32.277896999999996,0.06
348,-32.1597495,0.06
349,-32.5903315,0.08
350,-31.9339565,0.06
351,-28.476173,0.06
352,-32.771491,0.08
353,-32.0652315,0.07
354,-32.4275505,0.09
355,-31.7921795,0.06
356,-31.099047499999998,0.06
357,-33.2309535,0.08
358,-32.535196,0.09
359,-31.484996,0.08
360,-33.4987545,0.08
361,-31.800055999999998,0.08
362,-33.2939655,0.07
363,-32.4170485,0.05
364,-33.254583000000004,0.07
365,-31.222445999999998,0.06
366,-31.758048000000002,0.08
367,-32.0862355,0.06
368,-32.141371,0.07
369,-33.354352,0.07
370,-32.096737499999996,0.06
371,-32.4590565,0.1
372,-32.109865,0.07
373,-31.156808500000004,0.07
374,-33.433117,0.07
375,-32.7426105,0.06
376,-31.301211000000002,0.07
377,-32.960527,0.07
378,-31.947084,0.07
379,-32.214885,0.07
380,-32.4275505,0.09
381,-33.4567465,0.08
382,-31.705538,0.08
383,-31.926080000000002,0.06
384,-31.264454,0.08
385,-33.191571,0.07
386,-31.2460755,0.08
387,-31.007154999999997,0.07
388,-30.7839875,0.08
389,-32.9001405,0.08
390,-32.7741165,0.08
391,-32.971029,0.08
392,-30.7262265,0.08
393,-31.645151499999997,0.08
394,-33.055045,0.1
395,-33.228328000000005,0.07
396,-32.172877,0.07
397,-33.3832325,0.08
398,-31.101673,0.06
399,-33.438368000000004,0.08
400,-31.878821,0.08
401,-32.277896999999996,0.07
402,-31.2408245,0.05
403,-31.385226999999997,0.08
404,-32.120367,0.05
405,-30.781362,0.08
406,-31.847315000000002,0.08
407,-32.409172000000005,0.07
408,-33.485627,0.08
409,-33.884703,0.08
410,-31.1410555,0.06
411,-33.7613045,0.14
412,-32.5220685,0.08
413,-30.5424415,0.06
414,-30.8995095,0.07
415,-32.482686,0.08
416,-32.3540365,0.06
417,-32.325156,0.15
418,-30.7892385,0.13
419,-31.372099499999997,0.08
420,-33.280838,0.07
421,-30.9809,0.07
422,-30.9992785,0.14
423,-33.8610735,0.15
424,-31.695035999999998,0.14
425,-31.3773505,0.07
426,-32.204383,0.07
427,-33.1994475,0.06
428,-31.112174999999997,0.08
429,-31.4456135,0.05
430,-30.944143,0.08
431,-31.041286500000002,0.08
432,-31.080669,0.08
433,-31.206693,0.05
434,-32.71373,0.08
435,-33.5302605,0.08
436,-31.259203,0.08
437,-32.073108,0.07
438,-32.8843875,0.09
439,-31.175186999999998,0.06
440,-32.6323395,0.08
441,-32.1177415,0.07
442,-31.548008000000003,0.08
443,-31.8709445,0.07
444,-31.5138765,0.07
445,-32.13612,0.08
446,-30.224756,0.06
447,-31.206693,0.08
448,-29.954329500000004,0.08
449,-32.955276000000005,0.06
450,-31.949709499999997,0.07
451,-34.462313,0.09
452,-32.0022195,0.06
453,-32.309402999999996,0.08
