model,Gsolv,timing
0,-277.23704699999996,0.08
1,-283.338709,0.07
2,-281.02826899999997,0.07
3,-279.6288775,0.08
4,-289.77380949999997,0.07
5,-281.35383099999996,0.06
6,-288.201135,0.08
7,-299.8242235,0.08
8,-284.1499885,0.07
9,-294.176773,0.07
10,-285.2579495,0.07
11,-287.450242,0.06
12,-280.1487265,0.08
13,-283.160175,0.06
14,-281.443098,0.07
15,-280.492667,0.07
16,-288.726235,0.09
17,-285.045284,0.07
18,-289.20932700000003,0.08
19,-278.86485700000003,0.07
20,-291.4803845,0.07
21,-277.798904,0.08
22,-291.48826099999997,0.07
23,-282.33576800000003,0.07
24,-284.304893,0.06
25,-278.292498,0.08
26,-284.730224,0.08
27,-283.9767055,0.07
28,-286.1401175,0.07
29,-279.45822000000004,0.06
30,-292.38093100000003,0.07
31,-288.8863905,0.07
32,-288.5083185,0.09
33,-272.332613,0.07
34,-284.71709649999997,0.09
35,-284.87462650000003,0.07
36,-292.46232150000003,0.06
37,-292.96641750000003,0.09
38,-283.0997885,0.05
39,-286.5076875,0.06
40,-276.769708,0.07
41,-289.8525745,0.07
42,-285.806679,0.08
43,-277.053262,0.06
44,-285.5099975,0.08
45,-288.7078565,0.07
46,-284.8431205,0.05
47,-283.1575495,0.07
48,-281.5612455,0.08
49,-278.4894105,0.07
50,-285.838185,0.07
51,-286.058727,0.09
52,-287.634027,0.06
53,-288.4348045,0.07
54,-279.03814,0.06
55,-282.5379315,0.08
56,-287.35834950000003,0.06
57,-288.5135695,0.07
58,-294.134765,0.08
59,-287.9412105,0.07
60,-294.2896695,0.07
61,-284.09747849999997,0.08
62,-293.5807845,0.07
63,-286.342281,0.08
64,-285.5520055,0.07
65,-285.176559,0.08
66,-280.1539775,0.06
67,-299.58005199999997,0.06
68,-292.65135749999996,0.06
69,-294.46295250000003,0.08
70,-278.455279,0.06
71,-278.7729645,0.07
72,-269.30278599999997,0.07
73,-290.0521125,0.07
74,-276.0214405,0.08
75,-279.2140485,0.08
76,-292.89815450000003,0.08
77,-290.5877145,0.06
78,-283.82705200000004,0.07
79,-295.9699895,0.08
80,-285.5572565,0.08
81,-287.108927,0.08
82,-299.6929485,0.08
83,-287.749549,0.08
84,-283.879562,0.07
85,-295.909603,0.1
86,-280.3587665,0.05
87,-286.0613525,0.07
88,-272.4875175,0.06
89,-287.1693135,0.07
90,-281.3512055,0.07
91,-286.96977549999997,0.08
92,-282.8372385,0.06
93,-281.85267600000003,0.09
94,-289.6687895,0.08
95,-286.673094,0.05
96,-293.29985600000003,0.07
97,-297.542664,0.07
98,-299.559048,0.08
99,-282.251752,0.08
100,-289.59265,0.08
101,-295.12457850000004,0.09
102,-292.2470305,0.07
103,-295.9489855,0.08
104,-297.007062,0.08
105,-285.360344,0.08
106,-296.6473685,0.06
107,-299.454028,0.06
108,-284.399411,0.07
109,-282.409282,0.06
110,-289.519136,0.07
111,-287.450242,0.08
112,-284.2865145,0.08
113,-281.590126,0.06
114,-294.024494,0.07
115,-282.7374695,0.08
116,-287.917581,0.09
117,-272.80782849999997,0.07
118,-279.174666,0.06
119,-286.8752575,0.08
120,-290.558834,0.06
121,-281.76340899999997,0.1
122,-276.0529465,0.08
123,-286.4026675,0.08
124,-281.4877315,0.08
125,-274.075945,0.09
126,-304.426725,0.09
127,-295.4028815,0.08
128,-288.2667725,0.07
129,-286.9592735,0.06
130,-288.9599045,0.08
131,-290.8292605,0.08
132,-275.089388,0.08
133,-278.7467095,0.07
134,-279.1352835,0.08
135,-291.14957150000004,0.07
136,-288.232641,0.06
137,-280.261623,0.07
138,-294.0533745,0.09
139,-288.636968,0.08
140,-298.9630595,0.07
141,-283.076159,0.07
142,-285.60976650000003,0.08
143,-282.15198300000003,0.07
144,-285.775173,0.06
145,-280.434906,0.06
146,-281.9235645,0.07
147,-296.145898,0.07
148,-290.1676345,0.07
149,-287.145684,0.07
150,-276.53866400000004,0.08
151,-287.2008195,0.08
152,-291.525018,0.07
153,-285.4994955,0.07
154,-276.365381,0.07
155,-289.519136,0.08
156,-292.6566085,0.07
157,-290.354045,0.08
