model,Gsolv,timing
0,-3152.5559974999996,17.75
1,-3122.08707,17.64
2,-3160.7711870000003,18.96
3,-3141.7625669999998,17.92
4,-3187.335996,17.94
5,-3126.3613840000003,18.11
6,-3087.131163,18.9
7,-3104.5671085,18.76
8,-3025.3478969999996,18.86
9,-3020.590491,18.72
10,-3032.0744280000004,18.32
11,-3081.1581505,18.53
12,-3053.572022,17.92
13,-3052.2723995,18.3
14,-3117.0828669999996,18.45
15,-3129.223179,18.48
16,-3123.6439914999996,17.84
17,-3059.4898989999997,17.97
18,-3040.4839045,18.57
19,-3136.2411405,18.0
20,-3133.8125529999998,18.02
21,-3209.1355224999998,18.33
22,-3183.4896384999997,17.18
23,-3114.3103389999997,18.25
24,-3113.239135,18.06
25,-3208.712817,17.76
26,-3140.5942195,18.19
27,-3126.7499580000003,17.98
28,-3079.926791,18.0
29,-3088.5961920000004,18.43
30,-3194.8501770000003,17.63
31,-3149.6364415,18.27
32,-3210.7003205,18.11
33,-3201.4585604999997,18.24
34,-3184.7131215,18.06
35,-3119.955164,17.93
36,-3132.9408869999997,17.86
37,-3150.0670235000002,18.16
38,-3111.196496,17.99
39,-3100.437197,17.83
40,-3071.3755374999996,17.43
41,-3140.7570005,17.73
42,-3165.0271225,17.81
43,-3175.17468,18.07
44,-3184.6028505,18.09
45,-3178.1021124999997,18.26
46,-3160.4456250000003,18.66
47,-3143.4297595,18.44
48,-3171.4648485000002,18.44
49,-3143.7763255,18.2
50,-3153.666584,18.41
51,-3145.6929405,17.89
52,-3126.1986030000003,18.09
53,-3132.6757115,18.69
54,-3217.2929510000004,18.13
55,-3099.3791204999998,17.81
56,-3216.074719,18.32
57,-3227.1359505000005,19.1
58,-3224.276781,18.9
59,-3341.1325349999997,18.55
60,-3232.3344405,18.01
61,-3325.1563675,17.92
62,-3273.7700815,17.77
63,-3230.1710285,17.39
64,-3205.5280854999996,17.4
65,-3158.4003605,17.56
66,-3259.8313019999996,17.47
67,-3247.3943084999996,17.54
68,-3205.3863085,17.59
69,-3215.1951765000003,17.99
70,-3220.1101125,17.65
71,-3148.4654685,17.23
72,-3204.611786,17.94
73,-3192.980821,16.98
74,-3173.405093,17.87
75,-3180.021353,18.07
76,-3201.1041179999997,17.69
77,-3256.6045625,18.24
78,-3219.4852435000003,17.7
79,-3301.7001505000003,17.58
80,-3239.7173465,17.45
81,-3216.7494725,17.74
82,-3243.715983,17.13
83,-3310.59797,18.52
84,-3221.4123605,17.65
85,-3247.696241,17.37
86,-3151.1329764999996,17.21
87,-3149.3423855,17.08
88,-3209.763017,17.0
89,-3126.1644715,17.24
90,-3176.046346,17.51
91,-3093.1304305,17.72
92,-3187.0629440000002,17.91
93,-3121.624982,16.81
94,-3101.944234,17.01
95,-3126.4900335,16.86
96,-3142.1852725000003,17.11
97,-3159.1880105,17.62
98,-3051.1276814999997,16.89
99,-3161.1676374999997,17.12
100,-3045.5747490000003,17.08
101,-3129.9819485000003,17.62
102,-3213.1997965,17.43
103,-3137.1075554999998,17.29
104,-3225.279722,17.1
105,-3068.84193,17.42
106,-3037.939795,17.04
107,-3157.384292,17.05
108,-3134.0462224999997,17.04
109,-3170.65882,16.95
110,-3183.8519575000005,16.81
111,-3232.8621660000003,17.11
112,-3186.873908,17.73
113,-3216.6917115,17.65
114,-3200.7496755,16.76
115,-3246.724806,16.65
116,-3228.9764259999997,17.38
117,-3167.172156,18.29
118,-3184.358679,17.72
119,-3221.3283445,17.08
120,-3156.0321595,16.76
121,-3219.340841,17.29
122,-3185.062313,17.43
123,-3207.1191385,17.1
124,-3276.1960435,16.82
125,-3309.7761885,16.86
126,-3231.6990695,16.88
127,-3207.2294094999997,17.58
128,-3166.6864385,17.26
129,-3176.7998645,16.96
130,-3219.5640085,16.77
131,-3214.8906185,16.98
132,-3206.066313,17.15
133,-3136.5456985,16.86
134,-3082.2529839999997,17.11
135,-3122.9981184999997,17.13
136,-3144.241039,16.94
137,-3132.7886080000003,17.42
138,-3169.5639865,16.92
139,-3093.5400084999997,16.68
140,-3178.4513039999997,16.74
141,-3167.3113074999997,16.46
142,-3196.2600704999995,16.5
143,-3190.5679864999997,16.75
144,-3225.3847419999997,16.22
145,-3177.737168,16.47
146,-3160.9287170000002,16.18
147,-3104.8191565,15.95
148,-3252.5639180000003,16.25
149,-3241.174499,16.0
150,-3231.596675,16.46
151,-3321.83511,16.34
152,-3257.3081964999997,17.55
153,-3254.690573,16.94
154,-3230.78277,16.67
155,-3239.5073064999997,16.32
156,-3211.2332969999998,16.92
157,-3259.9625770000002,16.5
158,-3195.469795,16.27
159,-3178.1756265000004,16.63
160,-3208.161462,16.51
161,-3226.6161015,17.01
162,-3205.672488,17.1
163,-3225.3506105,16.92
164,-3185.3957514999997,16.47
165,-3167.051383,17.07
166,-3247.286663,16.91
167,-3241.9306429999997,16.84
168,-3175.705031,17.32
169,-3212.504039,17.02
170,-3251.1697775,16.86
171,-3272.9062919999997,16.83
172,-3289.457444,16.84
173,-3280.4677319999996,16.82
174,-3317.030445,17.15
175,-3238.9139435,17.01
176,-3240.2555740000003,17.04
177,-3201.2957794999998,17.19
178,-3229.8218370000004,17.1
179,-3268.8131375000003,16.83
180,-3155.6619640000004,16.84
181,-3240.7386659999997,16.59
182,-3202.212079,17.19
183,-3145.4934025000002,17.58
184,-3168.4665274999998,17.12
185,-3174.91213,17.14
186,-3167.0697615,17.17
187,-3143.0674405,17.35
188,-3212.9556249999996,17.01
189,-3170.674573,16.84
190,-3146.2154149999997,17.46
191,-3129.3833345,17.16
192,-3126.6134319999996,17.24
193,-3183.9464755,17.29
194,-3181.1529435,16.88
195,-3135.6162715,17.46
196,-3124.8884785,17.71
197,-3192.0802745,17.32
198,-3242.5896435,17.58
199,-3251.939049,17.71
200,-3170.406772,16.95
201,-3199.3529095,16.75
202,-3160.844701,17.09
203,-3163.0501209999998,17.44
204,-3157.9067665,18.17
205,-3175.169429,17.48
206,-3256.4050245000003,17.83
207,-3231.0400689999997,17.39
208,-3277.311881,17.67
209,-3187.72457,17.86
210,-3133.3242099999998,17.53
211,-3151.2327454999995,17.42
212,-3240.6572755,17.54
213,-3226.350926,17.48
214,-3240.8725665,17.29
215,-3149.891115,17.23
216,-3169.3276915,17.16
217,-3121.945293,18.07
218,-3208.5526615,17.41
219,-3108.607753,17.07
220,-3136.5614514999997,16.64
221,-3147.2209814999997,17.44
222,-3125.846786,17.23
223,-3133.9937125,17.79
224,-3101.5871660000003,17.39
225,-3154.0892895,17.83
226,-3177.80018,17.5
227,-3218.07535,17.51
228,-3185.708186,17.79
229,-3176.051597,17.96
230,-3170.5459235000003,17.93
231,-3244.4274935000003,17.58
232,-3184.852273,17.04
233,-3199.2688935,17.1
234,-3253.2964325,17.68
235,-3210.9838744999997,18.34
236,-3221.96109,17.88
237,-3224.3292909999996,18.36
238,-3225.0618055,18.5
239,-3286.4512465000003,18.11
240,-3222.512445,18.44
241,-3192.3585775,18.62
242,-3205.136886,18.68
243,-3231.008563,18.33
244,-3217.0855364999998,18.23
245,-3236.9605715000002,17.82
246,-3219.393351,18.94
247,-3227.1070699999996,18.5
248,-3249.681119,18.64
249,-3212.315003,18.89
250,-3263.5096274999996,18.36
251,-3240.3894745000002,18.51
252,-3209.789272,18.45
253,-3206.218592,18.49
254,-3184.075125,17.24
255,-3179.7929345000002,17.81
256,-3197.4494219999997,18.25
257,-3201.4821899999997,17.87
258,-3185.608417,18.06
259,-3244.3854855,17.77
260,-3152.6715195,18.48
261,-3122.9876165,19.57
262,-3188.2575465,19.04
