model,Gsolv,timing
0,-1709.189998,19.82
1,-1692.4340570000002,19.74
2,-1711.4242984999998,21.15
3,-1699.029313,20.06
4,-1733.244829,20.07
5,-1683.5362375000002,20.09
6,-1672.3883644999999,20.76
7,-1683.3944605000002,21.17
8,-1626.4631185,20.44
9,-1623.362403,20.56
10,-1635.7888945,20.25
11,-1660.397706,20.18
12,-1640.5935595,19.87
13,-1635.8466555,20.36
14,-1681.5014749999998,20.27
15,-1691.7698054999998,20.73
16,-1690.1446210000001,19.96
17,-1647.2465765000002,19.89
18,-1637.6109915,20.98
19,-1691.1108049999998,19.92
20,-1688.805616,19.94
21,-1739.1548295,20.63
22,-1722.0365695,19.23
23,-1680.9343669999998,20.38
24,-1675.583598,20.12
25,-1737.3589875,19.86
26,-1693.2505875,20.37
27,-1686.584443,19.97
28,-1652.7837559999998,19.8
29,-1666.063535,20.57
30,-1732.5438205,19.97
31,-1701.917363,20.68
32,-1742.0350030000002,20.29
33,-1729.369591,20.25
34,-1724.63844,20.35
35,-1679.1779075000002,20.21
36,-1695.8340795,20.03
37,-1700.389322,19.98
38,-1677.022372,20.05
39,-1673.856019,19.65
40,-1658.260549,19.43
41,-1699.092325,19.65
42,-1717.197773,19.92
43,-1719.8836595,20.29
44,-1727.4398485,20.23
45,-1723.9006745000002,20.51
46,-1702.568487,20.7
47,-1700.1136445,20.67
48,-1708.1056665,20.52
49,-1694.051365,20.13
50,-1698.420197,20.48
51,-1694.70774,20.06
52,-1680.9711240000001,20.36
53,-1693.65754,20.74
54,-1738.306793,19.94
55,-1672.643038,19.71
56,-1742.0770109999999,20.55
57,-1753.539944,21.23
58,-1745.3772645,21.0
59,-1822.916156,20.23
60,-1758.0951865,20.11
61,-1805.5589755,19.84
62,-1781.4437580000001,19.78
63,-1756.953094,19.33
64,-1748.099908,19.26
65,-1704.7634050000001,19.56
66,-1769.4215935,19.71
67,-1759.0141115000001,19.48
68,-1735.649787,19.75
69,-1737.3537365,20.07
70,-1744.093395,19.58
71,-1691.5046300000001,19.26
72,-1730.8871299999998,19.94
73,-1719.2404119999999,19.06
74,-1708.2264395,19.92
75,-1718.4081285,20.11
76,-1733.1188049999998,19.72
77,-1765.4675905,20.31
78,-1746.787158,19.77
79,-1800.657167,19.55
80,-1761.5792250000002,19.52
81,-1739.60379,19.82
82,-1765.4833434999998,19.09
83,-1802.6446704999998,20.34
84,-1740.606731,19.87
85,-1758.1687004999999,19.39
86,-1697.9581090000001,19.22
87,-1699.244604,18.97
88,-1726.6679515,18.96
89,-1681.007881,19.14
