model,Gsolv,timing
0,-16529.3787285,20.58
1,-16496.247544,20.79
2,-16218.4512655,20.25
3,-16606.39252,21.04
4,-16827.501628,21.54
5,-16508.290712500002,20.01
6,-16662.7961365,20.86
7,-16530.701980499998,21.17
8,-16269.5172405,20.98
9,-15966.7157,20.5
10,-16074.487224,20.55
11,-16598.802199499998,20.26
12,-16456.0117565,21.16
13,-16424.6265295,21.23
14,-16240.6892505,20.51
15,-16346.625549999999,20.76
16,-16178.023816500001,20.32
17,-16224.061959,20.81
18,-15912.5542605,20.39
19,-15746.1448195,20.77
20,-15939.3448625,20.38
21,-16303.100010999999,20.15
22,-16097.473476500001,20.41
23,-16176.7110665,19.99
24,-16396.0295835,20.11
25,-16281.240098,20.52
26,-16017.6845315,20.74
27,-15819.755963000001,20.41
28,-15898.9778,20.8
29,-16218.3514965,20.98
30,-16241.5766695,20.63
31,-16193.170326000001,20.46
32,-16396.5914405,20.66
33,-16257.4924505,20.37
34,-16570.3680345,20.08
35,-16459.774098,20.37
36,-16458.2959415,21.46
37,-16288.184545499998,21.37
38,-16647.0011285,20.81
39,-16757.647575,20.33
40,-16660.399054999998,20.48
41,-16543.3831455,21.36
42,-16514.778323,20.09
43,-16552.0788015,20.33
44,-16348.426642999999,20.35
45,-16444.278397000002,20.07
46,-16309.3093185,20.01
47,-16172.4209995,19.96
48,-16152.2414065,19.61
49,-16198.899167,19.57
50,-16188.901263,19.46
51,-16135.149401499999,19.81
52,-16519.9689365,20.03
53,-16658.246145,19.24
54,-16789.431878,20.48
55,-16487.410110999997,20.51
56,-16462.5807575,20.78
57,-16717.986772,20.61
58,-16772.9306105,20.59
59,-16727.0106155,20.46
60,-16566.7395935,20.99
61,-16683.42469,20.27
62,-16568.364778,19.89
63,-16761.4939325,20.41
64,-16814.379378999998,20.22
65,-16900.97362,20.63
66,-16485.372723,20.29
67,-16552.958344,20.61
68,-16567.031024,20.6
69,-16562.189602,21.45
70,-16278.157760999999,21.09
71,-16490.7471215,21.39
72,-16672.4894825,21.27
73,-16465.2430145,20.32
74,-16692.8896175,20.67
75,-16408.79739,21.5
76,-16569.58301,20.64
77,-16554.1319425,20.81
