model,Gsolv,timing
0,-3227.0256795,20.32
1,-3211.3960779999998,20.55
2,-3149.8464815,19.95
3,-3230.8904155,20.89
4,-3283.5631965,20.66
5,-3213.428215,19.56
6,-3242.8600699999997,20.36
7,-3221.2049460000003,21.13
8,-3154.1995604999997,20.75
9,-3083.1430285,20.36
10,-3106.1791655,20.79
11,-3237.6300739999997,20.3
12,-3202.0939315,20.81
13,-3189.9378665,20.72
14,-3147.8090934999996,20.28
15,-3169.6926359999998,20.57
16,-3132.0560935,20.16
17,-3139.557147,20.48
18,-3063.995257,19.96
19,-3028.0862935,20.34
20,-3082.9854985,20.24
21,-3175.274449,20.2
22,-3146.6092399999998,20.12
23,-3139.1423179999997,19.74
24,-3206.0190540000003,19.52
25,-3166.7048170000003,20.25
26,-3109.285132,20.51
27,-3067.0802194999997,20.06
28,-3075.552708,20.26
29,-3153.4591695000004,20.64
30,-3158.4108625,20.14
31,-3151.2117415000002,20.0
32,-3196.588258,20.23
33,-3168.6555635,19.71
34,-3243.5190704999995,19.67
35,-3213.97957,19.93
36,-3219.1964385,21.1
37,-3172.2367455,21.22
38,-3244.0389195000002,20.55
39,-3278.3043199999997,19.84
40,-3257.3108220000004,19.99
41,-3244.634908,20.96
42,-3220.2833955,19.83
43,-3227.57966,19.74
44,-3187.6720600000003,20.02
45,-3213.617251,19.6
46,-3183.970105,19.94
47,-3135.8210605000004,19.67
48,-3127.0886474999998,19.28
49,-3152.1017859999997,19.05
50,-3152.4220969999997,18.85
51,-3142.4688265,19.56
52,-3219.9683354999997,19.68
53,-3248.6387955,18.72
54,-3293.505965,19.92
55,-3216.8124845,20.0
56,-3207.3790630000003,20.32
57,-3259.8549315,20.01
58,-3284.5792650000003,20.15
59,-3272.1475225,20.07
60,-3239.4915535,20.33
61,-3266.6471,21.07
62,-3236.1519175000003,20.19
63,-3282.3134585000003,20.5
64,-3285.4351779999997,20.12
65,-3304.8349975,19.94
66,-3206.0426835,19.83
67,-3221.9374605,19.91
68,-3224.8255105,20.13
69,-3213.391458,20.51
70,-3161.264781,20.61
71,-3223.7201750000004,21.1
72,-3258.287508,20.82
73,-3208.6891874999997,20.68
74,-3261.9920884999997,20.85
75,-3185.2145920000003,20.68
76,-3218.621454,20.17
77,-3226.077874,20.46
78,-3135.219821,20.18
79,-3231.1739694999997,19.31
80,-3170.5826805,19.84
81,-3063.3362564999998,20.93
82,-3138.517449,20.92
83,-3166.048442,20.78
84,-3243.500692,20.79
85,-3257.4814795,20.53
86,-3296.9427444999997,20.54
87,-3288.2628415,20.83
88,-3214.9116225,20.06
89,-3235.9996385,20.93
90,-3250.489773,20.84
91,-3167.697256,21.43
92,-3163.6303565,21.14
93,-3056.082,20.68
94,-3097.496637,20.72
95,-3084.190603,20.74
96,-3084.48991,20.52
97,-3070.1363015,21.1
98,-3063.039575,21.04
99,-2973.3209890000003,20.4
100,-3094.2698975,21.03
101,-3165.93292,20.87
102,-3067.676208,20.45
103,-3056.6622355,19.79
104,-3112.4226045,19.49
105,-3163.0947545,20.44
106,-3124.0850755,20.79
107,-3102.154274,20.68
108,-3093.9390845000003,20.31
109,-3071.78249,20.02
110,-3040.9827495000004,20.1
111,-3158.5683925000003,20.69
112,-3211.096771,21.42
113,-3101.1434565,19.52
114,-3128.6376925,19.53
115,-3226.6239779999996,19.72
116,-3176.939016,19.35
117,-3223.9722229999998,19.41
118,-3269.6532975,20.1
119,-3351.8682045,20.19
120,-3296.982127,20.35
121,-3231.3157465,20.34
122,-3235.057084,20.08
123,-3203.146757,19.62
124,-3174.4054085,19.65
125,-3179.4253645,19.56
126,-3107.662573,19.16
127,-3147.528165,20.14
128,-3111.9185085000004,19.87
129,-3138.0501099999997,20.23
130,-3179.8979545,19.89
131,-3162.3727420000005,19.95
132,-3112.703533,20.4
133,-3098.8855265,20.16
134,-3119.298789,20.82
135,-3153.8556200000003,21.2
136,-3210.6871929999998,20.68
137,-3148.4444645,20.78
138,-3090.313269,21.42
139,-3079.9609225,21.88
140,-3161.490574,19.37
141,-3156.58614,20.6
142,-3122.108074,21.19
143,-3128.251744,20.19
144,-3139.7593104999996,20.97
145,-3140.171514,20.9
146,-3158.3662289999997,20.36
147,-3177.201566,20.98
148,-3129.8244185,20.87
149,-3162.593284,20.67
150,-3110.907691,20.9
151,-3226.05687,20.9
152,-3180.467688,19.96
153,-3142.9597949999998,19.75
154,-3127.9655645,20.21
155,-3105.7538345000003,21.49
156,-3126.560922,20.81
157,-3091.2033134999997,20.03
158,-3109.79973,19.62
159,-3033.0642414999998,20.19
160,-3119.561339,20.12
161,-3090.917134,20.13
162,-3111.5063050000003,19.9
163,-3093.878698,20.33
164,-3144.6112345,20.3
165,-3131.6964000000003,19.44
166,-3110.193555,19.88
